ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
7892501			1.032	1.669
7892554			1.06	2.132
7892732			1.906	1.753
7892779			1.34	1.818
7892866			1.16	2.336
7892873			1.052	2.296
7892982			1.028	1.643
7893057			1.79	3.334
7893155			1.002	1.901
7893192			-1.086	2.562
7893204			1.112	2.198
7893365			1.25	3.005
7893471			1.124	2.328
7893501			1.07	2.367
7893519			1.08	2.543
7893526			1.302	1.753
7893581			1.14	2.439
7893626			1.252	1.488
7893697			1.08	2.118
7893706			-1.044	3.421
7893735			1.022	1.725
7893825			1.156	1.348
7894021			1.288	2.265
7894023			1.39	1.881
7894054			1.342	1.304
7894270			1.486	2.556
7894271			1.012	1.355
7894327			1.09	1.851
7894332			-1.334	1.508
7894391			1.006	2.453
7894408			-1.31	0.77
7894510			1.34	3.925
7894530			1.04	2.456
7894532			1.038	1.122
7894553			1.072	1.593
7894591			1.658	2.874
7894746			1.018	1.729
7894759			1.442	3.429
7894832			1.088	2.62
7894886			1.002	1.629
7894902			1.238	1.796
7895035			1.092	1.569
7895085			1.066	2.73
7895092			1.434	1.471
7895176			1.194	2.705
7895255			1	0.979
7895331			1.166	2.024
7895383			1.556	3.195
7895413			1.056	0.835
7895458			1.03	1.404
7895470			1.012	2.231
7895670			2.028	3.079
7895706			1.142	2.732
7895796			1.016	1.988
7895803			1.838	3.403
7895856			1.006	2.379
7895864			1.082	2.246
7895980			1.03	1.049
7896001			1.34	2.164
7896006			1.072	1.317
7896019			1.114	1.31
7896131			1.206	2.418
7896224			1.284	2.275
7896279			1.002	1.159
7896299			1.178	1.234
7896337			1.11	2.735
7896414			1.03	1.216
7896470			1.562	3.576
7896502			1.006	1.58
7896552			1.286	1.273
7896568			1.246	2.75
7896577			1.024	3.886
7896597			1.034	1.76
7896630			-1.116	1.467
7896638			1.12	3.112
7896641			1.11	2.656
7896687			-1.326	4.262
7896690			-1.498	5.943
7896697			-1.556	3.555
7896703			-1.162	4.282
7896707			-1.4	5.586
7896715			-1.934	4.109
7896720			1.09	2.329
7896738			-1.052	1.358
7896740	OR4F17///OR4F5///OR4F4	olfactory receptor family 4 subfamily F member 17///olfactory receptor family 4 subfamily F member 5///olfactory receptor family 4 subfamily F member 4	-1.226	1.875
7898623	UBXN10	UBX domain protein 10	1.132	4.625
7901054	PLK3	polo like kinase 3	-1.422	3.228
7902072			1.22	4.977
7902074	LEPROT///LEPR	leptin receptor overlapping transcript///leptin receptor	1.314	4.682
7902102			1.6	3.84
7902158	TCTEX1D1	Tctex1 domain containing 1	-1.364	3.557
7902205	IL12RB2	interleukin 12 receptor subunit beta 2	-1.124	2.634
7902235	LRRC7	leucine rich repeat containing 7	1.37	3.05
7902965	BTBD8	BTB domain containing 8	1.056	3.022
7904572			-1.508	1.756
7906085	LMNA	lamin A/C	-1.148	3.332
7906377	MNDA	myeloid cell nuclear differentiation antigen	-1.352	3.296
7906757	FCGR2A	Fc fragment of IgG receptor IIa	1.322	4.537
7908388	RGS1	regulator of G-protein signaling 1	-1.338	2.407
7908459	CFH	complement factor H	1.954	6.964
7908917	BTG2	BTG anti-proliferation factor 2	-1.204	2.775
7911178	NLRP3	NLR family pyrin domain containing 3	-1.146	2.085
7911199	GCSAML	germinal center associated signaling and motility like	1.044	1.991
7913450	HSPG2	heparan sulfate proteoglycan 2	1.23	5.025
7916432	DHCR24	24-dehydrocholesterol reductase	2.012	5.889
7916986	NEGR1	neuronal growth regulator 1	-1.234	4.724
7917180			-1.19	2.24
7918323	SORT1	sortilin 1	1.162	5.347
7918457	KCNA3	potassium voltage-gated channel subfamily A member 3	-2.342	5.826
7918467	LRIF1	ligand dependent nuclear receptor interacting factor 1	1.022	3.007
7918857	TSPAN2	tetraspanin 2	1.614	6.163
7919556	RNVU1-15	RNA, variant U1 small nuclear 15	-1.602	2.092
7919560	RNVU1-15	RNA, variant U1 small nuclear 15	-1.658	2.131
7919594	RNVU1-19	RNA, variant U1 small nuclear 19	-1.06	1.262
7919749			-1.016	1.081
7919751	MCL1	BCL2 family apoptosis regulator	-1.036	3.27
7920123	S100A10	S100 calcium binding protein A10	1.538	2.77
7922219	SELL	selectin L	-1.346	4.358
7922412	SNORD77	small nucleolar RNA, C/D box 77	1.306	2.646
7926506	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	1.034	4.389
7929574	DNTT	DNA nucleotidylexotransferase	-1.152	3.589
7929816	SCD	stearoyl-CoA desaturase	1.326	5.136
7935270	BLNK	B-cell linker	-1.478	5.919
7937335	IFITM1	interferon induced transmembrane protein 1	1.048	2.95
7940216	MS4A3	membrane spanning 4-domains A3	-1.706	2.386
7948103	OR4C12	olfactory receptor family 4 subfamily C member 12	-1.004	1.643
7948221	PRG2	proteoglycan 2, pro eosinophil major basic protein	1.16	1.419
7948364	MPEG1	macrophage expressed 1	-2.01	3.906
7952641	ARHGAP32	Rho GTPase activating protein 32	-1.832	2.886
7953835	KLRG1	killer cell lectin like receptor G1	1.432	4.987
7954090	EMP1	epithelial membrane protein 1	-1.958	3.566
7955578	GRASP	general receptor for phosphoinositides 1 associated scaffold protein	-1.204	3.638
7955589	NR4A1	nuclear receptor subfamily 4 group A member 1	-1.41	2.131
7957023	LYZ	lysozyme	-1.542	2.755
7957260	GLIPR1	GLI pathogenesis related 1	-1.624	4.338
7957551	SOCS2	suppressor of cytokine signaling 2	1.178	4.321
7961365	MANSC1	MANSC domain containing 1	1.236	3.972
7962212	PKP2	plakophilin 2	-1.338	3.464
7964631	FAM19A2	family with sequence similarity 19 member A2, C-C motif chemokine like	-1.192	3.468
7964834	CPM	carboxypeptidase M	-1.136	2.037
7965335	DUSP6	dual specificity phosphatase 6	-1.168	2.275
7965836			1.45	3.442
7965838			1.61	4.607
7967318	HCAR2	hydroxycarboxylic acid receptor 2	-1.14	2.192
7967322	HCAR3	hydroxycarboxylic acid receptor 3	-1.524	2.575
7968789	RGCC	regulator of cell cycle	-1.542	4.065
7970737	FLT3	fms related tyrosine kinase 3	-1.67	3.535
