ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
8022295	0.0000141	6.44e-10	1.61e+01	11.823242	3.39	PIEZO2	piezo type mechanosensitive ion channel component 2	63895
8098060	0.0000141	1.41e-09	1.51e+01	11.274991	4.10	RXFP1	relaxin/insulin like family peptide receptor 1	59350
7938989	0.0000141	1.53e-09	1.50e+01	11.217569	4.62	GAS2	growth arrest specific 2	2620
8022283	0.0000141	1.70e-09	1.48e+01	11.142106	3.56	PIEZO2	piezo type mechanosensitive ion channel component 2	63895
8155754	0.0000188	2.82e-09	1.42e+01	10.770415	3.43	MAMDC2	MAM domain containing 2	256691
8089145	0.0000254	5.25e-09	-1.35e+01	10.305194	-3.80	ABI3BP	ABI family member 3 binding protein	25890
8150881	0.0000254	5.34e-09	-1.35e+01	10.293131	-3.12	PLAG1	PLAG1 zinc finger	5324
7916432	0.0000694	1.84e-08	1.22e+01	9.325397	2.16	DHCR24	24-dehydrocholesterol reductase	1718
7964631	0.0000694	1.88e-08	-1.22e+01	9.311212	-3.33	FAM19A2	family with sequence similarity 19 member A2, C-C motif chemokine like	338811
7953835	0.0001019	3.06e-08	1.17e+01	8.916145	2.33	KLRG1	killer cell lectin like receptor G1	10219
8098195	0.000109	3.60e-08	1.15e+01	8.783186	2.85	MSMO1	methylsterol monooxygenase 1	6307
8022310	0.0001119	4.03e-08	1.14e+01	8.689761	3.11	PIEZO2	piezo type mechanosensitive ion channel component 2	63895
7931914	0.0001403	5.49e-08	1.11e+01	8.43453	2.05	IL2RA	interleukin 2 receptor subunit alpha	3559
7906757	0.0001403	5.90e-08	1.11e+01	8.375137	2.86	FCGR2A	Fc fragment of IgG receptor IIa	2212
8056222	0.0001774	7.99e-08	1.08e+01	8.120351	2.93	DPP4	dipeptidyl peptidase 4	1803
8024228	0.0003478	1.70e-07	-1.01e+01	7.47908	-1.76	MIDN	midnolin	90007
8020110	0.0003478	1.81e-07	1.00e+01	7.424846	3.16	RAB31	RAB31, member RAS oncogene family	11031
7971922	0.0003478	1.88e-07	-1.00e+01	7.391013	-2.40	PCDH9	protocadherin 9	5101
7918857	0.0003575	2.04e-07	9.94	7.320417	1.92	TSPAN2	tetraspanin 2	10100
8046488	0.0003857	2.32e-07	9.83	7.210069	1.83	CDCA7	cell division cycle associated 7	83879
8005475	0.0004629	2.92e-07	9.63	7.008744	1.69	TRIM16L///TRIM16	tripartite motif containing 16-like///tripartite motif containing 16	147166///10626
7945058	0.0004807	3.18e-07	9.56	6.935043	1.61	FAM118B	family with sequence similarity 118 member B	79607
7972674	0.000505	3.49e-07	9.48	6.852741	1.54	TEX30	testis expressed 30	93081
8022674	0.0005754	4.15e-07	-9.34	6.700542	-2.19	CDH2	cadherin 2	1000
8156060	0.0006151	4.62e-07	-9.25	6.605521	-1.70	TLE4	transducin like enhancer of split 4	7091
8129458	0.0006977	5.47e-07	9.11	6.455379	1.34	ARHGAP18	Rho GTPase activating protein 18	93663
7918457	0.0006977	5.66e-07	-9.09	6.425742	-2.39	KCNA3	potassium voltage-gated channel subfamily A member 3	3738
7955578	0.0008827	7.42e-07	-8.87	6.183634	-2.24	GRASP	general receptor for phosphoinositides 1 associated scaffold protein	160622
7968417	0.0009672	8.47e-07	-8.77	6.06537	-2.37	FRY	FRY microtubule binding protein	10129
8085774	0.0009672	9.06e-07	-8.71	6.004937	-2.11	ZNF385D	zinc finger protein 385D	79750
7965838	0.0009672	9.18e-07	8.70	5.993154	2.25			
8160040	0.0009672	9.29e-07	8.69	5.982054	2.44	PTPRD	protein tyrosine phosphatase, receptor type D	5789
8056491	0.0011908	1.20e-06	8.50	5.752191	1.54	SCN9A	sodium voltage-gated channel alpha subunit 9	6335
8012539	0.0011908	1.22e-06	8.49	5.739945	1.55	PIK3R6	phosphoinositide-3-kinase regulatory subunit 6	146850
7957386	0.0012179	1.28e-06	-8.45	5.693363	-1.32	ACSS3	acyl-CoA synthetase short-chain family member 3	79611
8080511	0.0012439	1.39e-06	8.39	5.620335	3.02	CACNA1D	calcium voltage-gated channel subunit alpha1 D	776
7940565	0.0012439	1.39e-06	8.38	5.616923	1.49	FADS2	fatty acid desaturase 2	9415
7954090	0.0012439	1.42e-06	-8.37	5.599733	-3.47	EMP1	epithelial membrane protein 1	2012
8168531	0.0012663	1.48e-06	8.33	5.560016	1.87	GPR174	G protein-coupled receptor 174	84636
7924119	0.0013831	1.66e-06	8.25	5.456839	1.31	INTS7	integrator complex subunit 7	25896
8101780	0.0013946	1.72e-06	8.22	5.426832	3.69	HPGDS	hematopoietic prostaglandin D synthase	27306
8055992	0.0014005	1.77e-06	-8.20	5.401091	-1.33	ACVR1C	activin A receptor type 1C	130399
7937335	0.0017168	2.23e-06	8.03	5.190028	1.53	IFITM1	interferon induced transmembrane protein 1	8519
7915504	0.0017168	2.27e-06	8.02	5.172715	1.27	ELOVL1	ELOVL fatty acid elongase 1	64834
8084794	0.0017621	2.39e-06	7.98	5.12454	2.16	IL1RAP	interleukin 1 receptor accessory protein	3556
7921228	0.0017621	2.43e-06	-7.97	5.108159	-2.25	ETV3	ETS variant 3	2117
7972682	0.0019186	2.71e-06	7.89	5.010369	1.68	KDELC1	KDEL motif containing 1	79070
7928429	0.0019453	2.80e-06	7.86	4.978319	1.29	PLAU	plasminogen activator, urokinase	5328
8091922	0.0019724	2.90e-06	7.84	4.946671	1.80	WDR49	WD repeat domain 49	151790
8114778	0.0020596	3.09e-06	7.79	4.888277	1.05	LOC729080///GCSH	glycine cleavage system protein H (aminomethyl carrier) pseudogene///glycine cleavage system protein H	729080///2653
7929816	0.0022911	3.51e-06	7.70	4.771871	1.96	SCD	stearoyl-CoA desaturase	6319
8008517	0.0023552	3.68e-06	7.67	4.728525	1.53	NME1-NME2///NME1	NME1-NME2 readthrough///NME/NM23 nucleoside diphosphate kinase 1	654364///4830
8102342	0.0025606	4.09e-06	7.59	4.630783	1.21	ELOVL6	ELOVL fatty acid elongase 6	79071
8083260	0.0025606	4.15e-06	7.58	4.616355	3.17	CPA3	carboxypeptidase A3	1359
8051462	0.0026347	4.35e-06	7.55	4.572342	2.26			
7906085	0.0026347	4.43e-06	-7.54	4.556288	-1.77	LMNA	lamin A/C	4000
8132406	0.0027351	4.68e-06	7.50	4.505232	1.13	RALA	RALA Ras like proto-oncogene A	5898
7908147	0.0027496	4.79e-06	7.48	4.484194	1.29	TSEN15	tRNA splicing endonuclease subunit 15	116461
8116818	0.0027506	4.87e-06	-7.47	4.468011	-2.04	BMP6///BMP6	bone morphogenetic protein 6///bone morphogenetic protein 6	654///654
7969330	0.0028422	5.19e-06	-7.42	4.409759	-1.40	PCDH17	protocadherin 17	27253
8084810	0.0028422	5.21e-06	7.42	4.406651	1.51			
8148149	0.0028979	5.40e-06	-7.40	4.372497	-1.24	ZHX2	zinc fingers and homeoboxes 2	22882
8065359	0.0028979	5.52e-06	7.38	4.352208	1.10	CD93	CD93 molecule	22918
7920123	0.0028979	5.57e-06	7.38	4.344024	2.09	S100A10	S100 calcium binding protein A10	6281
8144036	0.0030457	5.95e-06	7.33	4.283333	1.71	XRCC2	X-ray repair cross complementing 2	7516
8043036	0.0032728	6.57e-06	7.26	4.190038	1.98	LOC1720///DHFR	dihydrofolate reductase pseudogene///dihydrofolate reductase	1720///1719
8058552	0.0032728	6.59e-06	7.26	4.188142	1.32	IDH1	isocitrate dehydrogenase (NADP(+)) 1, cytosolic	3417
7978407	0.0032939	6.97e-06	-7.22	4.135048	-1.53	PRKD1	protein kinase D1	5587
7911096	0.0032939	6.97e-06	7.22	4.1348	1.22	EFCAB2	EF-hand calcium binding domain 2	84288
8171823	0.0032939	7.02e-06	7.22	4.128404	1.24	APOO	apolipoprotein O	79135
8013341	0.0032939	7.19e-06	-7.20	4.106265	-1.65	MFAP4	microfibrillar associated protein 4	4239
8054439	0.0032939	7.25e-06	-7.19	4.098466	-2.03	ST6GAL2	ST6 beta-galactoside alpha-2,6-sialyltransferase 2	84620
8138888	0.0032939	7.27e-06	-7.19	4.095647	-1.59	PDE1C	phosphodiesterase 1C	5137
8152215	0.0032939	7.32e-06	-7.19	4.089429	-1.60	KLF10	Kruppel like factor 10	7071
8040113	0.0033886	7.70e-06	7.15	4.042522	1.51	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	8853
8144516	0.0033886	7.73e-06	7.15	4.038049	1.05	ERI1	exoribonuclease 1	90459
8144669	0.0034032	7.87e-06	7.14	4.021836	1.41	FDFT1///FDFT1	farnesyl-diphosphate farnesyltransferase 1///farnesyl-diphosphate farnesyltransferase 1	2222///2222
8145611	0.00359	8.41e-06	-7.09	3.959792	-1.37	FZD3	frizzled class receptor 3	7976
8028104	0.0036833	9.03e-06	7.04	3.892945	1.61	HCST	hematopoietic cell signal transducer	10870
8050443	0.0036833	9.04e-06	7.04	3.892027	1.21	SMC6	structural maintenance of chromosomes 6	79677
8001067	0.0036833	9.15e-06	7.04	3.880945	1.40	HERC2P4///HERC2P2///HERC2P3///HERC2	hect domain and RLD 2 pseudogene 4///hect domain and RLD 2 pseudogene 2///hect domain and RLD 2 pseudogene 3///HECT and RLD domain containing E3 ubiquitin protein ligase 2	100289574///400322///283755///8924
8095819	0.0036833	9.18e-06	7.03	3.878057	1.95	FAM47E-STBD1///FAM47E	FAM47E-STBD1 readthrough///family with sequence similarity 47 member E	100631383///100129583
8100231	0.0036833	9.24e-06	7.03	3.871326	1.24	TEC	tec protein tyrosine kinase	7006
7986383	0.0036833	9.29e-06	-7.03	3.866383	-1.39	IGF1R	insulin like growth factor 1 receptor	3480
7950906	0.0037067	9.60e-06	7.00	3.836185	1.23	CTSC	cathepsin C	1075
7951325	0.0037067	9.66e-06	7.00	3.830318	1.17	DCUN1D5	defective in cullin neddylation 1 domain containing 5	84259
7919606	0.0037067	9.69e-06	-7.00	3.827566	-1.80	HIST2H2BF///HIST2H2BA///HIST2H2BE	histone cluster 2, H2bf///histone cluster 2, H2ba (pseudogene)///histone cluster 2, H2be	440689///337875///8349
8180405	0.0039375	1.04e-05	-6.95	3.760203	-1.74	ARL4A	ADP ribosylation factor like GTPase 4A	10124
7919584	0.0039867	1.07e-05	-6.93	3.737935	-1.80	HIST2H2BF///HIST2H2BA	histone cluster 2, H2bf///histone cluster 2, H2ba (pseudogene)	440689///337875
8167185	0.0040745	1.10e-05	6.91	3.706978	1.29	TIMP1	TIMP metallopeptidase inhibitor 1	7076
8055426	0.0040787	1.11e-05	6.90	3.695646	1.33	MCM6	minichromosome maintenance complex component 6	4175
8140782	0.0041059	1.14e-05	-6.89	3.673905	-1.69	ABCB1	ATP binding cassette subfamily B member 1	5243
7917359	0.0041059	1.15e-05	6.88	3.668967	1.34	ZNHIT6	zinc finger HIT-type containing 6	54680
8050213	0.004129	1.17e-05	-6.87	3.653645	-1.29			
8070665	0.0045518	1.30e-05	-6.80	3.552005	-2.11	LOC102724428///SIK1	serine/threonine-protein kinase SIK1///salt inducible kinase 1	102724428///150094
8001099	0.0046505	1.35e-05	6.77	3.513814	1.26	HERC2P4///HERC2P2///HERC2P3///HERC2	hect domain and RLD 2 pseudogene 4///hect domain and RLD 2 pseudogene 2///hect domain and RLD 2 pseudogene 3///HECT and RLD domain containing E3 ubiquitin protein ligase 2	100289574///400322///283755///8924
7979281	0.0046505	1.35e-05	6.77	3.512194	1.56	WDHD1	WD repeat and HMG-box DNA binding protein 1	11169
8142585	0.0047117	1.40e-05	-6.75	3.482341	-1.19	CADPS2	calcium dependent secretion activator 2	93664
