ID	adj.P.Val	P.Value	Gene.symbol	Gene.title	Gene.ID
8056491	0.00000577	1.73e-10	SCN9A	sodium voltage-gated channel alpha subunit 9	6335
7916432	0.0000793	4.76e-09	DHCR24	24-dehydrocholesterol reductase	1718
8098195	0.00012288	1.25e-08	MSMO1	methylsterol monooxygenase 1	6307
8098060	0.00012288	1.54e-08	RXFP1	relaxin/insulin like family peptide receptor 1	59350
7918857	0.00012288	1.85e-08	TSPAN2	tetraspanin 2	10100
8155754	0.0001522	2.74e-08	MAMDC2	MAM domain containing 2	256691
7908459	0.00023947	5.03e-08	CFH	complement factor H	3075
7918457	0.00024619	5.91e-08	KCNA3	potassium voltage-gated channel subfamily A member 3	3738
7935270	0.00036046	9.74e-08	BLNK	B-cell linker	29760
7896690	0.00037372	1.12e-07			
8162455	0.00045024	1.49e-07	NINJ1	ninjurin 1	4814
8022674	0.00066658	2.40e-07	CDH2	cadherin 2	1000
7913450	0.00073127	2.86e-07	HSPG2	heparan sulfate proteoglycan 2	3339
8041781	0.00086488	3.64e-07	EPAS1	endothelial PAS domain protein 1	2034
7896707	0.00096279	4.34e-07			
8028652	0.00099963	4.80e-07	ZFP36	ZFP36 ring finger protein	7538
7953835	0.00118591	6.05e-07	KLRG1	killer cell lectin like receptor G1	10219
8152215	0.00124286	6.72e-07	KLF10	Kruppel like factor 10	7071
8154215	0.00128053	7.31e-07			
8045539	0.00189387	1.15e-06	KYNU	kynureninase	8942
7898623	0.00189387	1.19e-06	UBXN10	UBX domain protein 10	127733
7957260	0.00215052	1.42e-06	GLIPR1	GLI pathogenesis related 1	11010
8022295	0.00241689	1.67e-06	PIEZO2	piezo type mechanosensitive ion channel component 2	63895
8040103	0.00262403	1.89e-06	ID2	inhibitor of DNA binding 2, HLH protein	3398
8004691	0.00329646	2.48e-06	TMEM88	transmembrane protein 88	92162
7918323	0.00453905	3.54e-06	SORT1	sortilin 1	6272
7902102	0.00474048	3.96e-06			
7896715	0.00474048	4.00e-06			
7922219	0.00474048	4.16e-06	SELL	selectin L	6402
7922717	0.00474048	4.27e-06	RGS16	regulator of G-protein signaling 16	6004
8103922	0.00482864	4.50e-06	CASP3	caspase 3	836
7972674	0.00515352	5.07e-06	TEX30	testis expressed 30	93081
8022310	0.00515352	5.29e-06	PIEZO2	piezo type mechanosensitive ion channel component 2	63895
7896687	0.00515352	5.30e-06			
7965838	0.00515352	5.52e-06			
7977319	0.00515352	5.57e-06	PLD4	phospholipase D family member 4	122618
7971731	0.00523799	5.82e-06	ATP7B	ATPase copper transporting beta	540
8012918	0.00526585	6.01e-06	TVP23C-CDRT4///CDRT4	TVP23C-CDRT4 readthrough///CMT1A duplicated region transcript 4	100533496///284040
8001067	0.00610544	7.30e-06	HERC2P4///HERC2P2///HERC2P3///HERC2	hect domain and RLD 2 pseudogene 4///hect domain and RLD 2 pseudogene 2///hect domain and RLD 2 pseudogene 3///HECT and RLD domain containing E3 ubiquitin protein ligase 2	100289574///400322///283755///8924
8051462	0.00610544	7.40e-06			
8001099	0.00610544	7.52e-06	HERC2P4///HERC2P2///HERC2P3///HERC2	hect domain and RLD 2 pseudogene 4///hect domain and RLD 2 pseudogene 2///hect domain and RLD 2 pseudogene 3///HECT and RLD domain containing E3 ubiquitin protein ligase 2	100289574///400322///283755///8924
8099476	0.00619768	7.82e-06	PROM1	prominin 1	8842
7986569	0.00656652	8.48e-06	HERC2P4///HERC2P9///HERC2P2///HERC2P3///HERC2	hect domain and RLD 2 pseudogene 4///hect domain and RLD 2 pseudogene 9///hect domain and RLD 2 pseudogene 2///hect domain and RLD 2 pseudogene 3///HECT and RLD domain containing E3 ubiquitin protein ligase 2	100289574///440248///400322///283755///8924
7929816	0.00666425	9.15e-06	SCD	stearoyl-CoA desaturase	6319
8124848	0.00666425	9.21e-06	IER3	immediate early response 3	8870
8179704	0.00666425	9.21e-06	IER3	immediate early response 3	8870
7903308	0.00672533	9.49e-06	TRMT13	tRNA methyltransferase 13 homolog	54482
7902074	0.00692159	9.98e-06	LEPROT///LEPR	leptin receptor overlapping transcript///leptin receptor	54741///3953
7997712	0.00711291	1.05e-05	IRF8	interferon regulatory factor 8	3394
8180268	0.00716205	1.08e-05	CYP51A1	cytochrome P450 family 51 subfamily A member 1	1595
8178435	0.00757944	1.18e-05	IER3	immediate early response 3	8870
8175593	0.00757944	1.18e-05	IDS	iduronate 2-sulfatase	3423
8085797	0.00833747	1.33e-05	THRB	thyroid hormone receptor beta	7068
8022283	0.008697	1.42e-05	PIEZO2	piezo type mechanosensitive ion channel component 2	63895
7982154	0.008697	1.44e-05	HERC2P9///HERC2P2///HERC2P3///HERC2	hect domain and RLD 2 pseudogene 9///hect domain and RLD 2 pseudogene 2///hect domain and RLD 2 pseudogene 3///HECT and RLD domain containing E3 ubiquitin protein ligase 2	440248///400322///283755///8924
8050213	0.00885693	1.49e-05			
8024056	0.00900379	1.56e-05	ELANE	elastase, neutrophil expressed	1991
8095343	0.00900379	1.57e-05	STAP1	signal transducing adaptor family member 1	26228
8168472	0.00943636	1.67e-05	ATP7A	ATPase copper transporting alpha	538
7988672	0.00951232	1.71e-05	HDC	histidine decarboxylase	3067
7896703	0.00988006	1.81e-05			
8154207	0.0104004	1.96e-05			
7948364	0.0104004	1.97e-05	MPEG1	macrophage expressed 1	219972
8148448	0.010657	2.05e-05	KHDRBS3	KH RNA binding domain containing, signal transduction associated 3	10656
8018114	0.01069298	2.09e-05	SDK2	sidekick cell adhesion molecule 2	54549
7906757	0.01120707	2.25e-05	FCGR2A	Fc fragment of IgG receptor IIa	2212
8114010	0.01120707	2.26e-05	IRF1	interferon regulatory factor 1	3659
8121814	0.01126861	2.31e-05	NKAIN2	Na+/K+ transporting ATPase interacting 2	154215
7926506	0.01126861	2.34e-05	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	783
7986701	0.01126861	2.37e-05	HERC2P4///HERC2P9///HERC2P2///HERC2P3///HERC2	hect domain and RLD 2 pseudogene 4///hect domain and RLD 2 pseudogene 9///hect domain and RLD 2 pseudogene 2///hect domain and RLD 2 pseudogene 3///HECT and RLD domain containing E3 ubiquitin protein ligase 2	100289574///440248///400322///283755///8924
8150439	0.01276253	2.72e-05	ANK1	ankyrin 1	286
8134219	0.01316113	2.85e-05	VPS50	VPS50, EARP/GARPII complex subunit	55610
7978739	0.01338127	2.93e-05	TRAPPC6B	trafficking protein particle complex 6B	122553
8161270	0.01361086	3.02e-05	ANKRD18A	ankyrin repeat domain 18A	253650
8122265	0.01447298	3.26e-05	TNFAIP3	TNF alpha induced protein 3	7128
8047403	0.01449024	3.31e-05	CASP10	caspase 10	843
8123744	0.01534001	3.55e-05	F13A1	coagulation factor XIII A chain	2162
8027254	0.01613801	3.78e-05	ZNF90	zinc finger protein 90	7643
8103226	0.01636955	3.88e-05	TMEM154	transmembrane protein 154	201799
8029465	0.01678028	4.04e-05	BCL3	B-cell CLL/lymphoma 3	602
8126153	0.01678028	4.08e-05	KCNK5	potassium two pore domain channel subfamily K member 5	8645
7962212	0.01758247	4.33e-05	PKP2	plakophilin 2	5318
8149071	0.01773427	4.56e-05	ANGPT2	angiopoietin 2	285
8148325	0.01773427	4.58e-05			
