#node	identifier	node_degree
ABI3BP	9606.ENSP00000284322	1
ARMH1	9606.ENSP00000420716	1
ARMH2	9606.ENSP00000454913	4
C1QTNF8	9606.ENSP00000330426	2
CACHD1	9606.ENSP00000290039	20
CACNA1D	9606.ENSP00000288139	24
CACNA2D4	9606.ENSP00000372169	20
CACNB1	9606.ENSP00000377840	20
CACNB3	9606.ENSP00000301050	23
CACNB4	9606.ENSP00000438949	20
CACNG1	9606.ENSP00000226021	20
CACNG4	9606.ENSP00000262138	20
CACNG6	9606.ENSP00000252729	20
CATSPER1	9606.ENSP00000309052	20
CATSPER3	9606.ENSP00000282611	21
CATSPER4	9606.ENSP00000390423	20
CATSPERB	9606.ENSP00000256343	20
CATSPERD	9606.ENSP00000371037	20
CATSPERE	9606.ENSP00000355492	20
CATSPERG	9606.ENSP00000386962	20
CATSPERZ	9606.ENSP00000491717	20
CMA1	9606.ENSP00000250378	4
CPA3	9606.ENSP00000296046	6
DPP4	9606.ENSP00000353731	1
EFCAB9	9606.ENSP00000381247	20
EMP1	9606.ENSP00000256951	1
ETV3	9606.ENSP00000357175	0
FIGN	9606.ENSP00000333836	0
GAS1	9606.ENSP00000298743	2
GAS2	9606.ENSP00000401145	3
GNAI1	9606.ENSP00000497260	8
GNAI2	9606.ENSP00000312999	8
GNAI3	9606.ENSP00000358867	6
HPGDS	9606.ENSP00000295256	3
IL1RAPL2	9606.ENSP00000361663	3
INS	9606.ENSP00000380432	16
INSL3	9606.ENSP00000369017	11
INSL4	9606.ENSP00000239316	11
INSL5	9606.ENSP00000302724	11
INSL6	9606.ENSP00000371054	10
LGR6	9606.ENSP00000356247	3
LUZP2	9606.ENSP00000336817	1
MAMDC2	9606.ENSP00000366387	1
METTL24	9606.ENSP00000344071	0
MS4A2	9606.ENSP00000278888	5
MSMO1	9606.ENSP00000261507	0
NR4A1	9606.ENSP00000440864	1
PCDH9	9606.ENSP00000367096	0
PIEZO2	9606.ENSP00000421377	0
PLAG1	9606.ENSP00000325546	0
PMP22	9606.ENSP00000308937	3
PTPRD	9606.ENSP00000370593	2
RLN1	9606.ENSP00000223862	14
RLN2	9606.ENSP00000371040	15
RLN3	9606.ENSP00000397415	11
RXFP1	9606.ENSP00000405841	17
RXFP2	9606.ENSP00000298386	11
RXFP3	9606.ENSP00000328708	15
RXFP4	9606.ENSP00000357301	14
SFTPA2	9606.ENSP00000361400	3
SKIL	9606.ENSP00000415243	0
STAC3	9606.ENSP00000329200	20
TAFA2	9606.ENSP00000393987	1
TEX53	9606.ENSP00000489944	2
TMEM249	9606.ENSP00000454468	20
TMEM262	9606.ENSP00000432459	20
TPSAB1	9606.ENSP00000343577	6
TPSB2	9606.ENSP00000482743	5
TPSD1	9606.ENSP00000211076	3
ZMYND12	9606.ENSP00000361646	1
