ID,Gene.symbol,Gene.title,Gene.ID,adj.P.Val,P.Value,t,B,logFC
8155754,MAMDC2,MAM domain containing 2,256691,0.00042,1.29e-08,12.9,8.81698,1.67
8098060,RXFP1,relaxin/insulin like family peptide receptor 1,59350,0.00042,3.19e-08,11.9,8.20351,2.13
8056491,SCN9A,sodium voltage-gated channel alpha subunit 9,6335,0.00042,3.78e-08,11.7,8.08407,1.92
7908459,CFH,complement factor H,3075,0.000904,1.09e-07,10.7,7.32407,1.95
8098195,MSMO1,methylsterol monooxygenase 1,6307,0.001523,2.29e-07,10,6.76459,2.18
8045539,KYNU,kynureninase,8942,0.001652,2.98e-07,9.8,6.56157,2.13
7918857,TSPAN2,tetraspanin 2,10100,0.00327,6.88e-07,9.09,5.90326,1.61
7916432,DHCR24,24-dehydrocholesterol reductase,1718,0.00391,1.29e-06,8.59,5.39312,2.01
8041781,EPAS1,endothelial PAS domain protein 1,2034,0.004338,1.69e-06,8.37,5.17053,1.56
7918323,SORT1,sortilin 1,6272,0.008629,4.5e-06,7.64,4.35053,1.16
7929816,SCD,stearoyl-CoA desaturase,6319,0.012058,7.31e-06,7.29,3.93545,1.33
7913450,HSPG2,heparan sulfate proteoglycan 2,3339,0.013001,9.44e-06,7.11,3.71376,1.23
7971731,ATP7B,ATPase copper transporting beta,540,0.013001,9.54e-06,7.11,3.70508,1.04
7953835,KLRG1,killer cell lectin like receptor G1,10219,0.013001,1.03e-05,7.05,3.63771,1.43
8150962,TOX,thymocyte selection associated high mobility group box,9760,0.017568,1.53e-05,6.78,3.29242,0.854
8126153,KCNK5,potassium two pore domain channel subfamily K member 5,8645,0.017568,1.54e-05,6.78,3.28419,0.914
8103226,TMEM154,transmembrane protein 154,201799,0.017568,1.63e-05,6.74,3.23687,1.12
8103922,CASP3,caspase 3,836,0.017568,1.64e-05,6.74,3.23357,1.05
7903308,TRMT13,tRNA methyltransferase 13 homolog,54482,0.018878,1.81e-05,6.67,3.14225,0.988
7925954,NET1,neuroepithelial cell transforming 1,10276,0.019132,1.95e-05,6.62,3.07692,0.92
7902074,LEPROT,leptin receptor overlapping transcript///leptin receptor,54741,0.019772,2.08e-05,6.58,3.02221,1.31
8072744,NCF4,neutrophil cytosolic factor 4,4689,0.019893,2.15e-05,6.56,2.99186,1.19
8149071,ANGPT2,angiopoietin 2,285,0.019896,2.21e-05,6.54,2.9675,1.55
7898623,UBXN10,UBX domain protein 10,127733,0.020795,2.37e-05,6.49,2.90466,1.13
7906757,FCGR2A,Fc fragment of IgG receptor IIa,2212,0.022396,2.9e-05,6.36,2.72596,1.32
8180268,CYP51A1,cytochrome P450 family 51 subfamily A member 1,1595,0.022396,3.02e-05,6.33,2.6906,1.04
8022310,PIEZO2,piezo type mechanosensitive ion channel component 2,63895,0.025651,3.85e-05,6.18,2.47284,1.85
8001067,HERC2P4,hect domain and RLD 2 pseudogene 4///hect domain and RLD 2 pseudogene 2///hect domain and RLD 2 pseudogene 3///HECT and RLD domain containing E3 ubiquitin protein ligase 2,100289574,0.025875,3.96e-05,6.16,2.44731,1.13
7926506,CACNB2,calcium voltage-gated channel auxiliary subunit beta 2,783,0.02617,4.09e-05,6.14,2.41971,1.03
8095343,STAP1,signal transducing adaptor family member 1,26228,0.026976,4.37e-05,6.1,2.36063,1.41
8120826,IRAK1BP1,interleukin 1 receptor associated kinase 1 binding protein 1,134728,0.026976,4.49e-05,6.08,2.33443,0.8
8057677,SLC40A1,solute carrier family 40 member 1,30061,0.026976,4.69e-05,6.05,2.29647,0.914
7957551,SOCS2,suppressor of cytokine signaling 2,8835,0.026976,4.78e-05,6.04,2.27895,1.18
7972674,TEX30,testis expressed 30,93081,0.027038,5.21e-05,5.99,2.20183,0.844
8168472,ATP7A,ATPase copper transporting alpha,538,0.027038,5.35e-05,5.97,2.17686,0.806
7917954,FRRS1,ferric chelate reductase 1,391059,0.027038,5.39e-05,5.96,2.1705,0.892
8058670,IKZF2,IKAROS family zinc finger 2,22807,0.027038,5.57e-05,5.94,2.1417,0.99
8116835,GCNT2,"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)",2651,0.027038,5.6e-05,5.94,2.1359,1.35
8085797,THRB,thyroid hormone receptor beta,7068,0.027426,5.77e-05,5.92,2.11006,1.26
7983650,SLC27A2,solute carrier family 27 member 2,11001,0.028872,6.16e-05,5.88,2.05084,0.888
7932285,FAM188A,family with sequence similarity 188 member A,80013,0.02985,6.72e-05,5.83,1.97116,0.738
8121814,NKAIN2,Na+/K+ transporting ATPase interacting 2,154215,0.031112,7.38e-05,5.77,1.8871,0.75
8150439,ANK1,ankyrin 1,286,0.031112,7.42e-05,5.77,1.88139,0.808
7982154,HERC2P9,hect domain and RLD 2 pseudogene 9///hect domain and RLD 2 pseudogene 2///hect domain and RLD 2 pseudogene 3///HECT and RLD domain containing E3 ubiquitin protein ligase 2,440248,0.031112,7.79e-05,5.74,1.83767,1.1
7926223,CAMK1D,calcium/calmodulin dependent protein kinase ID,57118,0.031112,7.85e-05,5.73,1.83092,0.938
7932407,ST8SIA6,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6",338596,0.032208,8.25e-05,5.7,1.78592,0.972
8012918,TVP23C-CDRT4,TVP23C-CDRT4 readthrough///CMT1A duplicated region transcript 4,100533496,0.032208,8.7e-05,5.67,1.73729,0.904
8095819,FAM47E-STBD1,FAM47E-STBD1 readthrough///family with sequence similarity 47 member E,100631383,0.032208,8.71e-05,5.67,1.73683,1.2
7983638,DTWD1,DTW domain containing 1,56986,0.032318,8.98e-05,5.65,1.70898,0.94
7933933,DNAJC12,DnaJ heat shock protein family (Hsp40) member C12,56521,0.035553,0.000104,5.56,1.57825,0.812
8174207,NXF3,nuclear RNA export factor 3,56000,0.035553,0.000106,5.55,1.5567,1.2
7961365,MANSC1,MANSC domain containing 1,54682,0.035553,0.000107,5.54,1.55094,1.24
8041257,SLC30A6,solute carrier family 30 member 6,55676,0.035774,0.000109,5.53,1.52958,0.768
8021301,RAB27B,"RAB27B, member RAS oncogene family",5874,0.035774,0.00011,5.53,1.52724,1.65
8154692,TEK,TEK receptor tyrosine kinase,7010,0.037942,0.000122,5.46,1.42983,1.16
8124040,ATXN1,ataxin 1,6310,0.038019,0.000124,5.45,1.41106,0.714
8051928,PREPL,prolyl endopeptidase-like,9581,0.038174,0.000126,5.44,1.39901,1.02
8106280,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,3156,0.040379,0.000139,5.38,1.30697,1.02
8017186,HEATR6,HEAT repeat containing 6,63897,0.042097,0.00015,5.34,1.24024,0.834
7988672,HDC,histidine decarboxylase,3067,0.042097,0.00015,5.34,1.23751,2.07
8065569,BCL2L1,BCL2 like 1,598,0.042286,0.000153,5.33,1.22407,0.868
8094638,WDR19,WD repeat domain 19,57728,0.042286,0.000154,5.32,1.21452,0.79
7978739,TRAPPC6B,trafficking protein particle complex 6B,122553,0.044104,0.000166,5.28,1.14583,0.762
7972682,KDELC1,KDEL motif containing 1,79070,0.044104,0.000167,5.28,1.14239,0.848
8156706,TMOD1,tropomodulin 1,7111,0.045403,0.000174,5.25,1.10322,0.892
8007921,MYL4,myosin light chain 4,4635,0.048118,0.000192,5.19,1.01287,1.09
8047403,CASP10,caspase 10,843,0.048118,0.000194,5.19,1.0056,1.05
8038981,ZNF611,zinc finger protein 611,81856,0.048118,0.000197,5.18,0.99222,0.758
8113073,ARRDC3,arrestin domain containing 3,57561,0.048444,0.000202,5.16,0.96597,1.39
7955217,SPATS2,spermatogenesis associated serine rich 2,65244,0.048444,0.000205,5.16,0.95317,0.814
8012475,MYH10,"myosin, heavy chain 10, non-muscle",4628,0.048444,0.000208,5.15,0.93986,0.73
8106962,ARSK,arylsulfatase family member K,153642,0.049081,0.000214,5.13,0.9139,0.79
8134219,VPS50,"VPS50, EARP/GARPII complex subunit",55610,0.051327,0.000227,5.1,0.86125,1.04
8152522,ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2,5168,0.052687,0.000236,5.07,0.8247,1.09
8169365,TMEM164,transmembrane protein 164,84187,0.055137,0.00025,5.04,0.77051,0.778
8168531,GPR174,G protein-coupled receptor 174,84636,0.0554,0.000253,5.03,0.75856,1.08
8152962,LRRC6,leucine rich repeat containing 6,23639,0.0554,0.000257,5.02,0.74483,0.736
8141872,NAPEPLD,N-acyl phosphatidylethanolamine phospholipase D,222236,0.0554,0.000258,5.02,0.74201,0.974
