Gene.ID,Gene.symbol,logFC
63895,PIEZO2,3.39
59350,RXFP1,4.1
2620,GAS2,4.62
256691,MAMDC2,3.43
1718,DHCR24,2.16
10219,KLRG1,2.33
6307,MSMO1,2.85
3559,IL2RA,2.05
2212,FCGR2A,2.86
1803,DPP4,2.93
11031,RAB31,3.16
10100,TSPAN2,1.92
83879,CDCA7,1.83
79607,FAM118B,1.61
93081,TEX30,1.54
93663,ARHGAP18,1.34
5789,PTPRD,2.44
6335,SCN9A,1.54
146850,PIK3R6,1.55
776,CACNA1D,3.02
9415,FADS2,1.49
84636,GPR174,1.87
25896,INTS7,1.31
27306,HPGDS,3.69
8519,IFITM1,1.53
64834,ELOVL1,1.27
3556,IL1RAP,2.16
79070,KDELC1,1.68
5328,PLAU,1.29
151790,WDR49,1.8
6319,SCD,1.96
79071,ELOVL6,1.21
1359,CPA3,3.17
5898,RALA,1.13
116461,TSEN15,1.29
22918,CD93,1.1
6281,S100A10,2.09
7516,XRCC2,1.71
3417,IDH1,1.32
84288,EFCAB2,1.22
79135,APOO,1.24
8853,ASAP2,1.51
90459,ERI1,1.05
10870,HCST,1.61
79677,SMC6,1.21
7006,TEC,1.24
1075,CTSC,1.23
84259,DCUN1D5,1.17
7076,TIMP1,1.29
4175,MCM6,1.33
54680,ZNHIT6,1.34
11169,WDHD1,1.56
10626,TRIM16,1.59
9645,MICAL2,1.34
7360,UGP2,1.04
9837,GINS1,1.67
1719,DHFR,1.52
843,CASP10,1.29
221188,ADGRG5,1.61
29090,TIMM21,1.07
8645,KCNK5,1.42
9832,JAKMIP2,1.38
6352,CCL5,2.1
8942,KYNU,2.3
695,BTK,1.55
6713,SQLE,1.05
1111,CHEK1,1.39
1737,DLAT,1.14
64393,ZMAT3,1.21
2650,GCNT1,1.02
2736,GLI2,1.26
58488,PCTP,1.24
4542,MYO1F,1.28
79158,GNPTAB,1.27
8728,ADAM19,1.13
140462,ASB9,1.06
115727,RASGRP4,1.61
945,CD33,1.39
672,BRCA1,1.32
3148,HMGB2,1.1
10196,PRMT3,1.02
84313,VPS25,1.08
126295,ZNF57,1.2
192286,HIGD2A,1.03
9324,HMGN3,1.3
7514,XPO1,1.31
783,CACNB2,1.28
51001,MTERF3,1.05
2054,STX2,1.12
55013,MCUB,1.43
54517,PUS7,1.23
2958,GTF2A2,1.33
100129543,ZNF730,1.68
56938,ARNTL2,1.09
5437,POLR2H,1.13
84187,TMEM164,1.23
4190,MDH1,1.24
29074,MRPL18,1.24
9768,KIAA0101,1.6
5427,POLE2,1.61
9994,CASP8AP2,1.18
4522,MTHFD1,1.26
84250,SLF1,1.25
9562,MINPP1,1.26
51377,UCHL5,1.03
339448,C1orf174,1.02
64105,CENPK,1.35
25934,NIPSNAP3A,1.2
134492,NUDCD2,1.11
51514,DTL,1.59
84456,L3MBTL3,1.16
79980,DSN1,1.22
10203,CALCRL,1.44
9551,ATP5J2,1.15
374393,FAM111B,1.5
9126,SMC3,1.02
8317,CDC7,1.16
201725,C4orf46,1.35
6502,SKP2,1.04
1889,ECE1,1.08
79682,CENPU,1.47
58477,SRPRB,1.06
2207,FCER1G,1.27
51103,NDUFAF1,1.2
1809,DPYSL3,1.21
11311,VPS45,1.06
6404,SELPLG,1.54
80013,FAM188A,1.05
22948,CCT5,1.33
148203,ZNF738,1.19
11151,CORO1A,1.28
4173,MCM4,1.42
26228,STAP1,1.36
6272,SORT1,1.17
641,BLM,1.42
152007,GLIPR2,1.06
5110,PCMT1,1.03
445347,TARP,3.57
9526,MPDU1,1.26
3992,FADS1,1.06
10105,PPIF,1.38
598,BCL2L1,1.13
80010,RMI1,1.32
9061,PAPSS1,1.01
5933,RBL1,1.31
4689,NCF4,1.67
51659,GINS2,1.46
63897,HEATR6,1.02
10592,SMC2,1.05
8318,CDC45,1.14
4171,MCM2,1.02
22820,COPG1,1.04
53981,CPSF2,1.06
79899,PRR5L,1.03
10276,NET1,1.23
3956,LGALS1,1.73
140707,BRI3BP,1.15
10434,LYPLA1,1.12
729967,MORN2,1.15
302,ANXA2,2.19
26521,TIMM8B,1.02
9839,ZEB2,1.1
5685,PSMA4,1.13
10935,PRDX3,1.03
2288,FKBP4,1.18
55010,PARPBP,1.04
5687,PSMA6,1.06
6905,TBCE,1.28
9991,PTBP3,1.11
692197,SNORD77,1.28
51633,OTUD6B,1.05
10962,MLLT11,1.06
8826,IQGAP1,1.56
57486,NLN,1.04
5889,RAD51C,1.01
10606,PAICS,1.17
6282,S100A11,1.12
7453,WARS,1.05
4172,MCM3,1.13
55003,PAK1IP1,1.41
11164,NUDT5,1.54
56521,DNAJC12,1.08
81931,ZNF93,1.15
10799,RPP40,1.14
1717,DHCR7,1.18
348995,NUP43,1.09
9404,LPXN,1.46
55791,LRIF1,1.29
27346,TMEM97,1.11
11001,SLC27A2,1.27
27128,CYTH4,1.11
4238,MFAP3,1.1
57002,YAE1D1,1.3
5874,RAB27B,1.79
6472,SHMT2,1.02
5984,RFC4,1.02
151648,SGO1,1.18
57082,KNL1,1.12
5111,PCNA,1.3
25939,SAMHD1,1.22
26284,ERAL1,1.05
9781,RNF144A,1.13
79968,WDR76,1.18
55759,WDR12,1.01
79658,ARHGAP10,1.06
4998,ORC1,1.14
55215,FANCI,1.21
5899,RALB,1.01
84295,PHF6,1.01
5780,PTPN9,1.02
3156,HMGCR,1.12
92126,DSEL,1.3
3070,HELLS,1.28
6240,RRM1,1
5341,PLEK,1.3
84985,FAM83A,1.45
84868,HAVCR2,1.14
2766,GMPR,1.14
7171,TPM4,1.22
54908,SPDL1,1.01
91664,ZNF845,1.26
10733,PLK4,1.2
55835,CENPJ,1.04
57464,STRIP2,1.13
10635,RAD51AP1,1.22
84057,MND1,1.26
129642,MBOAT2,1.5
9124,PDLIM1,1.29
54801,HAUS6,1.38
90417,KNSTRN,1.08
343450,KCNT2,1.2
9933,PUM3,1.12
29851,ICOS,1.55
1763,DNA2,1.03
25853,DCAF12,1.23
5150,PDE7A,1.17
54965,PIGX,1.03
55322,C5orf22,1.09
80832,APOL4,1.03
64005,MYO1G,1.13
284367,SIGLEC17P,1.03
1731,SEPT1,1
120227,CYP2R1,1.06
5902,RANBP1,1.05
51053,GMNN,1.28
3336,HSPE1,1.1
89839,ARHGAP11B,1.1
23225,NUP210,1.1
154807,VKORC1L1,1.01
83787,ARMC10,1.01
55345,ZGRF1,1.06
304,ANXA2P2,1.21
140576,S100A16,1.49
990,CDC6,1.42
4174,MCM5,1.01
7272,TTK,1.02
10073,SNUPN,1.01
375444,C5orf34,1.46
5888,RAD51,1.07
948,CD36,2.3
3075,CFH,1.05
10311,DSCR3,1.09
7298,TYMS,1.18
5694,PSMB6,1.01
9735,KNTC1,1.06
51495,HACD3,1.01
7260,TSSC1,1.05
64421,DCLRE1C,1.03
51203,NUSAP1,1.19
3248,HPGD,1.54
27258,LSM3,1
8356,HIST1H3J,1
7905,REEP5,1.12
84941,HSH2D,1.14
56242,ZNF253,1.05
8671,SLC4A4,1.1
55388,MCM10,1.06
9184,BUB3,1.04
85439,STON2,1.26
90381,TICRR,1.01
5163,PDK1,1.06
5884,RAD17,1.01
112495,GTF3C6,1.01
3832,KIF11,1.07
151507,MSL3P1,1.02
166929,SGMS2,1.11
83448,PUS7L,1.04
3683,ITGAL,1.04
9111,NMI,1.25
57628,DPP10,1.83
26271,FBXO5,1.13
6678,SPARC,1.22
3553,IL1B,1.08
2811,GP1BA,1.19
80231,CXorf21,1.02
9581,PREPL,1.04
4695,NDUFA2,1.11
1027,CDKN1B,1.14
290,ANPEP,1.04
55347,ABHD10,1.05
6654,SOS1,1.05
5193,PEX12,1
56154,TEX15,1
8331,HIST1H2AJ,1.15
157570,ESCO2,1.1
64092,SAMSN1,1.38
83990,BRIP1,1.07
5784,PTPN14,1.05
29128,UHRF1,1.02
10673,TNFSF13B,1.02
25780,RASGRP3,1.21
3690,ITGB3,1.36
730051,ZNF814,1.08
9808,KIAA0087,1.39
339487,ZBTB8OS,1.03
3554,IL1R1,1.06
3512,JCHAIN,1.39
9173,IL1RL1,1.18
1349,COX7B,1.15
241,ALOX5AP,1.23
10911,UTS2,1.08
25890,ABI3BP,-3.8
5324,PLAG1,-3.12
338811,FAM19A2,-3.33
90007,MIDN,-1.76
5101,PCDH9,-2.4
1000,CDH2,-2.19
7091,TLE4,-1.7
3738,KCNA3,-2.39
160622,GRASP,-2.24
10129,FRY,-2.37
79750,ZNF385D,-2.11
79611,ACSS3,-1.32
2012,EMP1,-3.47
130399,ACVR1C,-1.33
2117,ETV3,-2.25
4000,LMNA,-1.77
27253,PCDH17,-1.4
22882,ZHX2,-1.24
5587,PRKD1,-1.53
4239,MFAP4,-1.65
84620,ST6GAL2,-2.03
5137,PDE1C,-1.59
7071,KLF10,-1.6
7976,FZD3,-1.37
3480,IGF1R,-1.39
10124,ARL4A,-1.74
5243,ABCB1,-1.69
93664,CADPS2,-1.19
29933,GPR132,-1.25
338398,TAS2R60,-1.41
4814,NINJ1,-1.07
154664,ABCA13,-1.36
51313,FAM198B,-1.91
83857,TMTC1,-1.74
3398,ID2,-1.92
340526,RGAG4,-1.38
182,JAG1,-1.55
22881,ANKRD6,-1
7128,TNFAIP3,-1.71
8788,DLK1,-2.05
5621,PRNP,-1.23
7345,UCHL1,-1.59
692225,SNORD94,-1.19
3423,IDS,-1.26
22871,NLGN1,-1.49
6414,SEPP1,-2.66
6498,SKIL,-3.01
138724,C9orf131,-1.54
10865,ARID5A,-1.35
54549,SDK2,-1.32
9863,MAGI2,-1.04
23331,TTC28,-1.13
11043,MID2,-1.16
4069,LYZ,-1.67
3037,HAS2,-1.9
79633,FAT4,-1.49
261729,STEAP2,-1.27
5734,PTGER4,-1.42
23135,KDM6B,-1.38
23136,EPB41L3,-1.33
602,BCL3,-1.29
166824,RASSF6,-1.4
9208,LRRFIP1,-1.42
1263,PLK3,-1.94
79365,BHLHE41,-1.36
6095,RORA,-1.14
221981,THSD7A,-1.14
219578,ZNF804B,-2.15
26040,SETBP1,-1.16
8462,KLF11,-1.62
440993,LINC00969,-1.26
29950,SERTAD1,-1.27
7538,ZFP36,-1.21
10787,NCKAP1,-1.12
200132,TCTEX1D1,-1.75
79901,CYBRD1,-1.18
145282,MIPOL1,-1.4
28984,RGCC,-1.77
80380,PDCD1LG2,-1.63
10158,PDZK1IP1,-1.17
51232,CRIM1,-1.11
3595,IL12RB2,-2.44
574406,ADAMTSL4-AS1,-1.03
2254,FGF9,-1.15
81501,DCSTAMP,-1.39
1051,CEBPB,-1.25
55283,MCOLN3,-1.12
91851,CHRDL1,-1.24
23365,ARHGEF12,-1.2
91768,CABLES1,-1.44
387590,TPTEP1,-1.2
308,ANXA5,-1.36
401097,C3orf80,-1
100131434,LINC00893,-1.28
3397,ID1,-2.04
32,ACACB,-1.26
8061,FOSL1,-1.01
257194,NEGR1,-1.37
1272,CNTN1,-1.79
5239,PGM5,-1.35
55701,ARHGEF40,-1.04
10140,TOB1,-1.19
642280,ZNF876P,-1.24
22998,LIMCH1,-1.11
3659,IRF1,-1.07
5732,PTGER2,-1.31
23710,GABARAPL1,-1.17
6263,RYR3,-1.18
10365,KLF2,-1.07
1960,EGR3,-1.65
285671,RNF180,-1.4
23001,WDFY3,-1.32
3730,ANOS1,-1.37
5742,PTGS1,-1.29
4170,MCL1,-1.01
10964,IFI44L,-1.09
23677,SH3BP4,-1.37
3131,HLF,-1.11
10135,NAMPT,-1.07
23223,RRP12,-1.1
27106,ARRDC2,-1.07
5187,PER1,-1.29
6403,SELP,-2.07
9743,ARHGAP32,-1.83
9737,GPRASP1,-1.12
9819,TSC22D2,-1.37
5334,PLCL1,-1.04
11067,C10orf10,-1.16
6296,ACSM3,-1.29
4306,NR3C2,-1.17
2322,FLT3,-1.26
2947,GSTM3,-1.58
9021,SOCS3,-1.29
388815,MIR99AHG,-1.12
4774,NFIA,-1.18
8777,MPDZ,-1.83
7422,VEGFA,-1.25
1831,TSC22D3,-1.35
55137,FIGN,-3.03
57569,ARHGAP20,-1
288,ANK3,-1.15
728464,METTL24,-2.05
55205,ZNF532,-1.38
1393,CRHBP,-1.41
5583,PRKCH,-1.1
51429,SNX9,-1.26
57132,CHMP1B,-1.12
51705,EMCN,-1.66
57683,ZDBF2,-1.47
130576,LYPD6B,-1.07
3164,NR4A1,-1.97
27330,RPS6KA6,-1.76
