Gene.ID,Gene.symbol,logFC,adj.P.Val
8833,GMPS,0.826,0.0504831
7265,TTC1,0.742,0.0505003
11157,LSM6,0.774,0.0505477
7462,LAT2,0.804,0.050696
23590,PDSS1,0.982,0.050696
5985,RFC5,0.75,0.0511745
51426,POLK,0.822,0.0511745
91749,MFSD4B,0.722,0.0514111
3308,HSPA4,0.934,0.0514111
10238,DCAF7,0.92,0.0514703
63901,FAM111A,0.712,0.0514703
10269,ZMPSTE24,0.862,0.0515033
1503,CTPS1,0.882,0.0515033
4688,NCF2,0.864,0.0521818
286,ANK1,0.718,0.052411
201965,RWDD4,0.796,0.0525679
321,APBA2,0.724,0.0525679
149986,LSM14B,0.71,0.0527745
9556,C14orf2,0.938,0.0527745
3092,HIP1,0.974,0.053099
63931,MRPS14,0.91,0.053099
222194,RSBN1L,0.762,0.0531595
5580,PRKCD,0.834,0.0531595
10200,MPHOSPH6,0.878,0.0531595
57380,MRS2,0.742,0.0532572
55353,LAPTM4B,0.758,0.0535381
79003,MIS12,0.744,0.0538105
115004,MB21D1,0.958,0.0539489
84319,CMSS1,0.71,0.0542284
3075,CFH,1.05,0.0542961
8872,CDC123,0.774,0.0544306
7351,UCP2,0.896,0.0544306
8836,GGH,0.756,0.0545704
55745,AP5M1,0.728,0.0546138
5499,PPP1CA,0.936,0.0548145
84365,NIFK,0.736,0.0548145
58516,FAM60A,0.706,0.0548145
55006,TRMT61B,0.936,0.0548305
1439,CSF2RB,0.74,0.0550768
23310,NCAPD3,0.722,0.0559457
1616,DAXX,0.746,0.0559457
60558,GUF1,0.832,0.0560142
3732,CD82,0.756,0.0565105
6596,HLTF,0.866,0.0566858
55276,PGM2,0.854,0.0567151
2135,EXTL2,0.884,0.0568202
10311,DSCR3,1.09,0.0568202
285367,RPUSD3,0.898,0.0570376
7298,TYMS,1.18,0.0571383
51263,MRPL30,0.716,0.0574714
516,ATP5G1,0.858,0.0574714
5694,PSMB6,1.01,0.0574714
9674,KIAA0040,0.984,0.0574714
10056,FARSB,0.828,0.0580366
5910,RAP1GDS1,0.732,0.0582699
55093,WDYHV1,0.764,0.0584376
26019,UPF2,0.77,0.0587271
730087,ZNF726,0.708,0.0587271
79184,BRCC3,0.988,0.0587271
2936,GSR,0.728,0.0587271
9735,KNTC1,1.06,0.0590446
2194,FASN,0.706,0.05921
55967,NDUFA12,0.834,0.0592492
54938,SARS2,0.712,0.0593962
51495,HACD3,1.01,0.0595136
3251,HPRT1,0.748,0.060091
51194,IPO11,0.712,0.0601064
26003,GORASP2,0.75,0.0603169
57122,NUP107,0.738,0.0605124
56265,CPXM1,0.962,0.0606338
8539,API5,0.714,0.0608267
622,BDH1,0.824,0.0613704
832,CAPZB,0.726,0.0613704
3949,LDLR,0.916,0.0614787
7260,TSSC1,1.05,0.061681
64421,DCLRE1C,1.03,0.0619271
25929,GEMIN5,0.708,0.0619511
132949,AASDH,0.708,0.0619822
54903,MKS1,0.718,0.0619822
7570,ZNF22,0.94,0.0620449
4700,NDUFA6,0.7,0.0622947
142,PARP1,0.972,0.0623519
54499,TMCO1,0.958,0.0628547
51203,NUSAP1,1.19,0.0631641
55748,CNDP2,0.882,0.0631641
3248,HPGD,1.54,0.0632581
