#node	identifier	node_degree
ABI3BP	9606.ENSP00000284322	1
ARMH1	9606.ENSP00000420716	2
ARMH2	9606.ENSP00000454913	6
ARMH4	9606.ENSP00000267485	2
ATRN	9606.ENSP00000262919	2
C1QTNF8	9606.ENSP00000330426	3
CACHD1	9606.ENSP00000290039	32
CACNA1D	9606.ENSP00000288139	38
CACNA1F	9606.ENSP00000365441	37
CACNA1H	9606.ENSP00000334198	32
CACNA1S	9606.ENSP00000355192	37
CACNA2D1	9606.ENSP00000349320	32
CACNA2D2	9606.ENSP00000418081	35
CACNA2D3	9606.ENSP00000419101	32
CACNA2D4	9606.ENSP00000372169	32
CACNB1	9606.ENSP00000377840	32
CACNB2	9606.ENSP00000320025	35
CACNB3	9606.ENSP00000301050	35
CACNB4	9606.ENSP00000438949	32
CACNG1	9606.ENSP00000226021	32
CACNG2	9606.ENSP00000300105	32
CACNG3	9606.ENSP00000005284	32
CACNG4	9606.ENSP00000262138	32
CACNG6	9606.ENSP00000252729	32
CACNG7	9606.ENSP00000375647	32
CACNG8	9606.ENSP00000270458	32
CATSPER1	9606.ENSP00000309052	32
CATSPER2	9606.ENSP00000371180	32
CATSPER3	9606.ENSP00000282611	33
CATSPER4	9606.ENSP00000390423	32
CATSPERB	9606.ENSP00000256343	32
CATSPERD	9606.ENSP00000371037	32
CATSPERE	9606.ENSP00000355492	32
CATSPERG	9606.ENSP00000386962	32
CATSPERZ	9606.ENSP00000491717	32
CLDN11	9606.ENSP00000064724	2
CMA1	9606.ENSP00000250378	5
CPA3	9606.ENSP00000296046	7
DPP4	9606.ENSP00000353731	5
EFCAB9	9606.ENSP00000381247	32
EMP1	9606.ENSP00000256951	1
ERG28	9606.ENSP00000256319	2
ETV3	9606.ENSP00000357175	0
FCER1A	9606.ENSP00000357097	4
FIGN	9606.ENSP00000333836	0
GAS1	9606.ENSP00000298743	2
GAS2	9606.ENSP00000401145	4
GGT1	9606.ENSP00000248923	2
GIP	9606.ENSP00000350005	5
GNAI1	9606.ENSP00000497260	12
GNAI2	9606.ENSP00000312999	12
GNAI3	9606.ENSP00000358867	8
HPGDS	9606.ENSP00000295256	5
IL1RAPL1	9606.ENSP00000368278	2
IL1RAPL2	9606.ENSP00000361663	3
INS	9606.ENSP00000380432	19
INSL3	9606.ENSP00000369017	12
INSL4	9606.ENSP00000239316	11
INSL5	9606.ENSP00000302724	11
INSL6	9606.ENSP00000371054	10
KCNMB2	9606.ENSP00000407592	4
KCNMB3	9606.ENSP00000319370	4
LGR6	9606.ENSP00000356247	3
LIPI	9606.ENSP00000343331	1
LUZP2	9606.ENSP00000336817	1
MAMDC2	9606.ENSP00000366387	1
METTL24	9606.ENSP00000344071	0
MPZL1	9606.ENSP00000352513	1
MS4A2	9606.ENSP00000278888	6
MSMO1	9606.ENSP00000261507	2
NAALAD2	9606.ENSP00000432481	1
NR4A1	9606.ENSP00000440864	1
OR10Z1	9606.ENSP00000493003	1
PCDH9	9606.ENSP00000367096	3
PIEZO2	9606.ENSP00000421377	0
PLAG1	9606.ENSP00000325546	0
PMP22	9606.ENSP00000308937	5
PPFIBP2	9606.ENSP00000299492	1
PTGIS	9606.ENSP00000244043	3
PTPRD	9606.ENSP00000370593	4
RLN1	9606.ENSP00000223862	15
RLN2	9606.ENSP00000371040	17
RLN3	9606.ENSP00000397415	12
RXFP1	9606.ENSP00000405841	17
RXFP2	9606.ENSP00000298386	11
RXFP3	9606.ENSP00000328708	15
RXFP4	9606.ENSP00000357301	14
SFTPA1	9606.ENSP00000397082	3
SFTPA2	9606.ENSP00000361400	4
SKIL	9606.ENSP00000415243	0
STAC3	9606.ENSP00000329200	32
TAFA2	9606.ENSP00000393987	1
TEX53	9606.ENSP00000489944	2
TMEM249	9606.ENSP00000454468	32
TMEM262	9606.ENSP00000432459	32
TPSAB1	9606.ENSP00000343577	7
TPSB2	9606.ENSP00000482743	5
TPSD1	9606.ENSP00000211076	3
ZMYND12	9606.ENSP00000361646	2
ZNF497	9606.ENSP00000311183	2
