#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM19	TSC22D2	9606.ENSP00000257527	9606.ENSP00000354543	0	0.423	0	0	0.422
ANK3	MAPRE3	9606.ENSP00000280772	9606.ENSP00000233121	0	0	0	0.685	0.685
ANK3	SCN9A	9606.ENSP00000280772	9606.ENSP00000386306	0	0	0.500	0	0.499
ANK3	GABARAPL1	9606.ENSP00000280772	9606.ENSP00000411256	0	0.488	0	0.318	0.636
ANPEP	DPP4	9606.ENSP00000300060	9606.ENSP00000353731	0	0	0	0.639	0.639
ANXA2	SERPINE1	9606.ENSP00000346032	9606.ENSP00000223095	0	0	0	0.585	0.585
ANXA2	S100A11	9606.ENSP00000346032	9606.ENSP00000271638	0	0	0	0.979	0.979
ANXA2	ANXA5	9606.ENSP00000346032	9606.ENSP00000296511	0	0.203	0	0.306	0.423
ANXA2	PLAU	9606.ENSP00000346032	9606.ENSP00000361850	0	0	0	0.576	0.576
ANXA2	PCNA	9606.ENSP00000346032	9606.ENSP00000368458	0	0.605	0	0	0.605
ANXA2	S100A10	9606.ENSP00000346032	9606.ENSP00000357801	0	0.960	0.900	0.982	0.999
ANXA5	SPARC	9606.ENSP00000296511	9606.ENSP00000231061	0	0	0	0.421	0.420
ANXA5	S100A10	9606.ENSP00000296511	9606.ENSP00000357801	0	0	0	0.437	0.437
APOD	CLU	9606.ENSP00000345179	9606.ENSP00000315130	0	0	0	0.809	0.809
APOO	CLU	9606.ENSP00000368528	9606.ENSP00000315130	0	0	0.540	0	0.540
AREG	CTSC	9606.ENSP00000379097	9606.ENSP00000227266	0	0	0.500	0	0.499
AREG	ICAM1	9606.ENSP00000379097	9606.ENSP00000264832	0	0.472	0	0.833	0.908
AREG	PTK2	9606.ENSP00000379097	9606.ENSP00000341189	0	0	0.400	0	0.400
AREG	SOS1	9606.ENSP00000379097	9606.ENSP00000384675	0	0	0.400	0	0.400
