#node	identifier	node_degree
ABCA13	9606.ENSP00000411096	0
ABCB1	9606.ENSP00000478255	0
ABHD10	9606.ENSP00000273359	0
ABI3BP	9606.ENSP00000284322	0
ACACB	9606.ENSP00000341044	0
ACSM3	9606.ENSP00000289416	0
ACSS3	9606.ENSP00000449535	0
ACVR1C	9606.ENSP00000243349	0
ADAM19	9606.ENSP00000257527	1
ADAM32	9606.ENSP00000369238	0
ADGRG5	9606.ENSP00000342981	0
ALOX5AP	9606.ENSP00000479870	0
ANK3	9606.ENSP00000280772	3
ANKRD42	9606.ENSP00000435790	0
ANKRD6	9606.ENSP00000345767	0
ANOS1	9606.ENSP00000262648	0
ANPEP	9606.ENSP00000300060	1
ANXA2	9606.ENSP00000346032	6
ANXA5	9606.ENSP00000296511	3
APBB2	9606.ENSP00000427211	0
APOD	9606.ENSP00000345179	1
APOL4	9606.ENSP00000338260	0
APOO	9606.ENSP00000368528	1
AREG	9606.ENSP00000379097	4
ARG2	9606.ENSP00000261783	1
ARHGAP10	9606.ENSP00000336923	0
ARHGAP11B	9606.ENSP00000392760	0
ARHGAP18	9606.ENSP00000357131	0
ARHGAP20	9606.ENSP00000260283	0
ARHGAP32	9606.ENSP00000310561	0
ARHGEF12	9606.ENSP00000380942	1
ARHGEF40	9606.ENSP00000298694	1
ARID5A	9606.ENSP00000350078	0
ARL4A	9606.ENSP00000379898	0
ARMC10	9606.ENSP00000319412	0
ARNTL2	9606.ENSP00000266503	0
ARRDC2	9606.ENSP00000222250	0
ASAP2	9606.ENSP00000281419	0
ASB9	9606.ENSP00000369855	0
ATP5MF	9606.ENSP00000292475	0
BCL2L1	9606.ENSP00000365230	3
BCL3	9606.ENSP00000164227	0
BCL6	9606.ENSP00000384371	1
BEX1	9606.ENSP00000361813	0
BHLHE41	9606.ENSP00000242728	1
BLM	9606.ENSP00000347232	10
BRCA1	9606.ENSP00000418960	30
BRIP1	9606.ENSP00000259008	12
BTK	9606.ENSP00000483570	2
BUB3	9606.ENSP00000357858	3
C1orf174	9606.ENSP00000355306	0
C3orf80	9606.ENSP00000313324	0
C4orf46	9606.ENSP00000368503	0
C5orf22	9606.ENSP00000326879	0
C5orf34	9606.ENSP00000303490	0
C9orf131	9606.ENSP00000308279	0
CABLES1	9606.ENSP00000256925	1
CACNA1D	9606.ENSP00000288139	1
CACNB2	9606.ENSP00000320025	1
CADPS2	9606.ENSP00000398481	0
CALCRL	9606.ENSP00000376177	0
CASP10	9606.ENSP00000286186	0
CASP8AP2	9606.ENSP00000478179	0
