p1.name,p2.name
ANXA2,ANXA5
BLM,BRCA1
BLM,BRIP1
BRCA1,BRIP1
CACNA1D,CACNB2
BUB3,CCT5
CDC45,CDC6
CDC45,CDC7
CDC6,CDC7
CDH2,CDH9
BRCA1,CDKN1A
CDC45,CDKN1A
CDC6,CDKN1A
CDC7,CDKN1A
BCL6,CDKN1B
CDKN1A,CDKN1B
BRCA1,CENPJ
BRCA1,CENPU
CENPK,CENPU
BRCA1,CHEK1
BRIP1,CHEK1
APOD,CLU
APOO,CLU
BCL2L1,CLU
AREG,CTSC
CCL5,CXCL2
CCL5,CXCR4
CXCL2,CXCR4
CCT5,DCAF12
CDKN1B,DCAF12
BRCA1,DCLRE1C
ARG2,DHCR24
DHCR24,DHCR7
CABLES1,DLK1
BLM,DNA2
BRCA1,DNA2
BRIP1,DNA2
ANPEP,DPP4
CXCL2,DPP4
CXCR4,DPP4
CDKN1A,DTL
CDKN1B,DTL
CHEK1,DTL
DCAF12,DTL
DCUN1D5,DTL
BRCA1,EGR3
CD36,EMP1
BRCA1,FANCI
BRIP1,FANCI
DCLRE1C,FANCI
CD36,FCER1G
FCER1G,FCGR2A
CDH2,FGF9
CEBPB,FOSL1
ANK3,GABARAPL1
CDC45,GINS1
CDC45,GINS2
EIPR1,GINS2
GINS1,GINS2
CDKN1A,GMNN
BRCA1,H2AC14
H2AC14,H3C12
ELOVL6,HACD3
FADS1,HACD3
CENPJ,HAUS6
GSTM3,HPGDS
CCT5,HSPE1
AREG,ICAM1
CD36,ICAM1
CXCR4,ICAM1
EMP1,ICAM1
ARHGEF12,IGF1R
CXCR4,IGF1R
CXCR4,IL1B
IL1B,IL1R1
IL1B,IL1RAP
IL1R1,IL1RAP
IL1B,IL1RL1
IL1R1,IL1RL1
IL1RAP,IL1RL1
ICAM1,IL2RA
IL1R1,IL2RA
ICAM1,ITGAL
CD36,ITGB3
IGF1R,ITGB3
ITGAL,ITGB3
GLI2,KDM6B
CDH2,KLRG1
BRCA1,KNL1
BUB3,KNL1
CENPK,KNL1
CENPU,KNL1
DSN1,KNL1
ANK3,MAPRE3
BCL2L1,MCL1
BRCA1,MCM10
CDC45,MCM10
CDC6,MCM10
CDC7,MCM10
CDKN1A,MCM10
DNA2,MCM10
GINS1,MCM10
CDC45,MCM2
CDC6,MCM2
CDC7,MCM2
GINS1,MCM2
GINS2,MCM2
H3C12,MCM2
MCM10,MCM2
CDC45,MCM3
CDC6,MCM3
CDC7,MCM3
CHEK1,MCM3
GINS1,MCM3
GINS2,MCM3
GMNN,MCM3
H3C12,MCM3
MCM10,MCM3
MCM2,MCM3
CDC45,MCM4
CDC6,MCM4
CDC7,MCM4
GINS1,MCM4
GINS2,MCM4
H3C12,MCM4
MCM10,MCM4
MCM2,MCM4
MCM3,MCM4
CDC45,MCM5
CDC6,MCM5
CDC7,MCM5
GINS1,MCM5
GINS2,MCM5
MCM10,MCM5
MCM2,MCM5
MCM3,MCM5
MCM4,MCM5
CDC45,MCM6
CDC6,MCM6
CDC7,MCM6
GINS1,MCM6
GINS2,MCM6
GMNN,MCM6
H3C12,MCM6
MCM10,MCM6
MCM2,MCM6
MCM3,MCM6
MCM4,MCM6
MCM5,MCM6
MFAP3,MFAP5
MFAP4,MFAP5
BRCA1,MID2
CENPU,MLF1
DSN1,MLF1
KNL1,MLF1
LIN7A,MPDZ
ERAL1,MTERF3
CDH2,MTHFD1
DPYSL3,NCKAP1
COX7B,NDUFA2
NDUFA2,NDUFAF1
BHLHE41,NFIL3
HLF,NFIL3
CDH2,NLGN1
EPB41L3,NLGN1
LGALS1,NLGN1
MAGI2,NLGN1
BRCA1,NMI
FKBP4,NR3C2
MIDN,NR4A1
NUP210,NUP43
CDC45,ORC1
CDC6,ORC1
CDC7,ORC1
H2AC14,ORC1
H3C12,ORC1
MCM10,ORC1
MCM2,ORC1
MCM3,ORC1
MCM4,ORC1
MCM5,ORC1
MCM6,ORC1
LMNA,PAPSS1
BRCA1,PCLAF
CDKN1A,PCLAF
ANXA2,PCNA
CDC45,PCNA
CDKN1A,PCNA
DNA2,PCNA
DTL,PCNA
ESCO2,PCNA
IGF1R,PCNA
MCM3,PCNA
MCM4,PCNA
PCLAF,PCNA
HAVCR2,PDCD1LG2
ICOS,PDCD1LG2
DLAT,PDK1
DPYSL3,PDLIM1
NCKAP1,PDLIM1
IDH1,PEX12
GP1BA,PGM5
ANXA2,PLAU
BCL2L1,PLAU
CFH,PLAU
CENPJ,PLK4
HAUS6,PLK4
CDC45,POLE2
DTL,POLE2
GINS1,POLE2
GINS2,POLE2
MCM2,POLE2
MCM3,POLE2
MCM4,POLE2
MCM5,POLE2
MCM6,POLE2
PCNA,POLE2
BRCA1,POLR2H
GTF2A2,POLR2H
GTF3C6,POLR2H
H2AC14,POLR2H
H3C12,POLR2H
INTS7,POLR2H
EPB41L3,PRMT3
CNTN1,PRNP
PSMA4,PSMA6
PSMA4,PSMB6
PSMA6,PSMB6
PTGER2,PTGER4
CCL5,PTGS2
PTGS1,PTGS2
AREG,PTK2
IGF1R,PTK2
ITGB3,PTK2
LPXN,PTK2
IL1RAP,PTPRD
BLM,RAD17
BRCA1,RAD17
BRIP1,RAD17
DNA2,RAD17
PCNA,RAD17
BLM,RAD51
BRCA1,RAD51
BRIP1,RAD51
CHEK1,RAD51
DNA2,RAD51
FANCI,RAD51
MND1,RAD51
PCNA,RAD51
BLM,RAD51AP1
BRCA1,RAD51AP1
BRIP1,RAD51AP1
CHEK1,RAD51AP1
DNA2,RAD51AP1
RAD51,RAD51AP1
BLM,RAD51C
BRCA1,RAD51C
BRIP1,RAD51C
DNA2,RAD51C
FANCI,RAD51C
RAD51,RAD51C
RAD51AP1,RAD51C
IQGAP1,RALA
RALA,RALB
ICAM1,RASGEF1B
BLM,RFC4
BRCA1,RFC4
BRIP1,RFC4
DNA2,RFC4
DTL,RFC4
PCNA,RFC4
POLE2,RFC4
RAD17,RFC4
BLM,RMI1
BRCA1,RMI1
BRIP1,RMI1
DNA2,RMI1
RAD17,RMI1
RAD51,RMI1
RAD51AP1,RMI1
RAD51C,RMI1
RFC4,RMI1
ANXA2,S100A10
ANXA5,S100A10
ANXA2,S100A11
ELOVL6,SCD
HACD3,SCD
ANK3,SCN9A
GP1BA,SELP
GP1BA,SELPLG
ICAM1,SELPLG
SELP,SELPLG
ANXA2,SERPINE1
CCL5,SERPINE1
PLAU,SERPINE1
BRCA1,SKP2
CDKN1A,SKP2
CDKN1B,SKP2
ORC1,SKP2
PEX12,SLC27A2
BRCA1,SLF1
CDC45,SLF1
H2AC14,SMC2
H3C12,SMC2
ARHGEF40,SMC3
BRCA1,SMC3
CDC45,SMC3
ESCO2,SMC3
SGO1,SMC3
BRCA1,SMC6
SLF1,SMC6
DNM3,SNX9
CD33,SOCS3
IRF1,SOCS3
PIK3R6,SOCS3
PTK2,SOCS3
PSMA4,SORT1
AREG,SOS1
BTK,SOS1
FGF9,SOS1
FLT3,SOS1
IL2RA,SOS1
ITGB3,SOS1
PTK2,SOS1
ANXA5,SPARC
CFH,SPP1
ITGB3,SPP1
SPARC,SPP1
CFH,STX2
BTK,TEC
SOS1,TEC
CDC45,TICRR
MCM10,TICRR
CD36,TIMP1
DPP4,TIMP1
ICAM1,TIMP1
MFAP4,TIMP1
MINDY3,TIMP1
ICOS,TNFSF13B
IQGAP1,TPM4
IL1B,TRIM16
ADAM19,TSC22D2
TSC22D2,TSC22D3
BRCA1,TTC28
BUB3,TTK
DHFR,TYMS
SHMT2,TYMS
PSMA4,UCHL5
PSMA6,UCHL5
PSMB6,UCHL5
SMAD7,UCHL5
BRCA1,UHRF1
H2AC14,UHRF1
H3C12,UHRF1
PCLAF,UHRF1
POLE2,UHRF1
CHMP1B,VPS25
GABARAPL1,WDFY3
CDC45,WDHD1
DNA2,WDHD1
GINS1,WDHD1
GINS2,WDHD1
MCM10,WDHD1
MCM2,WDHD1
MCM3,WDHD1
MCM4,WDHD1
MCM5,WDHD1
MCM6,WDHD1
POLE2,WDHD1
TTC28,WDHD1
CCT5,WDR76
HELLS,WDR76
LMNA,WDR76
RRP12,WDR76
CDKN1B,XPO1
RANBP1,XPO1
SMAD7,XPO1
SNUPN,XPO1
BLM,XRCC2
BRCA1,XRCC2
BRIP1,XRCC2
DNA2,XRCC2
RAD51,XRCC2
RAD51AP1,XRCC2
RAD51C,XRCC2
RMI1,XRCC2
