p.name,p.logfc
ABCA13,-1.36
ABCB1,-1.69
ABHD10,1.05
ABI3BP,-3.8
ACACB,-1.26
ACSM3,-1.29
ACSS3,-1.32
ACVR1C,-1.33
ADAM19,1.13
ADAM32,-1.21
ADGRG5,1.61
ALOX5AP,1.23
ANK3,-1.15
ANKRD42,-1.16
ANKRD6,-1.0
ANOS1,-1.37
ANPEP,1.04
ANXA2,2.19
ANXA5,-1.36
APBB2,-1.05
APOD,-1.09
APOL4,1.03
APOO,1.24
AREG,-2.39
ARG2,-1.39
ARHGAP10,1.06
ARHGAP11B,1.1
ARHGAP18,1.34
ARHGAP20,-1.0
ARHGAP32,-1.83
ARHGEF12,-1.2
ARHGEF40,-1.04
ARID5A,-1.35
ARL4A,-1.74
ARMC10,1.01
ARNTL2,1.09
ARRDC2,-1.07
ASAP2,1.51
ASB9,1.06
BCL2L1,1.13
BCL3,-1.29
BCL6,-1.16
BEX1,-1.28
BHLHE41,-1.36
BLM,1.42
BRCA1,1.32
BRIP1,1.07
BTK,1.55
BUB3,1.04
C1orf174,1.02
C3orf80,-1.0
C4orf46,1.35
C5orf22,1.09
C5orf34,1.46
C9orf131,-1.54
CABLES1,-1.44
CACNA1D,3.02
CACNB2,1.28
CADPS2,-1.19
CALCRL,1.44
CASP10,1.29
CASP8AP2,1.18
CCL5,2.1
CCT5,1.33
CD33,1.39
CD36,2.3
CD93,1.1
CDC45,1.14
CDC6,1.42
CDC7,1.16
CDCA7,1.83
CDH2,-2.19
CDH9,-1.78
CDKN1A,-1.07
CDKN1B,1.14
CEBPB,-1.25
CENPJ,1.04
CENPK,1.35
CENPU,1.47
CFH,1.05
CHEK1,1.39
CHMP1B,-1.12
CHRDL1,-1.24
CLU,-1.03
CNTN1,-1.79
COPG1,1.04
CORO1A,1.28
COX7B,1.15
CPA3,3.17
CPSF2,1.06
CR1,-1.11
CRHBP,-1.41
CRIM1,-1.11
CSRNP1,-1.14
CTSC,1.23
CXCL2,-1.0
CXCR4,-1.02
CXorf21,1.02
CXorf40A,-1.01
CYBRD1,-1.18
CYP2R1,1.06
CYTH4,1.11
DCAF12,1.23
DCLRE1C,1.03
DCSTAMP,-1.39
DCUN1D5,1.17
DHCR24,2.16
DHCR7,1.18
DHFR,1.52
DLAT,1.14
DLK1,-2.05
DNA2,1.03
DNAJC12,1.08
DNM3,-1.04
DPP10,1.83
DPP4,2.93
DPYSL3,1.21
DSEL,1.3
DSN1,1.22
DTL,1.59
DUSP6,-1.12
ECE1,1.08
EFCAB2,1.22
EFNB2,-1.08
EGR3,-1.65
ELL2,-1.04
ELOVL1,1.27
ELOVL6,1.21
EMCN,-1.66
EMP1,-3.47
EPB41L3,-1.33
ERAL1,1.05
ERI1,1.05
ESCO2,1.1
ETV3,-2.25
FADS1,1.06
FADS2,1.49
FAM111B,1.5
FAM118B,1.61
FAM83A,1.45
FANCI,1.21
FAT4,-1.49
FBXO5,1.13
FCER1G,1.27
FCGR2A,2.86
FGF9,-1.15
FIGN,-3.03
FKBP4,1.18
FLT3,-1.26
FOSL1,-1.01
FRY,-2.37
FZD3,-1.37
GABARAPL1,-1.17
GAS2,4.62
GCNT1,1.02
GINS1,1.67
GINS2,1.46
GLI2,1.26
GLIPR2,1.06
GMNN,1.28
GMPR,1.14
GNPTAB,1.27
GP1BA,1.19
GPR132,-1.25
GPR174,1.87
GPRASP1,-1.12
GRASP,-2.24
GSTM3,-1.58
GTF2A2,1.33
GTF3C6,1.01
HACD3,1.01
HAS2,-1.9
HAUS6,1.38
HAVCR2,1.14
HCST,1.61
HEATR6,1.02
HELLS,1.28
HIGD2A,1.03
HLF,-1.11
HMGB2,1.1
HMGCR,1.12
HMGN3,1.3
HPGD,1.54
HPGDS,3.69
HSH2D,1.14
HSPE1,1.1
ICAM1,-1.24
ICOS,1.55
ID1,-2.04
ID2,-1.92
IDH1,1.32
IDS,-1.26
IFI44L,-1.09
IFITM1,1.53
IGF1R,-1.39
IGF2BP2,-1.59
IL12RB2,-2.44
IL1B,1.08
IL1R1,1.06
IL1RAP,2.16
IL1RL1,1.18
IL2RA,2.05
INTS7,1.31
IQGAP1,1.56
IRAK3,-1.05
IRF1,-1.07
ITGAL,1.04
ITGB3,1.36
JAG1,-1.55
JAKMIP2,1.38
JCHAIN,1.39
KCNA3,-2.39
KCNK5,1.42
KCNT2,1.2
KDM6B,-1.38
KIF11,1.07
KLF10,-1.6
KLF11,-1.62
KLF2,-1.07
KLF4,-2.14
KLRG1,2.33
KNL1,1.12
KNSTRN,1.08
KNTC1,1.06
KYNU,2.3
L3MBTL3,1.16
LGALS1,1.73
LIMCH1,-1.11
LIN7A,-1.16
LMNA,-1.77
LPXN,1.46
LRIF1,1.29
LRRFIP1,-1.42
LRRN1,-1.94
LSM3,1.0
LYPD6B,-1.07
LYPLA1,1.12
LYZ,-1.67
MAFF,-1.24
MAGI2,-1.04
MAMDC2,3.43
MAN1A1,-2.03
MAPRE3,-1.07
MBOAT2,1.5
MCL1,-1.01
MCM10,1.06
MCM2,1.02
MCM3,1.13
MCM4,1.42
MCM5,1.01
MCM6,1.33
MCOLN3,-1.12
MCUB,1.43
METTL24,-2.05
MFAP3,1.1
MFAP4,-1.65
MFAP5,-1.04
MICAL2,1.34
MID2,-1.16
MIDN,-1.76
MINPP1,1.26
MIPOL1,-1.4
MLF1,-1.29
MLLT11,1.06
MND1,1.26
MORN2,1.15
MPDU1,1.26
MPDZ,-1.83
MRPL18,1.24
MSMO1,2.85
MTERF3,1.05
MTHFD1,1.26
MYO1F,1.28
MYO1G,1.13
NAMPT,-1.07
NCF4,1.67
NCKAP1,-1.12
NDUFA2,1.11
NDUFAF1,1.2
NEGR1,-1.37
NET1,1.23
NEU1,-1.04
NFIA,-1.18
NFIL3,-1.14
NINJ1,-1.07
NIPSNAP3A,1.2
NLGN1,-1.49
NLN,1.04
NMI,1.25
NR3C2,-1.17
NR4A1,-1.97
NR4A2,-1.32
NR4A3,-1.44
NUDCD2,1.11
NUDT5,1.54
NUP210,1.1
NUP43,1.09
NUSAP1,1.19
ORC1,1.14
OTUD6B,1.05
PAICS,1.17
PAK1IP1,1.41
PAPSS1,1.01
PARPBP,1.04
PCDH17,-1.4
PCDH9,-2.4
PCMT1,1.03
PCNA,1.3
PCTP,1.24
PDCD1LG2,-1.63
PDE1C,-1.59
PDE7A,1.17
PDK1,1.06
PDLIM1,1.29
PDZK1IP1,-1.17
PDZRN4,-1.2
PER1,-1.29
PEX12,1.0
PGM5,-1.35
PHF6,1.01
PIEZO2,3.39
PIGX,1.03
PIK3R6,1.55
PLAG1,-3.12
PLAU,1.29
PLCL1,-1.04
PLEK,1.3
PLK3,-1.94
PLK4,1.2
POLE2,1.61
POLR2H,1.13
PPIF,1.38
PPP1R16B,-1.11
PRDX3,1.03
PREPL,1.04
PREX2,-1.95
PRKCH,-1.1
PRKD1,-1.53
PRKG2,-1.13
PRMT3,1.02
PRNP,-1.23
PRR5L,1.03
PSMA4,1.13
PSMA6,1.06
PSMB6,1.01
PTBP3,1.11
PTGER2,-1.31
PTGER4,-1.42
PTGS1,-1.29
PTGS2,-1.19
PTK2,-1.26
PTPN14,1.05
PTPN9,1.02
PTPRD,2.44
PUM3,1.12
PUS7,1.23
PUS7L,1.04
RAB27B,1.79
RAB31,3.16
RAD17,1.01
RAD51,1.07
RAD51AP1,1.22
RAD51C,1.01
RALA,1.13
RALB,1.01
RANBP1,1.05
RASGEF1B,-1.45
RASGRP3,1.21
RASGRP4,1.61
RASSF6,-1.4
RBL1,1.31
REEP5,1.12
RFC4,1.02
RGCC,-1.77
RMI1,1.32
RNF144A,1.13
RNF180,-1.4
RORA,-1.14
RPP40,1.14
RPS6KA6,-1.76
RRM1,1.0
RRP12,-1.1
RXFP1,4.1
RYR3,-1.18
S100A10,2.09
S100A11,1.12
S100A16,1.49
SAMHD1,1.22
SAMSN1,1.38
SCD,1.96
SCN9A,1.54
SDK2,-1.32
SELP,-2.07
SELPLG,1.54
SERPINE1,-1.35
SERTAD1,-1.27
SETBP1,-1.16
SGMS2,1.11
SGO1,1.18
SH3BP4,-1.37
SHMT2,1.02
SKIL,-3.01
SKP2,1.04
SLC27A2,1.27
SLC4A4,1.1
SLF1,1.25
SMAD7,-1.4
SMC2,1.05
SMC3,1.02
SMC6,1.21
SNUPN,1.01
SNX9,-1.26
SOCS3,-1.29
SORT1,1.17
SOS1,1.05
SPARC,1.22
SPDL1,1.01
SPP1,-1.11
SQLE,1.05
SRPRB,1.06
ST6GAL2,-2.03
STAP1,1.36
STEAP2,-1.27
STON2,1.26
STRIP2,1.13
STX2,1.12
SYAP1,-1.31
TAS2R60,-1.41
TBCE,1.28
TCTEX1D1,-1.75
TEC,1.24
TEX15,1.0
TEX30,1.54
THSD7A,-1.14
TICRR,1.01
TIMM21,1.07
TIMM8B,1.02
TIMP1,1.29
TLE4,-1.7
TMEM164,1.23
TMEM97,1.11
TMTC1,-1.74
TNFAIP3,-1.71
TNFRSF10D,-1.2
TNFSF13B,1.02
TOB1,-1.19
TPM4,1.22
TRIM16,1.59
TSC22D2,-1.37
TSC22D3,-1.35
TSEN15,1.29
TSPAN2,1.92
TTC28,-1.13
TTK,1.02
TYMS,1.18
UCHL1,-1.59
UCHL5,1.03
UGP2,1.04
UHRF1,1.02
UTS2,1.08
VKORC1L1,1.01
VPS25,1.08
VPS45,1.06
WDFY3,-1.32
WDHD1,1.56
WDR12,1.01
WDR49,1.8
WDR76,1.18
XPO1,1.31
XRCC2,1.71
ZBTB8OS,1.03
ZDBF2,-1.47
ZEB2,1.1
ZFP36,-1.21
ZGRF1,1.06
ZHX2,-1.24
ZMAT3,1.21
ZNF165,-1.38
ZNF253,1.05
ZNF331,-1.14
ZNF385D,-2.11
ZNF532,-1.38
ZNF57,1.2
ZNF730,1.68
ZNF738,1.19
ZNF804B,-2.15
ZNF814,1.08
ZNF845,1.26
ZNF93,1.15
ZNHIT6,1.34
