#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	MAPK14	9606.ENSP00000451828	9606.ENSP00000229795	0	0.528	0	0	0.528
AKT1	DAB2IP	9606.ENSP00000451828	9606.ENSP00000259371	0	0.457	0	0	0.457
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0.457	0	0	0.457
AKT1	CHUK	9606.ENSP00000451828	9606.ENSP00000359424	0	0.657	0	0	0.657
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	MAP2K4	9606.ENSP00000451828	9606.ENSP00000410402	0	0.457	0	0	0.457
AKT1	PIK3R1	9606.ENSP00000451828	9606.ENSP00000428056	0	0.476	0	0	0.476
AKT1	IKBKB	9606.ENSP00000451828	9606.ENSP00000430684	0	0.657	0	0	0.657
AKT1	IKBKG	9606.ENSP00000451828	9606.ENSP00000483825	0	0.438	0	0	0.438
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
AKT2	AKT1	9606.ENSP00000375892	9606.ENSP00000451828	0	0.655	0.900	0	0.964
AKT3	CASP3	9606.ENSP00000500582	9606.ENSP00000311032	0	0.542	0	0	0.542
AKT3	AKT2	9606.ENSP00000500582	9606.ENSP00000375892	0	0.162	0.900	0	0.912
AKT3	AKT1	9606.ENSP00000500582	9606.ENSP00000451828	0	0.592	0.900	0	0.957
ATF2	CREB3L3	9606.ENSP00000264110	9606.ENSP00000078445	0	0	0.900	0	0.900
ATF2	MAPK13	9606.ENSP00000264110	9606.ENSP00000211287	0	0.555	0	0	0.555
ATF2	MAPK1	9606.ENSP00000264110	9606.ENSP00000215832	0	0.539	0	0	0.539
ATF2	MAPK14	9606.ENSP00000264110	9606.ENSP00000229795	0	0.613	0	0	0.613
ATF2	MAPK3	9606.ENSP00000264110	9606.ENSP00000263025	0	0.498	0	0	0.498
ATF2	RPS6KA5	9606.ENSP00000264110	9606.ENSP00000479667	0	0.402	0	0	0.402
ATF2	MAPK9	9606.ENSP00000264110	9606.ENSP00000394560	0	0.457	0	0	0.457
ATF2	MAPK11	9606.ENSP00000264110	9606.ENSP00000333685	0	0.613	0	0	0.613
ATF2	JUNB	9606.ENSP00000264110	9606.ENSP00000303315	0	0.670	0	0	0.670
ATF2	CREB3L4	9606.ENSP00000264110	9606.ENSP00000271889	0	0	0.900	0	0.900
ATF2	CREB3L1	9606.ENSP00000264110	9606.ENSP00000481956	0	0	0.900	0	0.900
ATF2	CREB3L2	9606.ENSP00000264110	9606.ENSP00000329140	0	0	0.900	0	0.900
ATF2	ATF6B	9606.ENSP00000264110	9606.ENSP00000364349	0	0	0.900	0	0.900
ATF2	ATF4	9606.ENSP00000264110	9606.ENSP00000336790	0	0.193	0.900	0	0.915
ATF2	CREB3	9606.ENSP00000264110	9606.ENSP00000342136	0	0	0.900	0	0.900
ATF2	MAPK8	9606.ENSP00000264110	9606.ENSP00000378974	0	0.943	0	0	0.943
ATF2	CREB1	9606.ENSP00000264110	9606.ENSP00000387699	0	0.302	0.900	0	0.927
ATF2	FOS	9606.ENSP00000264110	9606.ENSP00000306245	0	0.653	0.500	0	0.819
ATF2	CREB5	9606.ENSP00000264110	9606.ENSP00000350359	0	0.680	0.900	0	0.966
ATF2	JUN	9606.ENSP00000264110	9606.ENSP00000360266	0	0.965	0.900	0	0.996
ATF4	CREB3L3	9606.ENSP00000336790	9606.ENSP00000078445	0	0	0.900	0	0.900
ATF4	ATF2	9606.ENSP00000336790	9606.ENSP00000264110	0	0.193	0.900	0	0.915
ATF4	CREB3L4	9606.ENSP00000336790	9606.ENSP00000271889	0	0	0.900	0	0.900
ATF4	JUNB	9606.ENSP00000336790	9606.ENSP00000303315	0	0.421	0	0	0.420
ATF4	CEBPB	9606.ENSP00000336790	9606.ENSP00000305422	0	0.918	0.900	0	0.991
ATF4	FOS	9606.ENSP00000336790	9606.ENSP00000306245	0	0.548	0	0	0.548
ATF4	CREB3L2	9606.ENSP00000336790	9606.ENSP00000329140	0	0	0.900	0	0.900
ATF4	JUN	9606.ENSP00000336790	9606.ENSP00000360266	0	0.547	0	0	0.547
ATF4	CREB5	9606.ENSP00000336790	9606.ENSP00000350359	0	0	0.900	0	0.900
ATF4	CREB3L1	9606.ENSP00000336790	9606.ENSP00000481956	0	0	0.900	0	0.900
ATF4	ATF6B	9606.ENSP00000336790	9606.ENSP00000364349	0	0	0.900	0	0.900
ATF4	CREB3	9606.ENSP00000336790	9606.ENSP00000342136	0	0.133	0.900	0	0.909
ATF4	CREB1	9606.ENSP00000336790	9606.ENSP00000387699	0	0	0.900	0	0.900
ATF6B	CREB3L3	9606.ENSP00000364349	9606.ENSP00000078445	0	0	0.900	0	0.900
