ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012684142	0.00000684	4.88e-10	-9.972121	12.22596	-0.8455227	TUSC1	tumor suppressor candidate 1	286319
10012674000	0.00000684	6.09e-10	-9.860001	12.04224	-0.8438328	DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	3337
10012674381	0.0001432	1.91e-08	8.207244	9.10543	0.5604782	KIAA1949	KIAA1949	170954
10012680972	0.0002532	5.37e-08	-7.743176	8.20183	-0.9271462	FAM19A2	family with sequence similarity 19 (chemokine (C-C motif)-like), member A2	338811
10012679069	0.0002532	5.64e-08	-7.721896	8.15956	-1.0106319	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	2354
10012673197	0.00076845	2.05e-07	-7.15896	7.01506	-1.4252059	HSPA1A	heat shock 70kDa protein 1A	3303
10012681242	0.0009216	3.10e-07	-6.982522	6.6461	-0.9743454	LOC100131938///PBX1	hypothetical LOC100131938///pre-B-cell leukemia homeobox 1	100131938///5087
10012679525	0.0009216	3.28e-07	-6.958809	6.59615	-1.0026168	C9orf125	chromosome 9 open reading frame 125	84302
10012689076	0.00108991	4.37e-07	6.838103	6.34056	0.3280941	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	3678
10012676816	0.00130018	5.79e-07	-6.719724	6.08778	-0.7914479	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	8555
10012673785	0.00130156	6.80e-07	-6.652621	5.94358	-0.945116			
10012670718	0.00130156	7.14e-07	-6.632128	5.89941	-0.2524916	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	8555
10012667606	0.00130156	7.53e-07	6.609691	5.85097	0.6203597	ANXA2	annexin A2	302
10012668760	0.00148773	9.27e-07	6.523313	5.66386	0.4381353	PRKCB1	protein kinase C, beta 1	5579
10012678314	0.00153619	1.03e-06	-6.481439	5.57276	-1.225479	C10orf30	chromosome 10 open reading frame 30	222389
10012676598	0.00158008	1.13e-06	-6.443096	5.48914	-0.6065252	MCL1	myeloid cell leukemia sequence 1 (BCL2-related)	4170
10012685043	0.0016861	1.28e-06	-6.391274	5.37579	-0.9176555	NUP62CL	nucleoporin 62kDa C-terminal like	54830
10012682838	0.00172097	1.38e-06	-6.359297	5.30566	-1.3534958	C9orf125	chromosome 9 open reading frame 125	84302
10012678232	0.00182784	1.55e-06	-6.312297	5.20234	-0.4066118	HSPH1	heat shock 105kDa/110kDa protein 1	10808
10012684934	0.00187168	1.67e-06	6.281518	5.13451	0.8050706	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	8874
10012676203	0.00201642	1.94e-06	6.220385	4.99942	0.3730387	PLXNB2	plexin B2	23654
