ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012674000	0.0000179	7.98e-10	-9.522705	11.81644	-0.86778016	DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	3337
10012684142	0.0000371	3.30e-09	-8.8568018	10.61199	-0.81859524	TUSC1	tumor suppressor candidate 1	286319
10012674381	0.0002037	2.72e-08	7.9147422	8.78579	0.54789286	KIAA1949	KIAA1949	170954
10012680972	0.0002132	3.80e-08	-7.7705737	8.49363	-0.91533413	FAM19A2	family with sequence similarity 19 (chemokine (C-C motif)-like), member A2	338811
10012673197	0.0005379	1.31e-07	-7.2440378	7.39839	-1.41066667	HSPA1A	heat shock 70kDa protein 1A	3303
10012679069	0.0005379	1.44e-07	-7.2058545	7.31727	-0.97968651	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	2354
10012667606	0.0015103	4.71e-07	6.7162295	6.25755	0.61512143	ANXA2	annexin A2	302
10012685043	0.0017343	6.67e-07	-6.5746923	5.94467	-0.91726429	NUP62CL	nucleoporin 62kDa C-terminal like	54830
10012689076	0.0017343	6.95e-07	6.5580125	5.90761	0.34332222	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	3678
10012681242	0.0018228	8.12e-07	-6.4953204	5.76799	-0.94138492	LOC100131938///PBX1	hypothetical LOC100131938///pre-B-cell leukemia homeobox 1	100131938///5087
10012670672	0.001953	1.01e-06	-6.4061107	5.56838	-0.83885794	SLC30A1	solute carrier family 30 (zinc transporter), member 1	7779
10012678314	0.001953	1.10e-06	-6.3743497	5.49706	-1.19930873	C10orf30	chromosome 10 open reading frame 30	222389
10012676816	0.001953	1.13e-06	-6.3620239	5.46935	-0.76704921	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	8555
10012670718	0.0020474	1.28e-06	-6.3133959	5.35981	-0.2451246	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	8555
10012676203	0.0023931	1.68e-06	6.2040667	5.11243	0.3668246	PLXNB2	plexin B2	23654
10012668760	0.0023931	1.71e-06	6.1977734	5.09814	0.42476667	PRKCB1	protein kinase C, beta 1	5579
10012674290	0.0026242	2.07e-06	6.1215169	4.92465	0.41043016	PSCD1	pleckstrin homology, Sec7 and coiled-coil domains 1(cytohesin 1)	9267
10012687941	0.0026242	2.10e-06	-6.1142788	4.90814	-0.74038333	CXADR	coxsackie virus and adenovirus receptor	1525
10012689170	0.002675	2.33e-06	6.0739872	4.81615	0.68314921	ITPR1	inositol 1,4,5-triphosphate receptor, type 1	3708
10012678232	0.002675	2.41e-06	-6.0600178	4.78421	-0.39501667	HSPH1	heat shock 105kDa/110kDa protein 1	10808
10012679525	0.002675	2.51e-06	-6.044462	4.74862	-0.95537857	C9orf125	chromosome 9 open reading frame 125	84302
10012670546	0.002675	2.62e-06	-6.0271319	4.70893	-0.85745635	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	999
10012666863	0.0028435	3.03e-06	5.9700096	4.57787	0.91233413			
10012667448	0.0028435	3.04e-06	-5.9685932	4.57461	-0.63522063	NHLRC1	NHL repeat containing 1	378884
10012671944	0.0030331	3.38e-06	5.9270129	4.47897	0.45107063	FNBP1	formin binding protein 1	23048
10012674491	0.0030687	3.55e-06	5.9069617	4.43278	0.56103571			
10012676598	0.0030714	3.82e-06	-5.8782922	4.36666	-0.58213175	MCL1	myeloid cell leukemia sequence 1 (BCL2-related)	4170
10012682644	0.0030714	3.83e-06	-5.8774287	4.36466	-0.83345159	NFIA	nuclear factor I/A	4774
10012682838	0.0031757	4.10e-06	-5.8504944	4.30246	-1.30087063	C9orf125	chromosome 9 open reading frame 125	84302
10012682228	0.0038893	5.20e-06	5.7576058	4.08735	0.48038175	SCD5	stearoyl-CoA desaturase 5	79966
10012678320	0.0042607	5.88e-06	-5.7090373	3.97452	-0.89888095	GRTP1	growth hormone regulated TBC protein 1	79774
10012682251	0.0047519	6.77e-06	5.6539566	3.84628	0.67328889			
10012672593	0.0047694	7.01e-06	5.640501	3.81491	0.57224444	SOCS2	suppressor of cytokine signaling 2	8835
10012673759	0.0050559	8.05e-06	-5.5866852	3.68927	-0.92890397	KCNE1	potassium voltage-gated channel, Isk-related family, member 1	3753
10012672504	0.0050559	8.19e-06	-5.5800803	3.67383	-0.54704444	PKP2	plakophilin 2	5318
10012688692	0.0050559	8.61e-06	-5.5604598	3.62795	-0.28143413	SLC37A4	solute carrier family 37 (glucose-6-phosphate transporter), member 4	2542
10012674235	0.0050559	8.79e-06	-5.5523902	3.60907	-0.29253413	NOLC1	nucleolar and coiled-body phosphoprotein 1	9221
10012688532	0.0050559	8.96e-06	-5.5449336	3.59161	-0.36380794	HSPE1	heat shock 10kDa protein 1 (chaperonin 10)	3336
10012684619	0.0050559	8.99e-06	-5.5436242	3.58855	-0.41067778	PUS7	pseudouridylate synthase 7 homolog (S. cerevisiae)	54517
10012681563	0.0050559	9.01e-06	5.5427183	3.58643	0.53248175			
10012676444	0.0052814	9.65e-06	5.5161195	3.52413	0.21442937	CHMP2A	chromatin modifying protein 2A	27243
10012670310	0.0053475	1.02e-05	-5.493137	3.47025	-0.78786667	BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	25805
10012678347	0.0053475	1.02e-05	-5.4927458	3.46934	-0.49400794	HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	9709
10012670757	0.0055703	1.10e-05	-5.4655267	3.40547	-0.37601905	EXO1	exonuclease 1	9156
10012685914	0.0055703	1.12e-05	-5.4592023	3.39062	-0.92020873	EGR2	early growth response 2 (Krox-20 homolog, Drosophila)	1959
10012667959	0.0055833	1.14e-05	-5.4497605	3.36845	-0.68223016	PLAG1	pleiomorphic adenoma gene 1	5324
10012688531	0.0057174	1.20e-05	-5.4321877	3.32716	-0.22094286	HSPD1	heat shock 60kDa protein 1 (chaperonin)	3329
10012684934	0.0060216	1.29e-05	5.4038916	3.26063	0.76239444	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	8874
