ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012674000	0.0000174	7.92e-10	-8.31	11.78314	-8.40e-01	DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	3337
10012680972	0.0000359	3.28e-09	-7.82	10.54592	-8.90e-01	FAM19A2	family with sequence similarity 19 (chemokine (C-C motif)-like), member A2	338811
10012685043	0.0000409	5.60e-09	-7.63	10.0769	-9.50e-01	NUP62CL	nucleoporin 62kDa C-terminal like	54830
10012674381	0.0000536	9.79e-09	7.44	9.58611	5.20e-01	KIAA1949	KIAA1949	170954
10012687941	0.0000909	2.07e-08	-7.19	8.92359	-7.31e-01	CXADR	coxsackie virus and adenovirus receptor	1525
10012670672	0.0003422	9.49e-08	-6.68	7.57348	-8.79e-01	SLC30A1	solute carrier family 30 (zinc transporter), member 1	7779
10012676598	0.0003422	1.20e-07	-6.60	7.3679	-6.28e-01	MCL1	myeloid cell leukemia sequence 1 (BCL2-related)	4170
10012679069	0.0003422	1.25e-07	-6.59	7.32856	-9.99e-01	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	2354
10012667606	0.0008212	3.37e-07	6.26	6.44063	5.80e-01	ANXA2	annexin A2	302
10012675711	0.0010179	4.65e-07	6.16	6.15381	4.38e-01	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	10521
10012669470	0.0011417	5.83e-07	-6.08	5.95031	-7.17e-01	HIST1H4F	histone cluster 1, H4f	8361
10012684142	0.0011417	6.73e-07	-6.03	5.82057	-7.46e-01	TUSC1	tumor suppressor candidate 1	286319
10012669438	0.0011417	7.16e-07	-6.01	5.76516	-6.95e-01	KCNE1L	KCNE1-like	23630
10012679115	0.0011417	7.29e-07	6.01	5.74882	6.00e-01	SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	9806
10012676444	0.0017289	1.18e-06	5.85	5.31382	2.15e-01	CHMP2A	chromatin modifying protein 2A	27243
10012673197	0.0020105	1.47e-06	-5.78	5.11999	-1.24	HSPA1A	heat shock 70kDa protein 1A	3303
10012667959	0.0022206	1.72e-06	-5.73	4.97596	-6.49e-01	PLAG1	pleiomorphic adenoma gene 1	5324
10012668096	0.0025923	2.21e-06	-5.64	4.74988	-8.20e-01	EGR4	early growth response 4	1961
10012672142	0.0025923	2.25e-06	-5.64	4.7364	-3.70e-01	C16orf80	chromosome 16 open reading frame 80	29105
10012675138	0.0026142	2.39e-06	5.62	4.68259	3.99e-01	HEXA	hexosaminidase A (alpha polypeptide)	3073
10012670546	0.0028719	2.75e-06	-5.57	4.55389	-7.59e-01	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	999
10012670845	0.0030754	3.19e-06	5.52	4.42061	7.76e-01	CCL5	chemokine (C-C motif) ligand 5	6352
10012682382	0.0030754	3.23e-06	-5.52	4.41016	-4.85e-01	LOC283481	hypothetical protein LOC283481	283481
10012675135	0.0031487	3.45e-06	-5.50	4.35052	-3.85e-01			
10012686212	0.003228	3.68e-06	-5.48	4.29127	-6.59e-01	ACTN1	actinin, alpha 1	87
10012674953	0.0047963	5.69e-06	5.33	3.89859	7.34e-01	MDFI	MyoD family inhibitor	4188
10012668397	0.0052463	6.46e-06	-5.29	3.78357	-4.00e-01	CHORDC1	cysteine and histidine-rich domain (CHORD)-containing 1	26973
