ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012674000	0.0000259	1.15e-09	-9.531501	11.26402	-0.9078444	DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	3337
10012684142	0.0002642	2.35e-08	-8.106995	8.76027	-0.8075167	TUSC1	tumor suppressor candidate 1	286319
10012674381	0.0014418	2.06e-07	7.153281	6.89737	0.5274667	KIAA1949	KIAA1949	170954
10012680972	0.0014418	2.75e-07	-7.030336	6.64647	-0.8835222	FAM19A2	family with sequence similarity 19 (chemokine (C-C motif)-like), member A2	338811
10012673197	0.0014418	3.21e-07	-6.964007	6.51012	-1.4528167	HSPA1A	heat shock 70kDa protein 1A	3303
10012679069	0.0020179	5.39e-07	-6.745578	6.05625	-0.9895056	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	2354
10012689076	0.0060578	2.14e-06	6.175695	4.83868	0.3490722	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	3678
10012689170	0.0060578	2.17e-06	6.170377	4.8271	0.7288111	ITPR1	inositol 1,4,5-triphosphate receptor, type 1	3708
10012670672	0.0060578	2.43e-06	-6.124632	4.72736	-0.8617056	SLC30A1	solute carrier family 30 (zinc transporter), member 1	7779
10012667606	0.0070158	3.26e-06	6.005588	4.46651	0.5718833	ANXA2	annexin A2	302
10012671944	0.0070158	3.67e-06	5.956885	4.35927	0.4789278	FNBP1	formin binding protein 1	23048
10012685043	0.0070158	3.75e-06	-5.948494	4.34076	-0.8185	NUP62CL	nucleoporin 62kDa C-terminal like	54830
10012676816	0.0075265	4.36e-06	-5.887851	4.20675	-0.7666444	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	8555
10012681242	0.0076059	5.04e-06	-5.829447	4.07728	-0.8495278	LOC100131938///PBX1	hypothetical LOC100131938///pre-B-cell leukemia homeobox 1	100131938///5087
10012676598	0.0076059	5.08e-06	-5.826024	4.06968	-0.6130722	MCL1	myeloid cell leukemia sequence 1 (BCL2-related)	4170
10012678314	0.0083961	6.43e-06	-5.731676	3.85964	-1.1522111	C10orf30	chromosome 10 open reading frame 30	222389
10012674290	0.0083961	6.84e-06	5.706881	3.80427	0.4134611	PSCD1	pleckstrin homology, Sec7 and coiled-coil domains 1(cytohesin 1)	9267
10012676203	0.0083961	6.86e-06	5.705426	3.80102	0.3647056	PLXNB2	plexin B2	23654
10012681563	0.0083961	7.41e-06	5.674869	3.73268	0.5721056			
10012678232	0.0083961	8.12e-06	-5.638096	3.65032	-0.3972167	HSPH1	heat shock 105kDa/110kDa protein 1	10808
10012678347	0.0083961	8.42e-06	-5.623817	3.6183	-0.5309556	HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	9709
10012670718	0.0083961	8.50e-06	-5.619922	3.60956	-0.2211056	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	8555
10012674491	0.0083961	8.60e-06	5.615231	3.59903	0.5742667			
10012670546	0.0089344	9.82e-06	-5.562297	3.48008	-0.8544444	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	999
10012668760	0.0089344	1.00e-05	5.553903	3.4612	0.40665	PRKCB1	protein kinase C, beta 1	5579
10012679525	0.0089344	1.03e-05	-5.541586	3.43347	-0.9451167	C9orf125	chromosome 9 open reading frame 125	84302
10012688532	0.0107143	1.35e-05	-5.436417	3.1961	-0.3811222	HSPE1	heat shock 10kDa protein 1 (chaperonin 10)	3336
10012687941	0.0107143	1.38e-05	-5.427918	3.17688	-0.6797	CXADR	coxsackie virus and adenovirus receptor	1525
10012666863	0.0107143	1.38e-05	5.425978	3.17249	0.8929889			
10012682838	0.0113451	1.52e-05	-5.389229	3.08926	-1.2935278	C9orf125	chromosome 9 open reading frame 125	84302
10012667448	0.0113451	1.57e-05	-5.37685	3.0612	-0.6139944	NHLRC1	NHL repeat containing 1	378884
10012688692	0.0131546	1.89e-05	-5.302755	2.89296	-0.2892556	SLC37A4	solute carrier family 37 (glucose-6-phosphate transporter), member 4	2542
10012675711	0.0131546	1.94e-05	5.29265	2.86998	0.4407167	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	10521
10012685914	0.0131546	2.04e-05	-5.271478	2.8218	-0.9532944	EGR2	early growth response 2 (Krox-20 homolog, Drosophila)	1959
10012682644	0.0131546	2.05e-05	-5.270267	2.81905	-0.7991944	NFIA	nuclear factor I/A	4774
10012670757	0.0138122	2.21e-05	-5.239866	2.7498	-0.3877667	EXO1	exonuclease 1	9156
10012684619	0.0158895	2.62e-05	-5.17377	2.59902	-0.4140611	PUS7	pseudouridylate synthase 7 homolog (S. cerevisiae)	54517
10012688529	0.0164132	2.78e-05	-5.150064	2.54486	-1.0012611	HSPA6	heat shock 70kDa protein 6 (HSP70B')	3310
10012672593	0.0164132	2.85e-05	5.140237	2.5224	0.5624111	SOCS2	suppressor of cytokine signaling 2	8835
10012682228	0.0164496	3.00e-05	5.120572	2.47743	0.4537722	SCD5	stearoyl-CoA desaturase 5	79966
10012679164	0.0164496	3.41e-05	-5.0702	2.36212	-0.47945	BTG2	BTG family, member 2	7832
10012688531	0.0164496	3.43e-05	-5.067146	2.35513	-0.2231667	HSPD1	heat shock 60kDa protein 1 (chaperonin)	3329
10012678320	0.0164496	3.45e-05	-5.065313	2.35093	-0.84305	GRTP1	growth hormone regulated TBC protein 1	79774
10012681883	0.0164496	3.48e-05	-5.061606	2.34243	-0.4977944	RMI1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)	80010
10012669470	0.0164496	3.56e-05	-5.052944	2.32258	-0.7116556	HIST1H4F	histone cluster 1, H4f	8361
10012669907	0.0164496	3.56e-05	5.052617	2.32183	0.5028389			
10012682251	0.0164496	3.66e-05	5.041716	2.29685	0.6399222			
10012668397	0.0164496	3.66e-05	-5.041659	2.29672	-0.4563556	CHORDC1	cysteine and histidine-rich domain (CHORD)-containing 1	26973
10012669062	0.0164496	3.69e-05	-5.038169	2.28872	-0.5344444	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	3309
10012673759	0.0164496	3.72e-05	-5.035077	2.28163	-0.8991611	KCNE1	potassium voltage-gated channel, Isk-related family, member 1	3753
10012684934	0.0164496	3.74e-05	5.033767	2.27863	0.7667611	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	8874
10012670310	0.0168565	3.90e-05	-5.016526	2.23908	-0.7760833	BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	25805
10012679018	0.0171854	4.08e-05	4.999232	2.1994	0.3375389	CHMP4B	chromatin modifying protein 4B	128866
10012672536	0.0171854	4.13e-05	4.994096	2.18762	0.2999278	RAB5C	RAB5C, member RAS oncogene family	5878
10012683432	0.0182395	4.47e-05	4.963352	2.11703	0.3943944	PSCD1	pleckstrin homology, Sec7 and coiled-coil domains 1(cytohesin 1)	9267
10012674235	0.0182395	4.65e-05	-4.947931	2.0816	-0.2788722	NOLC1	nucleolar and coiled-body phosphoprotein 1	9221
10012672504	0.0182395	4.65e-05	-4.947793	2.08128	-0.5140444	PKP2	plakophilin 2	5318
10012685918	0.0182395	4.73e-05	-4.941096	2.06589	-0.3962333	CCDC99	coiled-coil domain containing 99	54908
10012676444	0.0182395	4.79e-05	4.935927	2.05401	0.2065222	CHMP2A	chromatin modifying protein 2A	27243
10012675534	0.0190175	5.11e-05	4.910964	1.99663	0.4847056			
10012689547	0.0190175	5.21e-05	4.903415	1.97927	0.5611	CENTB2	centaurin, beta 2	23527
10012665935	0.0190175	5.25e-05	4.900059	1.97155	0.3840722	TRIP12	thyroid hormone receptor interactor 12	9320
10012668092	0.0204198	5.73e-05	-4.865865	1.89288	-0.4330444	POLE2	polymerase (DNA directed), epsilon 2 (p59 subunit)	5427
10012672142	0.0209555	5.97e-05	-4.84953	1.85528	-0.3688389	C16orf80	chromosome 16 open reading frame 80	29105
10012674055	0.0221835	6.42e-05	4.821116	1.78985	0.5559833			
10012667959	0.0236825	6.96e-05	-4.789495	1.717	-0.6233778	PLAG1	pleiomorphic adenoma gene 1	5324
10012677578	0.0259144	7.82e-05	-4.743805	1.61168	-0.3021611	OPRS1	opioid receptor, sigma 1	10280
10012668204	0.0259144	7.85e-05	-4.742498	1.60866	-0.2717556	LMNB2	lamin B2	84823
10012668096	0.0264051	8.11e-05	-4.729428	1.57852	-0.8469222	EGR4	early growth response 4	1961
10012687799	0.0279415	8.80e-05	4.697367	1.50457	0.3153222	LOC730051	similar to hCG2044798	730051
10012683256	0.0279415	8.91e-05	-4.692502	1.49335	-0.3932333	CEP72	centrosomal protein 72kDa	55722
10012670415	0.0279415	8.96e-05	4.690597	1.48895	0.2089278	GATAD2B	GATA zinc finger domain containing 2B	57459
10012671349	0.0284785	9.40e-05	-4.671726	1.44541	-0.5225556	DUSP2	dual specificity phosphatase 2	1844
10012680164	0.0284785	9.46e-05	4.669133	1.43942	0.3961167			
10012669438	0.0284785	9.51e-05	-4.667151	1.43485	-0.6819222	KCNE1L	KCNE1-like	23630
10012675138	0.0299362	1.02e-04	4.640056	1.37231	0.4078	HEXA	hexosaminidase A (alpha polypeptide)	3073
10012670845	0.0299362	1.03e-04	4.63502	1.36069	0.6653	CCL5	chemokine (C-C motif) ligand 5	6352
10012686268	0.0299362	1.05e-04	4.628672	1.34604	0.5179			
10012686422	0.0299362	1.05e-04	-4.627248	1.34275	-0.33235	LYAR	Ly1 antibody reactive homolog (mouse)	55646
10012679274	0.0299632	1.09e-04	-4.614317	1.3129	-0.2792222	QSOX2	quiescin Q6 sulfhydryl oxidase 2	169714
10012689271	0.0299632	1.09e-04	-4.614014	1.3122	-0.2878444	DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1	3301
10012684939	0.0299632	1.09e-04	-4.612299	1.30824	-0.3784889	NP	nucleoside phosphorylase	4860
10012669092	0.0305598	1.13e-04	4.599831	1.27946	0.4005278			
10012680764	0.0325191	1.22e-04	-4.570806	1.21244	-0.4981833	C4A	complement component 4A (Rodgers blood group)	720
10012682382	0.0327293	1.24e-04	-4.563649	1.19591	-0.3996111	LOC283481	hypothetical protein LOC283481	283481
10012669316	0.034008	1.30e-04	-4.544061	1.15068	-0.6522444	KLF4	Kruppel-like factor 4 (gut)	9314
10012675721	0.0342015	1.34e-04	-4.533606	1.12654	-0.2567556	HYOU1	hypoxia up-regulated 1	10525
10012681918	0.0342015	1.36e-04	-4.528065	1.11374	-0.7561556	NFIA	nuclear factor I/A	4774
10012671766	0.0342015	1.38e-04	4.520956	1.09732	0.4862944	MFF	mitochondrial fission factor	56947
10012678410	0.0342015	1.38e-04	-4.520397	1.09604	-0.7023	NMU	neuromedin U	10874
10012673622	0.0342015	1.40e-04	4.516221	1.08639	0.3557667			
10012676299	0.0342015	1.40e-04	4.5151	1.0838	0.6209278			
10012679115	0.0342015	1.42e-04	4.511194	1.07478	0.5628222	SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	9806
10012685723	0.0342541	1.43e-04	-4.506404	1.06372	-0.6259944	CYP4F2	cytochrome P450, family 4, subfamily F, polypeptide 2	8529
10012686212	0.0347821	1.47e-04	-4.495637	1.03886	-0.6028889	ACTN1	actinin, alpha 1	87
10012688274	0.0347821	1.49e-04	4.492167	1.03084	0.5233611			
10012687821	0.0364483	1.57e-04	-4.469645	0.97883	-0.4688889	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	3309
10012668518	0.0364483	1.59e-04	-4.465367	0.96896	-0.5291056	ZFP36	zinc finger protein 36, C3H type, homolog (mouse)	7538
10012678216	0.0364483	1.61e-04	4.461119	0.95915	0.3843222			
10012667787	0.0364483	1.64e-04	4.454414	0.94366	0.5110278			
10012684185	0.0364483	1.65e-04	-4.450422	0.93445	-0.5141778	NCOA7	nuclear receptor coactivator 7	135112
10012685344	0.0364483	1.67e-04	-4.446777	0.92603	-0.4648833			
10012682063	0.0364483	1.67e-04	-4.446273	0.92487	-0.4339222	TMEM169	transmembrane protein 169	92691
10012668966	0.0364513	1.72e-04	4.435387	0.89973	0.5784833			
10012686571	0.0364513	1.72e-04	4.43498	0.89879	0.2111667	ANKMY1	ankyrin repeat and MYND domain containing 1	51281
10012672438	0.0364513	1.73e-04	4.431837	0.89153	0.4708778			
10012686658	0.0364513	1.74e-04	4.431317	0.89033	0.5577111			
10012666655	0.036599	1.76e-04	4.426088	0.87826	0.5129			
10012681397	0.0367478	1.81e-04	4.415598	0.85404	0.2547833	FOXP1	forkhead box P1	27086
10012684811	0.0367478	1.81e-04	4.414533	0.85158	0.2483278	ZFP14	zinc finger protein 14 homolog (mouse)	57677
10012686044	0.0367478	1.82e-04	-4.413764	0.84981	-0.2631167	C5orf33	chromosome 5 open reading frame 33	133686
10012681445	0.0373302	1.86e-04	4.404089	0.82747	0.6170722	ATP8A1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	10396
