ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012674000	0.0000296	1.35e-09	-8.1989057	11.062157	-0.88023929	DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	3337
10012680972	0.0004172	3.81e-08	-7.0373696	8.218385	-0.85780952	FAM19A2	family with sequence similarity 19 (chemokine (C-C motif)-like), member A2	338811
10012685043	0.0005524	7.56e-08	-6.8043398	7.625481	-0.85136786	NUP62CL	nucleoporin 62kDa C-terminal like	54830
10012674381	0.0006005	1.10e-07	6.6788791	7.303599	0.49973452	KIAA1949	KIAA1949	170954
10012676598	0.0008456	1.93e-07	-6.4884986	6.811862	-0.6593869	MCL1	myeloid cell leukemia sequence 1 (BCL2-related)	4170
10012670672	0.0009176	2.77e-07	-6.3674296	6.497236	-0.9017369	SLC30A1	solute carrier family 30 (zinc transporter), member 1	7779
10012687941	0.0009176	2.93e-07	-6.3482289	6.44721	-0.66982738	CXADR	coxsackie virus and adenovirus receptor	1525
10012675711	0.0012067	4.40e-07	6.2119342	6.091163	0.46814405	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	10521
10012679069	0.0012352	5.07e-07	-6.1648073	5.967686	-1.00890833	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	2354
10012669470	0.0034945	1.59e-06	-5.7833323	4.96238	-0.73424762	HIST1H4F	histone cluster 1, H4f	8361
10012673197	0.0061828	3.16e-06	-5.5557624	4.358971	-1.28318571	HSPA1A	heat shock 70kDa protein 1A	3303
10012684142	0.0061828	3.64e-06	-5.5089077	4.234517	-0.73445357	TUSC1	tumor suppressor candidate 1	286319
10012667606	0.0061828	3.82e-06	5.4933484	4.193178	0.53725119	ANXA2	annexin A2	302
10012669438	0.0061828	3.95e-06	-5.4819355	4.162851	-0.68353095	KCNE1L	KCNE1-like	23630
10012672142	0.0070258	4.98e-06	-5.4044971	3.957017	-0.38179643	C16orf80	chromosome 16 open reading frame 80	29105
10012679115	0.0070258	5.13e-06	5.3950964	3.932023	0.57952143	SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	9806
10012675138	0.0076547	6.02e-06	5.3415323	3.789596	0.40928571	HEXA	hexosaminidase A (alpha polypeptide)	3073
10012689170	0.0076547	6.29e-06	5.3274496	3.752147	0.62472976	ITPR1	inositol 1,4,5-triphosphate receptor, type 1	3708
10012676444	0.0097149	8.42e-06	5.2301973	3.493524	0.20666071	CHMP2A	chromatin modifying protein 2A	27243
10012672536	0.0100327	9.60e-06	5.1867038	3.377876	0.30367976	RAB5C	RAB5C, member RAS oncogene family	5878
10012681563	0.0100327	9.61e-06	5.1861754	3.376471	0.52065595			
10012668397	0.0100942	1.05e-05	-5.1576824	3.300721	-0.41834881	CHORDC1	cysteine and histidine-rich domain (CHORD)-containing 1	26973
10012668096	0.0100942	1.08e-05	-5.1481564	3.275398	-0.80709286	EGR4	early growth response 4	1961
10012670546	0.0100942	1.11e-05	-5.1396741	3.252852	-0.75555952	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	999
10012669316	0.0155363	1.77e-05	-4.9822548	2.83472	-0.67812381	KLF4	Kruppel-like factor 4 (gut)	9314
10012667959	0.0157251	1.87e-05	-4.9651205	2.789255	-0.59017976	PLAG1	pleiomorphic adenoma gene 1	5324
10012688532	0.0163165	2.01e-05	-4.9401752	2.723085	-0.34095357	HSPE1	heat shock 10kDa protein 1 (chaperonin 10)	3336
10012686212	0.0166945	2.13e-05	-4.9203623	2.670548	-0.636675	ACTN1	actinin, alpha 1	87
10012686959	0.0189533	2.51e-05	-4.8661651	2.52693	-0.38673452	HCST	hematopoietic cell signal transducer	10870
10012668092	0.0205933	2.91e-05	-4.8166305	2.395802	-0.42839762	POLE2	polymerase (DNA directed), epsilon 2 (p59 subunit)	5427
10012670845	0.0205933	2.96e-05	4.8100989	2.378522	0.71465595	CCL5	chemokine (C-C motif) ligand 5	6352
10012679164	0.0205933	3.09e-05	-4.7966436	2.342933	-0.42767857	BTG2	BTG family, member 2	7832
10012674953	0.0205933	3.10e-05	4.7950648	2.338758	0.71012143	MDFI	MyoD family inhibitor	4188
10012676203	0.0224882	3.49e-05	4.7555111	2.23421	0.32983452	PLXNB2	plexin B2	23654
10012689271	0.023137	3.69e-05	-4.7362241	2.183269	-0.29580357	DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1	3301
10012682382	0.0236646	3.89e-05	-4.7191821	2.138279	-0.42586429	LOC283481	hypothetical protein LOC283481	283481
10012674290	0.0238378	4.02e-05	4.7075205	2.107505	0.35560952	PSCD1	pleckstrin homology, Sec7 and coiled-coil domains 1(cytohesin 1)	9267
10012675135	0.0251111	4.35e-05	-4.6810481	2.037686	-0.31842857			
10012671755	0.0253322	4.60e-05	4.6625804	1.989011	0.39565714			
10012689076	0.0253322	4.68e-05	4.6567984	1.973777	0.31406786	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	3678
10012679847	0.0253322	4.85e-05	4.6447282	1.941985	0.55379643			
10012684619	0.0253322	4.85e-05	-4.6444002	1.941121	-0.38644405	PUS7	pseudouridylate synthase 7 homolog (S. cerevisiae)	54517
10012676816	0.0259778	5.21e-05	-4.6203717	1.877869	-0.68342381	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	8555
10012667448	0.0259778	5.21e-05	-4.6202394	1.877521	-0.54005238	NHLRC1	NHL repeat containing 1	378884
10012683256	0.0284761	5.85e-05	-4.5816767	1.776116	-0.37807857	CEP72	centrosomal protein 72kDa	55722
10012674491	0.0289465	6.07e-05	4.5687216	1.74208	0.47313452			
10012668518	0.0289916	6.22e-05	-4.5609306	1.721619	-0.50931786	ZFP36	zinc finger protein 36, C3H type, homolog (mouse)	7538
10012685918	0.0311239	6.87e-05	-4.5270143	1.632617	-0.36233571	CCDC99	coiled-coil domain containing 99	54908
10012680915	0.0311239	7.04e-05	-4.518698	1.610811	-0.28440476	NCAPD3	non-SMC condensin II complex, subunit D3	23310
