ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012670174	1.62e-17	1.33e-21	15.956595	38.64347	1.12439524	PLS3	plastin 3 (T isoform)	5358
10012668051	1.62e-17	2.47e-21	15.728537	38.05197	1.15199444	FAM38B	family with sequence similarity 38, member B	63895
10012672280	1.62e-17	2.63e-21	15.705251	37.99121	1.06464841	GAS2	growth arrest-specific 2	2620
10012670350	2.47e-16	5.35e-20	14.625999	35.09986	0.52915317	SPIRE1	spire homolog 1 (Drosophila)	56907
10012676178	6.00e-16	1.62e-19	14.24029	34.03001	1.04612698	CD109	CD109 molecule	135228
10012670081	2.84e-15	9.22e-19	13.649872	32.35412	0.77208254	PLEKHG4	pleckstrin homology domain containing, family G (with RhoGef domain) member 4	25894
10012679472	3.15e-15	1.20e-18	13.562591	32.10241	0.49099841			
10012672520	2.62e-14	1.14e-17	12.820986	29.92197	0.48148968			
10012676821	3.02e-14	1.47e-17	12.736725	29.66948	0.42237381	PAQR3	progestin and adipoQ receptor family member III	152559
10012679309	3.50e-14	1.99e-17	12.639067	29.37563	1.31239841	ZC3H12B	zinc finger CCCH-type containing 12B	340554
10012686004	3.50e-14	2.09e-17	12.623984	29.33013	0.49688889	HS6ST1	heparan sulfate 6-O-sulfotransferase 1	9394
10012669008	6.33e-14	4.11e-17	12.406891	28.67177	0.95620397	MEX3B	mex-3 homolog B (C. elegans)	84206
10012681199	6.42e-14	4.52e-17	12.37679	28.57998	1.35062302	WDR35	WD repeat domain 35	57539
10012686496	6.75e-14	5.42e-17	12.318806	28.4028	0.57886508	ANKS6	ankyrin repeat and sterile alpha motif domain containing 6	203286
10012668890	6.75e-14	5.80e-17	12.297532	28.33768	0.71355873	TMEM64	transmembrane protein 64	169200
10012687765	6.75e-14	5.85e-17	-12.294885	28.32958	-0.37992222	FES	feline sarcoma oncogene	2242
10012669700	1.12e-13	1.03e-16	12.115023	27.77646	0.79718492	FAM171B	family with sequence similarity 171, member B	165215
10012676022	1.14e-13	1.11e-16	12.091602	27.70412	0.8967381	GPR126	G protein-coupled receptor 126	57211
10012679851	1.34e-13	1.38e-16	12.023457	27.49318	1.32008571	PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha	5569
10012685769	2.64e-13	2.86e-16	11.795548	26.7831	0.77074206	TIMP3	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)	7078
10012673381	3.08e-13	3.51e-16	-11.732597	26.58572	-0.19956508	TTC31	tetratricopeptide repeat domain 31	64427
10012682228	3.34e-13	4.01e-16	11.691242	26.45575	0.54443095	SCD5	stearoyl-CoA desaturase 5	79966
10012668552	3.34e-13	4.16e-16	11.67939	26.41847	0.30804841	CNNM4	cyclin M4	26504
10012665311	3.52e-13	4.58e-16	11.649718	26.32503	0.86870159	MYEF2	myelin expression factor 2	50804
10012670937	4.07e-13	5.59e-16	-11.58856	26.13206	-0.29057857	DEF6	differentially expressed in FDCP 6 homolog (mouse)	50619
10012676547	4.07e-13	5.73e-16	11.580859	26.10773	0.41857698	SC65	synaptonemal complex protein SC65	10609
