ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012666507	1.34e-10	1.42e-14	-12.193611	22.732362	-1.046631	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	4680
10012665545	1.34e-10	1.67e-14	-12.127438	22.581391	-1.177527	LTF	lactotransferrin	4057
10012667060	1.34e-10	2.19e-14	-12.017176	22.328471	-0.9399	CEACAM8	carcinoembryonic antigen-related cell adhesion molecule 8	1088
10012680070	3.01e-10	6.56e-14	-11.579901	21.308547	-1.4386429	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	1087
10012674884	1.23e-09	3.48e-13	-10.932875	19.749214	-1.3092956	LCN2	lipocalin 2	3934
10012675544	1.23e-09	4.46e-13	-10.838015	19.515516	-1.2169135	S100A12	S100 calcium binding protein A12	6283
10012666268	1.23e-09	4.71e-13	-10.817776	19.465486	-1.2820087	MMP8	matrix metallopeptidase 8 (neutrophil collagenase)	4317
10012670554	1.28e-09	5.57e-13	-10.753527	19.306269	-0.8767766	PGLYRP1	peptidoglycan recognition protein 1	8993
10012665599	1.80e-09	8.86e-13	-10.579098	18.870987	-0.9379683	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	241
10012685616	2.54e-09	1.39e-12	-10.411124	18.447629	-1.3582127	TCN1	transcobalamin I (vitamin B12 binding protein, R binder family)	6947
10012673118	4.87e-09	2.92e-12	-10.135862	17.744985	-1.1242778	CRISP3	cysteine-rich secretory protein 3	10321
10012687935	1.28e-08	8.36e-12	-9.753228	16.749987	-1.2029865	ORM1	orosomucoid 1	5004
10012676050	1.49e-08	1.13e-11	-9.643596	16.461006	-1.2199278	GLT1D1	glycosyltransferase 1 domain containing 1	144423
10012667055	1.49e-08	1.14e-11	-9.641839	16.456362	-1.2684532	OLR1	oxidized low density lipoprotein (lectin-like) receptor 1	4973
10012671237	3.96e-08	3.24e-11	-9.270033	15.463432	-1.0942643	QPCT	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	25797
10012668503	4.82e-08	4.20e-11	-9.178438	15.215823	-0.5223544	GYG1	glycogenin 1	2992
10012687758	4.91e-08	4.56e-11	-9.150062	15.138874	-0.8881115	FCAR	Fc fragment of IgA, receptor for	2204
10012684022	5.76e-08	5.90e-11	-9.059625	14.892887	-0.9861607	F5	coagulation factor V (proaccelerin, labile factor)	2153
10012671314	5.76e-08	5.97e-11	-9.055626	14.881985	-1.2787361	ANXA3	annexin A3	306
10012678165	8.26e-08	9.01e-11	-8.912018	14.48897	-0.5995611	BRI3	brain protein I3	25798
10012675347	9.89e-08	1.17e-10	-8.820529	14.237121	-0.6755782	DAPK2	death-associated protein kinase 2	23604
10012673479	9.89e-08	1.20e-10	-8.813328	14.217249	-1.2472528	MGAM	maltase-glucoamylase (alpha-glucosidase)	8972
10012689347	9.89e-08	1.24e-10	-8.801308	14.184064	-1.3152179	IL8RB	interleukin 8 receptor, beta	3579
