ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012672083	1.14e-08	6.79e-13	20.630494	19.253672	1.7440143	CD24	CD24 molecule	934
10012675558	1.14e-08	1.17e-12	19.909843	18.792499	1.2460032	GPR160	G protein-coupled receptor 160	26996
10012685616	4.60e-08	7.08e-12	17.692565	17.227661	1.5876984	TCN1	transcobalamin I (vitamin B12 binding protein, R binder family)	6947
10012671334	7.11e-08	1.66e-11	16.726244	16.468261	1.5444302	HP	haptoglobin	3240
10012676805	7.11e-08	1.83e-11	16.617187	16.379296	1.6298587			
10012675819	7.70e-08	2.37e-11	16.330552	16.14218	1.5356921	HPR	haptoglobin-related protein	3250
10012673471	1.10e-07	4.34e-11	15.686569	15.59147	1.5417079	VNN2	vanin 2	8875
10012679981	1.10e-07	4.51e-11	15.647348	15.557101	1.1376952	LILRA2	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2	11027
10012671314	1.84e-07	8.51e-11	14.995979	14.971753	1.5085111	ANXA3	annexin A3	306
10012678973	1.93e-07	9.89e-11	14.844633	14.831707	1.2451111	CLEC4A	C-type lectin domain family 4, member A	50856
10012666012	3.24e-07	1.98e-10	14.167007	14.185048	0.8701413	MYO1F	myosin IF	4542
10012680070	3.24e-07	2.28e-10	14.033214	14.053451	1.6416	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	1087
10012689031	3.24e-07	2.28e-10	14.032222	14.05247	1.2025857	C5orf32	chromosome 5 open reading frame 32	84418
10012684176	3.24e-07	2.35e-10	14.004716	14.025248	1.1401508	MARCKS	myristoylated alanine-rich protein kinase C substrate	4082
10012665599	3.24e-07	2.65e-10	13.888246	13.909353	1.2209968	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	241
10012673598	3.24e-07	2.66e-10	13.886276	13.907385	1.1504365	TMEM154	transmembrane protein 154	201799
10012678165	4.69e-07	4.48e-10	13.402778	13.415082	0.8493111	BRI3	brain protein I3	25798
10012689347	4.69e-07	4.56e-10	13.385346	13.39699	1.4844429	IL8RB	interleukin 8 receptor, beta	3579
10012680778	4.69e-07	4.58e-10	13.383169	13.394729	0.8711968	MRVI1	murine retrovirus integration site 1 homolog	10335
10012688029	4.92e-07	5.05e-10	13.292739	13.300473	1.4388952	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	3684
10012679464	5.70e-07	6.59e-10	13.054267	13.048735	1.4868619	FLJ22662	hypothetical protein FLJ22662	79887
10012666927	5.70e-07	6.98e-10	13.002277	12.993234	1.3168444	TGFA	transforming growth factor, alpha	7039
10012667708	5.70e-07	7.32e-10	12.960413	12.948379	1.2474	TYROBP	TYRO protein tyrosine kinase binding protein	7305
10012675544	5.70e-07	7.35e-10	12.956606	12.944294	1.3415921	S100A12	S100 calcium binding protein A12	6283
