ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012672083	1.02e-07	6.94e-12	1.91e+01	17.05167	1.73	CD24	CD24 molecule	934
10012675558	1.02e-07	1.04e-11	1.85e+01	16.70988	1.23	GPR160	G protein-coupled receptor 160	26996
10012685616	2.36e-07	3.63e-11	1.70e+01	15.63161	1.55	TCN1	transcobalamin I (vitamin B12 binding protein, R binder family)	6947
10012671334	4.84e-07	1.17e-10	1.56e+01	14.59279	1.52	HP	haptoglobin	3240
10012675819	4.84e-07	1.38e-10	1.55e+01	14.44565	1.50	HPR	haptoglobin-related protein	3250
10012676805	4.84e-07	1.49e-10	1.54e+01	14.37715	1.61			
10012673471	6.44e-07	2.31e-10	1.49e+01	13.97957	1.50	VNN2	vanin 2	8875
10012689031	6.77e-07	2.97e-10	1.46e+01	13.75047	1.15	C5orf32	chromosome 5 open reading frame 32	84418
10012679981	6.77e-07	3.12e-10	1.46e+01	13.7042	1.12	LILRA2	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2	11027
10012671314	7.28e-07	3.73e-10	1.44e+01	13.54127	1.47	ANXA3	annexin A3	306
10012678973	1.29e-06	7.27e-10	1.37e+01	12.9251	1.23	CLEC4A	C-type lectin domain family 4, member A	50856
10012666012	1.42e-06	9.88e-10	1.34e+01	12.64025	8.47e-01	MYO1F	myosin IF	4542
10012665599	1.42e-06	1.05e-09	1.34e+01	12.57972	1.18	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	241
10012673598	1.42e-06	1.06e-09	1.34e+01	12.577	1.11	TMEM154	transmembrane protein 154	201799
10012680070	1.42e-06	1.09e-09	1.33e+01	12.54638	1.60	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	1087
10012684176	1.97e-06	1.62e-09	1.30e+01	12.17943	1.14	MARCKS	myristoylated alanine-rich protein kinase C substrate	4082
10012666927	2.08e-06	1.81e-09	1.29e+01	12.07055	1.26	TGFA	transforming growth factor, alpha	7039
10012680778	2.88e-06	2.69e-09	1.25e+01	11.6995	8.77e-01	MRVI1	murine retrovirus integration site 1 homolog	10335
10012689347	2.88e-06	2.86e-09	1.24e+01	11.6391	1.46	IL8RB	interleukin 8 receptor, beta	3579
10012678165	2.88e-06	2.96e-09	1.24e+01	11.60955	8.35e-01	BRI3	brain protein I3	25798
10012688029	2.89e-06	3.11e-09	1.24e+01	11.56242	1.41	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	3684
10012674430	2.94e-06	3.57e-09	1.22e+01	11.43037	1.15	FRMD3	FERM domain containing 3	257019
10012674381	2.94e-06	3.71e-09	1.22e+01	11.39493	6.82e-01	KIAA1949	KIAA1949	170954
10012667708	2.94e-06	3.87e-09	1.22e+01	11.35465	1.21	TYROBP	TYRO protein tyrosine kinase binding protein	7305
10012679464	2.94e-06	3.93e-09	1.21e+01	11.3385	1.46	FLJ22662	hypothetical protein FLJ22662	79887
10012666787	2.94e-06	4.05e-09	1.21e+01	11.30923	8.06e-01	MS4A7	membrane-spanning 4-domains, subfamily A, member 7	58475
10012678513	2.94e-06	4.17e-09	1.21e+01	11.28338	1.06			
10012689044	2.94e-06	4.22e-09	1.21e+01	11.27208	9.47e-01	ROPN1L	ropporin 1-like	83853
10012674479	3.09e-06	4.59e-09	1.20e+01	11.19037	9.69e-01	AGPAT9	1-acylglycerol-3-phosphate O-acyltransferase 9	84803
10012675544	3.18e-06	4.89e-09	1.20e+01	11.13022	1.33	S100A12	S100 calcium binding protein A12	6283
10012687676	3.61e-06	5.74e-09	1.18e+01	10.97794	1.13	TSPAN2	tetraspanin 2	10100
10012674928	4.05e-06	6.63e-09	1.17e+01	10.83911	7.57e-01	C1orf38	chromosome 1 open reading frame 38	9473
10012688189	4.06e-06	6.89e-09	1.17e+01	10.80321	1.11			
10012688024	4.06e-06	7.29e-09	1.16e+01	10.74939	6.84e-01	NCF4	neutrophil cytosolic factor 4, 40kDa	4689
10012668609	4.06e-06	7.38e-09	1.16e+01	10.73765	1.14	SLC11A1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	6556
10012681631	4.06e-06	7.49e-09	1.16e+01	10.72284	9.23e-01	SORT1	sortilin 1	6272
10012676232	4.08e-06	7.91e-09	1.15e+01	10.67087	1.01	TNFAIP6	tumor necrosis factor, alpha-induced protein 6	7130
10012676050	4.08e-06	7.94e-09	1.15e+01	10.66658	1.40	GLT1D1	glycosyltransferase 1 domain containing 1	144423
10012667646	4.17e-06	8.45e-09	1.15e+01	10.60699	8.94e-01	BCL2A1	BCL2-related protein A1	597
10012666297	4.17e-06	9.06e-09	1.14e+01	10.54019	1.15	MNDA	myeloid cell nuclear differentiation antigen	4332
10012671237	4.17e-06	9.15e-09	1.14e+01	10.53084	1.10	QPCT	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	25797
10012666268	4.17e-06	9.16e-09	1.14e+01	10.52997	1.32	MMP8	matrix metallopeptidase 8 (neutrophil collagenase)	4317
10012667245	4.17e-06	9.44e-09	1.14e+01	10.50026	6.56e-01	SLC31A2	solute carrier family 31 (copper transporters), member 2	1318
