ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012667301	4.45e-30	1.99e-34	-31.8302388	67.736865	-1.08834524	CRHBP	corticotropin releasing hormone binding protein	1393
10012686445	7.45e-27	6.67e-31	26.725525	59.996291	1.7764881	NCF2	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)	4688
10012666012	1.00e-26	1.34e-30	26.3212606	59.321501	1.13603571	MYO1F	myosin IF	4542
10012679201	3.48e-26	6.78e-30	-25.4072471	57.758235	-1.08379762			
10012666297	3.48e-26	7.79e-30	25.3297313	57.623192	1.49057381	MNDA	myeloid cell nuclear differentiation antigen	4332
10012674720	7.01e-25	1.88e-28	23.6143664	54.530781	0.89794286	PRKCD	protein kinase C, delta	5580
10012676527	8.11e-25	2.58e-28	23.4507441	54.224996	0.67390476	ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa	10095
10012676050	8.11e-25	2.91e-28	23.388784	54.108691	1.66336429	GLT1D1	glycosyltransferase 1 domain containing 1	144423
10012688029	1.24e-24	5.01e-28	23.1081058	53.57828	1.76018095	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	3684
10012668857	1.97e-24	9.25e-28	22.7947422	52.979137	1.58833333	DYSF	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)	8291
10012682848	1.97e-24	9.71e-28	22.770168	52.931838	0.7604381	C1orf162	chromosome 1 open reading frame 162	128346
10012678165	2.02e-24	1.09e-27	22.7137898	52.823148	1.06554524	BRI3	brain protein I3	25798
10012669197	2.63e-24	1.60e-27	22.5192718	52.446267	1.13428095	SLC16A3	solute carrier family 16, member 3 (monocarboxylic acid transporter 4)	9123
10012672247	2.63e-24	1.65e-27	22.5025244	52.413682	1.36595238	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	2268
10012672091	2.79e-24	1.87e-27	22.4387033	52.289308	1.37682143	CSTA	cystatin A (stefin A)	1475
10012688407	3.72e-24	2.67e-27	22.2625275	51.944326	1.21597857	HCK	hemopoietic cell kinase	3055
10012688416	3.90e-24	2.97e-27	22.2086658	51.838369	1.71523571	HK3	hexokinase 3 (white cell)	3101
10012667708	5.27e-24	4.40e-27	22.0144923	51.454482	1.59078571	TYROBP	TYRO protein tyrosine kinase binding protein	7305
10012675542	5.27e-24	4.66e-27	21.986047	51.397992	1.34143571	S100A11	S100 calcium binding protein A11	6282
10012673467	5.27e-24	4.72e-27	21.9798528	51.385683	1.20944762	LIN7A	lin-7 homolog A (C. elegans)	8825
10012676437	1.16e-23	1.09e-26	21.5722369	50.568817	1.20190714	LST1	leukocyte specific transcript 1	7940
10012668404	1.20e-23	1.19e-26	21.5296587	50.482708	0.88224286	FCGRT	Fc fragment of IgG, receptor, transporter, alpha	2217
10012687763	3.02e-23	3.11e-26	21.0668907	49.537101	1.71775952	FCN1	ficolin (collagen/fibrinogen domain containing) 1	2219
10012679987	3.33e-23	3.67e-26	20.9884517	49.375036	1.43289524	RAB31	RAB31, member RAS oncogene family	11031
10012681082	3.33e-23	3.72e-26	-20.9818451	49.361362	-0.85312143	STARD9	StAR-related lipid transfer (START) domain containing 9	57519
10012685897	3.48e-23	4.06e-26	20.9412012	49.277157	1.00504524	LST1	leukocyte specific transcript 1	7940
10012678973	5.23e-23	6.32e-26	20.7318763	48.84124	1.39176667	CLEC4A	C-type lectin domain family 4, member A	50856
10012684680	5.33e-23	6.68e-26	20.7059653	48.787018	1.18048333	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	3689
10012676935	1.38e-22	1.79e-25	20.2473084	47.817495	1.11024762	LGALS12	lectin, galactoside-binding, soluble, 12 (galectin 12)	85329
10012682581	1.43e-22	1.92e-25	-20.2165345	47.751779	-1.05326667	RADIL	Rap GTPase interactor	55698
10012686405	3.56e-22	4.95e-25	19.783613	46.81824	0.73908333	ANXA11	annexin A11	311
10012673471	3.58e-22	5.14e-25	19.7665147	46.781019	1.68637619	VNN2	vanin 2	8875
10012687765	4.46e-22	6.71e-25	19.6462524	46.518464	0.62466667	FES	feline sarcoma oncogene	2242
10012672901	4.46e-22	6.90e-25	-19.6332642	46.490029	-1.23790714	PROM1	prominin 1	8842
10012678513	4.46e-22	6.99e-25	19.6276246	46.477677	1.28786905			
10012679472	6.51e-22	1.05e-24	-19.4455324	46.077268	-0.71354286			
10012689031	7.29e-22	1.21e-24	19.3823782	45.937672	1.36207857	C5orf32	chromosome 5 open reading frame 32	84418
10012675544	1.02e-21	1.73e-24	19.2226284	45.58288	1.87533095	S100A12	S100 calcium binding protein A12	6283
10012679464	1.22e-21	2.14e-24	19.1294896	45.374909	1.73566429	FLJ22662	hypothetical protein FLJ22662	79887
10012686212	1.36e-21	2.43e-24	-19.0728481	45.248027	-0.93815476	ACTN1	actinin, alpha 1	87
10012665591	1.66e-21	3.06e-24	18.972498	45.022479	1.12079762	MARCKS	myristoylated alanine-rich protein kinase C substrate	4082
10012688183	1.73e-21	3.25e-24	18.9461634	44.963128	1.47420238	ALOX5	arachidonate 5-lipoxygenase	240
