ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012670200	0.571	0.0000337	-4.6287208	1.8	-0.61480303	PPARG	peroxisome proliferator-activated receptor gamma	5468
10012679336	0.571	0.0000658	-4.4199235	1.277	-0.22311212			
10012686136	0.571	0.0000766	-4.3721112	1.157	-0.12579091	CORO2B	coronin, actin binding protein, 2B	10391
10012687334	0.591	0.0001096	-4.2585052	0.876	-0.21821212	CIDEA	cell death-inducing DFFA-like effector a	1149
10012679495	0.591	0.0001365	4.1884468	0.703	0.17631515	FAM126A	family with sequence similarity 126, member A	84668
10012682941	0.591	0.0001709	-4.1161864	0.526	-0.12689697			
10012681259	0.591	0.000185	4.0907766	0.464	0.10400202	ZNF624	zinc finger protein 624	57547
10012673435	0.819	0.0003222	-3.9102742	0.027	-0.45115253	NNAT	neuronatin	4826
10012672690	0.819	0.0003962	-3.8422473	-0.136	-0.14183939			
10012673525	0.819	0.0004529	-3.7979507	-0.241	-0.16542828	C11orf55	chromosome 11 open reading frame 55	399879
10012666824	0.819	0.0004668	3.787919	-0.265	0.12406061	ANKRD44	ankyrin repeat domain 44	91526
10012680927	0.819	0.0004871	3.773813	-0.298	0.14535152	ERCC4	excision repair cross-complementing rodent repair deficiency, complementation group 4	2072
10012670227	0.819	0.0005068	3.7606098	-0.33	0.13926061	SMARCAD1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	56916
10012673795	0.819	0.0005464	3.7354901	-0.389	0.12200202	ZNF770	zinc finger protein 770	54989
10012680603	0.819	0.0005497	3.73349	-0.394	0.2148697			
10012668285	0.872	0.0007095	-3.6478506	-0.594	-0.27192222			
10012677125	0.872	0.0007464	3.6307642	-0.634	0.12366263	RNF2	ring finger protein 2	6045
10012671716	0.872	0.0008432	3.5894487	-0.73	0.1822	JRKL	jerky homolog-like (mouse)	8690
10012671097	0.872	0.0009147	3.5617977	-0.794	0.24166768	TMEM166	transmembrane protein 166	84141
10012677841	0.872	0.0011036	3.497577	-0.942	0.09644343	KIN	KIN, antigenic determinant of recA protein homolog (mouse)	22944
10012679272	0.872	0.0011832	-3.4736293	-0.996	-0.19645859	TCF7L1	transcription factor 7-like 1 (T-cell specific, HMG-box)	83439
10012680948	0.872	0.0012125	3.4652085	-1.016	0.14874949	ZBTB38	zinc finger and BTB domain containing 38	253461
10012679534	0.872	0.0012234	-3.4621186	-1.023	-0.17254848	RICS	Rho GTPase-activating protein	9743
10012671124	0.872	0.0012769	3.4473401	-1.056	0.15110101			
10012666326	0.872	0.0012925	-3.4431398	-1.066	-0.13209495			
10012678692	0.872	0.0014068	-3.4137892	-1.132	-0.25147778	ROPN1L	ropporin 1-like	83853
