ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012676574	8.24e-17	4.71e-21	14.393537	37.34227	0.4552227	CTDSP2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	10106
10012673381	9.84e-16	1.12e-19	-13.429138	34.29225	-0.1839291	TTC31	tetratricopeptide repeat domain 31	64427
10012671756	5.05e-15	8.65e-19	12.827515	32.32452	0.3309732	MBTPS1	membrane-bound transcription factor peptidase, site 1	8720
10012670081	6.01e-15	1.37e-18	12.693171	31.8783	0.6430361	PLEKHG4	pleckstrin homology domain containing, family G (with RhoGef domain) member 4	25894
10012680676	3.20e-14	9.15e-18	12.148247	30.04295	0.3456825	FOXJ3	forkhead box J3	22887
10012689245	4.15e-14	1.42e-17	-12.023311	29.61645	-0.3345717	FKBP1A	FK506 binding protein 1A, 12kDa	2280
10012687880	9.50e-14	3.80e-17	11.746551	28.66419	1.3241349	KIAA0284	KIAA0284	283638
10012676631	9.60e-14	4.38e-17	11.706194	28.52448	0.2115732	ZNF263	zinc finger protein 263	10127
10012669742	1.89e-13	1.01e-16	-11.474825	27.71933	-0.1701875	RBM4	RNA binding motif protein 4	5936
10012680486	1.89e-13	1.08e-16	11.454963	27.64989	0.3646305	DDX47	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47	51202
10012686496	2.33e-13	1.47e-16	11.370103	27.3526	0.4644272	ANKS6	ankyrin repeat and sterile alpha motif domain containing 6	203286
10012685029	2.43e-13	1.67e-16	-11.334389	27.2272	-0.2646739	PGK1	phosphoglycerate kinase 1	5230
10012668699	2.94e-13	2.18e-16	-11.260007	26.96551	-0.2163527	PPP4C	protein phosphatase 4 (formerly X), catalytic subunit	5531
10012673476	2.99e-13	2.39e-16	11.234748	26.87648	0.2766483	AP3D1	adaptor-related protein complex 3, delta 1 subunit	8943
10012677641	3.42e-13	2.93e-16	11.179024	26.67978	0.2534647	SLC25A3	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3	5250
10012681095	3.58e-13	3.27e-16	11.149066	26.57387	0.4697564	RALGDS	ral guanine nucleotide dissociation stimulator	5900
10012665625	3.87e-13	3.75e-16	11.111046	26.43929	0.3464232	SNRPA1	small nuclear ribonucleoprotein polypeptide A'	6627
10012687096	4.47e-13	4.59e-16	11.055742	26.2432	0.2190234	UBE2J2	ubiquitin-conjugating enzyme E2, J2 (UBC6 homolog, yeast)	118424
10012674126	4.48e-13	4.87e-16	-11.039992	26.18729	-0.1937623	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate	9146
10012670937	5.28e-13	6.04e-16	-10.981022	25.97766	-0.2354276	DEF6	differentially expressed in FDCP 6 homolog (mouse)	50619
10012668746	9.80e-13	1.21e-15	-10.792238	25.30365	-0.1846961	PRKAG1	protein kinase, AMP-activated, gamma 1 non-catalytic subunit	5571
10012684889	9.80e-13	1.23e-15	10.786946	25.28469	0.3648748	RAE1	RAE1 RNA export 1 homolog (S. pombe)	8480
10012677666	1.01e-12	1.35e-15	10.761854	25.19476	0.4969913	RALGDS	ral guanine nucleotide dissociation stimulator	5900
10012673575	1.01e-12	1.38e-15	10.755035	25.1703	0.28485	ORAOV1	oral cancer overexpressed 1	220064
10012675657	1.70e-12	2.43e-15	10.60263	24.62229	0.2649716	STK25	serine/threonine kinase 25 (STE20 homolog, yeast)	10494
10012675676	1.85e-12	2.75e-15	10.569536	24.50292	0.5884275	KIF3A	kinesin family member 3A	11127
10012682098	2.69e-12	4.15e-15	-10.458856	24.10276	-0.2250945	GNAS	GNAS complex locus	2778
10012674426	2.78e-12	4.45e-15	10.43992	24.03415	0.2366909	LAS1L	LAS1-like (S. cerevisiae)	81887
10012672520	3.03e-12	5.01e-15	10.407888	23.918	0.4362864			
10012687765	3.52e-12	6.03e-15	-10.358485	23.73862	-0.3008725	FES	feline sarcoma oncogene	2242
10012672359	3.79e-12	6.72e-15	-10.329353	23.63272	-0.3005204	NDUFA3	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa	4696
10012678280	4.37e-12	7.98e-15	10.283232	23.46485	0.3974395	CLIC4	chloride intracellular channel 4	25932
10012669509	5.31e-12	1.03e-14	-10.216082	23.22001	-0.3189015	ADAM6	ADAM metallopeptidase domain 6	8755
10012677125	5.31e-12	1.06e-14	10.207466	23.18856	0.2976006	RNF2	ring finger protein 2	6045
10012670124	5.31e-12	1.08e-14	-10.203351	23.17353	-0.3333658	PFN1	profilin 1	5216
10012674173	5.31e-12	1.09e-14	-10.199661	23.16006	-0.2151364	NUMA1	nuclear mitotic apparatus protein 1	4926
10012668552	7.03e-12	1.49e-14	10.117559	22.85986	0.2518321	CNNM4	cyclin M4	26504
10012671216	7.41e-12	1.61e-14	10.096479	22.78267	0.1928562	THRAP3	thyroid hormone receptor associated protein 3	9967
10012673292	9.07e-12	2.02e-14	10.0356	22.55945	0.1934695	DAP3	death associated protein 3	7818
10012683805	9.79e-12	2.24e-14	10.00873	22.4608	0.2783899	VPS26B	vacuolar protein sorting 26 homolog B (S. pombe)	112936
10012665349	1.02e-11	2.39e-14	9.991327	22.39686	0.4342833	MTA3	metastasis associated 1 family, member 3	57504
10012669216	1.46e-11	3.52e-14	9.888215	22.01739	0.2560623	ZKSCAN2	zinc finger with KRAB and SCAN domains 2	342357
10012679443	1.46e-11	3.58e-14	9.884097	22.00221	0.3525829	ZFAND3	zinc finger, AN1-type domain 3	60685
10012675045	1.51e-11	3.80e-14	9.868659	21.94529	0.2540587	SEC22B	SEC22 vesicle trafficking protein homolog B (S. cerevisiae)	9554
10012682578	1.53e-11	3.92e-14	9.860055	21.91355	0.2493758	TMEM39B	transmembrane protein 39B	55116
10012670350	1.83e-11	4.87e-14	9.802547	21.70125	0.4247172	SPIRE1	spire homolog 1 (Drosophila)	56907
10012683759	1.83e-11	4.90e-14	-9.800913	21.69522	-0.2595683	CDK9	cyclin-dependent kinase 9	1025
10012669534	2.05e-11	5.63e-14	-9.764686	21.5613	-0.2318406	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	8394
10012679048	2.32e-11	6.48e-14	9.727483	21.42363	0.4359503	RNF144A	ring finger protein 144A	9781
10012688612	2.36e-11	6.75e-14	-9.716902	21.38445	-0.1821801	NSFL1C	NSFL1 (p97) cofactor (p47)	55968
10012677472	2.56e-11	7.56e-14	9.686856	21.27314	0.3101713	CGRRF1	cell growth regulator with ring finger domain 1	10668
10012675133	2.56e-11	7.62e-14	9.684944	21.26605	0.3740811	GTF3C4	general transcription factor IIIC, polypeptide 4, 90kDa	9329
10012675728	3.21e-11	9.72e-14	-9.620847	21.02826	-0.2596847	CAPZB	capping protein (actin filament) muscle Z-line, beta	832
10012680707	3.68e-11	1.13e-13	9.580219	20.87734	0.5863303	ATP5S	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)	27109
10012688830	3.75e-11	1.18e-13	9.570248	20.84027	0.3037197	TIGD7	tigger transposable element derived 7	91151
10012665733	3.75e-11	1.20e-13	-9.565579	20.82291	-0.2429717			
10012668784	4.88e-11	1.59e-13	-9.49216	20.54966	-0.2285895	PKN1	protein kinase N1	5585
10012687714	4.92e-11	1.63e-13	-9.484962	20.52284	-0.2362168	ACSF3	acyl-CoA synthetase family member 3	197322
10012665158	5.06e-11	1.71e-13	-9.473167	20.47889	-0.2770235	CKAP2L	cytoskeleton associated protein 2-like	150468
10012683744	5.07e-11	1.74e-13	-9.468298	20.46074	-0.2229134	TMC8	transmembrane channel-like 8	147138
10012685787	5.46e-11	1.90e-13	-9.444849	20.37331	-0.1598798	ACO2	aconitase 2, mitochondrial	50
10012675363	5.71e-11	2.02e-13	-9.42862	20.31277	-0.2267679	RBM42	RNA binding motif protein 42	79171
10012673592	6.71e-11	2.44e-13	-9.379543	20.12954	-0.2181269	AIP	aryl hydrocarbon receptor interacting protein	9049
10012670497	6.71e-11	2.45e-13	9.378401	20.12527	0.2007699	RANBP3	RAN binding protein 3	8498
10012667762	7.89e-11	2.93e-13	9.331947	19.95163	0.244471	UBE2G2	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	7327
10012680296	8.12e-11	3.06e-13	9.320418	19.90851	0.4477447	LPIN1	lipin 1	23175
10012667702	8.86e-11	3.39e-13	9.293943	19.80943	0.2615532	TXNRD1	thioredoxin reductase 1	7296
