ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012687880	2.63e-13	1.27e-17	12.900255	29.443224	1.5724893	KIAA0284	KIAA0284	283638
10012667629	1.29e-11	1.25e-15	-11.428976	25.115791	-0.4601369	DNAJC7	DnaJ (Hsp40) homolog, subfamily C, member 7	7266
10012676574	1.47e-11	2.13e-15	11.264055	24.611411	0.4840036	CTDSP2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	10106
10012687096	2.46e-11	4.75e-15	11.016862	23.848212	0.2436881	UBE2J2	ubiquitin-conjugating enzyme E2, J2 (UBC6 homolog, yeast)	118424
10012685105	8.79e-11	2.12e-14	10.562882	22.424348	0.5209369	FLJ40142	FLJ40142 protein	400073
10012672365	1.04e-10	3.00e-14	-10.458815	22.093955	-1.3631446	ADAM20	ADAM metallopeptidase domain 20	8748
10012671756	2.52e-10	9.15e-14	10.126723	21.029895	0.3326137	MBTPS1	membrane-bound transcription factor peptidase, site 1	8720
10012675373	2.52e-10	1.07e-13	-10.081271	20.883123	-0.1855143	RPP14	ribonuclease P/MRP 14kDa subunit	11102
10012683879	2.52e-10	1.10e-13	10.073392	20.857655	1.2205423	ETNK2	ethanolamine kinase 2	55224
10012686734	1.44e-09	6.94e-13	9.532933	19.091622	0.3409619	C1orf159	chromosome 1 open reading frame 159	54991
10012673381	1.66e-09	8.81e-13	-9.463796	18.863092	-0.1663387	TTC31	tetratricopeptide repeat domain 31	64427
10012683581	1.74e-09	1.10e-12	9.398446	18.646554	1.2274298			
10012673575	1.74e-09	1.18e-12	9.378651	18.580864	0.327775	ORAOV1	oral cancer overexpressed 1	220064
10012667685	1.74e-09	1.24e-12	9.365965	18.538742	0.5263113			
10012679443	1.74e-09	1.26e-12	9.360252	18.519764	0.4390976	ZFAND3	zinc finger, AN1-type domain 3	60685
10012675045	3.49e-09	2.70e-12	9.140977	17.788582	0.3018006	SEC22B	SEC22 vesicle trafficking protein homolog B (S. cerevisiae)	9554
10012678731	3.68e-09	3.02e-12	9.108996	17.681483	0.3314827	ASPRV1	aspartic peptidase, retroviral-like 1	151516
10012666128	4.24e-09	3.69e-12	9.051747	17.489485	1.1124458			
10012680707	4.50e-09	4.13e-12	9.019568	17.381405	0.6100839	ATP5S	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)	27109
10012680558	4.65e-09	4.49e-12	8.995194	17.299467	1.0884452			
10012667918	5.06e-09	5.13e-12	8.957187	17.171572	0.5298369	DBT	dihydrolipoamide branched chain transacylase E2	1629
10012669509	5.73e-09	6.09e-12	-8.908383	17.007114	-0.3225685	ADAM6	ADAM metallopeptidase domain 6	8755
10012665158	7.46e-09	8.28e-12	-8.820886	16.71165	-0.2973875	CKAP2L	cytoskeleton associated protein 2-like	150468
10012670030	9.04e-09	1.05e-11	8.754044	16.485403	0.4456488	ZNF509	zinc finger protein 509	166793
10012689245	1.13e-08	1.42e-11	-8.667497	16.191793	-0.3288827	FKBP1A	FK506 binding protein 1A, 12kDa	2280
10012683759	1.13e-08	1.44e-11	-8.664332	16.181042	-0.2600095	CDK9	cyclin-dependent kinase 9	1025
10012686157	1.13e-08	1.47e-11	8.65745	16.15766	1.1427268	DIP2C	DIP2 disco-interacting protein 2 homolog C (Drosophila)	22982
10012685552	1.16e-08	1.58e-11	8.638668	16.093827	1.0900857	POP1	processing of precursor 1, ribonuclease P/MRP subunit (S. cerevisiae)	10940
10012673690	1.21e-08	1.69e-11	8.619024	16.027028	0.4270214	DPP9	dipeptidyl-peptidase 9	91039
10012669742	1.24e-08	1.79e-11	-8.60222	15.969857	-0.159303	RBM4	RNA binding motif protein 4	5936
10012669534	1.33e-08	1.99e-11	-8.572948	15.870202	-0.2343024	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	8394
10012670497	1.48e-08	2.28e-11	8.533635	15.736237	0.232628	RANBP3	RAN binding protein 3	8498
10012669983	1.49e-08	2.38e-11	8.521942	15.696363	1.0679387	PPP1R13B	protein phosphatase 1, regulatory (inhibitor) subunit 13B	23368
10012671216	1.49e-08	2.44e-11	8.514714	15.671708	0.2066863	THRAP3	thyroid hormone receptor associated protein 3	9967
10012682517	1.59e-08	2.69e-11	8.487126	15.577563	0.1918369	POLDIP3	polymerase (DNA-directed), delta interacting protein 3	84271
10012680958	1.61e-08	2.88e-11	8.468738	15.514778	0.3421661	ARRDC2	arrestin domain containing 2	27106
10012680676	1.61e-08	2.88e-11	8.46826	15.513144	0.3172744	FOXJ3	forkhead box J3	22887
10012673476	1.61e-08	2.96e-11	8.460877	15.487924	0.2698196	AP3D1	adaptor-related protein complex 3, delta 1 subunit	8943
10012688972	2.95e-08	5.56e-11	-8.283382	14.880188	-0.291606			
10012685418	3.69e-08	7.13e-11	-8.213858	14.641417	-0.3381226	RPS15	ribosomal protein S15	6209
10012672359	4.29e-08	8.51e-11	-8.164286	14.470928	-0.3040381	NDUFA3	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa	4696
10012677472	4.58e-08	9.29e-11	8.139684	14.386247	0.2832095	CGRRF1	cell growth regulator with ring finger domain 1	10668
10012677788	5.03e-08	1.05e-10	8.10649	14.271918	0.2666351	RREB1	ras responsive element binding protein 1	6239
10012677666	5.23e-08	1.11e-10	8.089504	14.213379	0.4934619	RALGDS	ral guanine nucleotide dissociation stimulator	5900
10012670173	5.38e-08	1.17e-10	8.075016	14.163433	0.353169	ATF6	activating transcription factor 6	22926
10012675315	5.60e-08	1.24e-10	8.058099	14.105095	0.4056833	SETX	senataxin	23064
10012667650	5.72e-08	1.30e-10	8.045918	14.063075	0.2729131	SLC27A3	solute carrier family 27 (fatty acid transporter), member 3	11000
10012678021	5.80e-08	1.34e-10	8.036406	14.030257	0.2626655	CYB5R3	cytochrome b5 reductase 3	1727
10012683805	6.35e-08	1.53e-10	7.999998	13.904572	0.2968179	VPS26B	vacuolar protein sorting 26 homolog B (S. pombe)	112936
10012682309	6.35e-08	1.56e-10	7.994095	13.884188	0.2388274	AP3M1	adaptor-related protein complex 3, mu 1 subunit	26985
10012685029	6.35e-08	1.57e-10	-7.993803	13.88318	-0.2563232	PGK1	phosphoglycerate kinase 1	5230
10012688830	8.60e-08	2.17e-10	7.902947	13.5691	0.3085286	TIGD7	tigger transposable element derived 7	91151
10012677478	8.60e-08	2.20e-10	7.898845	13.554906	0.3300905			
10012668784	9.05e-08	2.37e-10	-7.878704	13.485204	-0.2428571	PKN1	protein kinase N1	5585
10012668699	9.05e-08	2.40e-10	-7.874389	13.470266	-0.2014512	PPP4C	protein phosphatase 4 (formerly X), catalytic subunit	5531
10012687210	9.56e-08	2.61e-10	-7.851398	13.390659	-1.6950417	HTR1A	5-hydroxytryptamine (serotonin) receptor 1A	3350
10012672122	9.56e-08	2.67e-10	-7.845595	13.370562	-0.2172815	PUM2	pumilio homolog 2 (Drosophila)	23369
10012670081	9.56e-08	2.68e-10	7.844247	13.365891	0.4978589	PLEKHG4	pleckstrin homology domain containing, family G (with RhoGef domain) member 4	25894
10012680453	9.94e-08	2.83e-10	7.828639	13.311823	0.2675381	WIPI2	WD repeat domain, phosphoinositide interacting 2	26100
10012665820	1.00e-07	2.91e-10	-7.821361	13.286606	-0.2429583	ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	522
10012670791	1.04e-07	3.16e-10	7.798202	13.206339	0.2456548	SAFB	scaffold attachment factor B	6294
10012676631	1.04e-07	3.16e-10	7.797796	13.204933	0.1745512	ZNF263	zinc finger protein 263	10127
10012668055	1.04e-07	3.17e-10	7.79778	13.204877	1.2098994			
10012680486	1.13e-07	3.48e-10	7.771472	13.11366	0.3200827	DDX47	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47	51202
10012668746	1.18e-07	3.71e-10	-7.753976	13.05297	-0.1852792	PRKAG1	protein kinase, AMP-activated, gamma 1 non-catalytic subunit	5571
10012675657	1.19e-07	3.79e-10	7.747661	13.031062	0.2541708	STK25	serine/threonine kinase 25 (STE20 homolog, yeast)	10494
10012668156	1.29e-07	4.18e-10	-7.720361	12.936323	-0.2874417	BRD3	bromodomain containing 3	8019
10012688906	1.31e-07	4.29e-10	-7.713249	12.911638	-0.1762804	CACNA1H	calcium channel, voltage-dependent, T type, alpha 1H subunit	8912
10012680040	1.33e-07	4.44e-10	7.703619	12.878203	1.078172			
10012684889	1.41e-07	4.81e-10	7.681222	12.800428	0.3014446	RAE1	RAE1 RNA export 1 homolog (S. pombe)	8480
10012682098	1.41e-07	4.85e-10	-7.679226	12.793496	-0.2236107	GNAS	GNAS complex locus	2778
10012666044	1.44e-07	5.01e-10	-7.670297	12.76248	-0.2962107			
10012669892	1.45e-07	5.10e-10	7.665295	12.745103	1.0013619	DYX1C1	dyslexia susceptibility 1 candidate 1	161582
10012679488	1.47e-07	5.25e-10	7.65721	12.717013	1.252106	RAB17	RAB17, member RAS oncogene family	64284
10012684122	1.52e-07	5.51e-10	7.643686	12.67002	1.0368851	KIF24	kinesin family member 24	347240
10012673292	1.52e-07	5.70e-10	7.63446	12.637956	0.1878423	DAP3	death associated protein 3	7818
10012677438	1.52e-07	5.73e-10	7.632944	12.632685	1.1755792			
10012673592	1.52e-07	5.74e-10	-7.632601	12.631495	-0.2078857	AIP	aryl hydrocarbon receptor interacting protein	9049
10012682379	1.55e-07	5.90e-10	7.624851	12.604555	1.0124435	LOC286367	FP944	286367
10012674173	1.57e-07	6.07e-10	-7.616887	12.576869	-0.2162827	NUMA1	nuclear mitotic apparatus protein 1	4926
10012681095	1.64e-07	6.42e-10	7.601306	12.522696	0.4309226	RALGDS	ral guanine nucleotide dissociation stimulator	5900
10012675676	1.90e-07	7.53e-10	7.557326	12.369716	0.4363208	KIF3A	kinesin family member 3A	11127
10012665625	1.93e-07	7.74e-10	7.549758	12.343381	0.2995887	SNRPA1	small nuclear ribonucleoprotein polypeptide A'	6627
10012678280	2.02e-07	8.19e-10	7.533762	12.287714	0.3481196	CLIC4	chloride intracellular channel 4	25932
10012667903	2.11e-07	8.70e-10	7.517048	12.229533	1.1262524	CTSL1	cathepsin L1	1514
10012667184	2.11e-07	8.75e-10	7.515662	12.224709	1.0231494	COL2A1	collagen, type II, alpha 1	1280
10012687624	2.28e-07	9.60e-10	7.490062	12.135571	0.4602702			
10012682578	2.28e-07	9.67e-10	7.487881	12.127976	0.242428	TMEM39B	transmembrane protein 39B	55116
10012674385	2.59e-07	1.12e-09	7.44726	11.986476	0.5295815	SOD2	superoxide dismutase 2, mitochondrial	6648
10012688345	2.59e-07	1.12e-09	7.446093	11.982409	0.2712958	STK35	serine/threonine kinase 35	140901
10012666729	2.63e-07	1.16e-09	7.438401	11.955607	0.3289143	IPMK	inositol polyphosphate multikinase	253430
10012671371	2.68e-07	1.20e-09	7.429018	11.922909	0.2518994	IL11	interleukin 11	3589
10012673001	2.68e-07	1.20e-09	-7.427174	11.916483	-0.2131167	PYCR2	pyrroline-5-carboxylate reductase family, member 2	29920
10012687186	2.89e-07	1.31e-09	7.403641	11.834459	0.3015482	WSB2	WD repeat and SOCS box-containing 2	55884
10012675716	3.01e-07	1.38e-09	7.389084	11.783711	0.2677911	CHERP	calcium homeostasis endoplasmic reticulum protein	10523
10012667793	3.05e-07	1.42e-09	7.382436	11.760532	0.970419	SORBS2	sorbin and SH3 domain containing 2	8470
10012680355	3.14e-07	1.47e-09	-7.371568	11.722636	-0.2241196	SS18L2	synovial sarcoma translocation gene on chromosome 18-like 2	51188
10012673835	3.29e-07	1.56e-09	-7.356001	11.668346	-1.0840738	AHCYL1	S-adenosylhomocysteine hydrolase-like 1	10768
10012669822	3.37e-07	1.62e-09	-7.344413	11.627932	-0.3806363	SAPS3	SAPS domain family, member 3	55291
10012667762	3.37e-07	1.63e-09	7.343451	11.624573	0.2302107	UBE2G2	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	7327
10012675600	3.48e-07	1.70e-09	-7.332517	11.586435	-0.3036935	MLH3	mutL homolog 3 (E. coli)	27030
10012670124	3.49e-07	1.72e-09	-7.32861	11.572805	-0.3076577	PFN1	profilin 1	5216
10012674249	3.64e-07	1.81e-09	7.31414	11.522321	0.3306839	TBRG4	transforming growth factor beta regulator 4	9238
10012675359	3.70e-07	1.86e-09	7.307372	11.498708	0.2526887	C6orf89	chromosome 6 open reading frame 89	221477
10012670551	4.14e-07	2.10e-09	-7.273175	11.379367	-0.3246833	RCVRN	recoverin	5957
10012675971	4.36e-07	2.23e-09	7.256401	11.320817	0.2440012	RNF214	ring finger protein 214	257160
10012672064	4.47e-07	2.31e-09	7.246994	11.287976	1.0491732	CRKL	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	1399
10012669278	4.59e-07	2.40e-09	7.237042	11.253234	0.1831244	PSCD2	pleckstrin homology, Sec7 and coiled-coil domains 2 (cytohesin-2)	9266
10012682848	4.71e-07	2.49e-09	-7.225996	11.214667	-0.2467464	C1orf162	chromosome 1 open reading frame 162	128346
10012676264	4.71e-07	2.50e-09	-7.224863	11.210712	-0.1998637	CACYBP	calcyclin binding protein	27101
10012678269	4.76e-07	2.55e-09	-7.219597	11.192323	-0.2522315	CPLX2	complexin 2	10814
10012688907	4.87e-07	2.64e-09	7.210693	11.161232	0.3201298			
10012686496	4.89e-07	2.67e-09	7.207306	11.149404	0.3356845	ANKS6	ankyrin repeat and sterile alpha motif domain containing 6	203286
10012687350	5.35e-07	2.95e-09	7.179804	11.053358	0.1948577	VPS33B	vacuolar protein sorting 33 homolog B (yeast)	26276
