ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012685736	1.21e-21	5.72e-26	-18.50214	48.722594	-0.69181143	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	21
10012683708	1.96e-21	1.85e-25	-18.066884	47.575791	-0.75981524			
10012665676	2.57e-21	3.65e-25	-17.819573	46.914708	-0.54925714	C4orf28	chromosome 4 open reading frame 28	133015
10012675466	3.56e-21	6.89e-25	-17.59005	46.294935	-0.55189286	PPP3CC	protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform	5533
10012674672	3.56e-21	1.01e-24	-17.453892	45.924405	-1.12285238	LRRC32	leucine rich repeat containing 32	2615
10012667762	3.56e-21	1.08e-24	-17.429921	45.858952	-0.47094905	UBE2G2	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	7327
10012680955	3.56e-21	1.18e-24	-17.397437	45.770143	-0.61080238			
10012666297	3.68e-21	1.39e-24	17.338123	45.60767	1.00685048	MNDA	myeloid cell nuclear differentiation antigen	4332
10012681082	1.24e-20	5.28e-24	-16.868251	44.305963	-0.49506476	STARD9	StAR-related lipid transfer (START) domain containing 9	57519
10012665595	2.04e-20	9.68e-24	-16.656794	43.711589	-0.42982286	SNAPC4	small nuclear RNA activating complex, polypeptide 4, 190kDa	6621
10012677666	2.39e-20	1.25e-23	-16.569556	43.464806	-0.75387524	RALGDS	ral guanine nucleotide dissociation stimulator	5900
10012671756	3.56e-20	2.02e-23	-16.402749	42.990367	-0.43301952	MBTPS1	membrane-bound transcription factor peptidase, site 1	8720
10012666649	4.24e-20	2.61e-23	-16.315341	42.740405	-0.67301571			
10012686957	4.86e-20	3.44e-23	-16.220694	42.468687	-0.85924238			
10012674426	4.86e-20	3.45e-23	-16.220136	42.467082	-0.41959952	LAS1L	LAS1-like (S. cerevisiae)	81887
10012672453	6.27e-20	4.75e-23	-16.111124	42.152749	-0.54856857	KLHL25	kelch-like 25 (Drosophila)	64410
10012678280	1.37e-19	1.10e-22	-15.82777	41.328829	-0.62454381	CLIC4	chloride intracellular channel 4	25932
10012668890	1.77e-19	1.51e-22	-15.721353	41.016811	-0.63680095	TMEM64	transmembrane protein 64	169200
10012672057	1.86e-19	1.67e-22	15.687216	40.916419	0.54263048	MID1IP1	MID1 interacting protein 1 (gastrulation specific G12 homolog (zebrafish))	58526
10012667554	2.06e-19	1.95e-22	15.63658	40.767236	0.56981714	MID1IP1	MID1 interacting protein 1 (gastrulation specific G12 homolog (zebrafish))	58526
10012680486	2.28e-19	2.27e-22	-15.586186	40.618447	-0.46676857	DDX47	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47	51202
10012681007	3.83e-19	4.07e-22	-15.392487	40.043561	-0.6841981	IHPK2	inositol hexaphosphate kinase 2	51447
10012673575	3.83e-19	4.17e-22	-15.38491	40.020975	-0.50740333	ORAOV1	oral cancer overexpressed 1	220064
10012679548	4.14e-19	4.71e-22	-15.344712	39.901034	-0.59984143	TMPRSS5	transmembrane protease, serine 5 (spinesin)	80975
10012665599	4.31e-19	5.10e-22	15.318229	39.821904	0.99899619	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	241
10012673309	4.45e-19	5.48e-22	15.294752	39.75168	1.33371905	PRG3	proteoglycan 3	10394
10012673471	5.36e-19	6.85e-22	15.221545	39.532256	1.00748286	VNN2	vanin 2	8875
10012672498	7.70e-19	1.02e-21	15.091235	39.139982	0.9168481	TNFRSF10C	tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain	8794
10012675544	8.12e-19	1.12e-21	15.062549	39.053334	1.21129095	S100A12	S100 calcium binding protein A12	6283
10012686960	8.98e-19	1.28e-21	15.01885	38.921137	0.86807571	TNFRSF10C	tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain	8794
10012672760	9.92e-19	1.53e-21	-14.959425	38.740973	-0.82832048	PEAR1	platelet endothelial aggregation receptor 1	375033
10012689347	9.92e-19	1.55e-21	14.956244	38.731315	1.3353481	IL8RB	interleukin 8 receptor, beta	3579
10012673467	9.92e-19	1.55e-21	14.95548	38.728995	0.79179762	LIN7A	lin-7 homolog A (C. elegans)	8825
10012670211	1.29e-18	2.07e-21	-14.862026	38.444694	-0.90910857	MMD	monocyte to macrophage differentiation-associated	23531
10012687765	1.39e-18	2.30e-21	14.828559	38.342609	0.36666667	FES	feline sarcoma oncogene	2242
10012670153	1.53e-18	2.68e-21	-14.778917	38.190913	-0.87886	SPOCD1	SPOC domain containing 1	90853
