ID,Gene.symbol,Gene.title,Gene.ID,adj.P.Val,P.Value,t,B,logFC
10012674381,KIAA1949,KIAA1949,170954,5.36e-05,9.79e-09,7.44,9.58611,0.52
10012667606,ANXA2,annexin A2,302,0.0008212,3.37e-07,6.26,6.44063,0.58
10012675711,DDX17,DEAD (Asp-Glu-Ala-Asp) box polypeptide 17,10521,0.0010179,4.65e-07,6.16,6.15381,0.438
10012679115,SPOCK2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2",9806,0.0011417,7.29e-07,6.01,5.74882,0.6
10012676444,CHMP2A,chromatin modifying protein 2A,27243,0.0017289,1.18e-06,5.85,5.31382,0.215
10012675138,HEXA,hexosaminidase A (alpha polypeptide),3073,0.0026142,2.39e-06,5.62,4.68259,0.399
10012670845,CCL5,chemokine (C-C motif) ligand 5,6352,0.0030754,3.19e-06,5.52,4.42061,0.776
10012674953,MDFI,MyoD family inhibitor,4188,0.0047963,5.69e-06,5.33,3.89859,0.734
10012689170,ITPR1,"inositol 1,4,5-triphosphate receptor, type 1",3708,0.0057994,7.68e-06,5.24,3.62854,0.579
10012676203,PLXNB2,plexin B2,23654,0.0066922,9.34e-06,5.17,3.45113,0.332
10012672536,RAB5C,"RAB5C, member RAS oncogene family",5878,0.0066922,1.01e-05,5.15,3.38341,0.283
10012679865,SYTL3,synaptotagmin-like 3,94120,0.0066922,1.01e-05,5.15,3.38251,0.524
10012674290,PSCD1,"pleckstrin homology, Sec7 and coiled-coil domains 1(cytohesin 1)",9267,0.0081929,1.38e-05,5.04,3.09633,0.353
10012689076,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)",3678,0.0101993,1.91e-05,4.94,2.8056,0.308
10012667708,TYROBP,TYRO protein tyrosine kinase binding protein,7305,0.0103379,2e-05,4.92,2.76467,0.622
10012677821,CD5,CD5 molecule,921,0.0105851,2.22e-05,4.89,2.66804,0.505
10012673285,KIAA1618,KIAA1618,57714,0.0174142,5.96e-05,4.56,1.77627,0.416
10012685651,PRR13,proline rich 13,54458,0.0179045,6.22e-05,4.54,1.73706,0.203
10012667103,SLC22A18,"solute carrier family 22, member 18",5002,0.0196663,7.4e-05,4.49,1.58026,0.204
10012682071,SLC15A3,"solute carrier family 15, member 3",51296,0.0196663,7.54e-05,4.48,1.56401,0.617
10012679537,CBL,Cas-Br-M (murine) ecotropic retroviral transforming sequence,867,0.0219674,8.66e-05,4.43,1.43914,0.277
10012679018,CHMP4B,chromatin modifying protein 4B,128866,0.0219674,8.73e-05,4.43,1.43107,0.282
10012675455,IFI30,"interferon, gamma-inducible protein 30",10437,0.0228947,9.93e-05,4.39,1.3156,0.744
10012674878,TNFAIP2,"tumor necrosis factor, alpha-induced protein 2",7127,0.0229924,0.000101,4.38,1.2972,0.565
10012675269,RTN4,reticulon 4,57142,0.0229924,0.000104,4.37,1.27568,0.216
10012672593,SOCS2,suppressor of cytokine signaling 2,8835,0.0233542,0.000107,4.36,1.25135,0.51
10012689547,CENTB2,"centaurin, beta 2",23527,0.024671,0.000119,4.32,1.14924,0.485
10012667543,SYK,spleen tyrosine kinase,6850,0.0249578,0.000122,4.32,1.13033,0.52
10012671944,FNBP1,formin binding protein 1,23048,0.0254862,0.000126,4.31,1.10303,0.388
10012665132,AIFM2,"apoptosis-inducing factor, mitochondrion-associated, 2",84883,0.0264399,0.000132,4.29,1.06156,0.426
10012682482,RNPC3,"RNA-binding region (RNP1, RRM) containing 3",55599,0.0269551,0.00014,4.27,1.00457,0.366
10012672200,PYCARD,PYD and CARD domain containing,29108,0.0274737,0.000145,4.26,0.97079,0.245
10012689273,YPEL2,yippee-like 2 (Drosophila),388403,0.0281285,0.000157,4.23,0.90074,0.448
10012669551,PTPN6,"protein tyrosine phosphatase, non-receptor type 6",5777,0.0304423,0.000179,4.19,0.78244,0.274
10012680026,C1orf54,chromosome 1 open reading frame 54,79630,0.0306227,0.000187,4.17,0.74594,0.458
10012671766,MFF,mitochondrial fission factor,56947,0.0306227,0.000188,4.17,0.73996,0.404
10012685627,TNFRSF1B,"tumor necrosis factor receptor superfamily, member 1B",7133,0.0306227,0.00019,4.17,0.73181,0.509
10012668760,PRKCB1,"protein kinase C, beta 1",5579,0.0312157,0.000197,4.15,0.69902,0.334
10012679443,ZFAND3,"zinc finger, AN1-type domain 3",60685,0.0344736,0.000236,4.09,0.53441,0.22
10012679105,C15orf39,chromosome 15 open reading frame 39,56905,0.0359993,0.000266,4.05,0.42608,0.259
10012687846,FYN,"FYN oncogene related to SRC, FGR, YES",2534,0.0360057,0.000268,4.05,0.42038,0.195
10012671577,ZSWIM6,"zinc finger, SWIM-type containing 6",57688,0.0363079,0.000273,4.04,0.40217,0.326
10012676634,MRCL3,myosin regulatory light chain MRCL3,10627,0.0366165,0.000279,4.03,0.3834,0.2
10012672376,C15orf5,chromosome 15 open reading frame 5,81698,0.0377048,0.000294,4.02,0.33572,0.325
10012677232,BCL11B,B-cell CLL/lymphoma 11B (zinc finger protein),64919,0.0386061,0.000315,3.99,0.27331,0.697
10012685272,FAM49A,"family with sequence similarity 49, member A",81553,0.0393356,0.000327,3.98,0.2415,0.651
10012665436,PDLIM2,PDZ and LIM domain 2 (mystique),64236,0.0414578,0.000348,3.96,0.18439,0.268
10012688789,GNB1,"guanine nucleotide binding protein (G protein), beta polypeptide 1",2782,0.0417507,0.000352,3.95,0.17318,0.15
10012672635,ARHGEF7,Rho guanine nucleotide exchange factor (GEF) 7,8874,0.0439604,0.000383,3.93,0.09809,0.237
10012681445,ATP8A1,"ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1",10396,0.0446969,0.000394,3.92,0.07379,0.524
10012687748,P4HA1,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I",5033,0.0460769,0.000419,3.89,0.01708,0.347
10012678903,CMTM3,CKLF-like MARVEL transmembrane domain containing 3,123920,0.0460769,0.000423,3.89,0.00994,0.243
10012668963,N4BP2L2,NEDD4 binding protein 2-like 2,10443,0.0473251,0.000443,3.88,-0.03179,0.296
10012670601,IFITM1,interferon induced transmembrane protein 1 (9-27),8519,0.0474329,0.000446,3.87,-0.03821,0.537
10012689536,IL2RB,"interleukin 2 receptor, beta",3560,0.0489322,0.000486,3.84,-0.11483,0.504
10012668864,SNN,stannin,8303,0.0489322,0.000488,3.84,-0.11998,0.325
10012677653,LOC283070,hypothetical protein LOC283070,283070,0.0489322,0.000501,3.83,-0.14292,0.409
10012665314,SULF2,sulfatase 2,55959,0.0489322,0.000503,3.83,-0.14608,0.648
10012673877,PRAME,preferentially expressed antigen in melanoma,23532,0.0553559,0.000616,3.76,-0.32859,0.732
10012682731,FAM26B,"family with sequence similarity 26, member B",51063,0.0553559,0.00062,3.76,-0.33396,0.212
10012687205,CD68,CD68 molecule,968,0.0573573,0.000674,3.73,-0.40838,0.416
10012688677,CD3D,"CD3d molecule, delta (CD3-TCR complex)",915,0.0573573,0.000678,3.73,-0.41425,0.612
10012677661,GAS7,growth arrest-specific 7,8522,0.0574762,0.000682,3.72,-0.41956,0.375
10012687122,LOC129293,hypothetical protein LOC129293,129293,0.057704,0.00069,3.72,-0.42998,0.344
10012674517,POLD4,"polymerase (DNA-directed), delta 4",57804,0.0586305,0.00071,3.71,-0.45504,0.263
10012686571,ANKMY1,ankyrin repeat and MYND domain containing 1,51281,0.0586305,0.000717,3.71,-0.46455,0.183
10012680829,ARHGAP30,Rho GTPase activating protein 30,257106,0.0588489,0.000722,3.7,-0.47122,0.22
10012665352,PTEN,phosphatase and tensin homolog (mutated in multiple advanced cancers 1),5728,0.0590381,0.000727,3.7,-0.47742,0.364
10012669850,GPR114,G protein-coupled receptor 114,221188,0.0592094,0.000735,3.7,-0.48664,0.428
10012666361,RNF213,ring finger protein 213,57674,0.0597549,0.000762,3.69,-0.51863,0.45
10012677151,MYCBP2,MYC binding protein 2,23077,0.0597549,0.000764,3.68,-0.5219,0.218
10012665711,MAX,MYC associated factor X,4149,0.0605633,0.000802,3.67,-0.56472,0.346
10012677603,LILRB2,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2",10288,0.0605633,0.000822,3.66,-0.58641,0.621
10012688183,ALOX5,arachidonate 5-lipoxygenase,240,0.0605633,0.000822,3.66,-0.58684,0.535
10012681397,FOXP1,forkhead box P1,27086,0.0608682,0.000833,3.65,-0.59915,0.195
10012669862,CREB5,cAMP responsive element binding protein 5,9586,0.0610126,0.000841,3.65,-0.60722,0.466
10012666684,LOC149832,hypothetical protein LOC149832,149832,0.0610719,0.000852,3.65,-0.61942,0.3
10012672355,GLI2,GLI-Kruppel family member GLI2,2736,0.0615622,0.000868,3.64,-0.63576,0.875
10012683693,IAH1,isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae),285148,0.0625005,0.000905,3.62,-0.67306,0.167
10012685897,LST1,leukocyte specific transcript 1,7940,0.0625005,0.00091,3.62,-0.6782,0.31
10012674928,C1orf38,chromosome 1 open reading frame 38,9473,0.0625005,0.000913,3.62,-0.68061,0.35
10012680507,DLGAP4,"discs, large (Drosophila) homolog-associated protein 4",22839,0.0627509,0.000923,3.62,-0.69107,0.228
10012674725,ZNF467,zinc finger protein 467,168544,0.0652696,0.00098,3.6,-0.7442,0.226
10012673010,SAMD3,sterile alpha motif domain containing 3,154075,0.0673308,0.00102,3.58,-0.78281,0.548
10012686535,JMJD2C,jumonji domain containing 2C,23081,0.0674749,0.00103,3.58,-0.78741,0.396
10012679747,PLEKHO1,"pleckstrin homology domain containing, family O member 1",51177,0.0679323,0.00105,3.57,-0.80296,0.239
10012670634,SYTL1,synaptotagmin-like 1,84958,0.0684826,0.00106,3.57,-0.81658,0.186
10012678919,PIAS1,"protein inhibitor of activated STAT, 1",8554,0.0692236,0.00108,3.56,-0.82985,0.165
10012682491,TMEM51,transmembrane protein 51,55092,0.0692608,0.00108,3.56,-0.83453,0.521
10012669658,RAB2A,"RAB2A, member RAS oncogene family",5862,0.06927,0.00109,3.56,-0.83725,0.237
10012680270,RNASEH2B,"ribonuclease H2, subunit B",79621,0.0696505,0.0011,3.56,-0.8456,0.255
10012681571,SLC26A11,"solute carrier family 26, member 11",284129,0.0696505,0.0011,3.55,-0.84732,0.566
10012681475,FBXL20,F-box and leucine-rich repeat protein 20,84961,0.0696978,0.00111,3.55,-0.85308,0.28
10012672402,TNFRSF14,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)",8764,0.0698162,0.00111,3.55,-0.85716,0.275
10012689228,KLRB1,"killer cell lectin-like receptor subfamily B, member 1",3820,0.0699452,0.00112,3.55,-0.86137,0.623
10012688681,CD247,CD247 molecule,919,0.0725443,0.00123,3.52,-0.94383,0.593
10012687777,KIF1C,kinesin family member 1C,10749,0.073708,0.00126,3.51,-0.9674,0.536
10012689014,SH3BP1,SH3-domain binding protein 1,23616,0.0764245,0.00133,3.49,-1.0189,0.298
10012665435,LGALS1,"lectin, galactoside-binding, soluble, 1 (galectin 1)",3956,0.0764245,0.00135,3.48,-1.02713,0.495
10012674283,HECTD1,HECT domain containing 1,25831,0.0764245,0.00135,3.48,-1.02728,0.302
10012673590,SH2D2A,SH2 domain protein 2A,9047,0.0780212,0.00139,3.47,-1.05781,0.329
10012681163,CWC15,CWC15 homolog (S. cerevisiae),51503,0.0789479,0.00143,3.46,-1.07999,0.184
10012685829,WAS,Wiskott-Aldrich syndrome (eczema-thrombocytopenia),7454,0.0794768,0.00146,3.45,-1.10125,0.155
10012667773,PRDX5,peroxiredoxin 5,25824,0.0795333,0.00148,3.45,-1.1128,0.204
10012668962,CAMK1D,calcium/calmodulin-dependent protein kinase ID,57118,0.0802312,0.0015,3.44,-1.12719,0.373
10012665110,GPATCH2,G patch domain containing 2,55105,0.0803363,0.00152,3.44,-1.13484,0.284
10012679970,SYT11,synaptotagmin XI,23208,0.0808145,0.00153,3.43,-1.14444,0.219
10012665568,ZFP106,zinc finger protein 106 homolog (mouse),64397,0.0823167,0.00159,3.42,-1.17829,0.193
10012688166,ISCU,iron-sulfur cluster scaffold homolog (E. coli),23479,0.0833623,0.00167,3.4,-1.22002,0.163
10012687206,CD70,CD70 molecule,970,0.084719,0.00172,3.39,-1.24448,0.521
10012666484,CAPN2,"calpain 2, (m/II) large subunit",824,0.08499,0.00176,3.38,-1.26611,0.293
10012678718,PARP12,"poly (ADP-ribose) polymerase family, member 12",64761,0.08499,0.00176,3.38,-1.26715,0.242
