ID,Gene.symbol,Gene.title,Gene.ID,adj.P.Val,P.Value,t,B,logFC
10012680486,DDX47,DEAD (Asp-Glu-Ala-Asp) box polypeptide 47,51202,4.07e-34,3.85e-38,26.2028,76.4929,0.656863
10012681095,RALGDS,ral guanine nucleotide dissociation stimulator,5900,4.4e-33,1.04e-36,24.8849,73.2541,0.692026
10012665676,C4orf28,chromosome 4 open reading frame 28,133015,2.87e-32,9.5e-36,24.0312,71.0775,0.626608
10012685105,FLJ40142,FLJ40142 protein,400073,4.6e-32,1.96e-35,23.7569,70.3646,0.891223
10012680296,LPIN1,lipin 1,23175,5.13e-31,3.16e-34,22.7255,67.6217,0.846673
10012688522,EMP1,epithelial membrane protein 1,2012,5.34e-31,3.79e-34,22.6594,67.4425,1.29212
10012670381,AVEN,"apoptosis, caspase activation inhibitor",57099,2.43e-30,2.07e-33,22.0475,65.7637,0.599014
10012672593,SOCS2,suppressor of cytokine signaling 2,8835,2.67e-30,2.53e-33,21.9768,65.5672,1.14249
10012684007,CCDC25,coiled-coil domain containing 25,55246,7.83e-30,8.15e-33,21.5634,64.4089,0.510787
10012667762,UBE2G2,"ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)",7327,2.07e-29,2.84e-32,21.1289,63.1732,0.471361
10012673034,NOB1,NIN1/RPN12 binding protein 1 homolog (S. cerevisiae),28987,6.1e-29,1.13e-31,20.6573,61.8095,0.634749
10012688881,LRPPRC,leucine-rich PPR-motif containing,10128,1.14e-28,2.34e-31,20.4102,61.0858,0.561392
10012673455,WASF1,"WAS protein family, member 1",8936,7.05e-28,1.93e-30,19.7069,58.9893,1.11206
10012667916,VDAC2,voltage-dependent anion channel 2,7417,9.24e-28,2.72e-30,19.5956,58.6524,0.597682
10012679028,DDX31,DEAD (Asp-Glu-Ala-Asp) box polypeptide 31,64794,1.06e-27,3.22e-30,19.5398,58.4832,0.616445
10012674643,SCARB1,"scavenger receptor class B, member 1",949,1.98e-27,6.75e-30,19.2994,57.7495,0.598727
10012668907,PSMA1,"proteasome (prosome, macropain) subunit, alpha type, 1",5682,3.52e-27,1.27e-29,19.0959,57.1236,0.38486
