Gene.ID,Gene.symbol,logFC
170954,KIAA1949,0.560478
3678,ITGA5,0.328094
302,ANXA2,0.62036
5579,PRKCB1,0.438135
8874,ARHGEF7,0.805071
23654,PLXNB2,0.373039
23048,FNBP1,0.464449
79966,SCD5,0.497166
3708,ITPR1,0.687271
9267,PSCD1,0.402427
6352,CCL5,0.759737
9806,SPOCK2,0.612782
27243,CHMP2A,0.218369
8835,SOCS2,0.576723
867,CBL,0.383003
79630,C1orf54,0.520101
128866,CHMP4B,0.333566
5878,RAB5C,0.289933
149832,LOC149832,0.395676
10521,DDX17,0.411742
23527,CENTB2,0.530629
27086,FOXP1,0.259451
123920,CMTM3,0.289887
84159,ARID5B,0.40477
51281,ANKMY1,0.214617
3073,HEXA,0.394125
5862,RAB2A,0.27204
57459,GATAD2B,0.198319
57677,ZFP14,0.244966
4188,MDFI,0.67063
9445,ITM2B,0.277671
23208,SYT11,0.286681
5002,SLC22A18,0.198397
54842,FLJ20160,0.365839
56947,MFF,0.460141
5613,PRKX,0.243479
27245,AHDC1,0.339163
283070,LOC283070,0.450942
7805,LAPTM5,0.346576
54458,PRR13,0.182605
2876,GPX1,0.264905
23077,MYCBP2,0.268434
7133,TNFRSF1B,0.463029
8869,ST3GAL5,0.444473
921,CD5,0.504003
57688,ZSWIM6,0.345695
6934,TCF7L2,0.285741
23150,FRMD4B,0.360418
51177,PLEKHO1,0.274738
10396,ATP8A1,0.559165
57714,KIAA1618,0.425699
307,ANXA4,0.325582
51296,SLC15A3,0.514928
29978,UBQLN2,0.207691
7305,TYROBP,0.495729
1043,CD52,0.475449
64919,BCL11B,0.692351
129293,LOC129293,0.329765
26228,STAP1,0.41758
730051,LOC730051,0.276686
9651,PLCH2,0.518049
94120,SYTL3,0.467031
441108,LOC441108,0.45747
10443,N4BP2L2,0.298473
9755,TBKBP1,0.302064
81553,FAM49A,0.701042
10475,TRIM38,0.370161
10398,MYL9,0.222691
55608,ANKRD10,0.464935
56905,C15orf39,0.257351
3707,ITPKB,0.33905
29108,PYCARD,0.251501
6850,SYK,0.538072
7091,TLE4,0.439975
80759,KHDC1,0.304162
54918,CMTM6,0.213502
9456,HOMER1,0.517587
10437,IFI30,0.658801
4907,NT5E,0.750383
4149,MAX,0.38286
4026,LPP,0.4479
114327,EFHC1,0.238435
5728,PTEN,0.418171
1540,CYLD,0.246297
7874,USP7,0.271541
1622,DBI,0.21658
23362,PSD3,0.764126
84883,AIFM2,0.414301
79621,RNASEH2B,0.284529
60685,ZFAND3,0.205716
3560,IL2RB,0.482015
4131,MAP1B,0.404904
9168,TMSB10,0.285829
57118,CAMK1D,0.41288
57674,RNF213,0.471225
919,CD247,0.616572
57804,POLD4,0.278758
3773,KCNJ16,0.900883
