mRNA,miR
CREB5,MIMAT0005824
SETD1B,MIMAT0005824
RORA,MIMAT0005824
GRIN2B,MIMAT0005824
ATXN1,MIMAT0005899
TCF20,MIMAT0005899
EFHD2,MIMAT0005899
TPM3,MIMAT0004607
ERGIC1,MIMAT0004607
ATP6V1A,MIMAT0004607
CSNK2A1,MIMAT0004607
PEX5L,MIMAT0004607
SLC46A1,MIMAT0004607
CYBRD1,MIMAT0004607
GNA13,MIMAT0004607
PAG1,MIMAT0004607
MECP2,MIMAT0004607
IGFBP4,MIMAT0004607
YY1,MIMAT0004607
RSBN1,MIMAT0004607
EIF4EBP1,MIMAT0000430
RHOC,MIMAT0000430
DMKN,MIMAT0000430
DNAJB6,MIMAT0000430
NFKB1,MIMAT0000430
LNPEP,MIMAT0000430
TERT,MIMAT0000430
ZMYND11,MIMAT0000430
EID1,MIMAT0000430
YAP1,MIMAT0000430
MXD1,MIMAT0000430
MEAF6,MIMAT0000430
IGF2BP1,MIMAT0000430
BLCAP,MIMAT0000430
CELF1,MIMAT0000430
S100A1,MIMAT0000430
FOXC1,MIMAT0000430
CDH2,MIMAT0000430
RPA1,MIMAT0000430
IGLON5,MIMAT0000430
CCND1,MIMAT0000430
BCL11A,MIMAT0000430
ZNF426,MIMAT0000430
PHKG2,MIMAT0000430
FNDC3A,MIMAT0000436
IRS1,MIMAT0000436
TEX9,MIMAT0000436
ADARB2,MIMAT0004600
SMAD4,MIMAT0004600
SOD2,MIMAT0004600
BLMH,MIMAT0004600
REL,MIMAT0004766
ATXN1,MIMAT0004766
TPM3,MIMAT0004766
KY,MIMAT0004766
SLC12A7,MIMAT0004766
KLHDC8B,MIMAT0004766
POLR3G,MIMAT0004766
BIVM,MIMAT0004766
PTGS1,MIMAT0004766
OLFML2A,MIMAT0004766
APOL6,MIMAT0004766
BLCAP,MIMAT0004766
RAB8A,MIMAT0004766
MAT2A,MIMAT0004766
LSM4,MIMAT0004766
LIMD1,MIMAT0004766
ZNF551,MIMAT0004766
CPEB4,MIMAT0004766
GANAB,MIMAT0004766
GK5,MIMAT0004766
USP48,MIMAT0002809
LIMD2,MIMAT0002809
TMEM167A,MIMAT0002809
RUFY2,MIMAT0002809
ZNRF3,MIMAT0002809
ARL8A,MIMAT0002809
TMPRSS5,MIMAT0002809
PMAIP1,MIMAT0002809
PPP1R11,MIMAT0002809
KCTD15,MIMAT0002809
CCDC6,MIMAT0002809
AKAP8,MIMAT0002809
NOVA1,MIMAT0002809
TRAF6,MIMAT0002809
GXYLT2,MIMAT0002809
ZNF629,MIMAT0002809
UMPS,MIMAT0002809
MRO,MIMAT0000262
NDUFB5,MIMAT0000262
KIF21A,MIMAT0000461
SBNO1,MIMAT0000461
ACVR2A,MIMAT0000461
GPR27,MIMAT0000461
TCF3,MIMAT0000461
BCL2,MIMAT0000461
KANK1,MIMAT0000461
FGF2,MIMAT0000461
ZNF275,MIMAT0000461
TMEM135,MIMAT0000461
GOSR1,MIMAT0000461
GNB1,MIMAT0000461
PLEKHA1,MIMAT0000461
AVL9,MIMAT0000461
HNRNPA2B1,MIMAT0000461
MTHFR,MIMAT0000461
CHEK1,MIMAT0000461
TBL1XR1,MIMAT0000461
RASEF,MIMAT0000461
TAB3,MIMAT0000461
CPNE1,MIMAT0000461
LRRC57,MIMAT0000461
LSM11,MIMAT0000461
RAB3IP,MIMAT0000461
CBFA2T3,MIMAT0000461
DICER1,MIMAT0000461
SMURF1,MIMAT0000461
RASSF5,MIMAT0000461
GNAL,MIMAT0000461
BSG,MIMAT0000461
UBE2V1,MIMAT0000461
CCDC80,MIMAT0000461
CYLD,MIMAT0000461
ZBTB34,MIMAT0000461
SEC61A1,MIMAT0000461
HEYL,MIMAT0000461
TSC22D2,MIMAT0000461
CPEB3,MIMAT0000461
WIPI2,MIMAT0000461
SERBP1,MIMAT0000461
AKAP11,MIMAT0000461
CDC37L1,MIMAT0000461
STX17,MIMAT0000461
RFK,MIMAT0000461
PDE4D,MIMAT0000461
BAG4,MIMAT0000461
BZW1,MIMAT0000461
CCNE1,MIMAT0000461
CCNT1,MIMAT0000461
CCNT2,MIMAT0000461
TPI1,MIMAT0000461
SHOC2,MIMAT0000461
DNAJC10,MIMAT0000461
ABCB7,MIMAT0000461
CDV3,MIMAT0000461
ETNK1,MIMAT0000461
C21orf62,MIMAT0000461
MIB1,MIMAT0000461
TAOK1,MIMAT0000461
RPRD1B,MIMAT0000461
PPP1R11,MIMAT0000461
HAUS3,MIMAT0000461
DCAF17,MIMAT0000461
GABARAPL1,MIMAT0000461
LUZP1,MIMAT0000461
SMAD3,MIMAT0000461
TKTL1,MIMAT0000461
VEGFA,MIMAT0000461
MECP2,MIMAT0000461
THRAP3,MIMAT0000461
CD180,MIMAT0000461
ACTR2,MIMAT0000461
ARIH1,MIMAT0000461
PURA,MIMAT0000461
MLLT6,MIMAT0000461
PSKH1,MIMAT0000461
YWHAQ,MIMAT0000461
VPS4A,MIMAT0000461
RACGAP1,MIMAT0000461
VCL,MIMAT0000461
SOCS5,MIMAT0000461
OCRL,MIMAT0000461
KPNA1,MIMAT0000461
PAFAH1B2,MIMAT0000461
CCL4,MIMAT0000461
SNCG,MIMAT0000461
CREG1,MIMAT0000461
ARHGDIA,MIMAT0000461
MAP4K2,MIMAT0000461
RAPH1,MIMAT0000461
MAFK,MIMAT0000461
ENTPD6,MIMAT0000461
APP,MIMAT0000461
SH3BGRL2,MIMAT0000461
KATNAL1,MIMAT0000461
GNAT1,MIMAT0000461
ZNF585B,MIMAT0000461
YTHDC1,MIMAT0000461
ZNF284,MIMAT0000461
TSPAN3,MIMAT0000232
FGF2,MIMAT0000232
LIN54,MIMAT0000232
CCDC80,MIMAT0000232
