logFC,id,type
1.4834,MIMAT0000076,miR
1.49095,MIMAT0000089,miR
-1.43493,MIMAT0000232,miR
-2.56718,MIMAT0000252,miR
1.91218,MIMAT0000255,miR
1.44197,MIMAT0000262,miR
-2.52597,MIMAT0000263,miR
-2.92486,MIMAT0000265,miR
-1.42539,MIMAT0000271,miR
2.87209,MIMAT0000278,miR
2.66827,MIMAT0000279,miR
-1.74416,MIMAT0000430,miR
-2.23477,MIMAT0000436,miR
-2.30199,MIMAT0000441,miR
-1.41384,MIMAT0000461,miR
-1.6235,MIMAT0000707,miR
2.38298,MIMAT0000728,miR
-1.70044,MIMAT0000733,miR
-1.42071,MIMAT0001413,miR
-2.64329,MIMAT0001631,miR
-2.68959,MIMAT0002177,miR
4.77846,MIMAT0002809,miR
3.11424,MIMAT0003233,miR
-1.42782,MIMAT0003322,miR
-1.43438,MIMAT0004563,miR
4.9077,MIMAT0004766,miR
-2.23051,MIMAT0005824,miR
-1.58159,MIMAT0005899,miR
-1.40305,MIMAT0004501,miR
1.61385,MIMAT0004504,miR
-2.05563,MIMAT0004554,miR
1.99246,MIMAT0004568,miR
-2.63332,MIMAT0004600,miR
-1.62838,MIMAT0004607,miR
-1.57319,MIMAT0006790,miR
1.06812,CREB5,mRNA
-0.235105,SETD1B,mRNA
-0.500954,RORA,mRNA
-0.0181727,GRIN2B,mRNA
-0.304866,ATXN1,mRNA
-0.192239,TCF20,mRNA
1.06069,EFHD2,mRNA
0.297344,TPM3,mRNA
0.080709,ERGIC1,mRNA
0.218256,ATP6V1A,mRNA
-0.119569,CSNK2A1,mRNA
-0.974857,PEX5L,mRNA
-0.576687,SLC46A1,mRNA
-0.984736,CYBRD1,mRNA
-0.374688,GNA13,mRNA
-0.132284,PAG1,mRNA
-0.152147,MECP2,mRNA
0.394432,IGFBP4,mRNA
0.0730484,YY1,mRNA
-0.335478,RSBN1,mRNA
0.770913,EIF4EBP1,mRNA
0.681812,RHOC,mRNA
0.123481,DMKN,mRNA
-0.153397,DNAJB6,mRNA
-0.188556,NFKB1,mRNA
-0.73864,LNPEP,mRNA
-0.13299,TERT,mRNA
-0.583717,ZMYND11,mRNA
-0.045616,EID1,mRNA
0.18203,YAP1,mRNA
-0.634627,MXD1,mRNA
0.700487,MEAF6,mRNA
-0.481746,IGF2BP1,mRNA
0.067025,BLCAP,mRNA
-0.320911,CELF1,mRNA
1.6721,S100A1,mRNA
-0.0852997,FOXC1,mRNA
2.70602,CDH2,mRNA
-0.0625097,RPA1,mRNA
0.284401,IGLON5,mRNA
1.7233,CCND1,mRNA
-1.23737,BCL11A,mRNA
-0.572881,ZNF426,mRNA
0.440011,PHKG2,mRNA
-0.318555,FNDC3A,mRNA
-1.74526,IRS1,mRNA
-0.266962,TEX9,mRNA
0.013303,ADARB2,mRNA
-0.408949,SMAD4,mRNA
-0.0743014,SOD2,mRNA
0.110622,BLMH,mRNA
-0.678545,REL,mRNA
-2.35838,KY,mRNA
0.109422,SLC12A7,mRNA
-0.249076,KLHDC8B,mRNA
-0.250757,POLR3G,mRNA
-0.347645,BIVM,mRNA
-0.0479085,PTGS1,mRNA
0.00717386,OLFML2A,mRNA
0.129287,APOL6,mRNA
0.0343154,RAB8A,mRNA
-0.696761,MAT2A,mRNA
0.291811,LSM4,mRNA
-0.38818,LIMD1,mRNA
-0.465638,ZNF551,mRNA
-0.917849,CPEB4,mRNA
-0.0798684,GANAB,mRNA
0.100351,GK5,mRNA
-0.207679,USP48,mRNA
0.201151,LIMD2,mRNA
-0.22301,TMEM167A,mRNA
-0.243331,RUFY2,mRNA
0.0171901,ZNRF3,mRNA
0.235999,ARL8A,mRNA
0.450785,TMPRSS5,mRNA
1.48461,PMAIP1,mRNA
-0.10231,PPP1R11,mRNA
-0.803506,KCTD15,mRNA
-0.0969515,CCDC6,mRNA
-0.319262,AKAP8,mRNA
0.0562911,NOVA1,mRNA
-0.910971,TRAF6,mRNA
0.39023,GXYLT2,mRNA
0.0890516,ZNF629,mRNA
-0.121256,UMPS,mRNA
-4.2408,MRO,mRNA
-0.131519,NDUFB5,mRNA
-0.155501,KIF21A,mRNA
-0.757211,SBNO1,mRNA
0.00467504,ACVR2A,mRNA
0.277782,GPR27,mRNA
0.149205,TCF3,mRNA
-1.84588,BCL2,mRNA
-0.146906,KANK1,mRNA
0.712201,FGF2,mRNA
-0.329446,ZNF275,mRNA
-0.478136,TMEM135,mRNA
-0.185427,GOSR1,mRNA
0.16672,GNB1,mRNA
-0.510106,PLEKHA1,mRNA
-0.266915,AVL9,mRNA
-0.205353,HNRNPA2B1,mRNA
0.419876,MTHFR,mRNA
0.243649,CHEK1,mRNA
-0.145144,TBL1XR1,mRNA
-0.841398,RASEF,mRNA
-0.326588,TAB3,mRNA
0.266808,CPNE1,mRNA
0.0751429,LRRC57,mRNA
-0.159387,LSM11,mRNA
-0.119455,RAB3IP,mRNA
-0.35208,CBFA2T3,mRNA
-0.769754,DICER1,mRNA
0.131103,SMURF1,mRNA
0.548976,RASSF5,mRNA
-1.57067,GNAL,mRNA
0.380331,BSG,mRNA
0.0149666,UBE2V1,mRNA
-0.302732,CCDC80,mRNA
-0.534478,CYLD,mRNA
-0.0401275,ZBTB34,mRNA
0.178305,SEC61A1,mRNA
0.378444,HEYL,mRNA
-0.691628,TSC22D2,mRNA
-0.978149,CPEB3,mRNA
0.0483824,WIPI2,mRNA
-0.109249,SERBP1,mRNA
-0.265871,AKAP11,mRNA
-0.155562,CDC37L1,mRNA
-0.287543,STX17,mRNA
0.316133,RFK,mRNA
-0.878996,PDE4D,mRNA
-0.196305,BAG4,mRNA
-0.0568027,BZW1,mRNA
0.335076,CCNE1,mRNA
-0.986647,CCNT1,mRNA
-0.122915,CCNT2,mRNA
0.0428666,TPI1,mRNA
-0.269555,SHOC2,mRNA
-0.269983,DNAJC10,mRNA
0.0285856,ABCB7,mRNA
-0.460335,CDV3,mRNA
-0.230355,ETNK1,mRNA
-0.495075,C21orf62,mRNA
-0.0209624,MIB1,mRNA
-0.856784,TAOK1,mRNA
-0.510488,RPRD1B,mRNA
-0.254557,HAUS3,mRNA
-0.972195,DCAF17,mRNA
-0.470857,GABARAPL1,mRNA
0.174281,LUZP1,mRNA
-0.162618,SMAD3,mRNA
-0.496051,TKTL1,mRNA
-0.610786,VEGFA,mRNA
-0.087324,THRAP3,mRNA
0.171385,CD180,mRNA
-0.0236828,ACTR2,mRNA
-0.128138,ARIH1,mRNA
-0.360597,PURA,mRNA
-0.0162498,MLLT6,mRNA
-0.509574,PSKH1,mRNA
-0.173826,YWHAQ,mRNA
-0.157617,VPS4A,mRNA
0.0451801,RACGAP1,mRNA
0.227135,VCL,mRNA
-0.157252,SOCS5,mRNA
-0.349218,OCRL,mRNA
0.170897,KPNA1,mRNA
-0.451969,PAFAH1B2,mRNA
-0.759316,CCL4,mRNA
0.688792,SNCG,mRNA
-0.376238,CREG1,mRNA
0.201071,ARHGDIA,mRNA
-0.265381,MAP4K2,mRNA
-0.606325,RAPH1,mRNA
0.103718,MAFK,mRNA
0.0637025,ENTPD6,mRNA
-0.28577,APP,mRNA
0.0513059,SH3BGRL2,mRNA
-0.033525,KATNAL1,mRNA
0.150711,GNAT1,mRNA
-0.656865,ZNF585B,mRNA
-0.400138,YTHDC1,mRNA
-0.235203,ZNF284,mRNA
0.411049,TSPAN3,mRNA
-0.156043,LIN54,mRNA
-0.508942,CCNL1,mRNA
-3.27968,FOXA2,mRNA
-0.260676,TFAM,mRNA
2.287,MET,mRNA
-0.0238455,MAPK9,mRNA
-1.41665,HGF,mRNA
0.0204067,PAK4,mRNA
-0.0302786,ZNF394,mRNA
0.219686,JAG1,mRNA
-2.26077,CSGALNACT1,mRNA
0.0579028,EXTL3,mRNA
-3.29168,KIT,mRNA
-0.239233,OXSR1,mRNA
0.35713,HES1,mRNA
0.228019,POLA2,mRNA
-2.57107,PDE11A,mRNA
-0.220249,ZNF846,mRNA
0.0123095,CHCHD4,mRNA
-0.682184,DDI2,mRNA
0.130655,ZNF584,mRNA
0.231494,SLC26A2,mRNA
0.284576,PODXL,mRNA
-0.637682,ADAT2,mRNA
0.447459,ANKFY1,mRNA
-0.0219723,CHCHD3,mRNA
1.18645,CD44,mRNA
-0.110414,MTA3,mRNA
-0.208602,TLK2,mRNA
0.549466,HOXA10,mRNA
