Source1,Source2,Shared_Targets_Count
MIMAT0000416,MIMAT0000462,2
MIMAT0000416,MIMAT0001413,2
MIMAT0000416,MIMAT0000076,1
MIMAT0000416,MIMAT0000271,1
MIMAT0000416,MIMAT0000089,1
MIMAT0000416,MIMAT0000255,1
MIMAT0000416,MIMAT0002820,1
MIMAT0000098,MIMAT0000250,1
MIMAT0000098,MIMAT0000438,1
MIMAT0000098,MIMAT0000278,1
MIMAT0000098,MIMAT0000279,1
MIMAT0000098,MIMAT0000255,1
MIMAT0000098,MIMAT0002177,1
MIMAT0000098,MIMAT0000441,1
MIMAT0005824,MIMAT0001413,1
MIMAT0005824,MIMAT0004985,1
MIMAT0005899,MIMAT0004766,1
MIMAT0005899,MIMAT0001413,1
MIMAT0005899,MIMAT0000278,1
MIMAT0000427,MIMAT0004607,1
MIMAT0000427,MIMAT0000250,1
MIMAT0000427,MIMAT0004766,1
MIMAT0000427,MIMAT0000451,2
MIMAT0000427,MIMAT0002819,2
MIMAT0000427,MIMAT0000265,3
MIMAT0000427,MIMAT0001413,1
MIMAT0000427,MIMAT0000271,1
MIMAT0000427,MIMAT0004564,1
MIMAT0000427,MIMAT0000278,1
MIMAT0000427,MIMAT0000279,2
MIMAT0000427,MIMAT0002820,1
MIMAT0000427,MIMAT0002881,1
MIMAT0000427,MIMAT0004554,1
MIMAT0000427,MIMAT0000441,1
MIMAT0000427,MIMAT0004985,1
MIMAT0000447,MIMAT0004607,1
MIMAT0000447,MIMAT0004558,1
MIMAT0000447,MIMAT0000257,1
MIMAT0000447,MIMAT0002819,1
MIMAT0000447,MIMAT0000076,1
MIMAT0000447,MIMAT0000089,1
MIMAT0000447,MIMAT0000707,1
MIMAT0000447,MIMAT0002820,1
MIMAT0004607,MIMAT0004552,1
MIMAT0004607,MIMAT0000250,1
MIMAT0004607,MIMAT0004766,1
MIMAT0004607,MIMAT0000438,1
MIMAT0004607,MIMAT0000461,1
MIMAT0004607,MIMAT0000231,2
MIMAT0004607,MIMAT0000263,1
MIMAT0004607,MIMAT0000271,1
MIMAT0004607,MIMAT0000089,1
MIMAT0004607,MIMAT0000255,1
MIMAT0004607,MIMAT0002820,1
MIMAT0004607,MIMAT0004953,1
MIMAT0000430,MIMAT0004766,1
MIMAT0000430,MIMAT0000438,2
MIMAT0000430,MIMAT0000231,1
MIMAT0000430,MIMAT0001413,1
MIMAT0000430,MIMAT0004564,1
MIMAT0000430,MIMAT0000279,1
MIMAT0000430,MIMAT0000255,1
MIMAT0000430,MIMAT0000733,1
MIMAT0000430,MIMAT0002820,1
MIMAT0000430,MIMAT0002881,1
MIMAT0000430,MIMAT0004926,1
MIMAT0004552,MIMAT0000438,1
MIMAT0004552,MIMAT0000461,2
MIMAT0004552,MIMAT0001413,1
MIMAT0004552,MIMAT0000255,2
MIMAT0004552,MIMAT0000707,1
MIMAT0004552,MIMAT0004814,1
MIMAT0004552,MIMAT0004985,1
MIMAT0000250,MIMAT0000438,2
MIMAT0000250,MIMAT0000461,3
MIMAT0000250,MIMAT0000271,1
MIMAT0000250,MIMAT0000278,1
MIMAT0000250,MIMAT0000754,1
MIMAT0000250,MIMAT0000255,1
MIMAT0000250,MIMAT0000707,1
MIMAT0000250,MIMAT0003150,1
