Source1,Source2,Shared_Targets_Count
CREB5,SETD1B,1
CREB5,RORA,1
CREB5,GRIN2B,1
SETD1B,RORA,1
SETD1B,GRIN2B,1
RORA,GRIN2B,1
RORA,ATXN1,1
RORA,CCND1,1
RORA,SOD2,1
RORA,POLR3G,1
RORA,USP48,1
RORA,TMEM167A,1
RORA,RAB3IP,1
RORA,DNAJC10,1
RORA,RACGAP1,1
RORA,SOCS5,1
RORA,KATNAL1,1
RORA,MAPK9,1
RORA,DDI2,1
RORA,TCF4,1
RORA,ATP2B1,1
RORA,EFNB2,1
RORA,WDR89,1
RORA,ZNF264,1
RORA,ACBD5,1
RORA,GPRIN3,1
RORA,FMNL3,1
RORA,TRAPPC2,1
RORA,DCAF8,1
RORA,SH3GLB1,1
RORA,GNPTAB,1
RORA,F2RL3,1
RORA,VPS53,1
RORA,ITGB1,1
RORA,NHLRC3,1
RORA,SEC16A,1
RORA,QSOX1,1
RORA,CNKSR3,1
RORA,POFUT1,1
RORA,F2RL1,1
RORA,SERF1A,1
RORA,IQSEC1,1
RORA,RABGAP1L,1
RORA,WDR53,1
RORA,USP28,1
RORA,CAMTA1,1
RORA,SAMD12,1
RORA,KLRD1,1
RORA,KIF6,1
RORA,PSD3,1
RORA,REST,1
RORA,MFSD8,1
RORA,SLC12A6,1
RORA,RGMB,1
RORA,SOCS7,1
RORA,OCIAD1,1
RORA,AGFG2,1
RORA,TMEM67,1
RORA,INPP5F,1
RORA,WAC,1
RORA,WEE1,1
RORA,PAFAH1B1,1
RORA,GRK7,1
RORA,NR2C2,1
RORA,GAB1,1
RORA,DUSP18,1
RORA,ABHD2,1
RORA,N4BP1,1
RORA,MTMR3,1
RORA,ZDHHC20,1
RORA,PGM2L1,1
RORA,NCOA3,1
RORA,UBXN2A,1
RORA,PRNP,1
RORA,BTN3A1,1
RORA,ABHD15,1
RORA,STAC2,1
RORA,POLQ,1
RORA,DSTYK,1
RORA,ZBTB37,1
RORA,A1CF,1
RORA,FHDC1,1
RORA,AAK1,1
RORA,MAP3K2,1
RORA,RBM12B,1
RORA,HIP1,1
RORA,CAPRIN2,1
RORA,ELAVL2,1
RORA,DPYSL2,1
RORA,SLC7A11,1
RORA,RNF115,1
RORA,SLK,1
RORA,PLEKHM1,1
RORA,MLXIP,1
RORA,FBXO21,1
RORA,TNRC6B,1
RORA,WSB1,1
RORA,IRAK4,1
RORA,GNB5,1
RORA,TLR7,1
RORA,ERGIC2,1
RORA,WDR1,1
RORA,HIF1AN,1
RORA,FKBP14,1
RORA,RAB42,1
RORA,LDLR,1
RORA,BTN3A2,1
RORA,C18orf32,1
RORA,DCTN5,1
RORA,DNAL1,1
RORA,BCL2L11,1
RORA,CFL2,1
RORA,BTF3L4,1
RORA,RAB5B,1
RORA,SLC4A7,1
RORA,CDK6,1
RORA,TTPAL,1
RORA,GTF2H3,1
RORA,ISCA2,1
RORA,YOD1,1
RORA,MIXL1,1
RORA,PTGES3,1
