Source1,Source2,Shared_Targets_Count
MIMAT0005824,MIMAT0001413,1
MIMAT0005899,MIMAT0004766,1
MIMAT0005899,MIMAT0001413,1
MIMAT0005899,MIMAT0000278,1
MIMAT0004607,MIMAT0004766,1
MIMAT0004607,MIMAT0000461,1
MIMAT0004607,MIMAT0000263,1
MIMAT0004607,MIMAT0000271,1
MIMAT0004607,MIMAT0000089,1
MIMAT0004607,MIMAT0000255,1
MIMAT0000430,MIMAT0004766,1
MIMAT0000430,MIMAT0001413,1
MIMAT0000430,MIMAT0000279,1
MIMAT0000430,MIMAT0000255,1
MIMAT0000430,MIMAT0000733,1
MIMAT0004600,MIMAT0000232,1
MIMAT0004600,MIMAT0004563,1
MIMAT0004600,MIMAT0000265,1
MIMAT0004600,MIMAT0001413,1
MIMAT0004600,MIMAT0000279,1
MIMAT0004600,MIMAT0000089,1
MIMAT0004766,MIMAT0001413,2
MIMAT0004766,MIMAT0000271,1
MIMAT0004766,MIMAT0000278,1
MIMAT0004766,MIMAT0000255,1
MIMAT0004766,MIMAT0004554,1
MIMAT0002809,MIMAT0000461,1
MIMAT0002809,MIMAT0001413,2
MIMAT0002809,MIMAT0000271,1
MIMAT0002809,MIMAT0000255,2
MIMAT0000461,MIMAT0000232,2
MIMAT0000461,MIMAT0004563,2
MIMAT0000461,MIMAT0000265,3
MIMAT0000461,MIMAT0001413,5
MIMAT0000461,MIMAT0000271,2
MIMAT0000461,MIMAT0000278,1
MIMAT0000461,MIMAT0000279,2
MIMAT0000461,MIMAT0000089,2
MIMAT0000461,MIMAT0000255,2
MIMAT0000461,MIMAT0000707,1
MIMAT0000461,MIMAT0000733,1
MIMAT0000461,MIMAT0003322,1
MIMAT0000461,MIMAT0000441,1
MIMAT0000232,MIMAT0004563,8
MIMAT0000232,MIMAT0000263,1
MIMAT0000232,MIMAT0001413,2
MIMAT0000232,MIMAT0000279,1
MIMAT0000232,MIMAT0000255,2
MIMAT0004563,MIMAT0000263,1
MIMAT0004563,MIMAT0001413,1
MIMAT0004563,MIMAT0000279,1
MIMAT0004563,MIMAT0000255,1
MIMAT0000263,MIMAT0001413,1
MIMAT0000263,MIMAT0000278,1
MIMAT0000263,MIMAT0000255,2
MIMAT0000265,MIMAT0001413,3
MIMAT0000265,MIMAT0000271,1
MIMAT0000265,MIMAT0000278,1
MIMAT0000265,MIMAT0000089,2
MIMAT0000265,MIMAT0000255,4
MIMAT0000265,MIMAT0000733,1
MIMAT0000265,MIMAT0002177,1
MIMAT0000265,MIMAT0000441,1
MIMAT0001413,MIMAT0000076,1
MIMAT0001413,MIMAT0000271,2
MIMAT0001413,MIMAT0000278,9
MIMAT0001413,MIMAT0004568,4
MIMAT0001413,MIMAT0000279,9
MIMAT0001413,MIMAT0004504,1
MIMAT0001413,MIMAT0000089,6
MIMAT0001413,MIMAT0000255,12
MIMAT0001413,MIMAT0000707,2
MIMAT0001413,MIMAT0000733,2
MIMAT0001413,MIMAT0003322,2
MIMAT0001413,MIMAT0006790,1
MIMAT0001413,MIMAT0004554,1
MIMAT0001413,MIMAT0000252,4
MIMAT0001413,MIMAT0000441,4
MIMAT0000076,MIMAT0000271,1
MIMAT0000076,MIMAT0000278,1
MIMAT0000076,MIMAT0000255,2
MIMAT0000076,MIMAT0000707,1
MIMAT0000076,MIMAT0000733,1
MIMAT0000076,MIMAT0000441,1
MIMAT0000271,MIMAT0000278,2
MIMAT0000271,MIMAT0004568,1
MIMAT0000271,MIMAT0000279,2
MIMAT0000271,MIMAT0000089,1
MIMAT0000271,MIMAT0000255,2
MIMAT0000271,MIMAT0000707,2
MIMAT0000271,MIMAT0003322,1
MIMAT0000271,MIMAT0000441,2
MIMAT0000278,MIMAT0000279,13
MIMAT0000278,MIMAT0004504,1
MIMAT0000278,MIMAT0000089,2
MIMAT0000278,MIMAT0000255,3
MIMAT0000278,MIMAT0000252,1
MIMAT0000278,MIMAT0000441,2
MIMAT0004568,MIMAT0000089,1
MIMAT0000279,MIMAT0000089,2
MIMAT0000279,MIMAT0000255,3
MIMAT0000279,MIMAT0000707,1
MIMAT0000279,MIMAT0004554,1
MIMAT0000279,MIMAT0000252,2
MIMAT0004501,MIMAT0000255,2
MIMAT0004501,MIMAT0000252,1
MIMAT0004504,MIMAT0000089,2
MIMAT0000089,MIMAT0003322,1
MIMAT0000089,MIMAT0000252,2
MIMAT0000089,MIMAT0000441,1
MIMAT0000255,MIMAT0000707,1
MIMAT0000255,MIMAT0002177,2
MIMAT0000255,MIMAT0006790,1
MIMAT0000255,MIMAT0000252,1
MIMAT0000255,MIMAT0000441,1
MIMAT0000707,MIMAT0006790,1
MIMAT0000733,MIMAT0000252,1
MIMAT0000733,MIMAT0000441,1
MIMAT0002177,MIMAT0003322,1
MIMAT0002177,MIMAT0000441,1
MIMAT0003322,MIMAT0000441,2
