mRNA,log2(Fold Change)
HES7,0.29606
BBS9,0.174539
UBTD2,-0.00961625
PABPN1,0.0632695
SYNE1,-1.82124
MRO,-2.52465
TNS1,-0.928331
DGKB,-0.0849279
POFUT1,-0.445894
TDRD12,-0.733038
NLGN4X,0.358013
LYSMD3,-0.837556
OPN5,3.34313
BNC2,-0.112021
VHL,-0.304626
FAM133B,-0.409194
TPD52L2,0.123031
TMEM167A,-0.196393
IFI44L,-0.302642
SPATA19,-1.22079
SFMBT2,-0.745489
ZNF714,0.464605
TRIM66,-0.891706
CREM,-0.572682
MEAF6,0.753103
ZNF211,-0.282829
IFIT1,0.435004
IQSEC2,0.0686762
ST3GAL6,0.520465
DTX4,3.10921
RNF128,0.47031
DTL,1.16432
TERF2,-0.191824
ST7L,-0.219877
B3GNT2,0.0506937
STX17,-0.278955
FOXB1,0.269405
C9orf40,0.189624
TTC33,-0.30651
GAB3,0.0195095
TMEM170B,-0.9254
C5orf22,0.0290337
DENND5B,-0.244117
STRBP,-0.0597189
RLIM,-0.126114
GSG1,0.193313
HIGD1A,-0.1521
KLF6,-1.36303
AP2B1,0.0664198
ZNF829,-0.995202
RASSF4,-0.0426765
AKAP5,-0.299111
TPM3,0.308803
ARF6,0.243171
AP3M1,-0.202636
DCN,-1.89529
ABLIM3,-0.595891
PAPPA,1.07995
GDPD5,-0.177376
PRKAG1,0.130656
FGFR1,-0.156516
CDH7,1.89124
BCL2L13,0.0312943
TARP,-0.760149
KIF1B,0.0173496
SLC4A7,0.0477555
ZNRF1,0.20216
ACVR1,0.712535
CTNNB1,0.591504
AP4M1,0.366856
MAPK8,-0.423057
GLOD4,-0.0286933
UBE2I,0.543642
PTAR1,-0.414874
SLC39A11,-0.351939
MCM8,-0.391017
GMEB2,-0.262815
C20orf202,0.944861
SH3BP4,-0.521383
SESN1,0.107939
PSMD10,-0.0220988
ARHGAP31,-0.373891
SCN4B,-0.631439
PNPLA3,0.494463
ERC1,-0.273865
CCR9,1.56929
CNNM2,-0.346162
KCNJ11,0.590983
MEF2C,-0.430818
ZNF185,-0.775073
GSR,0.0319356
BHLHE40,1.51645
CLEC2D,-0.0780135
RUFY3,0.0230776
CALU,0.18406
ZNF773,-0.21163
CPD,0.675437
TAF8,-0.380178
NFIC,-0.569441
APBA1,-0.827688
RAB5B,0.019149
TMEM50B,-0.686939
TBPL1,-0.448763
UBE2V1,0.0253875
C3orf70,0.548103
CDK6,-0.410156
BFAR,0.377309
TRPS1,-0.533814
IQSEC1,-0.126469
PHLPP2,-0.796539
HDAC11,-0.400431
NUFIP2,-0.150965
PIP5K1A,-0.131406
RASA1,0.853721
PPIP5K2,-0.371004
KCTD15,-0.620437
FLRT2,-1.38635
ZBTB8B,1.54427
CD164,-0.3268
PPARGC1B,-0.183391
ZKSCAN1,-0.470927
ZBTB33,0.571328
MYLK4,-1.03758
CD180,-0.736322
EPB41L4A,0.0286425
SUGT1,-0.0643857
SNX19,-0.362553
WASF2,-0.0964479
DNAJC21,0.206346
AHSA1,0.0148892
ANKRD9,-0.635033
CD274,0.186944
SAMD12,0.212089
NRAS,-0.130787
C10orf82,-0.744696
PLXNB1,0.529629
MGAT4C,0.424395
FLOT2,0.429459
SLC8A1,0.215773
POU4F2,2.91575
TIA1,0.419057
ASH1L,-0.51733
RAPGEF2,-0.479448
SRD5A3,-0.0466744
ZNF320,-0.00773279
ALPK2,-1.2082
PHF21A,-0.0617749
BAX,1.05681
MEF2A,-0.142066
MAPK14,0.14751
IGSF11,-0.0390371
PGAM4,-0.273686
TIAM1,3.01442
LRTM2,-0.461918
TTC23,-0.187769
GSK3B,0.231883
EHMT1,-0.328784
DDX3X,-0.587668
SEC16B,0.511484
PCMT1,0.0693745
MTDH,-0.0906099
BCAP29,-0.625011
CTBP2,0.0583376
ZNF746,0.236631
TSC2,-0.0552888
RIN1,2.45703
UCK2,0.116388
YKT6,0.0123906
HBS1L,-0.225187
PPT1,0.341581
SAMHD1,-0.0665103
SLFN12L,-0.965241
GFAP,1.41065
ATP2B2,-0.0949766
DLG1,-0.398151
LRCH3,-0.442597
DPP6,-2.93597
PAM,0.931449
COBLL1,0.229707
TRPM3,-1.90627
RABGAP1L,-0.695016
TBXAS1,0.624214
NEU3,-0.619245
FOXO3B,-0.435908
B9D1,-0.114628
NAP1L4,0.169921
LMO4,0.419177
STAT3,0.0624099
NTRK2,-0.550911
TSC1,-0.375233
HEPACAM,-2.28434
TMEM135,-0.439142
AEBP2,-0.0636928
OAS1,0.537623
EXD2,-0.234153
TBC1D24,-0.544144
DNAJC7,0.160453
GOSR1,-0.183458
LGI4,-0.779867
CELF5,1.8121
PAK3,-2.54865
XG,-1.09687
GABRP,1.08434
AGK,0.145936
PLEKHA1,-0.498238
RAB15,1.11146
INPP4B,-0.243376
SCARB2,0.500961
GNPDA1,0.589294
UBE2D2,0.116939
PTCD2,-0.429719
HDGF,0.0665896
PRDM1,1.67202
SYNGAP1,-0.0842825
CUX1,-0.19941
IQCE,-0.390277
AUTS2,1.18884
LGALS8,0.213204
FAM131B,0.442469
GFRA2,-0.692437
ASAP1,0.248947
ZBTB7B,0.229947
SH3GLB2,0.502046
CELF2,-0.21305
PHLDB1,0.250014
BACE1,0.366392
EHF,1.17932
LMO3,1.41916
STAT6,0.450142
PRIMA1,-1.42967
FCRL5,-0.829082
RPS6KL1,-0.840517
DENND4A,-0.300722
BAHD1,0.29923
MGA,-0.522454
KCNAB2,-0.0858736
ADCY7,0.299294
PRMT7,-0.148698
ZMYM4,-0.160045
BPTF,-0.431205
ALDH16A1,0.0128053
C19orf47,0.00497862
RNF24,1.26597
C22orf23,-0.544272
DRP2,1.23493
GPM6B,-1.0595
NHSL2,1.12606
TMEM164,-0.958301
SF3B1,-0.0632321
ITGAV,0.391567
C2orf80,4.25424
CACNB4,-0.521126
ZBTB38,-0.124842
NR2C2,-0.249362
CRELD1,-0.24021
SEC22C,-0.174637
DZIP3,-0.830029
TBC1D1,-0.360191
C1orf74,-0.516536
ARL6IP6,0.279638
PARD3B,-0.577434
CDCA2,-0.532121
CNST,-0.653152
SGMS2,0.042033
ZNF366,0.0657965
TMEM154,1.35135
SENP5,-0.0539383
DOK6,-1.39904
RSPH9,1.08909
DGKH,0.487886
ZNF268,-0.475314
GPR156,0.820213
CADM2,-1.19768
IQCK,0.179104
TTC39C,-0.0872191
LIX1,-0.598655
NPHP3,-0.36762
