Source1,Source2,Shared_Targets_Count
MYLIP,CEP97,1
MYLIP,ENTPD4,1
MYLIP,ITGA2,1
MYLIP,F2RL3,1
MYLIP,WIPF2,1
MYLIP,MAPK9,1
MYLIP,CNKSR3,1
MYLIP,APP,1
MYLIP,EIF3M,1
MYLIP,DNAJC10,1
MYLIP,ZNF7,1
MYLIP,WDR53,1
MYLIP,KIF6,1
MYLIP,CUL4A,1
MYLIP,MFSD8,1
MYLIP,RGMB,1
MYLIP,PRKAR1A,1
MYLIP,ZC3H12C,1
MYLIP,SOCS7,1
MYLIP,PDPK1,1
MYLIP,WAC,1
MYLIP,WEE1,1
MYLIP,ZNF665,1
MYLIP,TBL1XR1,1
MYLIP,GPRIN3,1
MYLIP,MTMR3,1
MYLIP,CADM2,1
MYLIP,ZDHHC20,1
MYLIP,RAB3IP,1
MYLIP,CYB561D1,1
MYLIP,PRNP,1
MYLIP,ABHD15,1
MYLIP,QRFPR,1
MYLIP,CCDC137,1
MYLIP,DSTYK,1
MYLIP,RTN3,1
MYLIP,ZBTB37,1
MYLIP,A1CF,1
MYLIP,FHDC1,1
MYLIP,MAP3K2,1
MYLIP,RBM12B,1
MYLIP,XIAP,1
MYLIP,HIP1,1
MYLIP,SLC7A11,1
MYLIP,TMOD3,1
MYLIP,PLEKHM1,1
MYLIP,ZNF652,1
MYLIP,ZFYVE26,1
MYLIP,TTC9,1
MYLIP,MTMR9,1
MYLIP,WSB1,1
MYLIP,RLIM,1
MYLIP,IRAK4,1
MYLIP,ARID4B,1
MYLIP,KLF3,1
MYLIP,TLR7,1
MYLIP,OCIAD1,1
MYLIP,FKBP14,1
MYLIP,RAB42,1
MYLIP,C18orf32,1
MYLIP,BCL2L2,1
MYLIP,CDKN1A,1
MYLIP,PRKACB,1
MYLIP,SPIB,1
MYLIP,RAB5B,1
MYLIP,RND3,1
MYLIP,ARHGAP12,1
MYLIP,GTF2H3,1
MYLIP,YOD1,1
MYLIP,HIPK3,1
MYLIP,POLM,1
MYLIP,PKNOX1,1
MYLIP,ZNF385A,1
MYLIP,ENPP5,1
MYLIP,NRIP3,1
MYLIP,NUFIP2,1
MYLIP,WNK3,1
MYLIP,ZNFX1,1
MYLIP,LY6G5B,1
MYLIP,CFL2,1
MYLIP,SERF1A,1
MYLIP,EGLN3,1
MYLIP,ABCG8,1
MYLIP,ZMAT3,1
MYLIP,GPR157,1
MYLIP,SLC35F5,1
MYLIP,TNKS2,1
MYLIP,ZNF805,1
MYLIP,KCNB1,1
MYLIP,MECP2,1
MYLIP,CCDC6,1
MYLIP,MTF1,1
MYLIP,DYRK2,1
MYLIP,NUDT3,1
MYLIP,MAPRE3,1
MYLIP,SF3B3,1
MYLIP,OSTM1,1
MYLIP,SPCS1,1
MYLIP,EIF2B2,1
MYLIP,DLST,1
MYLIP,MYH9,1
MYLIP,NPAT,1
MYLIP,RORA,1
MYLIP,SP2,1
MYLIP,TXK,1
MYLIP,BNIP2,1
MYLIP,DUSP2,1
MYLIP,QKI,1
MYLIP,MFN1,1
MYLIP,TRAPPC2,1
MYLIP,ZNF578,1
MYLIP,VPS53,1
MYLIP,ATXN1,1
MYLIP,TP53INP1,1
MYLIP,MFSD2A,1
MYLIP,LLPH,1
MYLIP,DCTN5,1
MYLIP,PPP1R15B,1
MYLIP,PURB,1
MYLIP,DCBLD2,1
MYLIP,MAPKAPK5,1
MYLIP,STAT3,1
MYLIP,CXorf38,1
MYLIP,SGMS1,1
MYLIP,SON,1
MYLIP,RRN3,1
