microRNA,mRNA
MIMAT0005900,HES7
MIMAT0005900,HES7
MIMAT0005900,UBTD2
MIMAT0005900,SYNE1
MIMAT0005900,BBS9
MIMAT0005900,DGKB
MIMAT0005900,BBS9
MIMAT0005900,TDRD12
MIMAT0005900,LYSMD3
MIMAT0005900,BNC2
MIMAT0005900,BNC2
MIMAT0005900,FAM133B
MIMAT0005900,TMEM167A
MIMAT0005900,SPATA19
MIMAT0005900,ZNF714
MIMAT0005900,CREM
MIMAT0005900,ZNF211
MIMAT0005900,LOC102723623
MIMAT0005900,IQSEC2
MIMAT0005900,DTX4
MIMAT0005900,DTL
MIMAT0005900,ST7L
MIMAT0005900,STX17
MIMAT0005900,C9orf40
MIMAT0005900,GAB3
MIMAT0005900,C5orf22
MIMAT0005900,STRBP
MIMAT0005900,FAM214B
MIMAT0005900,GSG1
MIMAT0005900,KLF6
MIMAT0005900,STRBP
MIMAT0005900,ZNF829
MIMAT0005900,AKAP5
MIMAT0005900,ARF6
MIMAT0005900,DCN
MIMAT0005900,PAPPA
MIMAT0005900,PRKAG1
MIMAT0005900,CDH7
MIMAT0005900,TDRD12
MIMAT0005900,GAB3
MIMAT0005900,OGA
MIMAT0005900,CDH7
MIMAT0005900,GAB3
MIMAT0005900,ST7L
MIMAT0005900,ST7L
MIMAT0005900,DTX4
MIMAT0005900,ST7L
MIMAT0005900,TARP
MIMAT0005900,ZNF829
MIMAT0005900,SLC4A7
MIMAT0005900,SLC4A7
MIMAT0005900,ACVR1
MIMAT0005900,ACVR1
MIMAT0005900,ACVR1
MIMAT0005900,ACVR1
MIMAT0005900,AP4M1
MIMAT0005900,GLOD4
MIMAT0005900,PTAR1
MIMAT0005900,MCM8
MIMAT0005900,GLOD4
MIMAT0005900,C20orf202
MIMAT0005900,SESN1
MIMAT0005900,SESN1
MIMAT0005900,MCM8
MIMAT0005900,MCM8
MIMAT0005900,MCM8
MIMAT0005900,ARHGAP31
MIMAT0005900,PNPLA3
MIMAT0005900,CCR9
MIMAT0005900,KCNJ11
MIMAT0005900,ZNF185
MIMAT0005900,ZNF185
MIMAT0005900,CCR9
MIMAT0005900,BHLHE40
MIMAT0005900,AP4M1
MIMAT0005900,SELENOI
MIMAT0005900,RUFY3
MIMAT0005900,ZNF773
MIMAT0005900,ZNF773
MIMAT0005900,HACD4
MIMAT0005900,RUFY3
MIMAT0005900,TAF8
MIMAT0005900,APBA1
MIMAT0005900,TMEM50B
MIMAT0005900,OR4M1
MIMAT0005900,C3orf70
MIMAT0005900,ADGRD1
MIMAT0005900,BFAR
MIMAT0005900,AKAIN1
MIMAT0005900,IQSEC1
MIMAT0005900,HDAC11
MIMAT0005900,PIP5K1A
MIMAT0005900,RO60
MIMAT0005900,PPIP5K2
MIMAT0005900,FLRT2
MIMAT0005900,UNC79
MIMAT0005900,RELCH
MIMAT0005900,RELCH
MIMAT0005900,CD164
MIMAT0005900,ZKSCAN1
MIMAT0005900,ZKSCAN1
MIMAT0005900,ACVR1
MIMAT0005900,MYLK4
MIMAT0005900,EPB41L4A
MIMAT0005900,SNX19
MIMAT0005900,DNAJC21
MIMAT0005900,ANKRD9
MIMAT0005900,SAXO2
MIMAT0005900,SAMD12
MIMAT0005900,C10orf82
MIMAT0005900,TEX49
MIMAT0005900,TESPA1
MIMAT0005900,MGAT4C
MIMAT0005900,MGAT4C
MIMAT0005900,MGAT4C
MIMAT0005900,SLC8A1
MIMAT0005900,SLC8A1
MIMAT0005900,SLC8A1
MIMAT0005900,TIA1
MIMAT0005900,RAPGEF2
MIMAT0005900,ZNF320
MIMAT0005900,ZNF320
MIMAT0005900,PHF21A
MIMAT0005900,PHF21A
MIMAT0005900,CREM
MIMAT0005900,MEF2A
MIMAT0005900,SMIM31
MIMAT0005900,IGSF11
MIMAT0005900,IGSF11
MIMAT0005900,IGSF11
MIMAT0005900,TIAM1
MIMAT0005900,TTC23
MIMAT0005900,PSME3IP1
MIMAT0005900,PSME3IP1
MIMAT0005900,C4orf54
MIMAT0005900,SERTM2
MIMAT0005900,GSK3B
MIMAT0005900,EHMT1
MIMAT0005900,EHMT1
