mRNA,miR
MYLIP,MIMAT0000103
CEP97,MIMAT0000103
ENTPD4,MIMAT0000103
ITGA2,MIMAT0000103
F2RL3,MIMAT0000103
WIPF2,MIMAT0000103
MAPK9,MIMAT0000103
CNKSR3,MIMAT0000103
APP,MIMAT0000103
EIF3M,MIMAT0000103
DNAJC10,MIMAT0000103
ZNF7,MIMAT0000103
WDR53,MIMAT0000103
KIF6,MIMAT0000103
CUL4A,MIMAT0000103
MFSD8,MIMAT0000103
RGMB,MIMAT0000103
PRKAR1A,MIMAT0000103
ZC3H12C,MIMAT0000103
SOCS7,MIMAT0000103
PDPK1,MIMAT0000103
WAC,MIMAT0000103
WEE1,MIMAT0000103
ZNF665,MIMAT0000103
TBL1XR1,MIMAT0000103
GPRIN3,MIMAT0000103
MTMR3,MIMAT0000103
CADM2,MIMAT0000103
ZDHHC20,MIMAT0000103
RAB3IP,MIMAT0000103
CYB561D1,MIMAT0000103
PRNP,MIMAT0000103
ABHD15,MIMAT0000103
QRFPR,MIMAT0000103
CCDC137,MIMAT0000103
DSTYK,MIMAT0000103
RTN3,MIMAT0000103
ZBTB37,MIMAT0000103
A1CF,MIMAT0000103
FHDC1,MIMAT0000103
MAP3K2,MIMAT0000103
RBM12B,MIMAT0000103
XIAP,MIMAT0000103
HIP1,MIMAT0000103
SLC7A11,MIMAT0000103
TMOD3,MIMAT0000103
PLEKHM1,MIMAT0000103
ZNF652,MIMAT0000103
ZFYVE26,MIMAT0000103
TTC9,MIMAT0000103
MTMR9,MIMAT0000103
WSB1,MIMAT0000103
RLIM,MIMAT0000103
IRAK4,MIMAT0000103
ARID4B,MIMAT0000103
KLF3,MIMAT0000103
TLR7,MIMAT0000103
OCIAD1,MIMAT0000103
FKBP14,MIMAT0000103
RAB42,MIMAT0000103
C18orf32,MIMAT0000103
BCL2L2,MIMAT0000103
CDKN1A,MIMAT0000103
PRKACB,MIMAT0000103
SPIB,MIMAT0000103
RAB5B,MIMAT0000103
RND3,MIMAT0000103
ARHGAP12,MIMAT0000103
GTF2H3,MIMAT0000103
YOD1,MIMAT0000103
HIPK3,MIMAT0000103
POLM,MIMAT0000103
PKNOX1,MIMAT0000103
ZNF385A,MIMAT0000103
ENPP5,MIMAT0000103
NRIP3,MIMAT0000103
NUFIP2,MIMAT0000103
WNK3,MIMAT0000103
ZNFX1,MIMAT0000103
LY6G5B,MIMAT0000103
CFL2,MIMAT0000103
SERF1A,MIMAT0000103
EGLN3,MIMAT0000103
ABCG8,MIMAT0000103
ZMAT3,MIMAT0000103
GPR157,MIMAT0000103
SLC35F5,MIMAT0000103
TNKS2,MIMAT0000103
ZNF805,MIMAT0000103
KCNB1,MIMAT0000103
MECP2,MIMAT0000103
CCDC6,MIMAT0000103
MTF1,MIMAT0000103
DYRK2,MIMAT0000103
NUDT3,MIMAT0000103
MAPRE3,MIMAT0000103
SF3B3,MIMAT0000103
OSTM1,MIMAT0000103
SPCS1,MIMAT0000103
EIF2B2,MIMAT0000103
DLST,MIMAT0000103
MYH9,MIMAT0000103
NPAT,MIMAT0000103
RORA,MIMAT0000103
SP2,MIMAT0000103
TXK,MIMAT0000103
BNIP2,MIMAT0000103
DUSP2,MIMAT0000103
QKI,MIMAT0000103
MFN1,MIMAT0000103
TRAPPC2,MIMAT0000103
ZNF578,MIMAT0000103
VPS53,MIMAT0000103
ATXN1,MIMAT0000103
TP53INP1,MIMAT0000103
MFSD2A,MIMAT0000103
LLPH,MIMAT0000103
DCTN5,MIMAT0000103
PPP1R15B,MIMAT0000103
PURB,MIMAT0000103
DCBLD2,MIMAT0000103
MAPKAPK5,MIMAT0000103
STAT3,MIMAT0000103
CXorf38,MIMAT0000103
SGMS1,MIMAT0000103
SON,MIMAT0000103
RRN3,MIMAT0000103
HMGB3,MIMAT0000103
ZYG11A,MIMAT0000103
HMGB1,MIMAT0000103
RUNX3,MIMAT0000103
SOD2,MIMAT0000103
SNAP47,MIMAT0000103
CYP19A1,MIMAT0000103
NR3C1,MIMAT0000103
TGFB1,MIMAT0000103
KATNAL1,MIMAT0000103
TNRC6B,MIMAT0000103
COX19,MIMAT0000103
EIF4EBP1,MIMAT0000430
RHOC,MIMAT0000430
DMKN,MIMAT0000430
DNAJB6,MIMAT0000430
NFKB1,MIMAT0000430
LNPEP,MIMAT0000430
TERT,MIMAT0000430
ZMYND11,MIMAT0000430
EID1,MIMAT0000430
YAP1,MIMAT0000430
MXD1,MIMAT0000430
MEAF6,MIMAT0000430
IGF2BP1,MIMAT0000430
BLCAP,MIMAT0000430
CELF1,MIMAT0000430
S100A1,MIMAT0000430
FOXC1,MIMAT0000430
CDH2,MIMAT0000430
RPA1,MIMAT0000430
IGLON5,MIMAT0000430
CCND1,MIMAT0000430
BCL11A,MIMAT0000430
ZNF426,MIMAT0000430
PHKG2,MIMAT0000430
VWA1,MIMAT0004552
ZBTB7A,MIMAT0004552
PXN,MIMAT0004552
GFRA1,MIMAT0004552
SYT7,MIMAT0004552
KANK2,MIMAT0004552
PKIA,MIMAT0004552
THY1,MIMAT0004552
UCP2,MIMAT0004552
BCAR1,MIMAT0004552
PNPO,MIMAT0004552
ORAI2,MIMAT0004552
CHEK1,MIMAT0004552
AKT1S1,MIMAT0004552
PAX5,MIMAT0004552
SORBS2,MIMAT0004552
CDC37,MIMAT0004552
HLA-A,MIMAT0004552
YY1,MIMAT0004552
B2M,MIMAT0004552
ZSWIM7,MIMAT0004552
KRT80,MIMAT0004552
ZNF570,MIMAT0004552
ZNF585B,MIMAT0004552
ZMIZ2,MIMAT0004552
CPEB2,MIMAT0000434
UCK2,MIMAT0000434
ATG16L1,MIMAT0000434
OTUD4,MIMAT0000434
PRKCA,MIMAT0000434
ZNF682,MIMAT0000434
EIF5,MIMAT0000434
CREB3L2,MIMAT0000434
LPP,MIMAT0000434
BCLAF1,MIMAT0000434
MTMR9,MIMAT0000434
UBE2W,MIMAT0000434
CNIH4,MIMAT0000434
LYRM4,MIMAT0000434
FYCO1,MIMAT0000434
EDEM3,MIMAT0000434
PPP1R14C,MIMAT0000434
AFF1,MIMAT0000434
CLTA,MIMAT0000434
TMEM59,MIMAT0000434
SKP2,MIMAT0000434
PPP1R2,MIMAT0000434
GPC4,MIMAT0000434
ENTPD1,MIMAT0000434
NFATC2IP,MIMAT0000434
FBXO3,MIMAT0000434
TOR1AIP2,MIMAT0000434
KIAA0895,MIMAT0000433
CAPZA1,MIMAT0000433
PRKCB,MIMAT0000433
FNDC3A,MIMAT0000436
IRS1,MIMAT0000436
TEX9,MIMAT0000436
ADARB2,MIMAT0004600
SMAD4,MIMAT0004600
SOD2,MIMAT0004600
BLMH,MIMAT0004600
REL,MIMAT0004766
ATXN1,MIMAT0004766
TPM3,MIMAT0004766
KY,MIMAT0004766
SLC12A7,MIMAT0004766
KLHDC8B,MIMAT0004766
POLR3G,MIMAT0004766
BIVM,MIMAT0004766
PTGS1,MIMAT0004766
OLFML2A,MIMAT0004766
APOL6,MIMAT0004766
BLCAP,MIMAT0004766
RAB8A,MIMAT0004766
MAT2A,MIMAT0004766
LSM4,MIMAT0004766
LIMD1,MIMAT0004766
ZNF551,MIMAT0004766
CPEB4,MIMAT0004766
GANAB,MIMAT0004766
GK5,MIMAT0004766
USP48,MIMAT0002809
LIMD2,MIMAT0002809
TMEM167A,MIMAT0002809
RUFY2,MIMAT0002809
ZNRF3,MIMAT0002809
ARL8A,MIMAT0002809
TMPRSS5,MIMAT0002809
PMAIP1,MIMAT0002809
PPP1R11,MIMAT0002809
KCTD15,MIMAT0002809
CCDC6,MIMAT0002809
AKAP8,MIMAT0002809
NOVA1,MIMAT0002809
TRAF6,MIMAT0002809
GXYLT2,MIMAT0002809
ZNF629,MIMAT0002809
UMPS,MIMAT0002809
NR2F2,MIMAT0000451
SRCIN1,MIMAT0000451
AMOTL2,MIMAT0000451
RHOH,MIMAT0000451
SLC35F5,MIMAT0000451
KCNK5,MIMAT0000451
NKD1,MIMAT0000451
PIK3C2A,MIMAT0000451
ZNF786,MIMAT0000451
