foldChange,id,type
-1.29268,MIMAT0000072,miR
1.61046,MIMAT0000076,miR
-1.12517,MIMAT0000103,miR
-1.02937,MIMAT0000232,miR
1.98807,MIMAT0000255,miR
1.10683,MIMAT0000256,miR
1.25476,MIMAT0000257,miR
-1.31874,MIMAT0000265,miR
3.10032,MIMAT0000278,miR
2.93454,MIMAT0000279,miR
-1.45216,MIMAT0000430,miR
-1.15498,MIMAT0000433,miR
-1.16771,MIMAT0000434,miR
-2.25238,MIMAT0000436,miR
-1.73045,MIMAT0000441,miR
-1.59476,MIMAT0000451,miR
-1.23037,MIMAT0000461,miR
-1.01294,MIMAT0000710,miR
2.60607,MIMAT0000728,miR
-1.00757,MIMAT0000753,miR
-2.48369,MIMAT0001631,miR
-2.51089,MIMAT0002177,miR
5.40029,MIMAT0002809,miR
-1.26414,MIMAT0002819,miR
1.30886,MIMAT0002874,miR
-1.36682,MIMAT0003322,miR
-1.04435,MIMAT0004552,miR
-1.02884,MIMAT0004563,miR
5.68014,MIMAT0004766,miR
-1.16725,MIMAT0004926,miR
1.19777,MIMAT0015378,miR
-1.44679,MIMAT0004501,miR
-1.00062,MIMAT0004518,miR
1.32168,MIMAT0004558,miR
1.32853,MIMAT0004569,miR
-2.54888,MIMAT0004600,miR
-0.19525,MYLIP,mRNA
-0.444726,CEP97,mRNA
-0.1503,ENTPD4,mRNA
2.96583,ITGA2,mRNA
0.43319,F2RL3,mRNA
-0.156525,WIPF2,mRNA
-0.00923707,MAPK9,mRNA
-0.583253,CNKSR3,mRNA
-0.261148,APP,mRNA
-0.0688323,EIF3M,mRNA
-0.237657,DNAJC10,mRNA
0.00822973,ZNF7,mRNA
-0.129308,WDR53,mRNA
-1.4923,KIF6,mRNA
-0.0832856,CUL4A,mRNA
-0.220248,MFSD8,mRNA
0.0766782,RGMB,mRNA
0.188037,PRKAR1A,mRNA
-0.911951,ZC3H12C,mRNA
-0.874304,SOCS7,mRNA
-0.359295,PDPK1,mRNA
-0.383957,WAC,mRNA
-0.293834,WEE1,mRNA
-0.215236,ZNF665,mRNA
-0.148675,TBL1XR1,mRNA
-0.59804,GPRIN3,mRNA
-0.200886,MTMR3,mRNA
-1.19768,CADM2,mRNA
0.192314,ZDHHC20,mRNA
-0.0826268,RAB3IP,mRNA
-0.13451,CYB561D1,mRNA
0.275056,PRNP,mRNA
-0.119153,ABHD15,mRNA
2.38702,QRFPR,mRNA
0.109224,CCDC137,mRNA
-0.0177099,DSTYK,mRNA
-0.464116,RTN3,mRNA
-0.895988,ZBTB37,mRNA
-0.288588,A1CF,mRNA
-1.47931,FHDC1,mRNA
-0.40599,MAP3K2,mRNA
-0.557506,RBM12B,mRNA
0.0144701,XIAP,mRNA
1.03249,HIP1,mRNA
0.349944,SLC7A11,mRNA
0.396736,TMOD3,mRNA
0.236802,PLEKHM1,mRNA
-0.455354,ZNF652,mRNA
-0.163607,ZFYVE26,mRNA
0.562875,TTC9,mRNA
-0.24986,MTMR9,mRNA
0.446553,WSB1,mRNA
-0.126114,RLIM,mRNA
-0.123891,IRAK4,mRNA
-0.22613,ARID4B,mRNA
-0.315287,KLF3,mRNA
0.0105093,TLR7,mRNA
-0.221644,OCIAD1,mRNA
-0.153869,FKBP14,mRNA
-0.272766,RAB42,mRNA
-0.00229239,C18orf32,mRNA
-0.419729,BCL2L2,mRNA
1.01314,CDKN1A,mRNA
-0.561399,PRKACB,mRNA
-2.14057,SPIB,mRNA
0.019149,RAB5B,mRNA
-0.0089605,RND3,mRNA
-0.0327868,ARHGAP12,mRNA
-0.302807,GTF2H3,mRNA
-0.225658,YOD1,mRNA
-0.841893,HIPK3,mRNA
-0.108383,POLM,mRNA
-0.681155,PKNOX1,mRNA
0.196287,ZNF385A,mRNA
-0.137288,ENPP5,mRNA
0.216385,NRIP3,mRNA
-0.150965,NUFIP2,mRNA
-1.00934,WNK3,mRNA
0.0475543,ZNFX1,mRNA
-0.113509,LY6G5B,mRNA
-0.516268,CFL2,mRNA
-0.0717065,SERF1A,mRNA
1.0022,EGLN3,mRNA
-0.262358,ABCG8,mRNA
1.71224,ZMAT3,mRNA
-0.337182,GPR157,mRNA
-0.274127,SLC35F5,mRNA
-0.245386,TNKS2,mRNA
0.12906,ZNF805,mRNA
-0.892937,KCNB1,mRNA
-0.149381,MECP2,mRNA
-0.0727511,CCDC6,mRNA
-0.577675,MTF1,mRNA
0.115541,DYRK2,mRNA
0.44237,NUDT3,mRNA
-0.0429412,MAPRE3,mRNA
0.139958,SF3B3,mRNA
0.104741,OSTM1,mRNA
0.0373631,SPCS1,mRNA
-0.284957,EIF2B2,mRNA
0.0911772,DLST,mRNA
0.215061,MYH9,mRNA
-0.314134,NPAT,mRNA
-0.452963,RORA,mRNA
-0.427049,SP2,mRNA
-0.840589,TXK,mRNA
-0.149064,BNIP2,mRNA
-0.393113,DUSP2,mRNA
-0.33744,QKI,mRNA
-0.0934388,MFN1,mRNA
0.173467,TRAPPC2,mRNA
0.254029,ZNF578,mRNA
0.0343806,VPS53,mRNA
-0.299282,ATXN1,mRNA
0.584989,TP53INP1,mRNA
-0.00660899,MFSD2A,mRNA
-0.0568086,LLPH,mRNA
-0.190697,DCTN5,mRNA
-0.762658,PPP1R15B,mRNA
-0.0531792,PURB,mRNA
0.926027,DCBLD2,mRNA
0.0279805,MAPKAPK5,mRNA
0.0624099,STAT3,mRNA
-0.495733,CXorf38,mRNA
0.420105,SGMS1,mRNA
-0.256287,SON,mRNA
-0.0410637,RRN3,mRNA
0.366947,HMGB3,mRNA
-0.773184,ZYG11A,mRNA
0.0803795,HMGB1,mRNA
-1.07229,RUNX3,mRNA
0.0592863,SOD2,mRNA
