Source1,Source2,backbone,Shared_Targets_Count
NPTN,SOX5,0,1
NPTN,WEE1,0,1
NPTN,ANKRD29,0,1
NPTN,POGK,0,1
NPTN,SLC25A22,0,1
NPTN,NETO2,0,1
NPTN,RASA1,0,1
NPTN,UTRN,0,1
NPTN,E2F5,0,1
NPTN,TNS4,0,1
SOX5,WEE1,0,1
SOX5,ANKRD29,0,1
SOX5,POGK,0,1
SOX5,SLC25A22,0,1
SOX5,NETO2,0,1
SOX5,RASA1,0,1
SOX5,UTRN,0,1
SOX5,E2F5,0,1
SOX5,TNS4,0,1
SOX5,EIF4EBP2,0,1
SOX5,NFIA,0,1
SOX5,RSF1,0,1
SOX5,BNIP2,0,1
SOX5,MGAT4A,0,1
SOX5,ZNF292,0,1
SOX5,PBX1,0,1
SOX5,DDAH1,0,1
SOX5,LMBR1,0,1
SOX5,NT5C2,0,1
SOX5,PHF20L1,0,1
SOX5,LONRF2,0,1
SOX5,RALGPS2,0,1
SOX5,HOXA9,0,1
SOX5,FAM126B,0,1
SOX5,ANKRD46,0,1
SOX5,CKAP5,0,1
SOX5,LPGAT1,0,1
SOX5,ERP44,0,1
SOX5,DDHD2,0,1
SOX5,SATB1,0,1
SOX5,PPP1R3B,0,1
SOX5,MDM4,0,1
SOX5,DNM1L,0,1
SOX5,NUFIP2,0,1
SOX5,FMR1,0,1
SOX5,ZNF217,0,1
SOX5,EXOC5,0,1
SOX5,ATF2,0,1
SOX5,THBS1,0,1
SOX5,B3GNT5,0,1
SOX5,SOCS4,0,1
SOX5,PLAT,0,1
SOX5,OXTR,0,1
SOX5,ATP2B4,0,1
SOX5,ZNF207,0,1
WEE1,ANKRD29,1,1
WEE1,POGK,1,1
WEE1,SLC25A22,0,2
WEE1,NETO2,1,1
WEE1,RASA1,1,1
WEE1,UTRN,1,1
WEE1,E2F5,0,2
WEE1,TNS4,1,1
WEE1,RORA,1,1
WEE1,ATXN1,1,1
WEE1,ZBTB37,1,1
WEE1,RBPJ,1,1
WEE1,ATXN7L3B,1,1
WEE1,PAG1,1,1
WEE1,CCND1,0,2
WEE1,ORAI2,1,1
WEE1,PDE4D,1,1
WEE1,ZBTB34,1,1
WEE1,SOD2,1,1
WEE1,POLR3G,1,1
WEE1,USP48,1,1
WEE1,TMEM167A,1,1
WEE1,SLC35F5,1,1
WEE1,HMGB1,1,1
WEE1,RABGAP1L,1,1
WEE1,ATP2B1,1,1
WEE1,GOSR1,1,1
WEE1,VPS53,1,1
WEE1,NME6,1,1
WEE1,CNKSR3,1,1
WEE1,RAB3IP,0,2
WEE1,A1CF,1,1
WEE1,DSTYK,1,1
WEE1,IRAK4,1,1
WEE1,GNB5,1,1
WEE1,OCIAD1,1,1
WEE1,MIXL1,1,1
WEE1,CYCS,1,1
WEE1,CBX5,1,1
WEE1,QSOX1,1,1
WEE1,DDI2,1,1
WEE1,ANKS4B,1,1
WEE1,TNRC6B,0,2
WEE1,LDLR,1,1
WEE1,YOD1,1,1
WEE1,TCF4,1,1
WEE1,CAPRIN2,1,1
WEE1,ESR1,0,2
WEE1,ZBTB20,1,1
WEE1,NCOA3,1,1
WEE1,KLHL15,1,1
WEE1,PURB,1,1
WEE1,MYO5A,1,1
WEE1,DCTN5,1,1
WEE1,CDK6,0,2
WEE1,SYNRG,1,1
WEE1,LASP1,1,1
WEE1,SF3B3,1,1
WEE1,RACGAP1,0,2
WEE1,ACVR2A,1,1
WEE1,GNB1,1,1
WEE1,PLEKHA1,1,1
WEE1,AVL9,1,1
WEE1,HNRNPA2B1,1,1
WEE1,GNAL,1,1
WEE1,UBE2V1,1,1
WEE1,SEC61A1,1,1
WEE1,TSC22D2,1,1
WEE1,CCNT1,1,1
WEE1,SHOC2,1,1
WEE1,DNAJC10,1,1
WEE1,TAOK1,1,1
WEE1,RPRD1B,1,1
WEE1,LUZP1,1,1
WEE1,ARIH1,1,1
WEE1,SOCS5,0,2
WEE1,SNCG,1,1
WEE1,ARHGDIA,1,1
WEE1,MAFK,1,1
WEE1,KATNAL1,1,1
WEE1,MAPK9,1,1
WEE1,RNF115,1,1
WEE1,RUNX2,1,1
WEE1,WNK3,1,1
WEE1,EFNB2,1,1
WEE1,MYEF2,1,1
WEE1,TOX4,1,1
WEE1,CREB3L2,1,1
WEE1,CHML,1,1
WEE1,TBX3,1,1
WEE1,SPTLC3,1,1
WEE1,FRS2,1,1
WEE1,STX6,1,1
WEE1,SMAD2,1,1
WEE1,NFAT5,0,2
WEE1,FSTL1,1,1
WEE1,NUP50,0,2
WEE1,DLK1,1,1
WEE1,GJA1,1,1
WEE1,PPIB,1,1
WEE1,WDR89,1,1
WEE1,ZNF264,1,1
WEE1,ACBD5,1,1
WEE1,GPRIN3,1,1
WEE1,FMNL3,1,1
WEE1,TRAPPC2,1,1
WEE1,DCAF8,1,1
WEE1,SH3GLB1,1,1
WEE1,GNPTAB,1,1
WEE1,F2RL3,1,1
WEE1,ITGB1,1,1
WEE1,NHLRC3,1,1
WEE1,SEC16A,1,1
WEE1,POFUT1,1,1
WEE1,F2RL1,1,1
WEE1,SERF1A,1,1
WEE1,IQSEC1,1,1
WEE1,WDR53,1,1
WEE1,USP28,1,1
WEE1,CAMTA1,1,1
WEE1,SAMD12,1,1
WEE1,KLRD1,1,1
WEE1,KIF6,1,1
WEE1,PSD3,1,1
WEE1,REST,1,1
WEE1,MFSD8,1,1
WEE1,SLC12A6,1,1
WEE1,RGMB,1,1
WEE1,SOCS7,1,1
WEE1,AGFG2,1,1
WEE1,TMEM67,1,1
WEE1,INPP5F,1,1
WEE1,WAC,1,1
WEE1,PAFAH1B1,1,1
WEE1,GRK7,1,1
WEE1,NR2C2,1,1
WEE1,GAB1,1,1
WEE1,DUSP18,1,1
WEE1,ABHD2,1,1
WEE1,N4BP1,0,2
WEE1,MTMR3,1,1
WEE1,ZDHHC20,1,1
WEE1,PGM2L1,1,1
WEE1,UBXN2A,1,1
WEE1,PRNP,1,1
WEE1,BTN3A1,1,1
WEE1,ABHD15,1,1
WEE1,STAC2,1,1
WEE1,POLQ,1,1
WEE1,FHDC1,1,1
WEE1,AAK1,1,1
WEE1,MAP3K2,1,1
WEE1,RBM12B,1,1
WEE1,HIP1,1,1
WEE1,ELAVL2,1,1
WEE1,DPYSL2,1,1
WEE1,SLC7A11,1,1
WEE1,SLK,1,1
WEE1,PLEKHM1,1,1
WEE1,MLXIP,1,1
WEE1,FBXO21,1,1
WEE1,WSB1,1,1
WEE1,TLR7,1,1
WEE1,ERGIC2,1,1
WEE1,WDR1,1,1
WEE1,HIF1AN,1,1
WEE1,FKBP14,1,1
WEE1,RAB42,1,1
WEE1,BTN3A2,1,1
WEE1,C18orf32,1,1
WEE1,DNAL1,1,1
WEE1,BCL2L11,1,1
WEE1,CFL2,1,1
WEE1,BTF3L4,1,1
WEE1,RAB5B,1,1
WEE1,SLC4A7,1,1
WEE1,TTPAL,1,1
WEE1,GTF2H3,1,1
WEE1,ISCA2,1,1
WEE1,PTGES3,1,1
WEE1,FBXO31,1,1
WEE1,MFSD2A,1,1
WEE1,ICA1L,1,1
WEE1,ENPP5,1,1
WEE1,UBFD1,1,1
WEE1,ENTPD7,1,1
WEE1,NRIP3,1,1
WEE1,ZNFX1,1,1
WEE1,GATAD1,1,1
WEE1,SLC30A1,1,1
WEE1,C17orf75,1,1
WEE1,ABCG8,1,1
WEE1,PANK3,1,1
WEE1,GPR157,1,1
WEE1,DDHD1,1,1
WEE1,TRIM8,1,1
WEE1,SLCO5A1,1,1
WEE1,ZNF805,1,1
WEE1,SLC1A5,1,1
WEE1,TRAF3IP2,1,1
WEE1,ZBED1,1,1
WEE1,ZNF347,1,1
WEE1,SAMD8,1,1
WEE1,ARL1,1,1
WEE1,KCNK6,1,1
WEE1,SPTLC2,1,1
WEE1,VPS26A,1,1
WEE1,FEZ2,1,1
WEE1,HMGB3,1,1
WEE1,CHAF1A,1,1
