Source1,Source2,Shared_Targets_Count
MIMAT0000103,MIMAT0000434,1
MIMAT0000103,MIMAT0004600,1
MIMAT0000103,MIMAT0004766,1
MIMAT0000103,MIMAT0002809,1
MIMAT0000103,MIMAT0000451,11
MIMAT0000103,MIMAT0000256,7
MIMAT0000103,MIMAT0000257,3
MIMAT0000103,MIMAT0000072,6
MIMAT0000103,MIMAT0002819,3
MIMAT0000103,MIMAT0000461,6
MIMAT0000103,MIMAT0000232,2
MIMAT0000103,MIMAT0004563,1
MIMAT0000103,MIMAT0000265,4
MIMAT0000103,MIMAT0000076,2
MIMAT0000103,MIMAT0000278,7
MIMAT0000103,MIMAT0000279,7
MIMAT0000103,MIMAT0004569,1
MIMAT0000103,MIMAT0000753,1
MIMAT0000103,MIMAT0000255,8
MIMAT0000103,MIMAT0000710,4
MIMAT0000103,MIMAT0002874,8
MIMAT0000430,MIMAT0004766,1
MIMAT0000430,MIMAT0000279,1
MIMAT0000430,MIMAT0000255,1
MIMAT0000430,MIMAT0004926,1
MIMAT0004552,MIMAT0000461,2
MIMAT0004552,MIMAT0000255,2
MIMAT0000434,MIMAT0000451,1
MIMAT0000434,MIMAT0004518,1
MIMAT0000434,MIMAT0002819,1
MIMAT0000434,MIMAT0000255,3
MIMAT0004600,MIMAT0000232,1
MIMAT0004600,MIMAT0004563,1
MIMAT0004600,MIMAT0000265,1
MIMAT0004600,MIMAT0000279,1
MIMAT0004600,MIMAT0004569,1
MIMAT0004766,MIMAT0000451,1
MIMAT0004766,MIMAT0000257,2
MIMAT0004766,MIMAT0000278,1
MIMAT0004766,MIMAT0015378,1
MIMAT0004766,MIMAT0000255,1
MIMAT0004766,MIMAT0000710,1
MIMAT0002809,MIMAT0000256,1
MIMAT0002809,MIMAT0002819,1
MIMAT0002809,MIMAT0000461,1
MIMAT0002809,MIMAT0000255,2
MIMAT0002809,MIMAT0004926,1
MIMAT0000451,MIMAT0004558,1
MIMAT0000451,MIMAT0000072,2
MIMAT0000451,MIMAT0002819,2
MIMAT0000451,MIMAT0000461,2
MIMAT0000451,MIMAT0000265,3
MIMAT0000451,MIMAT0000278,1
MIMAT0000451,MIMAT0015378,3
MIMAT0000451,MIMAT0000255,2
MIMAT0000451,MIMAT0002874,2
MIMAT0000451,MIMAT0003322,1
MIMAT0004518,MIMAT0015378,1
MIMAT0004518,MIMAT0000255,1
MIMAT0004518,MIMAT0000710,1
MIMAT0004518,MIMAT0002874,1
MIMAT0004558,MIMAT0000278,1
MIMAT0004558,MIMAT0000279,2
MIMAT0000256,MIMAT0000257,8
MIMAT0000256,MIMAT0000072,2
MIMAT0000256,MIMAT0002819,3
MIMAT0000256,MIMAT0000461,1
MIMAT0000256,MIMAT0000265,4
MIMAT0000256,MIMAT0000278,2
MIMAT0000256,MIMAT0000279,2
MIMAT0000256,MIMAT0000255,4
MIMAT0000256,MIMAT0000710,1
MIMAT0000256,MIMAT0002874,1
MIMAT0000257,MIMAT0000072,2
MIMAT0000257,MIMAT0002819,1
MIMAT0000257,MIMAT0000461,2
MIMAT0000257,MIMAT0000265,1
MIMAT0000257,MIMAT0000076,1
MIMAT0000257,MIMAT0000278,2
MIMAT0000257,MIMAT0000279,1
MIMAT0000257,MIMAT0000255,2
