col1,col2
fu:227de0aca402ebd76649d4b3506286bd4de9551dce503b98dd6a4c485c9c4ae1,RASGRF1
fu:227de0aca402ebd76649d4b3506286bd4de9551dce503b98dd6a4c485c9c4ae1,RASGRF2
fu:1b27e254e218fb1e9354da9d6528b34c70f504613702fe88976bdda220d4bc87,DUSP10
fu:1b27e254e218fb1e9354da9d6528b34c70f504613702fe88976bdda220d4bc87,DUSP1
fu:1b27e254e218fb1e9354da9d6528b34c70f504613702fe88976bdda220d4bc87,DUSP2
fu:1b27e254e218fb1e9354da9d6528b34c70f504613702fe88976bdda220d4bc87,DUSP4
fu:1b27e254e218fb1e9354da9d6528b34c70f504613702fe88976bdda220d4bc87,DUSP5
fu:1b27e254e218fb1e9354da9d6528b34c70f504613702fe88976bdda220d4bc87,DUSP6
fu:1b27e254e218fb1e9354da9d6528b34c70f504613702fe88976bdda220d4bc87,DUSP7
fu:1b27e254e218fb1e9354da9d6528b34c70f504613702fe88976bdda220d4bc87,DUSP8
fu:1b27e254e218fb1e9354da9d6528b34c70f504613702fe88976bdda220d4bc87,DUSP9
fu:1b27e254e218fb1e9354da9d6528b34c70f504613702fe88976bdda220d4bc87,DUSP16
fu:b9b8b3c8ae2282343f37ddb427dd86aa42d0f2e54c5c87245bf80c0cd61469f1,DUSP3
fu:b9b8b3c8ae2282343f37ddb427dd86aa42d0f2e54c5c87245bf80c0cd61469f1,PTPN7
fu:b9b8b3c8ae2282343f37ddb427dd86aa42d0f2e54c5c87245bf80c0cd61469f1,PTPRR
fu:b9b8b3c8ae2282343f37ddb427dd86aa42d0f2e54c5c87245bf80c0cd61469f1,PTPN5
fu:488bc6e28186e5fc78debe7facd69337bc47798c11bd3bc6877d9e889fcdbcd3,PPM1B
fu:f06e54fe2645139d18f0d390e5b96ed3958f8330d7a7b603869c3800dd351dfa,FASLG
fu:1b21a0754ae7dbf0fb6c62a3b6bfe4fb4c9e7665dacc2da0032db6955cfd4fb6,MAP4K4
fu:182546595a64f67c7d531b52f5ea648bfdffbc91c398bcd77b4c3181108d4f47,PLA2G4B
fu:182546595a64f67c7d531b52f5ea648bfdffbc91c398bcd77b4c3181108d4f47,PLA2G4E
fu:182546595a64f67c7d531b52f5ea648bfdffbc91c398bcd77b4c3181108d4f47,PLA2G4F
fu:182546595a64f67c7d531b52f5ea648bfdffbc91c398bcd77b4c3181108d4f47,PLA2G4D
fu:182546595a64f67c7d531b52f5ea648bfdffbc91c398bcd77b4c3181108d4f47,PLA2G4A
fu:182546595a64f67c7d531b52f5ea648bfdffbc91c398bcd77b4c3181108d4f47,PLA2G4C
fu:182546595a64f67c7d531b52f5ea648bfdffbc91c398bcd77b4c3181108d4f47,JMJD7-PLA2G4B
fu:c00be97392016aacd6ce8f605bc043975dac3ed49e8c37bb1d71b829b700b67b,STMN1
fu:2a7ce807a71a072e33cfa060ae8d961f501535f9fb9ca64c4c08a5b745639afc,MAPT
fu:68b59fd0a08ffdb63712c0c594b3cba82114193a51d8d90d2d401e65fbc5c788,NFKB1
fu:68b59fd0a08ffdb63712c0c594b3cba82114193a51d8d90d2d401e65fbc5c788,NFKB2
fu:68b59fd0a08ffdb63712c0c594b3cba82114193a51d8d90d2d401e65fbc5c788,RELA
fu:68b59fd0a08ffdb63712c0c594b3cba82114193a51d8d90d2d401e65fbc5c788,RELB
