Function Unit Id,Gene Symbols
47,MYC MAX
113,FOS JUN
114,MAX MAX
22,CRK CRKL
2,ATF4 ATF4
45,IL1A IL1B
69,ELK4 ELK4
79,SOS1 SOS2
90,PAK1 PAK2
97,STK3 STK4
109,ELK1 ELK1
15,IRAK1 IRAK4
33,GNA12 GNG12
38,RAP1A RAP1B
51,ARRB1 ARRB2
63,MKNK2 MKNK1
100,MAPK1 MAPK3
59,IL1R1 IL1RAP
31,MAP3K2 MAP3K3
42,SRF ELK4 ELK1
105,TGFBR1 TGFBR2
70,AKT3 AKT1 AKT2
20,RASGRF1 RASGRF2
23,MAP3K12 MAP3K13
78,RPS6KA4 RPS6KA5
37,CHUK IKBKB IKBKG
5,TGFB1 TGFB2 TGFB3
12,PRKCA PRKCB PRKCG
14,TAOK3 TAOK1 TAOK2
57,MAPKAPK3 MAPKAPK2
101,MAPK8IP2 MAPK8IP1
71,MAPK8 MAPK9 MAPK10
6,PRKACA PRKACB PRKACG
61,RAC1 RAC2 RAC3 CDC42
48,NFKB1 NFKB2 RELA RELB
108,MAP3K9 MAP3K10 MAP3K21
67,GADD45G GADD45A GADD45B
66,MAPK14 MAPK11 MAPK13 MAPK12
117,RRAS2 MRAS HRAS KRAS NRAS RRAS
9,RPS6KA6 RPS6KA1 RPS6KA2 RPS6KA3
115,RASGRP1 RASGRP2 RASGRP4 RASGRP3
1,HSPA1A HSPA1B HSPA1L HSPA6 HSPA8
40,PPP3CA PPP3CB PPP3CC PPP3R1 PPP3R2
84,DUSP3 PTPN7 PTPRR PTPN5 DUSP3 PTPN7 PTPRR PTPN5
11,DUSP10 DUSP2 DUSP4 DUSP5 DUSP7 DUSP8 DUSP9 DUSP16
13,PLA2G4B PLA2G4E PLA2G4F PLA2G4D PLA2G4A PLA2G4C JMJD7-PLA2G4B
17,DUSP10 DUSP1 DUSP2 DUSP4 DUSP5 DUSP6 DUSP7 DUSP8 DUSP9 DUSP16
7,CSF1R EGFR EPHA2 ERBB2 ERBB3 ERBB4 FGFR1 FGFR3 FGFR2 FGFR4 FLT1 FLT3 FLT4 IGF1R INSR KDR KIT MET NGFR NTRK1 NTRK2 PDGFRA PDGFRB RET TEK
21,CACNG3 CACNG2 CACNG5 CACNG4 CACNA2D3 CACNG8 CACNG7 CACNG6 CACNA1A CACNA1B CACNA1C CACNA1D CACNA1E CACNA1F CACNA1S CACNA2D1 CACNB1 CACNB2 CACNB3 CACNB4 CACNG1 CACNA1I CACNA1H CACNA1G CACNA2D2 CACNA2D4
39,EFNA4-EFNA3 CSF1 EFNA1 EFNA2 EFNA3 EFNA4 EFNA5 EGF EREG FGF1 FGF2 FGF3 FGF4 FGF5 FGF6 FGF7 FGF8 FGF9 FGF10 VEGFD FLT3LG FGF20 FGF21 GDNF FGF22 ANGPT1 ANGPT2 HGF IGF1 IGF2 INS AREG KITLG NGF NRTN NTF3 NTF4 ANGPT4 PDGFA PDGFB PGF PDGFC PSPN BDNF TGFA VEGFA VEGFB VEGFC PDGFD FGF23 FGF18 FGF17 FGF16 ARTN FGF19
