Species,Group
Athaliana,Viridiplantae
Ptrichocarpa,Viridiplantae
Vvinifera,Viridiplantae
Osativa_japonica,Viridiplantae
Osativa_indica,Viridiplantae
Bnatans,Protozoa
Creinhardtii,Protozoa
Cmerolae,Protozoa
Olucimarinus,Protozoa
Otauri,Protozoa
Pramorum,Protozoa
Psojae,Protozoa
Pinfestans,Protozoa
Tpseudonana,Protozoa
Ehuxleyi,Protozoa
Tthermophilia,Protozoa
Ptetraurelia,Protozoa
Pberghei,Protozoa
Pchabaudi,Protozoa
Pfalciparum,Protozoa
Pknowlesi,Protozoa
Pvivax,Protozoa
Pyoelii,Protozoa
Tannulata,Protozoa
Tparva,Protozoa
Tgondii,Protozoa
Sneurona,Protozoa
Etenella,Protozoa
Chominis,Protozoa
Cparvum,Protozoa
Lbraziliensis,Protozoa
Linfantum,Protozoa
Lmajor,Protozoa
Tbrucei,Protozoa
Glamblia,Protozoa
Gtheta,Protozoa
Tvaginalis,Protozoa
Ngruberi,Protozoa
Ehistolytica,Protozoa
Ddiscoideum,Protozoa
Ecuniculi,Protozoa
Roryzae,Fungi
Wichthyophaga,Fungi
Ncrassa,Fungi
Oulmi,Fungi
Mgrisea,Fungi
Fgraminearum,Fungi
Aflavus,Fungi
Aoryzae,Fungi
Aterreus,Fungi
Aniger,Fungi
Afischeri,Fungi
Afumigatus,Fungi
Aclavatus,Fungi
Anidulans,Fungi
Pstipitis,Fungi
Vpolyspora,Fungi
Dhansenii,Fungi
Ppastoris,Fungi
Calbicans,Fungi
Scerevisiae,Fungi
Cglabrata,Fungi
Agossypii,Fungi
Klactis,Fungi
Ylipolytica,Fungi
Spombe,Fungi
Pchrysosporium,Fungi
Cneoformans_AH99,Fungi
Cneoformans_B3501A,Fungi
Cneoformans_JEC21,Fungi
Pplacenta,Fungi
Umaydis,Fungi
Pgraminis,Fungi
Ccinerea,Fungi
Shirsutum,Fungi
Abisporus,Fungi
Lbicolor,Fungi
Mbrevicollis,Basal Metazoa
Aqueenslandica,Basal Metazoa
Tadhaerens,Basal Metazoa
Hmagnipapillata,Basal Metazoa
Nvectensis,Basal Metazoa
Cangaria,Nematoda
Cbriggsae,Nematoda
Celegans,Nematoda
Cbrenneri,Nematoda
Cjaponica,Nematoda
Cremanei,Nematoda
Ppacificus,Nematoda
Hcontortus,Nematoda
Bxylophilus,Nematoda
Mhapla,Nematoda
Mincognita,Nematoda
Asuum,Nematoda
Bmalayi,Nematoda
Tspiralis,Nematoda
Ttrichiura,Nematoda
Tmuris,Nematoda
Cgigas,Lophotrochozoa
Lgigantea,Lophotrochozoa
Hrobusta,Lophotrochozoa
Smansonii,Lophotrochozoa
Tsolium,Lophotrochozoa
Emultilocularis,Lophotrochozoa
Egranulosus,Lophotrochozoa
Cteleta,Lophotrochozoa
Dpulex,Arthropoda
Phumanus,Arthropoda
Aaegypti,Arthropoda
Agambiae,Arthropoda
Cpipiens,Arthropoda
Sinvicta,Arthropoda
Amellifera,Arthropoda
Bmori,Arthropoda
Gmorsitans,Arthropoda
Dananassae,Arthropoda
Dmelanogaster,Arthropoda
Dsechellia,Arthropoda
Dsimulans,Arthropoda
Dyakuba,Arthropoda
Derecta,Arthropoda
Dpersimilis,Arthropoda
Dpseudoobscura,Arthropoda
Dwillistoni,Arthropoda
Dvirilis,Arthropoda
Dmojavensis,Arthropoda
Dgrimshawi,Arthropoda
Bfloridae,Chordata
Spurpuratus,Chordata
Cintestinalis,Chordata
Csavignyi,Chordata
Pmarinus,Vertebrata
Olatipes,Vertebrata
Trubripes,Vertebrata
Drerio,Vertebrata
Tnigroviridis,Vertebrata
Gaculeatus,Vertebrata
Xlaevis,Vertebrata
Xtropicalis,Vertebrata
Ggallus,Vertebrata
Oanatinus,Mammalia
Lafricana,Mammalia
Dnovemcinctus,Mammalia
Etelfairi,Mammalia
Eeuropaeus,Mammalia
Saraneus,Mammalia
Tbelangeri,Mammalia
Mlucifugus,Mammalia
Ecaballus,Mammalia
Btaurus,Mammalia
Fcatus,Mammalia
Cfamiliaris,Mammalia
Ocuniculus,Mammalia
Cporcellus,Mammalia
Oprinceps,Mammalia
Stridecemlineatus,Mammalia
Rnorvegicus,Mammalia
Mdomestica,Mammalia
Mmusculus,Mammalia
Ogarnettii,Mammalia
Mmurinus,Mammalia
Mmulatta,Mammalia
Ptroglodytes,Mammalia
Hsapiens,Mammalia
