"__leidenCluster","name","selected","shared name"
"3","Nephritis, Interstitial","false","Nephritis, Interstitial"
"3","Kidney Diseases","false","Kidney Diseases"
"3","Oculocerebrorenal Syndrome","false","Oculocerebrorenal Syndrome"
"4","Polycystic Ovary Syndrome","false","Polycystic Ovary Syndrome"
"4","Acanthosis Nigricans","false","Acanthosis Nigricans"
"3","Immune Complex Diseases","false","Immune Complex Diseases"
"3","Lecithin Acyltransferase Deficiency","false","Lecithin Acyltransferase Deficiency"
"4","Pituitary ACTH Hypersecretion","false","Pituitary ACTH Hypersecretion"
"4","Cushing Syndrome","false","Cushing Syndrome"
"3","Fanconi Syndrome","false","Fanconi Syndrome"
"3","Denys-Drash Syndrome","false","Denys-Drash Syndrome"
"3","Renal Insufficiency","false","Renal Insufficiency"
"3","Nephrosis","false","Nephrosis"
"3","Lupus Nephritis","false","Lupus Nephritis"
"3","Glomerulosclerosis, Focal Segmental","false","Glomerulosclerosis, Focal Segmental"
"2","Dyslipidemias","false","Dyslipidemias"
"3","Proteinuria","false","Proteinuria"
"2","Hypoalphalipoproteinemias","false","Hypoalphalipoproteinemias"
"3","Nephrotic Syndrome","false","Nephrotic Syndrome"
"2","Hyperlipidemia, Familial Combined","false","Hyperlipidemia, Familial Combined"
"3","Kidney Failure, Chronic","false","Kidney Failure, Chronic"
"2","Lipid Metabolism Disorders","false","Lipid Metabolism Disorders"
"2","Hypertriglyceridemia","false","Hypertriglyceridemia"
"1","Polycystic Kidney, Autosomal Dominant","false","Polycystic Kidney, Autosomal Dominant"
"2","Bardet-Biedl Syndrome","false","Bardet-Biedl Syndrome"
"1","Diabetic Angiopathies","false","Diabetic Angiopathies"
"1","Diabetic Nephropathies","false","Diabetic Nephropathies"
"2","Hyperlipoproteinemia Type IV","false","Hyperlipoproteinemia Type IV"
"2","Hyperinsulinism","false","Hyperinsulinism"
"3","Glomerulonephritis","false","Glomerulonephritis"
"1","Albuminuria","false","Albuminuria"
"3","Hematuria","false","Hematuria"
"2","Diabetes Mellitus","false","Diabetes Mellitus"
"1","Diabetes Mellitus, Type 1","false","Diabetes Mellitus, Type 1"
"2","Endometrial Neoplasms","false","Endometrial Neoplasms"
"2","Insulin Resistance","false","Insulin Resistance"
"2","Gout","false","Gout"
"3","Glomerulonephritis, Membranoproliferative","false","Glomerulonephritis, Membranoproliferative"
"2","Endometrial Hyperplasia","false","Endometrial Hyperplasia"
"2","Metabolic Syndrome X","false","Metabolic Syndrome X"
"2","Hypothalamic Diseases","false","Hypothalamic Diseases"
"2","Hyperlipoproteinemias","false","Hyperlipoproteinemias"
"3","Glomerulonephritis, IGA","false","Glomerulonephritis, IGA"
"1","Hyperuricemia","false","Hyperuricemia"
"2","Glucose Intolerance","false","Glucose Intolerance"
"2","Fatty Liver","false","Fatty Liver"
"3","Hypertension, Renal","false","Hypertension, Renal"
"1","Diabetes Mellitus, Type 2","false","Diabetes Mellitus, Type 2"
"2","Hypercholesterolemia","false","Hypercholesterolemia"
"2","Hyperglycemia","false","Hyperglycemia"
"1","Hypertension","false","Hypertension"
"2","Metabolic Diseases","false","Metabolic Diseases"
"2","Obesity","false","Obesity"
"2","Hyperlipidemias","false","Hyperlipidemias"
"1","Hypertrophy, Left Ventricular","false","Hypertrophy, Left Ventricular"
