MeSH Disease Term source	MeSH Disease Term target	symptom similarity score
Alzheimer Disease	Dementia, Vascular	0.905955
Alzheimer Disease	Cognition Disorders	0.887207
Mitral Valve Prolapse	Heart Valve Diseases	0.93182
Refractive Errors	Amblyopia	0.904725
Refractive Errors	Anisometropia	0.916668
Myoclonus	Unverricht-Lundborg Syndrome	0.954774
Charcot-Marie-Tooth Disease	Neuromuscular Diseases	0.876631
Charcot-Marie-Tooth Disease	Muscular Atrophy	0.975521
Gastrointestinal Hemorrhage	Peptic Ulcer Hemorrhage	0.931482
Respiratory Distress Syndrome, Adult	Acidosis	0.856381
Coloboma	Orofaciodigital Syndromes	0.856286
Muscle Hypotonia	Pyruvate Metabolism, Inborn Errors	0.878369
Lung Diseases, Obstructive	Respiratory Distress Syndrome, Adult	0.895346
Lung Diseases, Obstructive	Pulmonary Emphysema	0.908151
Lung Diseases, Obstructive	Emphysema	0.884171
Respiratory Tract Infections	Asthma	0.850807
Disorders of Sex Development	46, XY Disorders of Sex Development	0.862454
Disorders of Sex Development	Leydig Cell Tumor	0.932499
Disorders of Sex Development	Adrenocortical Carcinoma	0.977895
Disorders of Sex Development	46, XX Disorders of Sex Development	0.862454
Disorders of Sex Development	Antley-Bixler Syndrome Phenotype	0.862454
Macular Degeneration	Choroidal Neovascularization	0.899181
Diabetic Nephropathies	Diabetic Angiopathies	0.918446
Diabetic Nephropathies	Polycystic Kidney, Autosomal Dominant	0.872883
Hyperparathyroidism	Hypocalcemia	0.855151
Hyperparathyroidism	Rickets	0.869083
Tetany	Magnesium Deficiency	0.878784
Skin Diseases	Drug Eruptions	0.873497
Skin Diseases	Dermatitis	0.908545
Skin Diseases	Psoriasis	0.86083
Skin Diseases	Urticaria	0.887011
Mitochondrial Diseases	Mitochondrial Myopathies	0.91771
Mitochondrial Diseases	Mitochondrial Encephalomyopathies	0.883747
Hypertension, Pulmonary	Reperfusion Injury	0.879453
Hypertension, Pulmonary	Polycythemia	0.952198
Hypertension, Pulmonary	Myocardial Reperfusion Injury	0.931289
Neural Tube Defects	Spinal Dysraphism	0.942302
Neural Tube Defects	Vesico-Ureteral Reflux	0.872858
Neural Tube Defects	Spina Bifida Cystica	0.876442
Neural Tube Defects	Urinary Tract Infections	0.882048
Neural Tube Defects	Meningomyelocele	0.936152
Athetosis	Purine-Pyrimidine Metabolism, Inborn Errors	0.869029
Psychoses, Substance-Induced	Lewy Body Disease	0.923026
Angina Pectoris	Coronary Disease	0.974088
Pain	Breast Diseases	0.869456
Vipoma	Gastrinoma	0.883794
Syncope	Sick Sinus Syndrome	0.985687
Syncope	Long QT Syndrome	0.990177
Syncope	Arrhythmogenic Right Ventricular Dysplasia	0.971353
Syncope	Torsades de Pointes	0.946438
Syncope	Heart Block	0.959356
Syncope	Death, Sudden, Cardiac	0.900983
Syncope	Tachycardia, Ventricular	0.978593
Syncope	Ventricular Fibrillation	0.851043
Syncope	Brugada Syndrome	0.917034
Syncope	Bundle-Branch Block	0.885295
Dementia	Alzheimer Disease	0.973312
Dementia	Dementia, Vascular	0.899399
Hyperlipidemias	Obesity	0.930571
Hyperlipidemias	Metabolic Diseases	0.915116
Hyperlipidemias	Hypercholesterolemia	0.926976
Hyperlipidemias	Glucose Intolerance	0.917449
Hyperlipidemias	Hyperlipoproteinemias	0.943095
Hyperlipidemias	Endometrial Hyperplasia	0.877495
Hyperlipidemias	Gout	0.899649
Hyperlipidemias	Endometrial Neoplasms	0.898368
Hyperlipidemias	Diabetes Mellitus	0.958687
Hyperlipidemias	Hyperinsulinism	0.941196
Hyperlipidemias	Hyperlipoproteinemia Type IV	0.916981
Hyperlipidemias	Bardet-Biedl Syndrome	0.858062
Hyperlipidemias	Hypertriglyceridemia	0.951506
Hyperlipidemias	Hyperlipidemia, Familial Combined	0.934206
Hyperlipidemias	Hypoalphalipoproteinemias	0.906766
Hyperlipidemias	Dyslipidemias	0.91877
Mucocutaneous Lymph Node Syndrome	Neutropenia	0.850718
Immunologic Deficiency Syndromes	Candidiasis, Chronic Mucocutaneous	0.863775
Spinal Dysraphism	Vesico-Ureteral Reflux	0.915712
Spinal Dysraphism	Spina Bifida Cystica	0.932274
Spinal Dysraphism	Urinary Tract Infections	0.87717
Deafness	Waardenburg's Syndrome	0.852985
Deafness	Ichthyosiform Erythroderma, Congenital	0.965103
Nails, Malformed	Xeroderma Pigmentosum	0.852395
Nails, Malformed	Chromosome Breakage	0.85154
Tooth Abnormalities	Craniofacial Dysostosis	0.911513
Tooth Abnormalities	Fibromatosis, Gingival	0.861603
Tooth Abnormalities	Hypertelorism	0.880406
Tooth Abnormalities	Chromosome Aberrations	0.857584
Tooth Abnormalities	Syndactyly	0.85116
Tooth Abnormalities	Craniosynostoses	0.858504
Tooth Abnormalities	Hand Deformities, Congenital	0.889383
Tooth Abnormalities	Ectodermal Dysplasia	0.866963
Sick Sinus Syndrome	Long QT Syndrome	0.980121
Sick Sinus Syndrome	Arrhythmogenic Right Ventricular Dysplasia	0.959018
Sick Sinus Syndrome	Torsades de Pointes	0.934632
Sick Sinus Syndrome	Heart Block	0.961804
Sick Sinus Syndrome	Death, Sudden, Cardiac	0.913077
Sick Sinus Syndrome	Tachycardia, Ventricular	0.973254
Sick Sinus Syndrome	Ventricular Fibrillation	0.866258
Sick Sinus Syndrome	Brugada Syndrome	0.926217
Sick Sinus Syndrome	Bundle-Branch Block	0.897959
Chromosome Disorders	Smith-Lemli-Opitz Syndrome	0.878149
Chromosome Disorders	Blepharophimosis	0.89062
Chromosome Disorders	Macrocephaly	0.865174
Chromosome Disorders	Craniofacial Dysostosis	0.898374
Chromosome Disorders	Amino Acid Metabolism, Inborn Errors	0.942561
Chromosome Disorders	Fibromatosis, Gingival	0.898142
Chromosome Disorders	Hallermann's Syndrome	0.855382
Chromosome Disorders	Chromosome Aberrations	0.966804
Chromosome Disorders	Syndactyly	0.884968
Chromosome Disorders	Craniosynostoses	0.904449
Chromosome Disorders	Polydactyly	0.910174
Chromosome Disorders	Xeroderma Pigmentosum	0.898716
Chromosome Disorders	Hand Deformities, Congenital	0.857796
Chromosome Disorders	Anophthalmos	0.861052
Chromosome Disorders	Chromosome Breakage	0.920472
Chromosome Disorders	Cri-du-Chat Syndrome	0.874653
Chromosome Disorders	Exostoses, Multiple Hereditary	0.858417
Chromosome Disorders	Sebaceous Gland Neoplasms	0.850913
Chromosome Disorders	Wolf-Hirschhorn Syndrome	0.901952
Asthma	Asbestosis	0.851873
Asthma	Bronchial Hyperreactivity	0.934145
Craniofacial Dysostosis	Nails, Malformed	0.856321
Craniofacial Dysostosis	Orofaciodigital Syndromes	0.905371
Craniofacial Dysostosis	Fibromatosis, Gingival	0.90061
Craniofacial Dysostosis	Hypertelorism	0.907174
Craniofacial Dysostosis	Syndactyly	0.903609
Craniofacial Dysostosis	Craniosynostoses	0.884326
Craniofacial Dysostosis	Hand Deformities, Congenital	0.912122
Craniofacial Dysostosis	Chromosome Breakage	0.895601
Colitis, Ulcerative	Crohn Disease	0.887839
Exocrine Pancreatic Insufficiency	Celiac Disease	0.856154
Microcephaly	Macrocephaly	0.892118
Microcephaly	Chromosome Disorders	0.965221
Microcephaly	Craniofacial Dysostosis	0.925011
Microcephaly	Dwarfism	0.940785
Microcephaly	Orofaciodigital Syndromes	0.863708
Microcephaly	Abnormalities, Multiple	0.978853
Microcephaly	Amino Acid Metabolism, Inborn Errors	0.967066
Microcephaly	Mental Retardation	0.983096
Microcephaly	Fibromatosis, Gingival	0.937276
Microcephaly	Phenylketonurias	0.974757
Microcephaly	De Lange Syndrome	0.883006
Microcephaly	Klinefelter Syndrome	0.905274
Microcephaly	Hallermann's Syndrome	0.902019
Microcephaly	Hypertelorism	0.851148
Microcephaly	Skin Abnormalities	0.904462
Microcephaly	Metabolism, Inborn Errors	0.914369
Microcephaly	Chromosome Aberrations	0.993475
Microcephaly	Syndactyly	0.907776
Microcephaly	Craniosynostoses	0.900289
Microcephaly	Polydactyly	0.889254
Microcephaly	Xeroderma Pigmentosum	0.926552
Microcephaly	Hand Deformities, Congenital	0.872956
Microcephaly	Chromosome Breakage	0.961531
Microcephaly	Cri-du-Chat Syndrome	0.857707
Microcephaly	Exostoses, Multiple Hereditary	0.875325
Microcephaly	Sebaceous Gland Neoplasms	0.889659
Microcephaly	Wolf-Hirschhorn Syndrome	0.904739
Microcephaly	Maple Syrup Urine Disease	0.879136
Fibrous Dysplasia, Polyostotic	Cafe-au-Lait Spots	0.978085
Fibrous Dysplasia, Polyostotic	Colorectal Neoplasms, Hereditary Nonpolyposis	0.971549
HIV Infections	Acquired Immunodeficiency Syndrome	0.883855
Kidney Failure, Chronic	Nephrotic Syndrome	0.867491
Kidney Failure, Chronic	Proteinuria	0.861198
Kidney Failure, Chronic	Glomerulosclerosis, Focal Segmental	0.874438
Kidney Failure, Chronic	Renal Insufficiency	0.895418
Fanconi Syndrome	Nephrotic Syndrome	0.895261
Fanconi Syndrome	Glomerulosclerosis, Focal Segmental	0.900077
Night Blindness	Leber Congenital Amaurosis	0.861592
Pulmonary Disease, Chronic Obstructive	Lung Diseases, Interstitial	0.856005
Pulmonary Disease, Chronic Obstructive	Pulmonary Emphysema	0.911327
Pulmonary Disease, Chronic Obstructive	Pulmonary Alveolar Proteinosis	0.860354
Pulmonary Disease, Chronic Obstructive	Pulmonary Fibrosis	0.879701
Pulmonary Disease, Chronic Obstructive	Idiopathic Pulmonary Fibrosis	0.889265
Pulmonary Disease, Chronic Obstructive	Emphysema	0.89069
Dwarfism	Macrocephaly	0.853549
Dwarfism	Chromosome Disorders	0.909306
Dwarfism	Craniofacial Dysostosis	0.92303
Dwarfism	Amino Acid Metabolism, Inborn Errors	0.904533
Dwarfism	Fibromatosis, Gingival	0.885747
Dwarfism	Phenylketonurias	0.960984
Dwarfism	Klinefelter Syndrome	0.888597
Dwarfism	Chromosome Aberrations	0.938677
Dwarfism	Syndactyly	0.861736
Dwarfism	Craniosynostoses	0.863195
Dwarfism	Polydactyly	0.858144
Dwarfism	Xeroderma Pigmentosum	0.890627
Dwarfism	Hand Deformities, Congenital	0.852296
Dwarfism	Congenital Hypothyroidism	0.867208
Dwarfism	Chromosome Breakage	0.908098
Incontinentia Pigmenti	Classical Lissencephalies and Subcortical Band Heterotopias	0.957708
Long QT Syndrome	Arrhythmogenic Right Ventricular Dysplasia	0.962687
Long QT Syndrome	Torsades de Pointes	0.948457
Long QT Syndrome	Romano-Ward Syndrome	0.854134
Long QT Syndrome	Death, Sudden, Cardiac	0.911538
Long QT Syndrome	Tachycardia, Ventricular	0.974926
Long QT Syndrome	Ventricular Fibrillation	0.869009
Long QT Syndrome	Atrioventricular Block	0.956243
Stomach Neoplasms	Stomach Diseases	0.879209
Cardiomyopathies	Heart Diseases	0.853721
Psychotic Disorders	Psychoses, Substance-Induced	0.919284
Psychotic Disorders	Schizophrenia	0.920766
Psychotic Disorders	Lewy Body Disease	0.875952
Gilbert Disease	Crigler-Najjar Syndrome	0.929786
Dermatitis, Seborrheic	Alopecia	0.859898
Torsades de Pointes	Arrhythmogenic Right Ventricular Dysplasia	0.935133
Torsades de Pointes	Death, Sudden, Cardiac	0.918052
Torsades de Pointes	Ventricular Fibrillation	0.886234
Adrenocortical Carcinoma	46, XY Disorders of Sex Development	0.862558
Adrenocortical Carcinoma	46, XX Disorders of Sex Development	0.862558
Adrenocortical Carcinoma	Antley-Bixler Syndrome Phenotype	0.862558
Carcinoma, Hepatocellular	Liver Neoplasms	0.926237
Neoplasms, Experimental	Liver Neoplasms, Experimental	0.90754
Epilepsy, Absence	Epilepsies, Myoclonic	0.871005
Tetralogy of Fallot	Transposition of Great Vessels	0.97236
Obesity	Metabolic Diseases	0.941822
Obesity	Glucose Intolerance	0.939292
Obesity	Hyperlipoproteinemias	0.92309
Obesity	Endometrial Hyperplasia	0.928949
Obesity	Gout	0.874082
Obesity	Endometrial Neoplasms	0.943922
Obesity	Diabetes Mellitus	0.963128
Obesity	Lipid Metabolism Disorders	0.893968
Obesity	Hyperinsulinism	0.979443
Obesity	Bardet-Biedl Syndrome	0.928762
Obesity	Hyperlipidemia, Familial Combined	0.987497
Obesity	Hypoalphalipoproteinemias	0.988107
Obesity	Dyslipidemias	0.945105
Nephrotic Syndrome	Nephrosis	0.985884
Nephrotic Syndrome	Denys-Drash Syndrome	0.955773
Nephrotic Syndrome	Lecithin Acyltransferase Deficiency	0.992435
Nephrotic Syndrome	Immune Complex Diseases	0.918671
Nephrotic Syndrome	Oculocerebrorenal Syndrome	0.868777
Metabolic Diseases	Glucose Intolerance	0.92519
Metabolic Diseases	Hyperlipoproteinemias	0.898854
Metabolic Diseases	Diabetes Mellitus	0.933382
Metabolic Diseases	Lipid Metabolism Disorders	0.872182
Metabolic Diseases	Bardet-Biedl Syndrome	0.911989
Metabolic Diseases	Hyperlipidemia, Familial Combined	0.932871
Metabolic Diseases	Hypoalphalipoproteinemias	0.926101
Metabolic Diseases	Dyslipidemias	0.912953
Supranuclear Palsy, Progressive	Striatonigral Degeneration	0.967389
Gram-Negative Bacterial Infections	AIDS-Related Opportunistic Infections	0.918953
Gram-Negative Bacterial Infections	Celiac Disease	0.876898
Hypercholesterolemia	Hyperlipoproteinemias	0.854487
Essential Tremor	Tremor	0.895442
Keloid	Candidiasis, Vulvovaginal	0.880891
Myositis Ossificans	Oral Submucous Fibrosis	0.870321
Citrullinemia	Carbamoyl-Phosphate Synthase I Deficiency Disease	0.947027
Fibromatosis, Abdominal	Hereditary Angioedema Type III	0.883577
Abnormalities, Multiple	Coloboma	0.850732
Abnormalities, Multiple	Smith-Lemli-Opitz Syndrome	0.870029
Abnormalities, Multiple	Nails, Malformed	0.872301
Abnormalities, Multiple	Tooth Abnormalities	0.890831
Abnormalities, Multiple	Macrocephaly	0.88443
Abnormalities, Multiple	Chromosome Disorders	0.963684
Abnormalities, Multiple	Craniofacial Dysostosis	0.958652
Abnormalities, Multiple	Dwarfism	0.940949
Abnormalities, Multiple	Orofaciodigital Syndromes	0.900247
Abnormalities, Multiple	Amino Acid Metabolism, Inborn Errors	0.945316
Abnormalities, Multiple	Fibromatosis, Gingival	0.944149
Abnormalities, Multiple	Phenylketonurias	0.946845
Abnormalities, Multiple	Klinefelter Syndrome	0.903543
Abnormalities, Multiple	Fragile X Syndrome	0.884108
Abnormalities, Multiple	Hypertelorism	0.906117
Abnormalities, Multiple	Skin Abnormalities	0.894069
Abnormalities, Multiple	Metabolism, Inborn Errors	0.910495
Abnormalities, Multiple	Chromosome Aberrations	0.987045
Abnormalities, Multiple	Syndactyly	0.922725
Abnormalities, Multiple	Craniosynostoses	0.91102
Abnormalities, Multiple	Polydactyly	0.901875
Abnormalities, Multiple	Xeroderma Pigmentosum	0.939818
Abnormalities, Multiple	Hand Deformities, Congenital	0.921072
Abnormalities, Multiple	Congenital Hypothyroidism	0.861029
Abnormalities, Multiple	Ectodermal Dysplasia	0.858448
Abnormalities, Multiple	Chromosome Breakage	0.955497
Abnormalities, Multiple	Cri-du-Chat Syndrome	0.862531
Abnormalities, Multiple	Exostoses, Multiple Hereditary	0.876769
Abnormalities, Multiple	Sebaceous Gland Neoplasms	0.855438
Abnormalities, Multiple	Wolf-Hirschhorn Syndrome	0.898583
Abnormalities, Multiple	Genetic Diseases, Inborn	0.861832
Abnormalities, Multiple	Maple Syrup Urine Disease	0.855798
Amino Acid Metabolism, Inborn Errors	Fibromatosis, Gingival	0.927864
Amino Acid Metabolism, Inborn Errors	Syndactyly	0.87183
Amino Acid Metabolism, Inborn Errors	Craniosynostoses	0.873052
Amino Acid Metabolism, Inborn Errors	Polydactyly	0.862173
Amino Acid Metabolism, Inborn Errors	Xeroderma Pigmentosum	0.921086
Amino Acid Metabolism, Inborn Errors	Chromosome Breakage	0.92285
Amino Acid Metabolism, Inborn Errors	Exostoses, Multiple Hereditary	0.853997
Amino Acid Metabolism, Inborn Errors	Maple Syrup Urine Disease	0.90712
Paralyses, Familial Periodic	Paralysis, Hyperkalemic Periodic	0.949703
Anemia, Dyserythropoietic, Congenital	Anemia, Diamond-Blackfan	0.903629
Lung Diseases, Interstitial	Pulmonary Alveolar Proteinosis	0.922376
Lung Diseases, Interstitial	Pulmonary Fibrosis	0.932657
Lung Diseases, Interstitial	Idiopathic Pulmonary Fibrosis	0.938887
Osteoarthritis	Osteoarthritis, Hip	0.938528
Osteoarthritis	Osteoarthritis, Knee	0.924619
Neurofibromatoses	Cafe-au-Lait Spots	0.977045
Neurofibromatoses	Fibrous Dysplasia, Polyostotic	0.966539
Neurofibromatoses	Neurofibromatosis 1	0.913221
Mental Retardation	Blepharophimosis	0.92045
Mental Retardation	Macrocephaly	0.872913
Mental Retardation	Chromosome Disorders	0.946493
Mental Retardation	Craniofacial Dysostosis	0.908062
Mental Retardation	Dwarfism	0.922102
Mental Retardation	Orofaciodigital Syndromes	0.863916
Mental Retardation	Abnormalities, Multiple	0.969765
Mental Retardation	Amino Acid Metabolism, Inborn Errors	0.948897
Mental Retardation	Fibromatosis, Gingival	0.943041
Mental Retardation	Piebaldism	0.854463
Mental Retardation	Phenylketonurias	0.968913
Mental Retardation	De Lange Syndrome	0.870633
Mental Retardation	Klinefelter Syndrome	0.909358
Mental Retardation	Fragile X Syndrome	0.906021
Mental Retardation	Hallermann's Syndrome	0.921674
Mental Retardation	Skin Abnormalities	0.902062
Mental Retardation	Metabolism, Inborn Errors	0.880525
Mental Retardation	Chromosome Aberrations	0.985722
Mental Retardation	Syndactyly	0.900638
Mental Retardation	Craniosynostoses	0.899153
Mental Retardation	Polydactyly	0.857152
Mental Retardation	Xeroderma Pigmentosum	0.939746
Mental Retardation	Hand Deformities, Congenital	0.865881
Mental Retardation	Anophthalmos	0.894077
Mental Retardation	Chromosome Breakage	0.980734
Mental Retardation	Cri-du-Chat Syndrome	0.858345
Mental Retardation	Exostoses, Multiple Hereditary	0.88644
Mental Retardation	Sebaceous Gland Neoplasms	0.865116
Mental Retardation	Wolf-Hirschhorn Syndrome	0.871457
Optic Atrophy	Glaucoma	0.862475
Optic Atrophy	Retinal Diseases	0.908315
Memory Disorders	Cognition Disorders	0.857234
Mammary Neoplasms, Experimental	Liver Cirrhosis, Experimental	0.908068
Glucose Intolerance	Hyperlipoproteinemias	0.883439
Glucose Intolerance	Hypoalphalipoproteinemias	0.908757
Glucose Intolerance	Dyslipidemias	0.917061
Hyperlipoproteinemias	Hypoalphalipoproteinemias	0.913898
Bone Diseases, Developmental	Coloboma	0.875183
Bone Diseases, Developmental	Tooth Abnormalities	0.896931
Bone Diseases, Developmental	Craniofacial Dysostosis	0.928046
Bone Diseases, Developmental	Microcephaly	0.858181
Bone Diseases, Developmental	Dwarfism	0.867007
Bone Diseases, Developmental	Orofaciodigital Syndromes	0.884709
Bone Diseases, Developmental	Abnormalities, Multiple	0.913408
Bone Diseases, Developmental	Fibromatosis, Gingival	0.85239
Bone Diseases, Developmental	Hypertelorism	0.879399
Bone Diseases, Developmental	Chromosome Aberrations	0.869559
Bone Diseases, Developmental	Syndactyly	0.883315
Bone Diseases, Developmental	Xeroderma Pigmentosum	0.855253
Bone Diseases, Developmental	Hand Deformities, Congenital	0.905033
Bone Diseases, Developmental	Congenital Hypothyroidism	0.881149
Bone Diseases, Developmental	Pierre Robin Syndrome	0.855924
Bone Diseases, Developmental	Craniofacial Abnormalities	0.876903
Leukemia, Lymphocytic, Chronic, B-Cell	Common Variable Immunodeficiency	0.866392
Leukemia, Lymphocytic, Chronic, B-Cell	Myelodysplastic Syndromes	0.865438
Diabetes Insipidus	Diabetes Insipidus, Nephrogenic	0.982853
Diabetes Insipidus	Diabetes Insipidus, Neurogenic	0.992193
Hyperbilirubinemia, Hereditary	Crigler-Najjar Syndrome	0.934222
Hyperbilirubinemia, Hereditary	Gilbert Disease	0.985507
Fibromatosis, Gingival	Orofaciodigital Syndromes	0.861448
Piebaldism	Craniosynostoses	0.859426
Piebaldism	Chromosome Breakage	0.866756
Tachycardia	Long QT Syndrome	0.898531
Tachycardia	Arrhythmogenic Right Ventricular Dysplasia	0.889203
Tachycardia	Torsades de Pointes	0.918245
Tachycardia	Death, Sudden, Cardiac	0.932147
Tachycardia	Tachycardia, Ventricular	0.932539
Tachycardia	Ventricular Fibrillation	0.915387
Tachycardia	Brugada Syndrome	0.858437
Drug Eruptions	Candidiasis, Vulvovaginal	0.861565
Drug Eruptions	Keloid	0.854632
Drug Eruptions	Dermatitis, Contact	0.856871
Drug Eruptions	Porokeratosis	0.878121
Drug Eruptions	Urticaria	0.915423
Drug Eruptions	Folliculitis	0.904343
Drug Eruptions	Dermatitis, Atopic	0.886223
Dermatitis, Contact	Dermatitis, Allergic Contact	0.946101
Dermatitis, Contact	Keratosis	0.861482
Hypersensitivity	Hypersensitivity, Immediate	0.860369
Dermatitis	Keloid	0.877278
Phenylketonurias	Chromosome Disorders	0.929187
Phenylketonurias	Amino Acid Metabolism, Inborn Errors	0.946359
Phenylketonurias	Klinefelter Syndrome	0.906218
Phenylketonurias	Syndactyly	0.879203
Phenylketonurias	Polydactyly	0.856875
Phenylketonurias	Chromosome Breakage	0.950907
Phenylketonurias	Cri-du-Chat Syndrome	0.855332
Phenylketonurias	Exostoses, Multiple Hereditary	0.864586
Phenylketonurias	Maple Syrup Urine Disease	0.87122
Neovascularization, Pathologic	Hypertension, Pulmonary	0.948095
Neovascularization, Pathologic	Reperfusion Injury	0.911438
Neovascularization, Pathologic	Polycythemia	0.932511
Hydrops Fetalis	Anemia, Diamond-Blackfan	0.951221
Ataxia	Hereditary Central Nervous System Demyelinating Diseases	0.852037
Endometrial Hyperplasia	Glucose Intolerance	0.884298
Neurodegenerative Diseases	Supranuclear Palsy, Progressive	0.866325
Neurodegenerative Diseases	Tauopathies	0.9385
Neurodegenerative Diseases	Multiple System Atrophy	0.865622
Neurodegenerative Diseases	Striatonigral Degeneration	0.85635
Reperfusion Injury	Polycythemia	0.878841
Gout	Hyperlipoproteinemias	0.854737
Gout	Diabetes Mellitus	0.892317
Growth Disorders	Dwarfism	0.898184
Diabetes, Gestational	Persistent Hyperinsulinemia Hypoglycemia of Infancy	0.855494
Choroid Diseases	Retinal Diseases	0.885456
Cataract	Retinal Detachment	0.857917
Hematologic Neoplasms	Neutropenia	0.904963
Glaucoma	Glaucoma, Open-Angle	0.862315
Glaucoma	Retinal Diseases	0.960221
Hypertrophy, Left Ventricular	Diabetic Angiopathies	0.850643
De Lange Syndrome	Tooth Abnormalities	0.850928
De Lange Syndrome	Chromosome Disorders	0.859076
De Lange Syndrome	Dwarfism	0.904444
De Lange Syndrome	Abnormalities, Multiple	0.898237
De Lange Syndrome	Amino Acid Metabolism, Inborn Errors	0.862853
De Lange Syndrome	Fibromatosis, Gingival	0.864671
De Lange Syndrome	Phenylketonurias	0.902011
De Lange Syndrome	Chromosome Aberrations	0.884081
De Lange Syndrome	Xeroderma Pigmentosum	0.853524
De Lange Syndrome	Hand Deformities, Congenital	0.856598
De Lange Syndrome	Chromosome Breakage	0.869103
Fetal Death	Fetal Growth Retardation	0.883056
Bloom Syndrome	Werner Syndrome	0.913479
Bloom Syndrome	Progeria	0.920805
Dyskeratosis Congenita	Progeria	0.865659
Dyskeratosis Congenita	Cutis Laxa	0.853246
Ischemia	Peripheral Vascular Diseases	0.861316
Synovitis	Bone Marrow Diseases	0.917384
Tauopathies	Supranuclear Palsy, Progressive	0.962614
Tauopathies	Striatonigral Degeneration	0.940952
Fibrosarcoma	Melanoma, Experimental	0.866272
Hemorrhagic Disorders	Thrombasthenia	0.862731
Klinefelter Syndrome	Chromosome Disorders	0.904694
