"name","selected","shared name"
"Glomerulonephritis, IGA","false","Glomerulonephritis, IGA"
"Lupus Nephritis","false","Lupus Nephritis"
"Glomerulonephritis","false","Glomerulonephritis"
"Torsades de Pointes","false","Torsades de Pointes"
"Metabolic Diseases","false","Metabolic Diseases"
"Glomerulosclerosis, Focal Segmental","false","Glomerulosclerosis, Focal Segmental"
"Proteinuria","false","Proteinuria"
"Insulin Resistance","false","Insulin Resistance"
"Fatty Liver","false","Fatty Liver"
"Dyslipidemias","false","Dyslipidemias"
"Glucose Intolerance","false","Glucose Intolerance"
"Metabolic Syndrome X","false","Metabolic Syndrome X"
"Nephritis, Interstitial","false","Nephritis, Interstitial"
"Immune Complex Diseases","false","Immune Complex Diseases"
"Glomerulonephritis, Membranoproliferative","false","Glomerulonephritis, Membranoproliferative"
"Lecithin Acyltransferase Deficiency","false","Lecithin Acyltransferase Deficiency"
"Denys-Drash Syndrome","false","Denys-Drash Syndrome"
"Nephrosis","false","Nephrosis"
"Nephrotic Syndrome","false","Nephrotic Syndrome"
"Hypoalphalipoproteinemias","false","Hypoalphalipoproteinemias"
"Hyperlipidemia, Familial Combined","false","Hyperlipidemia, Familial Combined"
"Hyperinsulinism","false","Hyperinsulinism"
"Obesity","false","Obesity"
"Atrioventricular Block","false","Atrioventricular Block"
"Hypertriglyceridemia","false","Hypertriglyceridemia"
"Diabetes Mellitus","false","Diabetes Mellitus"
"Hyperlipidemias","false","Hyperlipidemias"
"Tachycardia, Ventricular","false","Tachycardia, Ventricular"
"Heart Block","false","Heart Block"
"Arrhythmogenic Right Ventricular Dysplasia","false","Arrhythmogenic Right Ventricular Dysplasia"
"Long QT Syndrome","false","Long QT Syndrome"
"Sick Sinus Syndrome","false","Sick Sinus Syndrome"

