MeSH Disease Term source	MeSH Disease Term target	symptom similarity score
Alzheimer Disease	Memory Disorders	0.842904
Alzheimer Disease	Dementia, Vascular	0.905955
Alzheimer Disease	Cognition Disorders	0.887207
Alzheimer Disease	Atrophy	0.815629
Mitral Valve Prolapse	Heart Valve Diseases	0.93182
Refractive Errors	Amblyopia	0.904725
Refractive Errors	Anisometropia	0.916668
Myoclonus	Creutzfeldt-Jakob Syndrome	0.837944
Myoclonus	Unverricht-Lundborg Syndrome	0.954774
Bipolar Disorder	Depressive Disorder	0.840119
Bipolar Disorder	Depressive Disorder, Major	0.844747
Charcot-Marie-Tooth Disease	Neuromuscular Diseases	0.876631
Charcot-Marie-Tooth Disease	Muscular Atrophy	0.975521
Gastrointestinal Hemorrhage	Peptic Ulcer Hemorrhage	0.931482
Respiratory Distress Syndrome, Adult	Acidosis	0.856381
Coloboma	Nails, Malformed	0.810997
Coloboma	Orofaciodigital Syndromes	0.856286
Coloboma	Hypertelorism	0.84669
Coloboma	Foot Deformities, Congenital	0.80992
Muscle Hypotonia	Pyruvate Metabolism, Inborn Errors	0.878369
Adrenocortical Hyperfunction	Acanthosis Nigricans	0.846727
Adrenocortical Hyperfunction	Cushing Syndrome	0.831758
Adrenocortical Hyperfunction	Alopecia	0.818868
Lung Diseases, Obstructive	Respiratory Distress Syndrome, Adult	0.895346
Lung Diseases, Obstructive	Pulmonary Emphysema	0.908151
Lung Diseases, Obstructive	Emphysema	0.884171
Respiratory Tract Infections	Asthma	0.850807
Disorders of Sex Development	46, XY Disorders of Sex Development	0.862454
Disorders of Sex Development	Leydig Cell Tumor	0.932499
Disorders of Sex Development	Adrenocortical Carcinoma	0.977895
Disorders of Sex Development	46, XX Disorders of Sex Development	0.862454
Disorders of Sex Development	Antley-Bixler Syndrome Phenotype	0.862454
Disorders of Sex Development	Androgen-Insensitivity Syndrome	0.803916
Disorders of Sex Development	Gonadal Dysgenesis, 46,XX	0.823281
Myocardial Stunning	Coronary Restenosis	0.840244
Macular Degeneration	Choroid Diseases	0.829216
Macular Degeneration	Retinal Drusen	0.840675
Macular Degeneration	Retinal Diseases	0.83974
Macular Degeneration	Choroidal Neovascularization	0.899181
Muscular Diseases	Myositis	0.828127
Muscular Diseases	Muscular Dystrophies	0.816695
Diabetic Nephropathies	Diabetic Angiopathies	0.918446
Diabetic Nephropathies	Polycystic Kidney, Autosomal Dominant	0.872883
Diabetic Nephropathies	Renal Insufficiency	0.805042
Smith-Lemli-Opitz Syndrome	Chromosome Breakage	0.813486
Niemann-Pick Disease, Type C	Supranuclear Palsy, Progressive	0.832963
