"name","selected","shared name"
"Metabolic Diseases","false","Metabolic Diseases"
"Insulin Resistance","false","Insulin Resistance"
"Fatty Liver","false","Fatty Liver"
"Dyslipidemias","false","Dyslipidemias"
"Glucose Intolerance","false","Glucose Intolerance"
"Metabolic Syndrome X","false","Metabolic Syndrome X"
"Hypoalphalipoproteinemias","false","Hypoalphalipoproteinemias"
"Hyperlipidemia, Familial Combined","false","Hyperlipidemia, Familial Combined"
"Hyperinsulinism","false","Hyperinsulinism"
"Obesity","false","Obesity"
"Hypertriglyceridemia","false","Hypertriglyceridemia"
"Diabetes Mellitus","false","Diabetes Mellitus"
"Hyperlipidemias","false","Hyperlipidemias"
