Source1,Source2,Weight_mean
abscess,acid reflux,0.0625714
abscess,anaphylaxis,0.0564167
abscess,anemia,0.03025
abscess,aneurysm,0.09975
abscess,angina,0.104
abscess,appendicitis,0.15275
abscess,arthritis,0.0741111
abscess,asthma,0.043625
abscess,atopic dermatitis,0.0594
abscess,bed bug bite,0.03725
abscess,bell's palsy,0.0213333
abscess,bladder cancer,0.0768
abscess,bone fracture,0.1032
abscess,bone infection,0.0794091
abscess,borderline personality disorder,0.032
abscess,brain tumor,0.04975
abscess,breast cancer,0.05175
abscess,bronchitis,0.0893333
abscess,burn,0.0739167
abscess,cardiomyopathy,0.0105
abscess,carpal tunnel syndrome,0.07525
abscess,cataracts,0.0115
abscess,celiac disease,0.10675
abscess,cellulitis,0.11725
abscess,cervical cancer,0.1142
abscess,cervical radiculopathy,0.1095
abscess,chicken pox,0.0492143
abscess,chlamydia,0.099375
abscess,cholangiocarcinoma,0.119583
abscess,cholecystitis,0.124214
abscess,chronic kidney disease,0.0474
abscess,chronic obstructive pulmonary disease,0.0541667
abscess,chronic pain,0.1155
abscess,cirrhosis of the liver,0.06625
abscess,colon cancer,0.0705
abscess,common cold,0.048
abscess,concussion,0.0355
abscess,congestive heart failure,0.1045
abscess,coronary artery disease,0.02225
abscess,crohn's disease,0.11175
abscess,deep vein thrombosis,0.114
abscess,dementia,0.027
abscess,diverticulitis,0.1285
abscess,diverticulosis,0.0730833
abscess,drug withdrawal,0.0315
abscess,ectopic pregnancy,0.1075
abscess,encephalitis,0.047875
abscess,encephalopathy,0.0615
abscess,endometrial cancer,0.05375
abscess,endometriosis,0.104357
abscess,epididymitis,0.098
abscess,epilepsy,0.03375
abscess,esophageal cancer,0.0412
abscess,fibroids,0.1015
abscess,fibromyalgia,0.06435
abscess,gallstones,0.105188
abscess,gastritis,0.1175
abscess,gastroparesis,0.1308
abscess,glaucoma,0.056
abscess,goiter,0.0368
abscess,gout,0.109571
abscess,groin hernia,0.0955714
abscess,heart attack,0.0945
abscess,hepatitis a,0.0866429
abscess,hepatitis b,0.0360714
abscess,hepatitis c,0.0725
abscess,hiatal hernia,0.0656667
abscess,high cholesterol,0.016
abscess,hiv/aids,0.0428333
abscess,hives,0.0520833
abscess,hyperthyroidism,0.0421667
abscess,hyponatremia,0.052
abscess,hypothyroidism,0.02925
abscess,insect bites and stings,0.0615
abscess,iron deficiency anemia,0.0175
abscess,irritable bowel syndrome,0.0792857
abscess,kidney infection,0.126625
abscess,kidney stone,0.08105
abscess,liver cancer,0.11675
abscess,low back pain,0.1339
abscess,lung cancer,0.0377143
abscess,lupus,0.0797857
abscess,lyme disease,0.0845
abscess,major depression,0.017
abscess,melanoma,0.027
abscess,meningitis,0.0926429
abscess,middle ear infection,0.0782857
abscess,migraine,0.1095
abscess,miscarriage,0.0574167
abscess,mono,0.108364
abscess,multiple myeloma,0.0714167
abscess,multiple sclerosis,0.0248571
abscess,myasthenia gravis,0.05725
abscess,neutropenia,0.104875
abscess,obesity,0.06625
abscess,osteoarthritis,0.0935
abscess,osteoporosis,0.1085
abscess,ovarian cancer,0.0899286
abscess,ovarian cyst,0.1445
abscess,pancreatitis,0.126929
abscess,parkinson's disease,0.022625
abscess,pink eye,0.079
abscess,plantar fasciitis,0.122
abscess,pleural effusion,0.0625
abscess,pneumonia,0.0674
abscess,pneumothorax,0.0575
abscess,polycystic ovary syndrome,0.1108
abscess,post traumatic stress disorder,0.0105
abscess,prostate cancer,0.057
abscess,psoriasis,0.0629444
abscess,pulmonary embolism,0.0385
abscess,pulmonary hypertension,0.0275
abscess,retinal detachment,0.016
abscess,rhabdomyolysis,0.0775
abscess,rheumatoid arthritis,0.100417
abscess,sciatica,0.171
abscess,seasonal allergies,0.0521
abscess,sebaceous cyst,0.117643
abscess,sepsis,0.0837
abscess,shingles,0.0754286
abscess,sickle cell anemia,0.125333
abscess,sinusitis,0.0731429
abscess,sleep apnea,0.028
abscess,spondylosis,0.10025
abscess,sprained ankle,0.1525
abscess,sprained knee,0.1165
abscess,sprained wrist,0.208167
abscess,stomach flu,0.125083
abscess,stomach ulcer,0.111
abscess,strep throat,0.118318
abscess,stroke,0.01375
abscess,tension headache,0.1685
abscess,thoracic radiculopathy,0.1905
abscess,thyroid cancer,0.0555
abscess,thyroid nodules,0.0661667
abscess,traumatic brain injury,0.0395
abscess,type 1 diabetes,0.045125
abscess,type 2 diabetes,0.04975
abscess,ulcerative colitis,0.0993125
abscess,upper respiratory infection,0.09
abscess,urinary tract infection,0.0387857
abscess,vitamin d deficiency,0.053
acid reflux,acute renal failure,0.0354375
acid reflux,alcohol intoxication,0.0473333
acid reflux,alcoholism,0.0447
acid reflux,alzheimer's disease,0.0171667
acid reflux,anaphylaxis,0.0325
acid reflux,anemia,0.0353077
acid reflux,aneurysm,0.0687
acid reflux,angina,0.0440476
acid reflux,aphasia,0.01925
acid reflux,appendicitis,0.117385
acid reflux,arrhythmia,0.032
acid reflux,arthritis,0.0644286
acid reflux,asthma,0.0319643
acid reflux,atopic dermatitis,0.0269167
acid reflux,atrial fibrillation,0.0178889
acid reflux,bed bug bite,0.0415
acid reflux,bell's palsy,0.0326667
acid reflux,bipolar disorder,0.0523571
acid reflux,bladder cancer,0.0557
acid reflux,bone fracture,0.16025
acid reflux,bone infection,0.0594167
acid reflux,borderline personality disorder,0.0935833
acid reflux,brain tumor,0.03725
acid reflux,breast cancer,0.0297778
acid reflux,bronchitis,0.0568
acid reflux,burn,0.0445625
acid reflux,cardiac arrest,0.0298333
acid reflux,cardiomyopathy,0.0188636
acid reflux,carpal tunnel syndrome,0.0589
acid reflux,cataracts,0.0254167
acid reflux,celiac disease,0.0624722
acid reflux,cellulitis,0.091
acid reflux,cervical cancer,0.0732083
acid reflux,cervical radiculopathy,0.0787857
acid reflux,chicken pox,0.0350833
acid reflux,chlamydia,0.0971875
acid reflux,cholangiocarcinoma,0.0740455
acid reflux,cholecystitis,0.0906667
acid reflux,chronic kidney disease,0.02125
acid reflux,chronic obstructive pulmonary disease,0.0281364
acid reflux,chronic pain,0.0822
acid reflux,cirrhosis of the liver,0.0412333
acid reflux,colon cancer,0.0512187
acid reflux,common cold,0.0259583
acid reflux,concussion,0.0525556
acid reflux,congestive heart failure,0.0355625
acid reflux,coronary artery disease,0.0222857
acid reflux,crohn's disease,0.0652895
acid reflux,deep vein thrombosis,0.0589167
acid reflux,dementia,0.0178
acid reflux,diverticulitis,0.0986667
acid reflux,diverticulosis,0.0624091
acid reflux,drug withdrawal,0.0494615
acid reflux,ectopic pregnancy,0.0933889
acid reflux,encephalitis,0.0346
acid reflux,encephalopathy,0.03275
acid reflux,endometrial cancer,0.0391111
acid reflux,endometriosis,0.0812143
acid reflux,epididymitis,0.101714
acid reflux,epilepsy,0.0294286
acid reflux,esophageal cancer,0.0414231
acid reflux,fibroids,0.079
acid reflux,fibromyalgia,0.0522353
acid reflux,gallstones,0.0942083
acid reflux,gastritis,0.0715588
acid reflux,gastroparesis,0.100714
acid reflux,glaucoma,0.025
acid reflux,goiter,0.0253125
acid reflux,gout,0.0931667
acid reflux,groin hernia,0.0666818
acid reflux,heart attack,0.0395
acid reflux,hepatitis a,0.0658077
acid reflux,hepatitis b,0.031125
acid reflux,hepatitis c,0.049125
acid reflux,hiatal hernia,0.0539
acid reflux,high blood pressure,0.0309286
acid reflux,high cholesterol,0.033375
acid reflux,hiv/aids,0.0331
acid reflux,hives,0.012375
acid reflux,hyperthyroidism,0.0322647
acid reflux,hypoglycemia,0.018
acid reflux,hyponatremia,0.0322083
