MeSH Symptom Term	MeSH Disease Term	PubMed occurrence	TFIDF score
Aging, Premature	Respiratory Syncytial Virus Infections	1	3,46455148953797
Aging, Premature	Orthomyxoviridae Infections	1	3,46455148953797
Aging, Premature	HIV Infections	3	10,3936544686139
Aging, Premature	Acquired Immunodeficiency Syndrome	3	10,3936544686139
Aging, Premature	Breast Neoplasms	1	3,46455148953797
Aging, Premature	Colonic Neoplasms	1	3,46455148953797
Aging, Premature	Mammary Neoplasms, Animal	1	3,46455148953797
Aging, Premature	Skin Neoplasms	3	10,3936544686139
Aging, Premature	Neoplasms, Experimental	1	3,46455148953797
Aging, Premature	Cell Transformation, Neoplastic	3	10,3936544686139
Aging, Premature	Neoplastic Syndromes, Hereditary	1	3,46455148953797
Aging, Premature	Li-Fraumeni Syndrome	2	6,92910297907594
Aging, Premature	Bone Diseases	1	3,46455148953797
Aging, Premature	Bone Diseases, Developmental	2	6,92910297907594
Aging, Premature	Cockayne Syndrome	6	20,7873089372278
Aging, Premature	Bone Diseases, Metabolic	1	3,46455148953797
Aging, Premature	Osteoporosis	10	34,6455148953797
Aging, Premature	Spinal Diseases	1	3,46455148953797
Aging, Premature	Scoliosis	1	3,46455148953797
Aging, Premature	Jaw, Edentulous	1	3,46455148953797
Aging, Premature	Joint Diseases	1	3,46455148953797
Aging, Premature	Arthritis, Rheumatoid	2	6,92910297907594
Aging, Premature	Fibromyalgia	1	3,46455148953797
Aging, Premature	MELAS Syndrome	1	3,46455148953797
Aging, Premature	Ophthalmoplegia, Chronic Progressive External	1	3,46455148953797
Aging, Premature	Muscular Dystrophy, Emery-Dreifuss	1	3,46455148953797
Aging, Premature	Craniofacial Abnormalities	2	6,92910297907594
Aging, Premature	Microcephaly	1	3,46455148953797
Aging, Premature	Colitis	1	3,46455148953797
Aging, Premature	Ileitis	1	3,46455148953797
Aging, Premature	Malabsorption Syndromes	1	3,46455148953797
Aging, Premature	Fatty Liver	2	6,92910297907594
Aging, Premature	Liver Cirrhosis	1	3,46455148953797
Aging, Premature	Pancreatitis, Chronic	1	3,46455148953797
Aging, Premature	Facial Paralysis	1	3,46455148953797
Aging, Premature	Tooth Loss	1	3,46455148953797
Aging, Premature	Tooth Attrition	1	3,46455148953797
Aging, Premature	Lung Diseases	1	3,46455148953797
Aging, Premature	Wolfram Syndrome	1	3,46455148953797
Aging, Premature	Hearing Loss, Sensorineural	2	6,92910297907594
Aging, Premature	Brain Diseases	1	3,46455148953797
Aging, Premature	Huntington Disease	1	3,46455148953797
Aging, Premature	Cerebral Palsy	1	3,46455148953797
Aging, Premature	Ataxia Telangiectasia	2	6,92910297907594
Aging, Premature	Cerebrovascular Disorders	1	3,46455148953797
Aging, Premature	Dementia	5	17,3227574476898
Aging, Premature	Alzheimer Disease	4	13,8582059581519
Aging, Premature	Essential Tremor	1	3,46455148953797
Aging, Premature	Chronobiology Disorders	1	3,46455148953797
Aging, Premature	Charcot-Marie-Tooth Disease	1	3,46455148953797
Aging, Premature	Neurocutaneous Syndromes	1	3,46455148953797
Aging, Premature	Neurodegenerative Diseases	3	10,3936544686139
Aging, Premature	Learning Disorders	1	3,46455148953797
Aging, Premature	Memory Disorders	2	6,92910297907594
Aging, Premature	Mental Retardation	2	6,92910297907594
Aging, Premature	De Lange Syndrome	1	3,46455148953797
Aging, Premature	Down Syndrome	6	20,7873089372278
Aging, Premature	Pain	1	3,46455148953797
Aging, Premature	Neuromuscular Diseases	2	6,92910297907594
Aging, Premature	Alcohol-Induced Disorders, Nervous System	1	3,46455148953797
Aging, Premature	Sleep Disorders	1	3,46455148953797
Aging, Premature	Sleep Initiation and Maintenance Disorders	2	6,92910297907594
Aging, Premature	Albinism	1	3,46455148953797
Aging, Premature	Cataract	2	6,92910297907594
Aging, Premature	Infertility, Male	1	3,46455148953797
Aging, Premature	Varicocele	1	3,46455148953797
Aging, Premature	Kidney Diseases	1	3,46455148953797
Aging, Premature	Hypertension, Renal	1	3,46455148953797
Aging, Premature	Glomerulonephritis	1	3,46455148953797
Aging, Premature	Uremia	1	3,46455148953797
Aging, Premature	Primary Ovarian Insufficiency	2	6,92910297907594
Aging, Premature	Abortion, Habitual	1	3,46455148953797
Aging, Premature	Sinoatrial Block	1	3,46455148953797
Aging, Premature	Cardiomyopathies	1	3,46455148953797
Aging, Premature	Heart Arrest	1	3,46455148953797
Aging, Premature	Myocardial Ischemia	1	3,46455148953797
Aging, Premature	Coronary Artery Disease	1	3,46455148953797
Aging, Premature	Vascular Diseases	1	3,46455148953797
Aging, Premature	Atherosclerosis	2	6,92910297907594
Aging, Premature	Hypertension	1	3,46455148953797
Aging, Premature	Abnormalities, Multiple	4	13,8582059581519
Aging, Premature	Bloom Syndrome	2	6,92910297907594
Aging, Premature	Skin Abnormalities	2	6,92910297907594
Aging, Premature	Dyskeratosis Congenita	3	10,3936544686139
Aging, Premature	Rothmund-Thomson Syndrome	1	3,46455148953797
Aging, Premature	Genetic Diseases, Inborn	1	3,46455148953797
Aging, Premature	Metabolism, Inborn Errors	2	6,92910297907594
Aging, Premature	Amyloidosis, Familial	1	3,46455148953797
Aging, Premature	Progeria	20	69,2910297907594
Aging, Premature	Cutis Laxa	5	17,3227574476898
Aging, Premature	Werner Syndrome	18	62,3619268116834
Aging, Premature	Severe Combined Immunodeficiency	1	3,46455148953797
Aging, Premature	Connective Tissue Diseases	2	6,92910297907594
Aging, Premature	Collagen Diseases	1	3,46455148953797
Aging, Premature	Scleroderma, Systemic	1	3,46455148953797
Aging, Premature	Scleroderma, Diffuse	1	3,46455148953797
Aging, Premature	Skin Diseases	4	13,8582059581519
Aging, Premature	Hair Diseases	3	10,3936544686139
Aging, Premature	Vitiligo	1	3,46455148953797
Aging, Premature	Lipodystrophy	5	17,3227574476898
Aging, Premature	DNA Repair-Deficiency Disorders	1	3,46455148953797
Aging, Premature	Diabetes Mellitus, Experimental	2	6,92910297907594
Aging, Premature	Diabetes Mellitus, Type 2	2	6,92910297907594
Aging, Premature	Hyperglycemia	1	3,46455148953797
Aging, Premature	Insulin Resistance	2	6,92910297907594
Aging, Premature	Metabolic Syndrome X	1	3,46455148953797
Aging, Premature	Hyperlipidemias	2	6,92910297907594
Aging, Premature	Hypertriglyceridemia	1	3,46455148953797
Aging, Premature	Mitochondrial Diseases	1	3,46455148953797
Aging, Premature	Vitamin D Deficiency	1	3,46455148953797
Aging, Premature	Obesity	2	6,92910297907594
Aging, Premature	Adrenal Cortex Diseases	1	3,46455148953797
Aging, Premature	Autoimmune Diseases	2	6,92910297907594
Aging, Premature	Combat Disorders	1	3,46455148953797
Aging, Premature	Stress Disorders, Post-Traumatic	2	6,92910297907594
Aging, Premature	Cognition Disorders	2	6,92910297907594
Aging, Premature	Developmental Disabilities	1	3,46455148953797
Aging, Premature	Hernia	1	3,46455148953797
Aging, Premature	Death, Sudden	1	3,46455148953797
Aging, Premature	Genetic Predisposition to Disease	3	10,3936544686139
Aging, Premature	Genomic Instability	2	6,92910297907594
Aging, Premature	Gliosis	1	3,46455148953797
Aging, Premature	Growth Disorders	3	10,3936544686139
Aging, Premature	Inflammation	1	3,46455148953797
Aging, Premature	Ischemia	1	3,46455148953797
Aging, Premature	Neovascularization, Pathologic	1	3,46455148953797
Aging, Premature	Nerve Degeneration	4	13,8582059581519
Aging, Premature	Alcohol-Related Disorders	1	3,46455148953797
Aging, Premature	Alcoholism	3	10,3936544686139
Aging, Premature	Athletic Injuries	1	3,46455148953797
Aging, Premature	Radiation Injuries	2	6,92910297907594
Aging, Premature	Radiation Injuries, Experimental	4	13,8582059581519
Asthenia	Bacteremia	1	2,06321925105354
Asthenia	Meningitis, Meningococcal	2	4,12643850210707
Asthenia	Waterhouse-Friderichsen Syndrome	1	2,06321925105354
Asthenia	Anaplasmosis	1	2,06321925105354
Asthenia	Brucellosis	2	4,12643850210707
Asthenia	Psittacosis	1	2,06321925105354
Asthenia	Typhoid Fever	1	2,06321925105354
Asthenia	Helicobacter Infections	1	2,06321925105354
Asthenia	Meningococcal Infections	3	6,18965775316061
Asthenia	Tularemia	1	2,06321925105354
Asthenia	Syphilis	1	2,06321925105354
Asthenia	Diphtheria	1	2,06321925105354
Asthenia	Leprosy	1	2,06321925105354
Asthenia	Tuberculosis	2	4,12643850210707
Asthenia	Tuberculosis, Endocrine	1	2,06321925105354
Asthenia	Tuberculosis, Spinal	1	2,06321925105354
Asthenia	Tuberculosis, Pulmonary	11	22,6954117615889
Asthenia	Botulism	2	4,12643850210707
Asthenia	Enterocolitis, Pseudomembranous	1	2,06321925105354
Asthenia	Tetanus	1	2,06321925105354
Asthenia	Staphylococcal Infections	2	4,12643850210707
Asthenia	Rheumatic Fever	3	6,18965775316061
Asthenia	Rheumatic Heart Disease	1	2,06321925105354
Asthenia	Infection	3	6,18965775316061
Asthenia	Discitis	1	2,06321925105354
Asthenia	Cross Infection	1	2,06321925105354
Asthenia	Pregnancy Complications, Infectious	1	2,06321925105354
Asthenia	Respiratory Tract Infections	2	4,12643850210707
Asthenia	Sepsis	1	2,06321925105354
Asthenia	Dermatomycoses	1	2,06321925105354
Asthenia	Paracoccidioidomycosis	1	2,06321925105354
Asthenia	Mycoses	2	4,12643850210707
Asthenia	Histoplasmosis	1	2,06321925105354
Asthenia	Lung Diseases, Fungal	3	6,18965775316061
Asthenia	Encephalitis	2	4,12643850210707
Asthenia	Meningitis, Viral	2	4,12643850210707
Asthenia	Poliomyelitis	1	2,06321925105354
