MeSH Disease ID,MeSH Symptom Term,TFIDF score
MESH:D001943,"Aging, Premature",3.46455
MESH:D016864,"Aging, Premature",6.9291
MESH:D001260,"Aging, Premature",6.9291
MESH:D001816,"Aging, Premature",6.9291
MESH:D019871,"Aging, Premature",10.3937
MESH:D011038,"Aging, Premature",3.46455
MESH:D015470,Asthenia,6.18966
MESH:D015473,Asthenia,2.06322
MESH:D005910,Asthenia,2.06322
MESH:D006528,Asthenia,2.06322
MESH:D009101,Asthenia,20.6322
MESH:D008258,Asthenia,4.12644
MESH:D001943,Asthenia,20.6322
MESH:D015179,Asthenia,6.18966
MESH:D013274,Asthenia,18.569
MESH:D010190,Asthenia,4.12644
MESH:D010051,Asthenia,6.18966
MESH:D008175,Asthenia,33.0115
MESH:D011471,Asthenia,2.06322
MESH:D001260,Asthenia,4.12644
MESH:D000741,Asthenia,2.06322
MESH:D014923,Asthenia,2.06322
MESH:D008180,Asthenia,4.12644
MESH:D054198,Fever,50.1339
MESH:D015464,Fever,8.66513
MESH:D015470,Fever,71.7968
MESH:D015473,Fever,17.9492
MESH:D009396,Fever,4.9515
MESH:D008415,Fever,0.618938
MESH:D012516,Fever,3.09469
MESH:D005910,Fever,1.85681
MESH:D008527,Fever,2.47575
MESH:D012175,Fever,1.85681
MESH:D011125,Fever,0.618938
MESH:D006528,Fever,27.2333
MESH:D018288,Fever,13.6166
MESH:D009101,Fever,24.7575
MESH:D008258,Fever,1.85681
MESH:D001943,Fever,66.2263
MESH:D015179,Fever,7.42725
MESH:D013274,Fever,16.0924
MESH:D010190,Fever,8.04619
MESH:D010051,Fever,29.0901
MESH:D008175,Fever,73.6536
MESH:D011471,Fever,11.1409
MESH:D001749,Fever,17.3303
MESH:D016864,Fever,0.618938
MESH:D006502,Fever,1.85681
MESH:D054990,Fever,10.5219
MESH:D002538,Fever,1.23788
MESH:D004916,Fever,0.618938
MESH:D000741,Fever,16.7113
MESH:D005199,Fever,0.618938
MESH:D014923,Fever,0.618938
MESH:D013922,Fever,6.18938
MESH:D000361,Fever,3.71363
MESH:D009190,Fever,18.5681
MESH:D011087,Fever,3.71363
MESH:D055728,Fever,4.9515
MESH:D017681,Fever,5.57044
MESH:D011038,Fever,0.618938
MESH:D016116,Fever,0.618938
MESH:D010505,Fever,53.8476
MESH:D008180,Fever,65.6074
MESH:D017074,Fever,2.47575
MESH:D054198,Fever of Unknown Origin,11.7852
MESH:D015464,Fever of Unknown Origin,2.94631
MESH:D015470,Fever of Unknown Origin,14.7315
MESH:D008415,Fever of Unknown Origin,2.94631
MESH:D008527,Fever of Unknown Origin,1.47315
MESH:D012175,Fever of Unknown Origin,1.47315
MESH:D006528,Fever of Unknown Origin,4.41946
MESH:D009101,Fever of Unknown Origin,14.7315
MESH:D008258,Fever of Unknown Origin,1.47315
MESH:D001943,Fever of Unknown Origin,4.41946
MESH:D013274,Fever of Unknown Origin,5.89262
MESH:D010051,Fever of Unknown Origin,5.89262
MESH:D008175,Fever of Unknown Origin,14.7315
MESH:D011471,Fever of Unknown Origin,4.41946
MESH:D001749,Fever of Unknown Origin,4.41946
MESH:D054990,Fever of Unknown Origin,4.41946
MESH:D000741,Fever of Unknown Origin,5.89262
MESH:D014923,Fever of Unknown Origin,1.47315
MESH:D013922,Fever of Unknown Origin,1.47315
MESH:D000361,Fever of Unknown Origin,1.47315
MESH:D009190,Fever of Unknown Origin,2.94631
MESH:D011087,Fever of Unknown Origin,1.47315
MESH:D055728,Fever of Unknown Origin,4.41946
MESH:D017681,Fever of Unknown Origin,1.47315
MESH:D010505,Fever of Unknown Origin,26.5168
MESH:D008180,Fever of Unknown Origin,23.5705
MESH:D017074,Fever of Unknown Origin,1.47315
MESH:D015470,Hypothermia,1.94544
MESH:D005910,Hypothermia,1.94544
MESH:D006528,Hypothermia,1.94544
MESH:D013274,Hypothermia,1.94544
MESH:D008175,Hypothermia,1.94544
MESH:D011471,Hypothermia,1.94544
MESH:D054990,Hypothermia,1.94544
MESH:D004916,Hypothermia,3.89087
MESH:D000741,Hypothermia,1.94544
MESH:D008180,Hypothermia,5.83631
MESH:D054198,Body Weight,12.0046
MESH:D015464,Body Weight,1.37195
MESH:D015470,Body Weight,7.20274
MESH:D015473,Body Weight,0.342988
MESH:D009396,Body Weight,2.40091
MESH:D008415,Body Weight,0.685976
MESH:D012516,Body Weight,8.23171
MESH:D005910,Body Weight,10.6326
