Source,Target,Relation Type,Weight
MESH:D001943,Aging__Premature,disease-symptom,3.46455
MESH:D016864,Aging__Premature,disease-symptom,6.9291
MESH:D001260,Aging__Premature,disease-symptom,6.9291
MESH:D001816,Aging__Premature,disease-symptom,6.9291
MESH:D019871,Aging__Premature,disease-symptom,10.3937
MESH:D011038,Aging__Premature,disease-symptom,3.46455
MESH:D015470,Asthenia,disease-symptom,6.18966
MESH:D015473,Asthenia,disease-symptom,2.06322
MESH:D005910,Asthenia,disease-symptom,2.06322
MESH:D006528,Asthenia,disease-symptom,2.06322
MESH:D009101,Asthenia,disease-symptom,20.6322
MESH:D008258,Asthenia,disease-symptom,4.12644
MESH:D001943,Asthenia,disease-symptom,20.6322
MESH:D015179,Asthenia,disease-symptom,6.18966
MESH:D013274,Asthenia,disease-symptom,18.569
MESH:D010190,Asthenia,disease-symptom,4.12644
MESH:D010051,Asthenia,disease-symptom,6.18966
MESH:D008175,Asthenia,disease-symptom,33.0115
MESH:D011471,Asthenia,disease-symptom,2.06322
MESH:D001260,Asthenia,disease-symptom,4.12644
MESH:D000741,Asthenia,disease-symptom,2.06322
MESH:D014923,Asthenia,disease-symptom,2.06322
MESH:D008180,Asthenia,disease-symptom,4.12644
MESH:D054198,Fever,disease-symptom,50.1339
MESH:D015464,Fever,disease-symptom,8.66513
MESH:D015470,Fever,disease-symptom,71.7968
MESH:D015473,Fever,disease-symptom,17.9492
MESH:D009396,Fever,disease-symptom,4.9515
MESH:D008415,Fever,disease-symptom,0.618938
MESH:D012516,Fever,disease-symptom,3.09469
MESH:D005910,Fever,disease-symptom,1.85681
MESH:D008527,Fever,disease-symptom,2.47575
MESH:D012175,Fever,disease-symptom,1.85681
MESH:D011125,Fever,disease-symptom,0.618938
MESH:D006528,Fever,disease-symptom,27.2333
MESH:D018288,Fever,disease-symptom,13.6166
MESH:D009101,Fever,disease-symptom,24.7575
MESH:D008258,Fever,disease-symptom,1.85681
MESH:D001943,Fever,disease-symptom,66.2263
MESH:D015179,Fever,disease-symptom,7.42725
MESH:D013274,Fever,disease-symptom,16.0924
MESH:D010190,Fever,disease-symptom,8.04619
MESH:D010051,Fever,disease-symptom,29.0901
MESH:D008175,Fever,disease-symptom,73.6536
MESH:D011471,Fever,disease-symptom,11.1409
MESH:D001749,Fever,disease-symptom,17.3303
MESH:D016864,Fever,disease-symptom,0.618938
MESH:D006502,Fever,disease-symptom,1.85681
MESH:D054990,Fever,disease-symptom,10.5219
MESH:D002538,Fever,disease-symptom,1.23788
MESH:D004916,Fever,disease-symptom,0.618938
MESH:D000741,Fever,disease-symptom,16.7113
MESH:D005199,Fever,disease-symptom,0.618938
MESH:D014923,Fever,disease-symptom,0.618938
MESH:D013922,Fever,disease-symptom,6.18938
MESH:D000361,Fever,disease-symptom,3.71363
MESH:D009190,Fever,disease-symptom,18.5681
MESH:D011087,Fever,disease-symptom,3.71363
MESH:D055728,Fever,disease-symptom,4.9515
MESH:D017681,Fever,disease-symptom,5.57044
MESH:D011038,Fever,disease-symptom,0.618938
MESH:D016116,Fever,disease-symptom,0.618938
MESH:D010505,Fever,disease-symptom,53.8476
MESH:D008180,Fever,disease-symptom,65.6074
MESH:D017074,Fever,disease-symptom,2.47575
MESH:D054198,Fever_of_Unknown_Origin,disease-symptom,11.7852
MESH:D015464,Fever_of_Unknown_Origin,disease-symptom,2.94631
MESH:D015470,Fever_of_Unknown_Origin,disease-symptom,14.7315
MESH:D008415,Fever_of_Unknown_Origin,disease-symptom,2.94631
MESH:D008527,Fever_of_Unknown_Origin,disease-symptom,1.47315
MESH:D012175,Fever_of_Unknown_Origin,disease-symptom,1.47315
MESH:D006528,Fever_of_Unknown_Origin,disease-symptom,4.41946
MESH:D009101,Fever_of_Unknown_Origin,disease-symptom,14.7315
MESH:D008258,Fever_of_Unknown_Origin,disease-symptom,1.47315
MESH:D001943,Fever_of_Unknown_Origin,disease-symptom,4.41946
MESH:D013274,Fever_of_Unknown_Origin,disease-symptom,5.89262
MESH:D010051,Fever_of_Unknown_Origin,disease-symptom,5.89262
MESH:D008175,Fever_of_Unknown_Origin,disease-symptom,14.7315
MESH:D011471,Fever_of_Unknown_Origin,disease-symptom,4.41946
MESH:D001749,Fever_of_Unknown_Origin,disease-symptom,4.41946
MESH:D054990,Fever_of_Unknown_Origin,disease-symptom,4.41946
MESH:D000741,Fever_of_Unknown_Origin,disease-symptom,5.89262
MESH:D014923,Fever_of_Unknown_Origin,disease-symptom,1.47315
MESH:D013922,Fever_of_Unknown_Origin,disease-symptom,1.47315
MESH:D000361,Fever_of_Unknown_Origin,disease-symptom,1.47315
MESH:D009190,Fever_of_Unknown_Origin,disease-symptom,2.94631
MESH:D011087,Fever_of_Unknown_Origin,disease-symptom,1.47315
MESH:D055728,Fever_of_Unknown_Origin,disease-symptom,4.41946
MESH:D017681,Fever_of_Unknown_Origin,disease-symptom,1.47315
MESH:D010505,Fever_of_Unknown_Origin,disease-symptom,26.5168
MESH:D008180,Fever_of_Unknown_Origin,disease-symptom,23.5705
MESH:D017074,Fever_of_Unknown_Origin,disease-symptom,1.47315
MESH:D015470,Hypothermia,disease-symptom,1.94544
MESH:D005910,Hypothermia,disease-symptom,1.94544
MESH:D006528,Hypothermia,disease-symptom,1.94544
MESH:D013274,Hypothermia,disease-symptom,1.94544
MESH:D008175,Hypothermia,disease-symptom,1.94544
MESH:D011471,Hypothermia,disease-symptom,1.94544
MESH:D054990,Hypothermia,disease-symptom,1.94544
MESH:D004916,Hypothermia,disease-symptom,3.89087
MESH:D000741,Hypothermia,disease-symptom,1.94544
MESH:D008180,Hypothermia,disease-symptom,5.83631
MESH:D054198,Body_Weight,disease-symptom,12.0046
MESH:D015464,Body_Weight,disease-symptom,1.37195
MESH:D015470,Body_Weight,disease-symptom,7.20274
MESH:D015473,Body_Weight,disease-symptom,0.342988
MESH:D009396,Body_Weight,disease-symptom,2.40091
MESH:D008415,Body_Weight,disease-symptom,0.685976
MESH:D012516,Body_Weight,disease-symptom,8.23171
MESH:D005910,Body_Weight,disease-symptom,10.6326
MESH:D008527,Body_Weight,disease-symptom,1.02896
MESH:D012175,Body_Weight,disease-symptom,0.685976
MESH:D011125,Body_Weight,disease-symptom,1.37195
MESH:D006528,Body_Weight,disease-symptom,35.3277
MESH:D018288,Body_Weight,disease-symptom,7.88872
MESH:D009456,Body_Weight,disease-symptom,2.05793
MESH:D009101,Body_Weight,disease-symptom,4.11585
MESH:D001943,Body_Weight,disease-symptom,127.934
MESH:D046152,Body_Weight,disease-symptom,1.71494
MESH:D015179,Body_Weight,disease-symptom,18.1784
MESH:D013274,Body_Weight,disease-symptom,44.5884
MESH:D010190,Body_Weight,disease-symptom,52.4771
MESH:D010051,Body_Weight,disease-symptom,22.6372
MESH:D008175,Body_Weight,disease-symptom,91.2348
MESH:D011471,Body_Weight,disease-symptom,56.593
MESH:D001749,Body_Weight,disease-symptom,37.7287
MESH:D016864,Body_Weight,disease-symptom,2.05793
MESH:D012415,Body_Weight,disease-symptom,0.342988
MESH:D004613,Body_Weight,disease-symptom,0.342988
MESH:D009634,Body_Weight,disease-symptom,0.685976
MESH:D006502,Body_Weight,disease-symptom,0.342988
MESH:D054990,Body_Weight,disease-symptom,25.0381
MESH:D001260,Body_Weight,disease-symptom,2.40091
MESH:D000741,Body_Weight,disease-symptom,3.77287
MESH:D005199,Body_Weight,disease-symptom,1.37195
MESH:D014923,Body_Weight,disease-symptom,0.342988
MESH:D013922,Body_Weight,disease-symptom,1.37195
MESH:D000361,Body_Weight,disease-symptom,2.7439
MESH:D009190,Body_Weight,disease-symptom,0.342988
MESH:D011087,Body_Weight,disease-symptom,0.685976
MESH:D055728,Body_Weight,disease-symptom,0.342988
MESH:D019851,Body_Weight,disease-symptom,0.342988
MESH:D001816,Body_Weight,disease-symptom,0.342988
MESH:D010505,Body_Weight,disease-symptom,0.685976
MESH:D008180,Body_Weight,disease-symptom,16.1204
MESH:D054198,Birth_Weight,disease-symptom,11.257
MESH:D015470,Birth_Weight,disease-symptom,9.84992
MESH:D009396,Birth_Weight,disease-symptom,19.6998
MESH:D012516,Birth_Weight,disease-symptom,4.22139
MESH:D005910,Birth_Weight,disease-symptom,1.40713
MESH:D009456,Birth_Weight,disease-symptom,4.22139
MESH:D001943,Birth_Weight,disease-symptom,77.3922
MESH:D015179,Birth_Weight,disease-symptom,5.62852
MESH:D010051,Birth_Weight,disease-symptom,4.22139
MESH:D008175,Birth_Weight,disease-symptom,1.40713
MESH:D011471,Birth_Weight,disease-symptom,7.03565
MESH:D016864,Birth_Weight,disease-symptom,1.40713
MESH:D009634,Birth_Weight,disease-symptom,5.62852
MESH:D000741,Birth_Weight,disease-symptom,5.62852
MESH:D005199,Birth_Weight,disease-symptom,2.81426
MESH:D000361,Birth_Weight,disease-symptom,2.81426
MESH:D019851,Birth_Weight,disease-symptom,14.0713
MESH:D010505,Birth_Weight,disease-symptom,1.40713
MESH:D008180,Birth_Weight,disease-symptom,19.6998
MESH:D054198,Fetal_Macrosomia,disease-symptom,3.33672
MESH:D009396,Fetal_Macrosomia,disease-symptom,3.33672
MESH:D006528,Fetal_Macrosomia,disease-symptom,3.33672
MESH:D001943,Fetal_Macrosomia,disease-symptom,6.67344
MESH:D015179,Fetal_Macrosomia,disease-symptom,3.33672
MESH:D001943,Body_Weight_Changes,disease-symptom,0.844615
MESH:D054198,Weight_Gain,disease-symptom,14.8669
MESH:D015464,Weight_Gain,disease-symptom,5.94676
MESH:D015473,Weight_Gain,disease-symptom,5.94676
MESH:D005910,Weight_Gain,disease-symptom,2.97338
MESH:D008527,Weight_Gain,disease-symptom,1.48669
MESH:D006528,Weight_Gain,disease-symptom,4.46007
MESH:D009456,Weight_Gain,disease-symptom,1.48669
MESH:D009101,Weight_Gain,disease-symptom,1.48669
MESH:D001943,Weight_Gain,disease-symptom,202.19
MESH:D015179,Weight_Gain,disease-symptom,10.4068
MESH:D013274,Weight_Gain,disease-symptom,5.94676
MESH:D010190,Weight_Gain,disease-symptom,7.43345
MESH:D010051,Weight_Gain,disease-symptom,7.43345
MESH:D008175,Weight_Gain,disease-symptom,19.327
MESH:D011471,Weight_Gain,disease-symptom,19.327
MESH:D001749,Weight_Gain,disease-symptom,1.48669
MESH:D054990,Weight_Gain,disease-symptom,7.43345
MESH:D001260,Weight_Gain,disease-symptom,1.48669
MESH:D008180,Weight_Gain,disease-symptom,5.94676
MESH:D054198,Weight_Loss,disease-symptom,3.00016
MESH:D015464,Weight_Loss,disease-symptom,3.00016
MESH:D015470,Weight_Loss,disease-symptom,4.00021
MESH:D009396,Weight_Loss,disease-symptom,1.00005
MESH:D005910,Weight_Loss,disease-symptom,1.00005
MESH:D008527,Weight_Loss,disease-symptom,2.00011
MESH:D012175,Weight_Loss,disease-symptom,1.00005
MESH:D011125,Weight_Loss,disease-symptom,2.00011
MESH:D006528,Weight_Loss,disease-symptom,11.0006
MESH:D018288,Weight_Loss,disease-symptom,19.001
MESH:D009456,Weight_Loss,disease-symptom,3.00016
MESH:D009101,Weight_Loss,disease-symptom,12.0006
MESH:D008258,Weight_Loss,disease-symptom,2.00011
MESH:D001943,Weight_Loss,disease-symptom,46.0025
