Node ID,Node Description,Node Type
Aging__Premature,"Aging, Premature",symptom
Asthenia,Asthenia,symptom
Fever,Fever,symptom
Fever_of_Unknown_Origin,Fever of Unknown Origin,symptom
Hypothermia,Hypothermia,symptom
Body_Weight,Body Weight,symptom
Birth_Weight,Birth Weight,symptom
Fetal_Macrosomia,Fetal Macrosomia,symptom
Body_Weight_Changes,Body Weight Changes,symptom
Weight_Gain,Weight Gain,symptom
Weight_Loss,Weight Loss,symptom
Emaciation,Emaciation,symptom
Cachexia,Cachexia,symptom
Fetal_Weight,Fetal Weight,symptom
Overweight,Overweight,symptom
Obesity,Obesity,symptom
Obesity__Morbid,"Obesity, Morbid",symptom
Thinness,Thinness,symptom
Cardiac_Output__High,"Cardiac Output, High",symptom
Cardiac_Output__Low,"Cardiac Output, Low",symptom
Chills,Chills,symptom
Cyanosis,Cyanosis,symptom
Edema,Edema,symptom
Edema__Cardiac,"Edema, Cardiac",symptom
Hydrops_Fetalis,Hydrops Fetalis,symptom
Eye_Manifestations,Eye Manifestations,symptom
Eye_Hemorrhage,Eye Hemorrhage,symptom
Fatigue,Fatigue,symptom
Mental_Fatigue,Mental Fatigue,symptom
Feminization,Feminization,symptom
Fetal_Distress,Fetal Distress,symptom
Flushing,Flushing,symptom
Heart_Murmurs,Heart Murmurs,symptom
Hot_Flashes,Hot Flashes,symptom
Hypergammaglobulinemia,Hypergammaglobulinemia,symptom
Intermittent_Claudication,Intermittent Claudication,symptom
Mobility_Limitation,Mobility Limitation,symptom
Motion_Sickness,Motion Sickness,symptom
Neurologic_Manifestations,Neurologic Manifestations,symptom
Cerebrospinal_Fluid_Otorrhea,Cerebrospinal Fluid Otorrhea,symptom
Cerebrospinal_Fluid_Rhinorrhea,Cerebrospinal Fluid Rhinorrhea,symptom
Decerebrate_State,Decerebrate State,symptom
Dyskinesias,Dyskinesias,symptom
Ataxia,Ataxia,symptom
Cerebellar_Ataxia,Cerebellar Ataxia,symptom
Gait_Ataxia,Gait Ataxia,symptom
Athetosis,Athetosis,symptom
Chorea,Chorea,symptom
Dystonia,Dystonia,symptom
Torticollis,Torticollis,symptom
Hyperkinesis,Hyperkinesis,symptom
Hypokinesia,Hypokinesia,symptom
Myoclonus,Myoclonus,symptom
Psychomotor_Agitation,Psychomotor Agitation,symptom
