MeSH Disease ID,Gene Entrez ID
MESH:D015464,25
MESH:D018860,51816
MESH:C535729,103
MESH:C535607,103
MESH:C562618,210
MESH:D015179,324
MESH:C535944,324
MESH:D013274,324
MESH:D011125,324
MESH:D006528,324
MESH:D054429,23092
MESH:D009190,171023
MESH:C537419,171023
MESH:D001943,472
MESH:D001260,472
MESH:C563023,546
MESH:C538258,546
MESH:C537457,546
MESH:D015179,581
MESH:D054198,581
MESH:D015464,613
MESH:D054198,613
MESH:D001816,641
MESH:D015179,673
MESH:D009634,673
MESH:D008175,673
MESH:D000096142,673
MESH:C535579,673
MESH:D010190,675
MESH:D001943,675
MESH:D008527,675
MESH:C563980,675
MESH:D009396,675
MESH:D011471,675
MESH:D005910,675
MESH:D015179,699
MESH:D015179,701
MESH:C536987,701
MESH:D055728,811
MESH:D013922,811
MESH:D054429,867
MESH:D000096142,1029
MESH:C563985,1029
MESH:C536149,1029
MESH:D015470,1050
MESH:C536987,9702
MESH:C563755,11200
MESH:D012516,11200
MESH:D011471,11200
MESH:D015470,26511
MESH:D012415,1387
MESH:D019871,1736
MESH:D000081003,134218
MESH:D000080984,134218
MESH:D015470,1788
MESH:D012779,51626
MESH:C536227,1991
MESH:C565969,1991
MESH:D015179,2033
MESH:D012415,2033
MESH:D012415,2033
MESH:C537394,2065
MESH:C564369,2065
MESH:D015470,2120
MESH:C536695,2121
MESH:D004613,2121
MESH:C536695,132884
MESH:D004613,132884
MESH:C567691,2162
MESH:D019851,2162
MESH:C567688,2165
MESH:D005199,2175
MESH:D015470,2322
MESH:D054198,2322
MESH:C563551,2623
MESH:C564050,2623
MESH:D015470,2624
MESH:D009190,2624
MESH:C567748,2672
MESH:C564320,2672
MESH:D054198,2782
MESH:D009190,2782
MESH:C537592,10456
MESH:D005910,3417
MESH:C537343,64135
MESH:C535607,64135
MESH:D017074,10320
MESH:C536842,3717
MESH:D055728,3717
MESH:D013922,3717
MESH:D006502,3717
MESH:D011087,3717
MESH:D015470,3717
MESH:C563236,3815
MESH:D008415,3815
MESH:D015470,3815
MESH:D016116,3815
MESH:D046152,3815
MESH:D001943,3845
MESH:C535579,3845
MESH:D001749,3845
MESH:D013274,3845
MESH:D010190,3845
MESH:C537847,3845
MESH:D008175,3845
MESH:D015470,3845
MESH:D002538,3845
MESH:D054000,3845
MESH:C564694,3981
MESH:D009101,3981
MESH:D015470,4026
MESH:C536641,8216
MESH:C548081,8216
MESH:D009634,5604
MESH:C535579,5604
MESH:D008557,5604
MESH:C536494,8930
MESH:D010505,4210
MESH:D010505,4210
MESH:D055653,4292
MESH:C536928,4292
MESH:D055847,4292
MESH:D015470,8028
MESH:D013922,4352
MESH:D055728,4352
MESH:C535982,4352
MESH:D055653,4436
MESH:C537261,4436
MESH:D008258,4615
MESH:C567379,4615
MESH:D049932,4683
MESH:D000741,4683
MESH:D054198,4683
MESH:C537393,4763
MESH:D009456,4763
MESH:C563523,4763
MESH:D054429,4763
MESH:C565611,55505
MESH:D015470,4869
MESH:C580062,4893
MESH:D015179,4893
MESH:C537387,4893
MESH:D054000,4893
MESH:C548084,4893
MESH:C572845,4893
MESH:C536819,4893
MESH:D058495,64324
MESH:C567018,54888
MESH:D015473,4926
MESH:D015470,8021
MESH:D054198,8021
MESH:C563657,79728
MESH:D017681,5156
MESH:C562978,5159
MESH:C536653,5159
MESH:C536275,5159
MESH:C565054,5159
MESH:D015470,8301
MESH:C536729,9487
MESH:C567863,5290
MESH:D015179,5290
MESH:D001943,5290
MESH:D017492,5290
MESH:D013274,5290
MESH:C580062,5290
MESH:D008175,5290
MESH:D010051,5290
MESH:D006528,5290
MESH:C537327,5295
MESH:C562938,5781
MESH:D054429,5781
MESH:D009634,5781
MESH:D044542,5781
MESH:C548083,5894
MESH:C537117,5894
MESH:D015473,5914
MESH:D012175,5925
MESH:D012516,5925
MESH:D018288,5925
MESH:D001749,5925
MESH:D011038,9401
MESH:C535288,9401
MESH:C536788,9401
MESH:C563681,10535
MESH:C535607,79621
MESH:C563683,84153
MESH:C567254,6135
MESH:C567280,6165
MESH:C567650,6204
MESH:C535323,6208
MESH:C567281,6218
MESH:D029503,6223
MESH:C536355,6229
MESH:C567649,6231
MESH:C567253,6201
MESH:C563324,861
MESH:D015470,861
MESH:C566473,54809
MESH:C563233,219285
MESH:C535608,25939
MESH:D000741,51119
MESH:D000081003,51119
MESH:C565467,6335
MESH:C563475,6335
MESH:D004916,6335
MESH:C536632,26040
MESH:D009190,23451
MESH:C536842,10019
MESH:D055728,10019
MESH:D013922,10019
MESH:D015470,6455
MESH:D052536,6609
MESH:D052537,6609
MESH:C548082,6654
MESH:C548032,161742
MESH:D000081003,6729
MESH:D016114,412
MESH:D054198,6886
MESH:D054198,6887
MESH:D000361,6929
MESH:C564915,10312
MESH:C565079,7012
MESH:D000096142,7015
MESH:D054990,7015
MESH:D000741,7015
MESH:C565079,7015
MESH:D015470,7015
MESH:D009190,54790
MESH:D013922,7066
MESH:D015179,7157
MESH:D016864,7157
MESH:D000077274,7157
MESH:D001943,7157
MESH:C565972,7157
MESH:D010190,7157
MESH:D005910,7157
MESH:D012516,7157
MESH:D020288,7157
MESH:D006528,7157
MESH:C566007,11277
MESH:D008180,11277
MESH:C535924,11277
MESH:C535607,11277
MESH:C536329,7305
MESH:D014923,7454
MESH:C564539,7454
MESH:C564052,7454
MESH:D014923,7456
