Gene Entrez ID,Gene Symbol
25,ABL1
51816,ADA2
103,ADAR
210,ALAD
324,APC
23092,ARHGAP26
171023,ASXL1
472,ATM
546,ATRX
581,BAX
613,BCR
641,BLM
673,BRAF
675,BRCA2
699,BUB1
701,BUB1B
811,CALR
867,CBL
1029,CDKN2A
1050,CEBPA
9702,CEP57
11200,CHEK2
26511,CHIC2
1387,CREBBP
1736,DKC1
134218,DNAJC21
1788,DNMT3A
51626,DYNC2LI1
1991,ELANE
2033,EP300
2065,ERBB3
2120,ETV6
2121,EVC
132884,EVC2
2162,F13A1
2165,F13B
2175,FANCA
2322,FLT3
2623,GATA1
2624,GATA2
2672,GFI1
2782,GNB1
10456,HAX1
3417,IDH1
64135,IFIH1
10320,IKZF1
3717,JAK2
3815,KIT
3845,KRAS
3981,LIG4
4026,LPP
8216,LZTR1
5604,MAP2K1
8930,MBD4
4210,MEFV
4292,MLH1
8028,MLLT10
4352,MPL
4436,MSH2
4615,MYD88
4683,NBN
4763,NF1
55505,NOP10
4869,NPM1
4893,NRAS
64324,NSD1
54888,NSUN2
4926,NUMA1
8021,NUP214
79728,PALB2
5156,PDGFRA
5159,PDGFRB
8301,PICALM
9487,PIGL
5290,PIK3CA
5295,PIK3R1
5781,PTPN11
5894,RAF1
5914,RARA
5925,RB1
9401,RECQL4
10535,RNASEH2A
79621,RNASEH2B
84153,RNASEH2C
6135,RPL11
6165,RPL35A
6204,RPS10
6208,RPS14
6218,RPS17
6223,RPS19
6229,RPS24
6231,RPS26
6201,RPS7
861,RUNX1
54809,SAMD9
219285,SAMD9L
25939,SAMHD1
51119,SBDS
6335,SCN9A
26040,SETBP1
23451,SF3B1
10019,SH2B3
6455,SH3GL1
6609,SMPD1
6654,SOS1
161742,SPRED1
6729,SRP54
412,STS
6886,TAL1
6887,TAL2
6929,TCF3
10312,TCIRG1
7012,TERC
7015,TERT
54790,TET2
7066,THPO
7157,TP53
11277,TREX1
7305,TYROBP
7454,WAS
7456,WIPF1
