source,target,pathway
ZMR1,BITE1,feed
ZMR1,DIGZ2,feed
BITE1,ROT3,feed
DIGZ2,ROT3,feed
ROT3,HGR1,feed
HGR1,FLESH2,feed
HGR1,CRAWL3,feed
FLESH2,DEVOUR3,feed
CRAWL3,DEVOUR3,feed
DEVOUR3,CHEW4,feed
SPAWN1,FAITH2,duplication
SPAWN1,DTUR3,duplication
FAITH2,MUT8,duplication
DTUR3,MUT8,duplication
FAITH2,REPLX,duplication
DTUR3,REPLX,duplication
MUT8,REPLX,duplication
REPLX,CLONE9,duplication
CLONE9,BROOD7,duplication
WALKR1,STAG2,movement
STAG2,CRAWL3,movement
CRAWL3,LURCH4,movement
LURCH4,SHAMB5,movement
SHAMB5,CHASE6,movement
FAITH2,ROT3,crosstalk
SHAMB5,DEVOUR3,crosstalk
CLONE9,STP12,duplication
STP12,DTUR3,duplication
STP12,FAITH2,duplication
