id,pathway,role,expression_normal,expression_mutant,expression_diff
ZMR1,feed/receptor,receptor,5.2,5,-0.2
BITE1,feed,intermediate,3,3.1,0.1
DIGZ2,feed,intermediate,3,0,-3
ROT3,feed,intermediate,4,4.2,0.2
HGR1,feed,intermediate,2,1.8,-0.2
FLESH2,feed,intermediate,2.5,3.5,1
DEVOUR3,feed,effector,7.1,7,-0.1
CHEW4,feed,effector,3,3,0
SPAWN1,duplication/receptor,receptor,4.9,7.2,2.3
FAITH2,duplication,intermediate,4,8.1,4.1
DTUR3,duplication,intermediate,0.5,7.9,7.4
MUT8,duplication,intermediate,1,0,-1
REPLX,duplication,intermediate,4,9.4,5.4
CLONE9,duplication,effector,3.5,8.6,5.1
BROOD7,duplication,effector,4,8,4
STP12,duplication,intermediate,3,0,-3
WALKR1,movement/receptor,receptor,6,5.9,-0.1
STAG2,movement,intermediate,0.2,5.8,5.6
CRAWL3,movement/feed,intermediate,6.4,6.2,-0.2
LURCH4,movement,intermediate,0.1,5.6,5.5
SHAMB5,movement,intermediate,6.2,6.3,0.1
CHASE6,movement,effector,0,6.6,6.6
