id,pathway,role
ZMR1,feed/receptor,receptor
BITE1,feed,intermediate
DIGZ2,feed,intermediate
ROT3,feed,intermediate
HGR1,feed,intermediate
FLESH2,feed,intermediate
DEVOUR3,feed,effector
CHEW4,feed,effector
SPAWN1,duplication/receptor,receptor
FAITH2,duplication,intermediate
DTUR3,duplication,intermediate
MUT8,duplication,intermediate
REPLX,duplication,intermediate
CLONE9,duplication,effector
BROOD7,duplication,effector
STP12,duplication,intermediate
WALKR1,movement/receptor,receptor
STAG2,movement,intermediate
CRAWL3,movement/feed,intermediate
LURCH4,movement,intermediate
SHAMB5,movement,intermediate
CHASE6,movement,effector
