#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADCY1	ADCY8	9606.ENSP00000297323	9606.ENSP00000286355	0	0	0.068	0.852	0.109	0	0.900	0.165	0.921
ADCY1	CALM3	9606.ENSP00000297323	9606.ENSP00000291295	0	0	0	0	0	0.046	0.900	0.768	0.975
ADCY1	ADCY9	9606.ENSP00000297323	9606.ENSP00000294016	0	0	0	0.703	0.073	0.124	0.500	0.511	0.775
ADCY1	KCNJ3	9606.ENSP00000297323	9606.ENSP00000295101	0	0	0	0	0.117	0	0	0.532	0.569
ADCY1	KCNJ5	9606.ENSP00000297323	9606.ENSP00000433295	0	0	0	0	0.059	0	0	0.433	0.444
ADCY1	KCNJ6	9606.ENSP00000297323	9606.ENSP00000477437	0	0	0	0	0.094	0	0	0.434	0.466
ADCY1	OPRM1	9606.ENSP00000297323	9606.ENSP00000394624	0	0	0	0	0	0	0	0.485	0.485
ADCY1	ADCY6	9606.ENSP00000297323	9606.ENSP00000311405	0	0	0.081	0.875	0.044	0	0.500	0.109	0.556
ADCY1	ADCY4	9606.ENSP00000297323	9606.ENSP00000312126	0	0	0.087	0.834	0	0	0.500	0.129	0.568
ADCY1	ADCY5	9606.ENSP00000297323	9606.ENSP00000419361	0	0	0.079	0.881	0.108	0	0.500	0.132	0.595
ADCY1	PLCB1	9606.ENSP00000297323	9606.ENSP00000338185	0	0	0	0	0.112	0	0	0.621	0.650
ADCY1	CREB1	9606.ENSP00000297323	9606.ENSP00000387699	0	0	0	0	0	0	0.500	0.387	0.680
ADCY1	AKT2	9606.ENSP00000297323	9606.ENSP00000375892	0	0	0	0	0.047	0.061	0.650	0.099	0.680
ADCY1	AKT3	9606.ENSP00000297323	9606.ENSP00000500582	0	0	0	0	0	0.061	0.650	0.142	0.693
ADCY1	AKT1	9606.ENSP00000297323	9606.ENSP00000451828	0	0	0	0	0	0.061	0.650	0.199	0.714
ADCY1	ADCY2	9606.ENSP00000297323	9606.ENSP00000342952	0	0	0.074	0.833	0.084	0	0.500	0.408	0.715
