#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	CCND1	9606.ENSP00000361423	9606.ENSP00000227507	0	0	0	0	0	0	0.400	0	0.400
ABL1	CDKN1B	9606.ENSP00000361423	9606.ENSP00000228872	0	0	0	0	0	0.296	0.400	0	0.559
ABL1	CDK4	9606.ENSP00000361423	9606.ENSP00000257904	0	0	0	0.607	0	0.098	0.400	0	0.435
ABL1	MDM2	9606.ENSP00000361423	9606.ENSP00000258149	0	0	0	0	0	0.628	0	0	0.628
ABL1	CBL	9606.ENSP00000361423	9606.ENSP00000264033	0	0	0	0	0	0.896	0.900	0	0.989
ABL1	SHC2	9606.ENSP00000361423	9606.ENSP00000264554	0	0	0	0.554	0	0.073	0.900	0	0.903
ABL1	CDK6	9606.ENSP00000361423	9606.ENSP00000265734	0	0	0	0.614	0	0.098	0.400	0	0.435
ABL1	RB1	9606.ENSP00000361423	9606.ENSP00000267163	0	0	0	0	0	0.736	0.900	0	0.972
ABL1	STAT5B	9606.ENSP00000361423	9606.ENSP00000293328	0	0	0	0	0	0.439	0.900	0	0.941
ABL1	RUNX1	9606.ENSP00000361423	9606.ENSP00000300305	0	0	0	0	0	0	0.400	0	0.400
ABL1	CRK	9606.ENSP00000361423	9606.ENSP00000300574	0	0	0	0.583	0	0.986	0.900	0	0.998
ABL1	BCR	9606.ENSP00000361423	9606.ENSP00000303507	0	0	0	0	0	0.737	0.900	0	0.972
ABL1	SHC4	9606.ENSP00000361423	9606.ENSP00000329668	0	0	0	0.553	0	0.073	0.900	0	0.903
ABL1	STAT5A	9606.ENSP00000361423	9606.ENSP00000341208	0	0	0	0	0	0.332	0.900	0	0.930
ABL1	CRKL	9606.ENSP00000361423	9606.ENSP00000346300	0	0	0	0.597	0	0.887	0.900	0	0.988
ABL1	PIK3R1	9606.ENSP00000361423	9606.ENSP00000428056	0	0	0	0.551	0	0.793	0	0	0.793
ABL1	CDKN1A	9606.ENSP00000361423	9606.ENSP00000384849	0	0	0	0	0	0.296	0.400	0	0.559
ABL1	SHC3	9606.ENSP00000361423	9606.ENSP00000364995	0	0	0	0	0	0.073	0.900	0	0.903
ABL1	SHC1	9606.ENSP00000361423	9606.ENSP00000401303	0	0	0	0.555	0	0.610	0.900	0	0.959
ABL1	GRB2	9606.ENSP00000361423	9606.ENSP00000376345	0	0	0	0.748	0	0.846	0.900	0	0.983
AKT1	MAPK1	9606.ENSP00000451828	9606.ENSP00000215832	0	0	0	0.593	0	0.110	0.900	0	0.907
AKT1	PIK3R2	9606.ENSP00000451828	9606.ENSP00000222254	0	0	0	0	0	0.093	0.900	0	0.905
AKT1	CDKN1B	9606.ENSP00000451828	9606.ENSP00000228872	0	0	0	0	0	0.797	0.900	0	0.978
AKT1	MDM2	9606.ENSP00000451828	9606.ENSP00000258149	0	0	0	0	0	0.891	0.900	0	0.988
AKT1	PIK3R3	9606.ENSP00000451828	9606.ENSP00000262741	0	0	0	0	0	0.093	0.900	0	0.905
AKT1	MAPK3	9606.ENSP00000451828	9606.ENSP00000263025	0	0	0	0.587	0	0.110	0.900	0	0.907
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0	0.738	0.900	0	0.972
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0	0.184	0.900	0	0.914
AKT1	SMAD3	9606.ENSP00000451828	9606.ENSP00000332973	0	0	0	0	0	0.618	0	0	0.618
AKT1	SMAD4	9606.ENSP00000451828	9606.ENSP00000341551	0	0	0	0	0	0.636	0	0	0.636
AKT1	GAB2	9606.ENSP00000451828	9606.ENSP00000354952	0	0	0	0	0	0.420	0	0	0.420
AKT1	CHUK	9606.ENSP00000451828	9606.ENSP00000359424	0	0	0	0.594	0	0.835	0.900	0	0.982
AKT1	BCL2L1	9606.ENSP00000451828	9606.ENSP00000365230	0	0	0	0	0	0.292	0.900	0	0.926
AKT1	PIK3CD	9606.ENSP00000451828	9606.ENSP00000366563	0	0	0	0	0	0.098	0.900	0	0.905
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0	0	0.981	0	0.787	0.900	0	0.977
AKT1	BAD	9606.ENSP00000451828	9606.ENSP00000378040	0	0	0	0	0	0.860	0.900	0	0.985
AKT1	CDKN1A	9606.ENSP00000451828	9606.ENSP00000384849	0	0	0	0	0	0.776	0.900	0	0.976
AKT1	RAF1	9606.ENSP00000451828	9606.ENSP00000401888	0	0	0	0.583	0	0.816	0.900	0	0.980
AKT1	BRAF	9606.ENSP00000451828	9606.ENSP00000419060	0	0	0	0.586	0	0.631	0	0	0.631
AKT1	PIK3R1	9606.ENSP00000451828	9606.ENSP00000428056	0	0	0	0	0	0.558	0.900	0	0.953
AKT1	IKBKB	9606.ENSP00000451828	9606.ENSP00000430684	0	0	0	0.601	0	0.775	0.900	0	0.976
