#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	NFKB1	9606.ENSP00000361423	9606.ENSP00000226574	0	0	0	0	0.085	0.095	0	0.434	0.490
ABL1	MDM2	9606.ENSP00000361423	9606.ENSP00000258149	0	0	0	0	0	0.628	0	0.732	0.896
ABL1	STAT3	9606.ENSP00000361423	9606.ENSP00000264657	0	0	0	0	0.121	0.096	0	0.611	0.664
ABL1	DNMT3A	9606.ENSP00000361423	9606.ENSP00000264709	0	0	0	0	0.069	0.058	0	0.571	0.591
ABL1	TP53	9606.ENSP00000361423	9606.ENSP00000269305	0	0	0	0	0.056	0.292	0	0.875	0.909
ABL1	IFNA1	9606.ENSP00000361423	9606.ENSP00000276927	0	0	0	0	0.071	0	0	0.612	0.624
ABL1	STAT5B	9606.ENSP00000361423	9606.ENSP00000293328	0	0	0	0	0.065	0.439	0.900	0.727	0.983
ABL1	BCR	9606.ENSP00000361423	9606.ENSP00000303507	0	0	0	0	0.083	0.737	0.900	0.869	0.996
ABL1	CD19	9606.ENSP00000361423	9606.ENSP00000313419	0	0	0	0	0	0	0	0.609	0.609
ABL1	STAT5A	9606.ENSP00000361423	9606.ENSP00000341208	0	0	0	0	0.088	0.332	0.900	0.724	0.980
ABL1	STAT1	9606.ENSP00000361423	9606.ENSP00000354394	0	0	0	0	0.103	0.096	0	0.658	0.699
ABL1	XIAP	9606.ENSP00000361423	9606.ENSP00000360242	0	0	0	0	0	0.092	0	0.621	0.641
ABL1	CXCR4	9606.ENSP00000361423	9606.ENSP00000386884	0	0	0	0	0.042	0	0	0.417	0.417
ABL1	ITGAM	9606.ENSP00000361423	9606.ENSP00000496959	0	0	0	0	0.060	0.058	0	0.397	0.420
ABL1	BIRC2	9606.ENSP00000361423	9606.ENSP00000477613	0	0	0	0	0	0.092	0	0.410	0.442
ABL1	LCK	9606.ENSP00000361423	9606.ENSP00000477713	0	0	0.060	0.882	0.060	0	0	0.427	0.449
ABL1	TNF	9606.ENSP00000361423	9606.ENSP00000398698	0	0	0	0	0	0.057	0	0.471	0.479
ABL1	JAK1	9606.ENSP00000361423	9606.ENSP00000499900	0	0	0	0.574	0.064	0.292	0	0.280	0.482
ABL1	HIF1A	9606.ENSP00000361423	9606.ENSP00000437955	0	0	0	0	0	0.071	0	0.484	0.500
ABL1	IL6	9606.ENSP00000361423	9606.ENSP00000385675	0	0	0	0	0.085	0	0	0.506	0.529
ABL1	PTPRC	9606.ENSP00000361423	9606.ENSP00000411355	0	0	0	0	0.067	0.097	0	0.533	0.573
ABL1	ASXL1	9606.ENSP00000361423	9606.ENSP00000364839	0	0	0	0	0.081	0.098	0	0.643	0.678
ABL1	SRC	9606.ENSP00000361423	9606.ENSP00000362680	0	0	0.078	0.877	0.107	0.591	0	0.161	0.680
ABL1	KITLG	9606.ENSP00000361423	9606.ENSP00000495951	0	0	0	0	0	0	0	0.702	0.702
ABL1	MYC	9606.ENSP00000361423	9606.ENSP00000478887	0	0	0	0	0.087	0.045	0	0.774	0.785
ABL1	CTNNB1	9606.ENSP00000361423	9606.ENSP00000495360	0	0	0	0	0.095	0.539	0.500	0.785	0.949
ABL1	EVPL	9606.ENSP00000361423	9606.ENSP00000465630	0	0	0	0	0.106	0	0	0.957	0.960
ASXL1	STAT3	9606.ENSP00000364839	9606.ENSP00000264657	0	0	0	0	0.049	0.174	0	0.297	0.400
ASXL1	DNMT3A	9606.ENSP00000364839	9606.ENSP00000264709	0	0	0	0	0.042	0.091	0	0.936	0.939
ASXL1	TP53	9606.ENSP00000364839	9606.ENSP00000269305	0	0	0	0	0	0.045	0	0.720	0.721
ASXL1	STAT5B	9606.ENSP00000364839	9606.ENSP00000293328	0	0	0	0	0.060	0.079	0	0.374	0.411
ASXL1	ABL1	9606.ENSP00000364839	9606.ENSP00000361423	0	0	0	0	0.081	0.098	0	0.643	0.678
ASXL1	MYC	9606.ENSP00000364839	9606.ENSP00000478887	0	0	0	0	0.050	0.152	0	0.336	0.418
ASXL1	JAK1	9606.ENSP00000364839	9606.ENSP00000499900	0	0	0	0	0.060	0.098	0	0.418	0.463
BCR	STAT3	9606.ENSP00000303507	9606.ENSP00000264657	0	0	0	0	0.049	0	0.500	0.203	0.587
BCR	TP53	9606.ENSP00000303507	9606.ENSP00000269305	0	0	0	0	0.048	0.420	0	0.301	0.580
BCR	STAT5B	9606.ENSP00000303507	9606.ENSP00000293328	0	0	0	0	0.138	0	0.900	0.321	0.936
BCR	SRC	9606.ENSP00000303507	9606.ENSP00000362680	0	0	0	0	0.049	0.051	0	0.404	0.415
BCR	MYC	9606.ENSP00000303507	9606.ENSP00000478887	0	0	0	0	0.049	0.206	0	0.349	0.465
BCR	STAT1	9606.ENSP00000303507	9606.ENSP00000354394	0	0	0	0	0.049	0	0.500	0.111	0.540
BCR	EVPL	9606.ENSP00000303507	9606.ENSP00000465630	0	0	0	0	0.049	0	0	0.620	0.623
BCR	STAT5A	9606.ENSP00000303507	9606.ENSP00000341208	0	0	0	0	0	0	0.900	0.273	0.924
BCR	ABL1	9606.ENSP00000303507	9606.ENSP00000361423	0	0	0	0	0.083	0.737	0.900	0.869	0.996
BIRC2	PLEK2	9606.ENSP00000477613	9606.ENSP00000216446	0	0	0	0	0.083	0	0	0.376	0.403
BIRC2	NFKB1	9606.ENSP00000477613	9606.ENSP00000226574	0	0	0	0	0.087	0.071	0	0.754	0.773
BIRC2	MDM2	9606.ENSP00000477613	9606.ENSP00000258149	0	0	0	0	0.108	0.055	0	0.434	0.482
BIRC2	IL1B	9606.ENSP00000477613	9606.ENSP00000263341	0	0	0	0	0.120	0	0	0.435	0.481
BIRC2	STAT3	9606.ENSP00000477613	9606.ENSP00000264657	0	0	0	0	0.095	0.066	0	0.412	0.460
BIRC2	TP53	9606.ENSP00000477613	9606.ENSP00000269305	0	0	0	0	0.055	0	0	0.581	0.587
BIRC2	BIRC5	9606.ENSP00000477613	9606.ENSP00000301633	0	0	0	0	0	0.625	0	0.688	0.878
BIRC2	XAF1	9606.ENSP00000477613	9606.ENSP00000354822	0	0	0	0	0.047	0.329	0	0.365	0.559
BIRC2	XIAP	9606.ENSP00000477613	9606.ENSP00000360242	0	0	0.067	0.863	0.067	0.818	0.900	0.835	0.996
BIRC2	ABL1	9606.ENSP00000477613	9606.ENSP00000361423	0	0	0	0	0	0.092	0	0.410	0.442
BIRC2	SRC	9606.ENSP00000477613	9606.ENSP00000362680	0	0	0	0	0.055	0.092	0	0.582	0.610
BIRC2	IL6	9606.ENSP00000477613	9606.ENSP00000385675	0	0	0	0	0.061	0	0	0.405	0.417
BIRC2	DIABLO-2	9606.ENSP00000477613	9606.ENSP00000398495	0	0	0	0	0.049	0.876	0.900	0.997	0.999
BIRC2	TNF	9606.ENSP00000477613	9606.ENSP00000398698	0	0	0	0	0.069	0.994	0.500	0.785	0.999
BIRC2	HIF1A	9606.ENSP00000477613	9606.ENSP00000437955	0	0	0	0	0.151	0	0	0.349	0.423
BIRC2	CTNNB1	9606.ENSP00000477613	9606.ENSP00000495360	0	0	0	0	0.107	0	0	0.365	0.408
BIRC2	MYC	9606.ENSP00000477613	9606.ENSP00000478887	0	0	0	0	0.050	0.051	0	0.510	0.520
BIRC2	DIABLO	9606.ENSP00000477613	9606.ENSP00000499058	0	0	0	0	0.049	0.950	0.540	0.994	0.999
BIRC5	NFKB1	9606.ENSP00000301633	9606.ENSP00000226574	0	0	0	0	0.055	0.071	0	0.398	0.426
