ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10012675544	7.68e-35	3.63e-39	-27.181008	78.806683	-1.7578	S100A12	S100 calcium binding protein A12	6283
10012680486	4.07e-34	3.85e-38	26.20278	76.492877	0.6568631	DDX47	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47	51202
10012669404	3.80e-33	6.20e-37	-25.088417	73.763766	-0.7401071	IGSF2	immunoglobulin superfamily, member 2	9398
10012688745	3.80e-33	7.19e-37	-25.030097	73.6181	-0.7297024	LTB4R	leukotriene B4 receptor	1241
10012681095	4.40e-33	1.04e-36	24.884854	73.254068	0.6920262	RALGDS	ral guanine nucleotide dissociation stimulator	5900
10012665599	5.59e-33	1.59e-36	-24.720117	72.838992	-1.3468333	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	241
10012665676	2.87e-32	9.50e-36	24.031152	71.077486	0.6266083	C4orf28	chromosome 4 open reading frame 28	133015
10012676050	3.67e-32	1.39e-35	-23.886512	70.702343	-1.478981	GLT1D1	glycosyltransferase 1 domain containing 1	144423
10012685105	4.60e-32	1.96e-35	23.756924	70.364639	0.8912226	FLJ40142	FLJ40142 protein	400073
10012678165	4.97e-32	2.35e-35	-23.687899	70.184142	-0.8298786	BRI3	brain protein I3	25798
10012674014	1.25e-31	6.50e-35	-23.307728	69.182202	-0.7028131	LASP1	LIM and SH3 protein 1	3927
10012686303	1.68e-31	9.55e-35	-23.16499	68.80257	-0.7378702	G6PD	glucose-6-phosphate dehydrogenase	2539
10012680296	5.13e-31	3.16e-34	22.725502	67.62167	0.8466726	LPIN1	lipin 1	23175
10012674720	5.34e-31	3.58e-34	-22.680231	67.498985	-0.77945	PRKCD	protein kinase C, delta	5580
10012688522	5.34e-31	3.79e-34	22.659413	67.442502	1.2921214	EMP1	epithelial membrane protein 1	2012
10012688012	6.07e-31	4.60e-34	-22.589033	67.251243	-0.7395167	GRN	granulin	2896
10012686405	1.02e-30	8.18e-34	-22.380626	66.682085	-0.5917679	ANXA11	annexin A11	311
10012670381	2.43e-30	2.07e-33	22.047548	65.763658	0.5990143	AVEN	apoptosis, caspase activation inhibitor	57099
10012666297	2.59e-30	2.33e-33	-22.005697	65.647486	-1.517169	MNDA	myeloid cell nuclear differentiation antigen	4332
10012672593	2.67e-30	2.53e-33	21.976805	65.567186	1.1424857	SOCS2	suppressor of cytokine signaling 2	8835
10012687758	7.83e-30	7.96e-33	-21.571611	64.432219	-1.1279964	FCAR	Fc fragment of IgA, receptor for	2204
10012684007	7.83e-30	8.15e-33	21.563363	64.408943	0.5107869	CCDC25	coiled-coil domain containing 25	55246
10012680017	1.71e-29	1.92e-32	-21.264475	63.560845	-0.8538464	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	80325
10012675347	1.71e-29	1.95e-32	-21.259553	63.546802	-1.0505298	DAPK2	death-associated protein kinase 2	23604
10012686960	1.74e-29	2.12e-32	-21.230052	63.462582	-1.1454893	TNFRSF10C	tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain	8794
10012666012	1.74e-29	2.14e-32	-21.226585	63.452678	-0.8923702	MYO1F	myosin IF	4542
10012669921	1.83e-29	2.33e-32	21.196872	63.367751	0.760175			
10012666594	1.89e-29	2.50e-32	-21.1724	63.297733	-0.9652679	LIN7A	lin-7 homolog A (C. elegans)	8825
10012667762	2.07e-29	2.84e-32	21.12891	63.173154	0.4713607	UBE2G2	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	7327
10012666998	3.26e-29	4.63e-32	20.960639	62.689281	0.7309881			
10012672520	3.35e-29	4.91e-32	20.940449	62.631024	0.7202988			
10012688029	3.51e-29	5.31e-32	-20.913414	62.552951	-1.3635714	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	3684
10012670937	3.54e-29	5.52e-32	-20.900164	62.514658	-0.4579702	DEF6	differentially expressed in FDCP 6 homolog (mouse)	50619
10012671619	3.66e-29	5.89e-32	-20.878214	62.451184	-0.680725	ARHGAP30	Rho GTPase activating protein 30	257106
10012684905	3.72e-29	6.16e-32	-20.862582	62.405948	-1.1742071	NCF1	neutrophil cytosolic factor 1, (chronic granulomatous disease, autosomal 1)	653361
10012672450	3.74e-29	6.37e-32	-20.85152	62.373922	-0.72055	SIGLEC5	sialic acid binding Ig-like lectin 5	8778
10012670554	3.87e-29	6.77e-32	-20.830548	62.313168	-1.3593679	PGLYRP1	peptidoglycan recognition protein 1	8993
10012687763	5.81e-29	1.05e-31	-20.682496	61.882961	-1.3633226	FCN1	ficolin (collagen/fibrinogen domain containing) 1	2219
10012673034	6.10e-29	1.13e-31	20.657281	61.80946	0.6347488	NOB1	NIN1/RPN12 binding protein 1 homolog (S. cerevisiae)	28987
10012684022	6.63e-29	1.25e-31	-20.620356	61.701704	-1.1681536	F5	coagulation factor V (proaccelerin, labile factor)	2153
10012671155	7.89e-29	1.53e-31	-20.553046	61.504905	-1.305806	RETN	resistin	56729
10012670005	8.14e-29	1.62e-31	-20.534166	61.449618	-0.6643024			
10012688881	1.14e-28	2.34e-31	20.410237	61.085762	0.5613917	LRPPRC	leucine-rich PPR-motif containing	10128
10012673136	1.14e-28	2.36e-31	-20.406229	61.073967	-0.6915143	HCLS1	hematopoietic cell-specific Lyn substrate 1	3059
10012688416	1.20e-28	2.56e-31	-20.379926	60.99652	-1.4479274	HK3	hexokinase 3 (white cell)	3101
10012675392	1.43e-28	3.12e-31	-20.312734	60.798335	-0.700819	IL17RA	interleukin 17 receptor A	23765
10012679452	1.54e-28	3.42e-31	20.282374	60.708631	0.8729655			
10012680070	2.20e-28	4.99e-31	-20.155518	60.33272	-1.4704786	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	1087
10012688985	2.73e-28	6.33e-31	-20.076534	60.097785	-0.9496917	DEF8	differentially expressed in FDCP 8 homolog (mouse)	54849
